text_id,level,reading_regime,sum_TF,Sacc_RT,PARAGRAPH_RT,n_words,TF_per_word,SaccT_per_word,P_RT_per_word,words_per_sec_based_TF,words_per_sec_based_SaccT,words_per_sec_based_P_RT
1_10_1,Adv,FirstReading,27762.77192982456,5415.324561403509,33178.09649122807,98,283.2935911206588,55.258413891872536,338.5520050125313,3.529906892860438,18.09679159370662,2.953755952391969
1_10_1,Ele,FirstReading,17768.508771929824,3933.9736842105262,21702.48245614035,73,243.40422975246335,53.89005046863735,297.2942802211007,4.108392039928713,18.556301048223638,3.3636704993324797
1_10_2,Adv,FirstReading,25023.991228070176,5488.3421052631575,30512.333333333332,89,281.1684407648334,61.666765227675924,342.8352059925094,3.5565869244777377,16.216190298095967,2.916853294296296
1_10_2,Ele,FirstReading,24425.947368421053,5163.5,29589.447368421053,91,268.417004048583,56.74175824175824,325.15876229034126,3.725546388331649,17.62370485136051,3.0754207358775667
1_10_3,Adv,FirstReading,35245.79824561404,7187.6140350877195,42433.412280701756,109,323.35594720746826,65.94141316594238,389.2973603734106,3.0925672115700733,15.164976787553638,2.568730491881088
1_10_3,Ele,FirstReading,17266.06140350877,3956.3333333333335,21222.394736842107,73,236.52138908916126,54.19634703196347,290.71773612112474,4.22794743363794,18.451428089982304,3.4397626142195867
1_10_4,Adv,FirstReading,43471.666666666664,9597.192982456141,53068.85964912281,165,263.4646464646465,58.16480595427964,321.6294524189261,3.7955756623087837,17.192527054694352,3.109167995900725
1_10_4,Ele,FirstReading,32434.736842105263,6875.69298245614,39310.429824561405,132,245.7177033492823,52.088583200425305,297.80628654970764,4.069710836335313,19.198064884049966,3.357887476405195
1_10_5,Adv,FirstReading,39190.71929824561,7964.508771929824,47155.228070175435,119,329.33377561550935,66.92864514226743,396.2624207577768,3.03643316914898,14.941285571736014,2.5235802024519245
1_10_5,Ele,FirstReading,23615.57894736842,5176.263157894737,28791.842105263157,88,268.35885167464113,58.821172248803826,327.18002392344494,3.7263537005010074,17.000681247394482,3.0564213181730935
1_10_6,Adv,FirstReading,34881.97368421053,7736.324561403509,42618.29824561404,128,272.51541940789474,60.44003563596491,332.9554550438597,3.6695171310773547,16.545324460479783,3.003404764364866
1_10_6,Ele,FirstReading,23889.175438596492,5088.8859649122805,28978.06140350877,90,265.43528265107216,56.54317738791423,321.9784600389863,3.767396670150101,17.68559968145236,3.1057978222484706
1_10_7,Adv,FirstReading,29976.98245614035,6680.482456140351,36657.4649122807,135,222.05172189733594,49.48505523066927,271.5367771280052,4.503455282649612,20.208121327512064,3.682742391571473
1_10_7,Ele,FirstReading,24441.447368421053,5322.149122807017,29763.59649122807,104,235.01391700404858,51.17451079622132,286.1884278002699,4.255067158353746,19.540978202645352,3.4942013822372204
1_1_1,Adv,FirstReading,31491.114035087718,6729.570175438596,38220.68421052631,112,281.1706610275689,60.08544799498747,341.25610902255636,3.5565588399066628,16.642964867024432,2.930350471568853
1_1_1,Ele,FirstReading,24256.57894736842,4916.412280701755,29172.991228070176,104,233.23633603238866,47.27319500674764,280.5095310391363,4.287496609709791,21.153636851862093,3.56494125634712
1_1_2,Adv,FirstReading,27029.947368421053,5926.675438596491,32956.62280701754,113,239.20307405682348,52.44845520881851,291.65152926564195,4.180548280756821,19.066338484491023,3.428749379500699
