text_id,level,reading_regime,sum_TF,Sacc_RT,PARAGRAPH_RT,n_words,TF_per_word,SaccT_per_word,P_RT_per_word,words_per_sec_based_TF,words_per_sec_based_SaccT,words_per_sec_based_P_RT
1_10_1,Adv,FirstReading,17494.366666666665,3822.25,21316.616666666665,98,178.51394557823127,39.00255102040816,217.51649659863943,5.601803247140509,25.639348551245995,4.5973524566515795
1_10_1,Ele,FirstReading,12782.733333333334,3051.7,15834.433333333332,73,175.10593607305935,41.80410958904109,216.91004566210046,5.710828669924534,23.921093161188846,4.610206027791754
1_10_2,Adv,FirstReading,17185.216666666667,4058.5833333333335,21243.8,89,193.0923220973783,45.602059925093634,238.6943820224719,5.178869823191057,21.928833952733914,4.1894576299908675
1_10_2,Ele,FirstReading,16979.183333333334,3797.25,20776.433333333334,91,186.58443223443226,41.72802197802198,228.3124542124542,5.359503941591222,23.964711304233326,4.379962553726738
1_10_3,Adv,FirstReading,23505.983333333334,5166.25,28672.233333333334,109,215.65122324159023,47.39678899082569,263.0480122324159,4.637117216254868,21.098475683522867,3.8015873661742425
1_10_3,Ele,FirstReading,11825.333333333334,2814.2,14639.533333333333,73,161.9908675799087,38.550684931506844,200.54155251141552,6.173187507047017,25.939876341411413,4.986497748106725
1_10_4,Adv,FirstReading,29510.733333333334,6749.983333333334,36260.71666666667,165,178.8529292929293,40.9089898989899,219.7619191919192,5.5911860317489,24.44450480124642,4.550378899479372
1_10_4,Ele,FirstReading,22016.716666666667,4923.8,26940.516666666666,132,166.7933080808081,37.301515151515154,204.09482323232322,5.995444370678946,26.80856249238393,4.899683314660508
1_10_5,Adv,FirstReading,25082.75,5798.2,30880.95,119,210.77941176470588,48.72436974789916,259.50378151260503,4.744296378985558,20.523610775757994,3.853508392714602
1_10_5,Ele,FirstReading,16617.033333333333,3776.3166666666666,20393.35,88,188.82992424242423,42.912689393939395,231.74261363636361,5.295770805458656,23.303130475463302,4.3151321386628485
1_10_6,Adv,FirstReading,23559.033333333333,5426.366666666667,28985.4,128,184.05494791666666,42.393489583333334,226.4484375,5.433160104192164,23.588527621305847,4.416016339260455
1_10_6,Ele,FirstReading,15887.65,3479.15,19366.8,90,176.52944444444444,38.657222222222224,215.18666666666667,5.664777358514318,25.868387393472542,4.647128074849744
1_10_7,Adv,FirstReading,21073.266666666666,4921.666666666667,25994.933333333334,135,156.09827160493828,36.45679012345679,192.55506172839506,6.406220835877368,27.429732475448695,5.19331972384362
1_10_7,Ele,FirstReading,16157.416666666666,3845.7,20003.116666666665,104,155.35977564102564,36.97788461538461,192.33766025641023,6.436672529127491,27.043191096549393,5.199189792923937
1_1_1,Adv,FirstReading,20567.683333333334,4617.1,25184.783333333333,112,183.64002976190477,41.22410714285714,224.8641369047619,5.445435841502162,24.25765090641311,4.4471297814090125
1_1_1,Ele,FirstReading,16185.6,3707.4,19893.0,104,155.63076923076923,35.64807692307692,191.27884615384616,6.425464610517991,28.052004099908288,5.227969637560951
1_1_2,Adv,FirstReading,17444.766666666666,4214.15,21658.916666666668,113,154.37846607669616,37.2933628318584,191.67182890855457,6.47758735666666,26.81442283734561,5.217250785858019
1_1_2,Ele,FirstReading,13537.883333333333,3179.9,16717.783333333333,85,159.26921568627452,37.41058823529412,196.67980392156863,6.278677242749667,26.730400327054312,5.0844061264102995
1_1_3,Adv,FirstReading,16404.566666666666,3601.8,20006.366666666665,86,190.75077519379843,41.88139534883721,232.63217054263563,5.2424426531636525,23.876950413682046,4.298631602273277
1_1_3,Ele,FirstReading,10187.15,2513.85,12701.0,63,161.70079365079366,39.90238095238095,201.6031746031746,6.184261545181921,25.06116116713408,4.960239351232186
1_1_4,Adv,FirstReading,17784.583333333332,4074.15,21858.733333333334,91,195.43498168498166,44.77087912087912,240.2058608058608,5.1167912283578945,22.33594737552618,4.163095757302192
1_1_4,Ele,FirstReading,11935.783333333333,2993.2833333333333,14929.066666666668,66,180.845202020202,45.352777777777774,226.1979797979798,5.529590991793584,22.04936608072518,4.420905973135182
1_1_5,Adv,FirstReading,11298.716666666667,2452.0666666666666,13750.783333333333,74,152.68536036036036,33.13603603603603,185.82139639639638,6.549416379146304,30.178624833473805,5.381511598733163
1_1_5,Ele,FirstReading,9172.566666666668,2268.9,11441.466666666667,54,169.86234567901235,42.016666666666666,211.87901234567903,5.88711992644734,23.80007933359778,4.719674633788209
1_1_6,Adv,FirstReading,22318.2,5381.283333333334,27699.483333333334,121,184.44793388429753,44.47341597796144,228.92134986225895,5.421584177935497,22.485342715647132,4.368312525684895
1_1_6,Ele,FirstReading,12677.383333333333,2939.7166666666667,15617.1,77,164.641341991342,38.178138528138525,202.81948051948052,6.0738086066656765,26.19300045922793,4.930492857188594
1_1_7,Adv,FirstReading,23501.3,5436.866666666667,28938.166666666668,134,175.3828358208955,40.57363184079602,215.95646766169156,5.701812240173948,24.64654887005996,4.6305628668022045
1_1_7,Ele,FirstReading,13505.75,3369.133333333333,16874.883333333335,86,157.04360465116278,39.17596899224806,196.21957364341088,6.367658219647187,25.525852345806044,5.096331530193294
1_2_1,Adv,FirstReading,24422.7,5785.883333333333,30208.583333333332,130,187.8669230769231,44.506794871794874,232.37371794871794,5.322916794621397,22.468479316036444,4.303412661412457
1_2_1,Ele,FirstReading,17139.05,4004.1,21143.15,100,171.3905,40.041,211.43150000000003,5.8346291072142265,24.9744012387303,4.729664217488879
