text_id,diff_flesch_reading_ease,diff_flesch_kincaid_grade_score,diff_gunning_fog_index,diff_coleman_liau_index,diff_smog_index,diff_dale_chall_score,diff_gpt2_surprisal,diff_TF,diff_flesch_reading_ease_(-)
1_10_1,-12.39,4.800000000000001,4.23,1.1799999999999997,1.5,-0.8600000000000003,0.17544925611357254,1.4696820972750686,12.39
1_10_2,-7.210000000000008,2.7,3.7600000000000007,2.05,3.0999999999999996,0.41999999999999904,0.1175673765079761,-3.5149277688603604,7.210000000000008
1_10_3,-45.510000000000005,15.399999999999999,14.959999999999999,2.869999999999999,-8.8,2.9499999999999993,0.5703209738530255,37.90128725118046,45.510000000000005
1_10_4,-19.630000000000003,5.499999999999999,5.1899999999999995,1.4000000000000004,2.6999999999999993,1.58,0.26760233091117236,3.5927927101963633,19.630000000000003
1_10_5,-12.380000000000003,4.699999999999999,5.18,1.3500000000000014,3.0999999999999996,1.5599999999999987,0.08322467974648706,20.886815635345044,12.380000000000003
1_10_6,-3.5500000000000114,1.3999999999999995,1.5099999999999998,0.47000000000000064,0.6999999999999993,-0.10999999999999943,-0.03366705922198321,7.219198232323208,3.5500000000000114
1_10_7,-13.189999999999998,5.0,6.030000000000001,-0.04999999999999982,2.6999999999999993,0.4299999999999997,0.011939323170348182,-6.744380341880344,13.189999999999998
1_1_1,-15.759999999999998,4.0,4.48,2.33,3.0,0.9000000000000004,0.49866004064684866,28.210736390046748,15.759999999999998
1_1_2,-12.409999999999997,2.7,3.0299999999999994,2.2700000000000005,2.0,1.3099999999999996,0.3263426259840716,0.7085233385389529,12.409999999999997
1_1_3,-21.560000000000002,6.2,7.15,3.67,4.4,1.620000000000001,0.39148562909141615,25.720532090587312,21.560000000000002
1_1_4,-9.279999999999994,1.5,2.130000000000001,2.3200000000000003,2.9000000000000004,-0.019999999999999574,0.001962536761682454,29.850097029407408,9.279999999999994
1_1_5,-1.3199999999999932,0.5,1.42,-0.5199999999999996,1.8999999999999986,-0.6600000000000001,0.038709628262930895,-15.603916053985017,1.3199999999999932
1_1_6,-12.82,2.8000000000000007,2.789999999999999,1.5099999999999998,1.6999999999999993,1.2300000000000004,0.39335253024155836,24.769541191132106,12.82
1_1_7,0.4000000000000057,-0.09999999999999964,0.07000000000000028,-1.0500000000000007,0.5,-0.41999999999999993,0.26915796898774635,28.957364341085253,-0.4000000000000057
1_2_1,-16.03,6.199999999999999,8.170000000000002,0.4900000000000002,4.699999999999999,1.8000000000000007,-0.14557844744149673,12.639897353648735,16.03
