metric,correlation_type,correlation
CAREC,pearson,0.11303449044083136
CAREC_M,pearson,0.11853115623924956
CARES,pearson,0.08407745076479656
CML2RI_(-),pearson,0.05705929672957244
length,pearson,0.02104583381221218
flesch_reading_ease_(-),pearson,0.24113152965630202
flesch_kincaid_grade_score,pearson,0.18650720753970768
gunning_fog_index,pearson,0.17254547692771685
coleman_liau_index,pearson,0.2735799964356233
smog_index,pearson,0.12644607229021687
dale_chall_score,pearson,0.23128892542364698
ARI,pearson,0.1922698034274827
linsear_formula,pearson,0.14093167220637207
difficult_words_count,pearson,0.10921965100853681
syllable_count,pearson,0.03257454305708723
lexicon_count_(-),pearson,0.03185930921962968
sentence_count,pearson,-0.0013878045608844217
char_count,pearson,0.03288337284867286
letter_count,pearson,0.02992543067716908
polysyllabcount,pearson,0.16115630209338533
monosyllabcount_(-),pearson,0.07544825082006326
fernansex_huerta_(-),pearson,0.2272649275591278
szigriszt_pazos_(-),pearson,0.2418983063431529
gutierrez_polini_(-),pearson,0.2676534895732828
crawford,pearson,0.21856800135854065
cpidr_density,pearson,0.009613279587027387
depid_density,pearson,0.14810042450996064
max_embedding_depth,pearson,0.03963568688776207
avg_embedding_depth,pearson,0.16842475314376598
mean_entropy,pearson,-0.013114970036104248
mean_entropy_sents,pearson,-0.0209098740970641
word_length,pearson,0.22302651962278125
wordFreq_frequency_(-),pearson,0.008519748963770633
gpt2_surprisal,pearson,0.22367142602163276
Wordfreq_Frequency,pearson,0.1790594993722133
Length,pearson,0.3002163148590693
