metric,correlation_type,correlation
CAREC,pearson,0.19547589861972148
CAREC_M,pearson,0.1986026464233261
CARES,pearson,0.2440549617976035
CML2RI_(-),pearson,0.2232915996121273
flesch_reading_ease_(-),pearson,0.22822748795563194
flesch_kincaid_grade_score,pearson,0.11157334308797522
gunning_fog_index,pearson,0.09800600591540556
coleman_liau_index,pearson,0.3168460547120632
smog_index,pearson,0.013160444519166054
dale_chall_score,pearson,0.2729729445276274
ARI,pearson,0.14958352779445094
linsear_formula,pearson,-0.0072400806061672755
difficult_words_count,pearson,0.12470800123491158
syllable_count,pearson,0.005444741690263481
lexicon_count_(-),pearson,0.09406458747188232
sentence_count,pearson,-0.001982294662269679
char_count,pearson,0.010721370615837566
letter_count,pearson,0.004438261799724352
polysyllabcount,pearson,0.15894797612870723
monosyllabcount_(-),pearson,0.17336904001528924
fernansex_huerta_(-),pearson,0.19510429912200244
szigriszt_pazos_(-),pearson,0.2045103345686656
gutierrez_polini_(-),pearson,0.2924972377310817
crawford,pearson,0.14978121342852588
cpidr_density,pearson,0.019364260366800015
depid_density,pearson,0.18418137887892394
max_embedding_depth,pearson,-0.03074204754070696
avg_embedding_depth,pearson,-0.015536531857445359
mean_entropy,pearson,0.12084099413245855
mean_entropy_sents,pearson,0.10907014560681988
word_length,pearson,0.29169666217629375
wordFreq_frequency_(-),pearson,0.11318184687509997
gpt2_surprisal,pearson,0.42061266010959103
Wordfreq_Frequency,pearson,0.3259821953055677
Length,pearson,0.37609045345531844
