metric,in_OPPOSITE_DIRECTION_METRICS,looks_opposite_direction,status,n_adv,n_ele,mean_adv,mean_ele,median_adv,median_ele,std_adv,std_ele,ttest_stat,ttest_pval
flesch_reading_ease,True,True,OK,162,162,61.1005,71.3843,62.19,71.8,11.6331,10.0288,-8.522,6.145688447419134e-16
dale_chall_score,False,False,OK,162,162,9.7102,8.7387,9.755,8.74,1.1662,1.068,7.82,7.62186041486707e-14
gunning_fog_index,False,False,OK,162,162,12.4498,9.6571,12.105,9.575,2.8567,2.1771,9.897,2.4602732882949183e-20
ARI,False,False,OK,162,162,12.7012,9.5821,12.75,9.35,3.3726,2.4585,9.512,4.534672332025978e-19
coleman_liau_index,False,False,OK,162,162,10.3597,8.9036,10.25,8.84,1.8945,1.8513,6.997,1.5255952630502644e-11
flesch_kincaid_grade_score,False,False,OK,162,162,10.1272,7.5957,10.0,7.6,2.8075,2.0697,9.238,3.504691315786338e-18
CML2RI,True,True,OK,162,162,9.408,13.7803,9.243,13.7911,5.2286,5.2995,-7.475,7.352621425824844e-13
CAREC,False,False,OK,162,162,0.1731,0.1174,0.1751,0.1166,0.0738,0.077,6.648,1.275680036699491e-10
CARES,False,False,OK,162,162,0.3523,0.2315,0.3588,0.2317,0.1089,0.0973,10.525,1.8419946304644003e-22
SBERT,True,True,OK,162,162,-0.7622,-0.4833,-0.7145,-0.4298,0.4819,0.4309,-5.49,8.150985016124785e-08
llama-3.3-70b-versatile_simple_specific_prompt,False,False,OK,162,162,8.6852,7.5,9.0,7.0,0.6351,0.8579,14.132,1.294794821038601e-35
gpt-4o_simple_specific_prompt,False,False,OK,162,162,9.5556,7.8457,10.0,8.0,1.401,1.5224,10.519,1.933341814955217e-22
gpt-5_simple_specific_prompt,False,False,OK,162,162,10.0185,7.4506,10.0,7.0,1.1446,1.1259,20.356,8.569607903281603e-60
gemini-2.0-flash_simple_specific_prompt,False,False,OK,162,162,7.6296,5.8951,8.0,6.0,1.0914,1.0191,14.785,4.1207829665321523e-38
gemini-2.5-pro_simple_specific_prompt,False,False,OK,162,162,9.5247,7.0988,10.0,7.0,1.262,1.3569,16.663,2.1654488946319033e-45
claude-sonnet-4-0_simple_specific_prompt,False,False,OK,162,162,9.0802,7.6358,9.0,8.0,0.9521,0.9441,13.711,5.118679239416964e-34
text_evaluator,False,False,OK,162,162,985.8457,750.9815,990.0,750.0,193.1439,191.267,10.997,4.2562559664400665e-24
lexile,False,False,OK,162,162,1186.7284,1017.0988,1180.0,1025.0,191.9298,163.6489,8.56,4.704081957906065e-16
cpidr_density,False,False,OK,162,162,0.4975,0.4875,0.5,0.4888,0.0424,0.0509,1.931,0.054332138231855454
avg_integration_cost,False,False,OK,162,162,0.4489,0.4578,0.4422,0.4365,0.0755,0.0873,-0.982,0.3270701513669533
avg_embedding_depth,False,False,OK,162,162,3.1974,2.737,3.0,2.6,0.8086,0.716,5.425,1.1384784505243753e-07
