metric,in_OPPOSITE_DIRECTION_METRICS,looks_opposite_direction,status,n_adv,n_ele,mean_adv,mean_ele,median_adv,median_ele,std_adv,std_ele,ttest_stat,ttest_pval
mean_entropy_pythia,False,False,OK,884,790,8.3721,8.3131,8.0827,8.0061,1.53,1.5187,0.791,0.4293438474101059
word_length,False,False,OK,884,790,4.7671,4.5849,4.7273,4.5605,0.6615,0.6437,5.696,1.4482573213431108e-08
wordFreq_frequency,False,False,OK,884,790,11.2653,11.0346,11.0901,10.828,1.4377,1.4737,3.238,0.0012266112042820419
UID_superlin_1.25_gpt2,False,False,OK,884,790,13.1244,13.2413,12.5011,12.6005,3.3089,3.3865,-0.714,0.47544087445728633
UID_superlin_1.5_gpt2,False,False,OK,884,790,23.2276,23.4134,21.5463,21.7426,7.3745,7.6259,-0.506,0.6125823270034051
UID_superlin_2_gpt2,False,False,OK,884,790,76.7337,77.1535,67.0866,66.6824,37.1281,39.1116,-0.225,0.8218899605338805
UID_var_sent_gpt2,False,False,OK,884,790,17.6276,16.9155,13.1517,12.5892,15.1247,15.2552,0.958,0.33838488888269336
UID_var_lang_gpt2,False,False,OK,884,790,31.0325,30.8543,23.4239,23.0485,26.0237,27.8667,0.135,0.8924252247695527
UID_local-var_gpt2,False,False,OK,884,790,30.1684,28.6181,22.505,20.8614,27.3934,29.2715,1.119,0.26326531804124115
UID_max_gpt2,False,False,OK,884,790,18.1579,17.6805,17.6808,17.0583,6.5142,6.3555,1.514,0.13019343389879362
UID_superlin_1.25_pythia,False,False,OK,884,790,14.7731,14.6181,14.0296,13.7866,3.6037,3.5752,0.881,0.37831744717140847
UID_superlin_1.5_pythia,False,False,OK,884,790,26.6894,26.3091,24.6932,24.1797,8.4789,8.3571,0.922,0.35656675645870906
UID_superlin_2_pythia,False,False,OK,884,790,92.151,90.1007,80.0197,76.8819,47.1959,45.9507,0.898,0.3690772257179915
UID_var_sent_pythia,False,False,OK,884,790,20.5788,19.5102,13.996,13.3212,20.4329,20.5177,1.066,0.28652369111605813
