pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
RegRateFirstPass,ARI,Adv,0.2066740973057244,0.2156688395286354,0.2731733051130835,0.2523723668189474,0.2145769652476611,0.212691534898275,0.34252347925207743,0.32488283631950216,0.17057860717819784,0.17834700755198363,0.3384649639277208,0.353879155635493,ns,ns,ns,ns
RegRateFirstPass,CAREC,Adv,0.1734698958291188,0.1483870967741935,0.3592799109944871,0.4338845839552422,0.18114109246605,0.1674609875413754,0.3799669984069971,0.395251472818407,0.16707142968348798,0.16807835586325176,0.3315059628907678,0.33350392288557296,ns,ns,ns,ns
RegRateFirstPass,CAREC_M,Adv,0.140899106870943,0.1203559510567297,0.4576870165031197,0.5263973902969714,0.1300934044509702,0.10287205610648888,0.49744035005260323,0.480898538227301,0.11810932169989115,0.16024553106771158,0.23435451824811632,0.3179618991480646,ns,ns,ns,ns
RegRateFirstPass,CARES,Adv,0.1193278915987261,0.071412680756396,0.5299617899028822,0.7076586430647218,0.12794885792437813,0.08961193608075915,0.4121330515953053,0.49758527475534564,0.18183443941439667,0.17035824502577598,0.36079897705412445,0.3380277176094144,ns,ns,ns,ns
RegRateFirstPass,CML2RI,Adv,0.1440013342138499,0.1390433815350389,0.4477428199797035,0.4636910679305082,0.16161400176087015,0.14749117012473342,0.40418269531341894,0.40726376983818374,0.1879279680388224,0.20326360680218855,0.37288985984521333,0.4033190942416981,ns,ns,ns,ns
RegRateFirstPass,GPT-2 117M Mean,Adv,0.4085664897674391,0.3708565072302557,0.0249891374899966,0.0436386549382092,0.39985463433541873,0.35147936697715,0.08068830307126076,0.13326109569724504,0.12848138403309914,0.14543137338488288,0.2549349401517723,0.28856739635147327,*,*,ns,ns
RegRateFirstPass,GPT-2 1558M Mean,Adv,0.3996329073630905,0.3948832035595105,0.0286726603810902,0.0308040230352074,0.39381331599491654,0.3767157023132141,0.08476138445835427,0.11034731800850997,0.12864147459443473,0.14330332804692258,0.25525259455735094,0.2843448927183134,*,*,ns,ns
RegRateFirstPass,GPT-2 345M Mean,Adv,0.4042331528985923,0.3784204671857619,0.0267243038386233,0.03920626156373,0.3990383335077023,0.36565388344572597,0.08391367647985948,0.12426265104769342,0.1312391186616642,0.1448764708319702,0.26040688394953365,0.2874663492995485,*,*,ns,ns
RegRateFirstPass,GPT-2 774M Mean,Adv,0.3999342907625778,0.3615127919911012,0.0285415745816152,0.0496563296513844,0.3935436679346978,0.3496319696265695,0.08508624149960241,0.13913008735928045,0.1282192871368982,0.14199339985012763,0.2544148830473926,0.2817457109849737,*,*,ns,ns
RegRateFirstPass,GPT-J 6B Mean,Adv,0.4255992888233121,0.4349276974416017,0.0190376660042589,0.01630966329698,0.4202015916740137,0.41197991502774806,0.07205367698629708,0.08740837018456425,0.1306207565941072,0.14705863637535738,0.2591799194529171,0.29179623916173547,*,*,ns,ns
