text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,Adv,87.5927988121752,0.0,309.27260812581915,60,2694
1_10_1,Ele,87.47262396694215,0.0,287.02881355932203,60,1936
1_10_2,Adv,101.78776529338327,0.0,294.3393501805054,60,2403
1_10_2,Ele,95.15421166306696,0.0,282.05121638924453,60,2315
1_10_3,Adv,121.02255639097744,0.0,326.27027027027026,60,2793
1_10_3,Ele,76.9938097917839,0.0,268.7976424361493,60,1777
1_10_4,Adv,77.47415167387838,0.0,279.07219031993435,60,4391
1_10_4,Ele,74.47922353654837,0.0,280.3173515981735,60,3297
1_10_5,Adv,120.1009782265699,0.0,307.4313408723748,60,3169
1_10_5,Ele,106.22921063739975,0.0,305.4089805825243,60,2369
1_10_6,Adv,99.22855392156863,0.0,301.5661080074488,60,3264
1_10_6,Ele,85.60314091680814,0.0,306.040971168437,60,2356
1_10_7,Adv,77.67724867724868,0.0,272.7617486338798,60,3213
1_10_7,Ele,67.08681925808997,0.0,266.87284144427,60,2534
1_1_1,Adv,89.40054127198917,0.0,308.004662004662,60,2956
1_1_1,Ele,66.80477223427332,0.0,270.54465592972184,60,2766
1_1_2,Adv,67.44967649173256,0.0,286.9189602446483,60,2782
1_1_2,Ele,69.05164533820842,0.0,294.51267056530213,60,2188
1_1_3,Adv,105.35934016941596,0.0,312.59391534391534,60,2243
1_1_3,Ele,77.59455958549223,0.0,306.4092071611253,60,1544
1_1_4,Adv,105.44728304947283,0.0,319.0588957055215,60,2466
1_1_4,Ele,102.97848837209303,0.0,296.6884422110553,60,1720
1_1_5,Adv,75.50441988950276,0.0,293.26824034334766,60,1810
1_1_5,Ele,76.7977369165488,0.0,267.4679802955665,60,1414
1_1_6,Adv,107.82242693773824,0.0,329.85908649173956,60,3148
1_1_6,Ele,72.26857142857143,0.0,270.0427046263345,60,2100
1_1_7,Adv,102.03736874613959,0.0,315.86711281070745,60,3238
1_1_7,Ele,70.06349206349206,0.0,264.99142367066895,60,2205
1_2_1,Adv,82.09887459807074,0.0,304.2631578947368,60,3732
1_2_1,Ele,66.28314295604015,0.0,281.6058823529412,60,2889
1_2_2,Adv,87.03840682788051,0.0,305.02492522432703,60,3515
1_2_2,Ele,85.81885927199771,0.0,313.530890052356,60,3489
1_2_3,Adv,96.79983108108108,0.0,308.92452830188677,60,3552
1_2_3,Ele,106.80063723258989,0.0,305.92046936114735,60,2197
1_2_4,Adv,83.40445062586926,0.0,300.13913913913916,60,3595
1_2_4,Ele,91.97607859888936,0.0,315.2503660322108,60,2341
