text_id,align_idx,level,mean_FirstPassFF,median_FirstPassFF,mean_nonzero_FirstPassFF,n_subjects,n_rows
1_10_1,0,Adv,193.4704779756326,183.0,193.4704779756326,60,1067
1_10_1,0,Ele,188.1290322580645,178.0,188.1290322580645,60,899
1_10_1,1,Adv,194.17437722419928,180.0,194.17437722419928,60,562
1_10_1,1,Ele,186.60737527114966,178.0,186.60737527114966,59,461
1_10_1,2,Adv,194.26572769953052,181.0,194.26572769953052,60,1065
1_10_1,2,Ele,196.65104166666666,183.5,196.65104166666666,60,576
1_10_2,3,Adv,195.38640429338105,184.0,195.38640429338105,59,559
1_10_2,3,Ele,199.1779497098646,186.0,199.1779497098646,60,517
1_10_2,4,Adv,207.71197007481297,194.0,207.71197007481297,59,802
1_10_2,4,Ele,199.7496251874063,186.0,199.7496251874063,60,667
1_10_2,5,Adv,187.77676950998185,176.0,187.77676950998185,60,551
1_10_2,5,Ele,191.16932907348243,179.0,191.16932907348243,60,626
1_10_2,6,Adv,192.35030549898167,179.0,192.35030549898167,60,491
1_10_2,6,Ele,185.27128712871288,175.0,185.27128712871288,60,505
1_10_3,7,Adv,196.9117291414752,183.0,196.9117291414752,60,1654
1_10_3,7,Ele,191.4833204034135,183.0,191.4833204034135,60,1289
1_10_3,8,Adv,196.42230026338893,182.0,196.42230026338893,60,1139
1_10_3,8,Ele,184.2889344262295,174.0,184.2889344262295,60,488
1_10_4,9,Adv,199.2089397089397,184.0,199.2089397089397,60,962
1_10_4,9,Ele,195.4429906542056,182.0,195.4429906542056,59,535
1_10_4,10,Adv,205.40025094102887,191.0,205.40025094102887,60,797
1_10_4,10,Ele,199.86129458388376,185.0,199.86129458388376,60,757
1_10_4,11,Adv,186.70320404721753,178.0,186.70320404721753,60,593
1_10_4,11,Ele,196.69346733668343,183.5,196.69346733668343,58,398
1_10_4,12,Adv,199.36690647482015,183.0,199.36690647482015,60,1112
1_10_4,12,Ele,196.3456090651558,182.5,196.3456090651558,60,706
1_10_4,13,Adv,192.54368932038835,179.0,192.54368932038835,60,927
1_10_4,13,Ele,198.5382907880133,186.0,198.5382907880133,60,901
1_10_5,14,Adv,199.52277227722772,185.0,199.52277227722772,60,505
1_10_5,14,Ele,192.13535353535354,186.0,192.13535353535354,60,495
1_10_5,15,Adv,210.3585657370518,195.0,210.3585657370518,60,502
1_10_5,15,Ele,196.88581314878894,184.5,196.88581314878894,59,578
1_10_5,16,Adv,201.34891676168758,188.0,201.34891676168758,59,877
1_10_5,16,Ele,197.53092006033182,181.0,197.53092006033182,60,663
1_10_5,17,Adv,193.1533073929961,180.0,193.1533073929961,59,1285
1_10_5,17,Ele,192.7124802527646,177.0,192.7124802527646,60,633
1_10_6,18,Adv,194.59699624530663,184.0,194.59699624530663,59,799
1_10_6,18,Ele,201.7531847133758,188.0,201.7531847133758,60,628
1_10_6,19,Adv,196.40252454417953,189.0,196.40252454417953,59,713
1_10_6,19,Ele,201.03365384615384,181.0,201.03365384615384,60,832
1_10_6,20,Adv,202.6242171189979,186.0,202.6242171189979,60,479
1_10_6,20,Ele,213.09411764705882,188.0,213.09411764705882,57,425
1_10_6,21,Adv,200.11749347258487,183.0,200.11749347258487,56,383
1_10_6,22,Adv,194.7019867549669,188.0,194.7019867549669,59,453
1_10_6,22,Ele,191.82377919320595,178.0,191.82377919320595,58,471
1_10_6,23,Adv,193.837528604119,182.0,193.837528604119,58,437
1_10_7,24,Adv,195.5458663646659,186.0,195.5458663646659,60,883
1_10_7,24,Ele,197.62032085561498,182.5,197.62032085561498,60,374
1_10_7,25,Adv,201.28792912513842,180.0,201.28792912513842,60,903
1_10_7,25,Ele,188.98708010335918,179.0,188.98708010335918,60,774
1_10_7,26,Adv,192.62139917695472,182.0,192.62139917695472,59,486
1_10_7,26,Ele,196.88865979381444,186.0,196.88865979381444,59,485
1_10_7,27,Adv,189.07545164718385,176.0,189.07545164718385,60,941
1_10_7,27,Ele,189.54716981132074,178.0,189.54716981132074,59,901
1_1_1,28,Adv,203.68583450210377,190.0,203.68583450210377,60,713
1_1_1,28,Ele,192.07669616519175,181.0,192.07669616519175,60,678
1_1_1,29,Adv,198.7196581196581,181.0,198.7196581196581,59,585
1_1_1,29,Ele,187.15637065637065,178.0,187.15637065637065,60,518
1_1_1,30,Adv,192.76495132127957,183.0,192.76495132127957,59,719
1_1_1,30,Ele,184.5,176.0,184.5,59,712
1_1_1,31,Adv,201.87752928647498,190.0,201.87752928647498,60,939
1_1_1,31,Ele,194.020979020979,177.5,194.020979020979,59,858
1_1_2,32,Adv,201.50204918032787,185.0,201.50204918032787,60,488
1_1_2,33,Adv,208.0801526717557,194.0,208.0801526717557,59,262
1_1_2,33,Ele,196.78285714285715,185.0,196.78285714285715,60,350
1_1_2,34,Adv,191.22093023255815,178.0,191.22093023255815,60,860
1_1_2,34,Ele,198.6904761904762,185.0,198.6904761904762,60,840
1_1_2,35,Adv,192.36309523809524,180.0,192.36309523809524,58,336
1_1_2,35,Ele,189.39901477832512,174.5,189.39901477832512,60,406
1_1_2,36,Adv,193.87710843373495,183.0,193.87710843373495,60,415
1_1_2,36,Ele,193.2012987012987,180.0,193.2012987012987,58,462
1_1_2,37,Adv,197.82422802850357,183.0,197.82422802850357,60,421
1_1_2,37,Ele,189.9923076923077,173.0,189.9923076923077,59,130
1_1_3,38,Adv,200.19963536918868,184.0,200.19963536918868,60,1097
1_1_3,38,Ele,193.06497461928933,181.0,193.06497461928933,60,985
1_1_3,39,Adv,199.24291497975707,181.0,199.24291497975707,60,741
1_1_3,39,Ele,207.88,197.0,207.88,56,275
1_1_3,40,Adv,193.97283950617285,179.0,193.97283950617285,60,405
1_1_3,40,Ele,192.85915492957747,185.0,192.85915492957747,60,284
1_1_4,41,Adv,202.6284454244763,189.0,202.6284454244763,60,907
1_1_4,41,Ele,189.77097203728363,182.0,189.77097203728363,60,751
1_1_4,42,Adv,192.51186440677967,179.0,192.51186440677967,59,590
1_1_4,42,Ele,187.5216572504708,180.0,187.5216572504708,60,531
1_1_4,43,Adv,211.87332053742801,196.0,211.87332053742801,59,521
