text_id,align_idx,level,mean_FirstPassGD,median_FirstPassGD,mean_nonzero_FirstPassGD,n_subjects,n_rows
1_10_1,0,Adv,210.71508903467665,190.0,210.71508903467665,60,1067
1_10_1,0,Ele,212.95105672969967,187.0,212.95105672969967,60,899
1_10_1,1,Adv,219.72419928825622,193.0,219.72419928825622,60,562
1_10_1,1,Ele,199.9175704989154,182.0,199.9175704989154,59,461
1_10_1,2,Adv,211.83286384976526,187.0,211.83286384976526,60,1065
1_10_1,2,Ele,210.33333333333334,190.0,210.33333333333334,60,576
1_10_2,3,Adv,223.53846153846155,195.0,223.53846153846155,59,559
1_10_2,3,Ele,215.28820116054158,191.0,215.28820116054158,60,517
1_10_2,4,Adv,225.68079800498754,200.0,225.68079800498754,59,802
1_10_2,4,Ele,220.58770614692654,195.0,220.58770614692654,60,667
1_10_2,5,Adv,203.78765880217784,184.0,203.78765880217784,60,551
1_10_2,5,Ele,208.55591054313098,184.5,208.55591054313098,60,626
1_10_2,6,Adv,211.96334012219958,186.0,211.96334012219958,60,491
1_10_2,6,Ele,196.6,180.0,196.6,60,505
1_10_3,7,Adv,219.99093107617895,192.0,219.99093107617895,60,1654
1_10_3,7,Ele,212.79751745539178,189.0,212.79751745539178,60,1289
1_10_3,8,Adv,217.2774363476734,191.0,217.2774363476734,60,1139
1_10_3,8,Ele,195.1844262295082,178.0,195.1844262295082,60,488
1_10_4,9,Adv,229.1070686070686,193.0,229.1070686070686,60,962
1_10_4,9,Ele,223.65607476635515,192.0,223.65607476635515,59,535
1_10_4,10,Adv,234.1417816813049,202.0,234.1417816813049,60,797
1_10_4,10,Ele,227.20739762219287,195.0,227.20739762219287,60,757
1_10_4,11,Adv,203.7504215851602,187.0,203.7504215851602,60,593
1_10_4,11,Ele,207.48492462311557,187.0,207.48492462311557,58,398
1_10_4,12,Adv,220.5998201438849,192.5,220.5998201438849,60,1112
1_10_4,12,Ele,214.24929178470256,190.0,214.24929178470256,60,706
1_10_4,13,Adv,216.2437971952535,186.0,216.2437971952535,60,927
1_10_4,13,Ele,217.23418423973362,194.0,217.23418423973362,60,901
1_10_5,14,Adv,236.55247524752474,200.0,236.55247524752474,60,505
1_10_5,14,Ele,225.2141414141414,198.0,225.2141414141414,60,495
1_10_5,15,Adv,236.0816733067729,209.0,236.0816733067729,60,502
1_10_5,15,Ele,215.00865051903114,190.0,215.00865051903114,59,578
1_10_5,16,Adv,226.93728620296466,198.0,226.93728620296466,59,877
1_10_5,16,Ele,212.3996983408748,186.0,212.3996983408748,60,663
1_10_5,17,Adv,210.72062256809338,187.0,210.72062256809338,59,1285
1_10_5,17,Ele,208.173775671406,186.0,208.173775671406,60,633
1_10_6,18,Adv,217.4668335419274,193.0,217.4668335419274,59,799
1_10_6,18,Ele,226.27547770700636,198.0,226.27547770700636,60,628
1_10_6,19,Adv,212.13183730715286,197.0,212.13183730715286,59,713
1_10_6,19,Ele,220.93269230769232,191.0,220.93269230769232,60,832
1_10_6,20,Adv,221.35490605427975,190.0,221.35490605427975,60,479
1_10_6,20,Ele,235.13647058823528,199.0,235.13647058823528,57,425
1_10_6,21,Adv,228.59268929503915,200.0,228.59268929503915,56,383
1_10_6,22,Adv,215.98896247240617,196.0,215.98896247240617,59,453
1_10_6,22,Ele,215.44373673036094,186.0,215.44373673036094,58,471
1_10_6,23,Adv,211.32723112128147,187.0,211.32723112128147,58,437
1_10_7,24,Adv,212.57870894677237,193.0,212.57870894677237,60,883
1_10_7,24,Ele,215.87700534759358,191.0,215.87700534759358,60,374
1_10_7,25,Adv,220.51052048726467,184.0,220.51052048726467,60,903
1_10_7,25,Ele,208.22222222222223,187.0,208.22222222222223,60,774
1_10_7,26,Adv,201.1604938271605,184.0,201.1604938271605,59,486
1_10_7,26,Ele,215.10515463917525,194.0,215.10515463917525,59,485
1_10_7,27,Adv,198.63974495217855,180.0,198.63974495217855,60,941
1_10_7,27,Ele,203.65371809100998,185.0,203.65371809100998,59,901
1_1_1,28,Adv,234.66900420757364,200.0,234.66900420757364,60,713
1_1_1,28,Ele,211.11061946902655,187.5,211.11061946902655,60,678
1_1_1,29,Adv,210.6017094017094,189.0,210.6017094017094,59,585
1_1_1,29,Ele,206.70849420849422,190.0,206.70849420849422,60,518
1_1_1,30,Adv,211.55076495132127,193.0,211.55076495132127,59,719
1_1_1,30,Ele,208.32584269662922,186.0,208.32584269662922,59,712
1_1_1,31,Adv,225.22151224707136,202.0,225.22151224707136,60,939
1_1_1,31,Ele,208.94289044289044,186.0,208.94289044289044,59,858
1_1_2,32,Adv,222.78483606557376,192.0,222.78483606557376,60,488
1_1_2,33,Adv,232.83969465648855,206.5,232.83969465648855,59,262
1_1_2,33,Ele,222.38285714285715,195.0,222.38285714285715,60,350
