text_id,align_idx,diff_CAREC,diff_CAREC_M,diff_CARES,diff_CML2RI,diff_flesch_reading_ease,diff_flesch_kincaid_grade_score,diff_gunning_fog_index,diff_coleman_liau_index,diff_smog_index,diff_dale_chall_score,diff_ARI,diff_linsear_formula,diff_difficult_words_count,diff_syllable_count,diff_lexicon_count,diff_sentence_count,diff_char_count,diff_letter_count,diff_polysyllabcount,diff_monosyllabcount,diff_fernansex_huerta,diff_szigriszt_pazos,diff_gutierrez_polini,diff_crawford,diff_cpidr_density,diff_depid_density,diff_max_embedding_depth,diff_avg_embedding_depth,diff_mean_entropy,diff_mean_entropy_sents,diff_word_length,diff_wordFreq_frequency,diff_gpt2_surprisal,diff_Wordfreq_Frequency,diff_Length,diff_TF,diff_CML2RI_(-),diff_flesch_reading_ease_(-),diff_lexicon_count_(-),diff_monosyllabcount_(-),diff_fernansex_huerta_(-),diff_szigriszt_pazos_(-),diff_gutierrez_polini_(-),diff_wordFreq_frequency_(-)
1_10_1,0,-0.024239999999999984,-0.035140000000000005,0.025544022333948,-6.562348466578946,-27.4,10.499999999999998,10.64,2.360000000000001,-9.7,2.08,13.799999999999999,17.166666666666668,3.0,8.0,5.0,-2.0,26.0,26.0,0.0,2.0,-27.540000000000006,-28.200000000000003,-10.370000000000005,1.4,0.06341463414634146,0.05156794425087102,0.0,0.666666666666667,0.46133679488893176,0.0289887443458392,0.13341493268053917,0.06508580000000003,0.5182436147400571,-0.12494310612107107,0.1519130031165048,119.037945096479,6.562348466578946,27.4,-5.0,-2.0,27.540000000000006,28.200000000000003,10.370000000000005,-0.06508580000000003
1_10_1,1,0.15737,0.15336999999999998,0.0697879643652245,-4.383084977622374,-8.46,1.1999999999999993,2.0999999999999996,3.709999999999999,0.0,3.33,3.0,1.0,3.0,2.0,0.0,0.0,12.0,12.0,1.0,-1.0,-6.0,-6.549999999999997,-6.130000000000003,0.5,0.0,0.0,0.0,0.0,0.14296448328708777,0.14296448328708777,0.5714285714285712,-0.11999856,0.9232415304698978,2.037552359011917,0.6647345235335038,171.21466110209445,4.383084977622374,8.46,-0.0,1.0,6.0,6.549999999999997,6.130000000000003,0.11999856
1_10_1,2,0.0067899999999999905,-0.009209999999999996,0.0322901872137545,3.8391778426666643,-9.809999999999995,5.9,6.329999999999998,-1.9000000000000004,0.0,-0.7799999999999994,7.0,10.0,1.0,20.0,18.0,0.0,71.0,69.0,0.0,17.0,-12.36,-10.239999999999995,-2.1399999999999935,-0.19999999999999973,-0.05860805860805862,-0.13186813186813195,2.0,2.0,-0.3820843672121095,-0.3820843672121095,-0.4115267947421639,0.15303,-0.8548492445368758,0.031075784185095046,-0.6682184075259432,120.25455015679046,-3.8391778426666643,9.809999999999995,-18.0,-17.0,12.36,10.239999999999995,2.1399999999999935,-0.15303
1_10_2,3,0.05129,0.06995000000000001,-0.0011875571990196954,-3.6407161933333327,-5.409999999999997,0.09999999999999964,1.6899999999999995,5.16,0.0,-0.21000000000000085,3.5999999999999996,-1.5,-1.0,-2.0,-3.0,0.0,5.0,3.0,1.0,-2.0,-2.9399999999999977,-5.189999999999998,-8.04,0.5,0.026315789473684292,0.026315789473684292,0.0,0.0,0.1738564692289737,0.1738564692289737,0.46578947368421053,-0.0725605200000001,0.29477246537020374,0.7440265900618055,0.9375,-23.894188596491233,3.6407161933333327,5.409999999999997,3.0,2.0,2.9399999999999977,5.189999999999998,8.04,0.0725605200000001
1_10_2,4,0.009239999999999998,0.006900000000000017,0.0684320335023631,-1.6331770661654303,-16.239999999999995,6.3,7.619999999999999,2.4699999999999998,0.0,1.0199999999999996,8.5,11.5,0.0,5.0,3.0,-1.0,17.0,18.0,2.0,3.0,-16.319999999999993,-18.560000000000002,-7.260000000000005,1.0999999999999999,-0.041474654377880116,-0.012672811059907918,0.0,0.0,0.10268250217969754,-0.084062179492574,0.28809788654060053,0.0204971000000001,0.1726222256796346,0.17129552770731848,0.17108753315649938,-54.442749778956625,1.6331770661654303,16.239999999999995,-3.0,-3.0,16.319999999999993,18.560000000000002,7.260000000000005,-0.0204971000000001
1_10_2,5,-0.053970000000000004,-0.03444,-0.05555990594418689,1.0307344487179364,-3.719999999999999,3.499999999999999,4.800000000000001,0.08000000000000007,0.0,0.2900000000000009,5.4,7.0,-1.0,-4.0,-2.0,-1.0,-12.0,-12.0,0.0,0.0,-6.240000000000009,-8.409999999999997,-2.9199999999999946,0.30000000000000004,0.032967032967033016,0.15109890109890112,0.0,0.5,-0.13006856515898768,-0.8983802397725897,-0.14025974025974008,-0.03396580000000002,0.19724251670061843,0.08100586913213981,-0.1318681318681314,-46.78250915750914,-1.0307344487179364,3.719999999999999,2.0,-0.0,6.240000000000009,8.409999999999997,2.9199999999999946,0.03396580000000002
1_10_2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14983785333779975,-0.005578151392093389,0.003100775193797922,-70.91823858742464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1_10_3,7,-0.07928,-0.08818000000000001,0.0482838438212444,-10.609795174524407,-51.459999999999994,19.8,20.5,2.6899999999999995,-8.8,3.1900000000000004,26.099999999999998,29.333333333333336,5.0,25.0,16.0,-2.0,80.0,81.0,1.0,8.0,-51.71,-54.970000000000006,-19.72,1.1999999999999997,-0.00724637681159418,-0.026755852842809402,1.0,2.0,0.046985255125847836,-0.6699083074108447,0.30666666666666664,-0.04963797699999989,0.2979194446981239,0.30373608566067745,0.18377122261215995,169.53879153624837,10.609795174524407,51.459999999999994,-16.0,-8.0,51.71,54.970000000000006,19.72,0.04963797699999989
1_10_3,8,-0.0537,-0.08539000000000002,0.11586445017210259,-6.4889995985754965,-29.78,9.299999999999999,9.379999999999999,3.5599999999999996,0.0,3.3099999999999996,12.4,11.0,6.0,33.0,21.0,0.0,104.0,104.0,1.0,10.0,-27.42,-31.25999999999999,-11.840000000000003,1.3,0.05238095238095236,0.057142857142857106,2.0,2.0,0.004735140043195862,0.004735140043195862,0.6796536796536796,0.189361901,1.2046488864182616,-0.38895404561203506,0.6326530612244894,144.31303854875284,6.4889995985754965,29.78,-21.0,-10.0,27.42,31.25999999999999,11.840000000000003,-0.189361901
1_10_4,9,0.25128,0.24971,0.24281480660998728,-4.469325679166666,-24.700000000000003,7.500000000000002,9.02,4.02,0.0,2.030000000000001,10.5,13.0,5.0,28.0,16.0,0.0,94.0,93.0,5.0,10.0,-22.320000000000007,-23.33,-10.830000000000005,1.1,0.1111111111111111,0.08169934640522869,1.0,1.0,0.4228341325932421,0.4228341325932421,0.4985380116959064,0.0923432009999999,-0.03518383847275608,0.32807733559302577,0.5392156862745097,106.53213507625276,4.469325679166666,24.700000000000003,-16.0,-10.0,22.320000000000007,23.33,10.830000000000005,-0.0923432009999999
1_10_4,10,-0.1035,-0.09198,0.0376008679201547,-10.217887128627446,-15.230000000000004,5.800000000000001,4.789999999999999,1.1799999999999997,0.0,1.9100000000000001,7.300000000000001,8.5,0.0,-2.0,-1.0,-1.0,-6.0,-3.0,-1.0,-1.0,-15.299999999999997,-13.550000000000011,-5.710000000000001,0.5,-0.050403225806451624,-0.020161290322580627,-2.0,-1.0,-0.329791891092464,-0.5027700389200973,0.2848297213622293,0.005800169999999993,0.9214659066739763,0.6986855312764675,0.032597708894878785,112.50498371518421,10.217887128627446,15.230000000000004,1.0,1.0,15.299999999999997,13.550000000000011,5.710000000000001,-0.005800169999999993
1_10_4,11,-0.07848,-0.09915,0.004153637263380999,-0.47903620571426586,-6.090000000000003,2.3999999999999995,2.3999999999999995,0.37,0.0,-0.3600000000000003,2.6000000000000005,4.0,0.0,7.0,6.0,0.0,18.0,17.0,0.0,5.0,-6.1200000000000045,-7.72999999999999,-1.6999999999999957,0.4,0.04166666666666663,-0.0444444444444444,0.0,0.0,-0.39889358602786107,-0.39889358602786107,-0.0026881720430105283,0.05355199999999999,0.1408000422848592,-0.4353231044572272,-0.04166666666666652,35.456018518518505,0.47903620571426586,6.090000000000003,-6.0,-5.0,6.1200000000000045,7.72999999999999,1.6999999999999957,-0.05355199999999999
1_10_4,12,-0.028930000000000004,-0.04893,0.1488452301723557,-2.773762000555557,-35.349999999999994,11.5,11.64,1.5300000000000011,0.0,1.7600000000000007,13.4,17.25,2.0,21.0,13.0,-1.0,65.0,64.0,2.0,9.0,-33.02999999999999,-29.959999999999994,-9.850000000000001,1.1999999999999997,0.007407407407407418,-0.042592592592592515,1.0,1.0,-0.42904757858964615,-0.768201514043378,0.11971326164874618,0.04138086000000002,-0.03682499734007516,-0.05336213490611463,0.05049099203587737,43.15000386607903,2.773762000555557,35.349999999999994,-13.0,-9.0,33.02999999999999,29.959999999999994,9.850000000000001,-0.04138086000000002
1_10_4,13,-0.02771,-0.011139999999999997,-0.047701211912371,-0.5209058116600858,0.5100000000000051,-0.20000000000000018,-0.14000000000000057,-0.1800000000000015,0.0,1.38,-0.1999999999999993,-0.75,1.0,-2.0,-1.0,0.0,-4.0,-4.0,-1.0,-1.0,0.5100000000000051,1.6700000000000017,0.030000000000001137,-0.10000000000000009,-0.06477732793522273,0.012145748987854199,0.0,0.0,0.010831507762784298,0.0036923576426506344,0.0,0.0054106620000000105,0.3203911733801039,-0.007017322280089999,-0.0581875993640697,75.06667196608373,0.5209058116600858,-0.5100000000000051,1.0,1.0,-0.5100000000000051,-1.6700000000000017,-0.030000000000001137,-0.0054106620000000105
1_10_5,14,0.038079999999999975,0.03808,0.0482342296361859,-5.327363562500011,-17.940000000000005,2.8000000000000007,0.10999999999999943,0.6400000000000006,0.0,0.6300000000000008,1.299999999999999,1.5,2.0,4.0,1.0,0.0,8.0,7.0,0.0,0.0,-13.019999999999996,-9.709999999999994,-1.4200000000000017,0.7000000000000002,0.033088235294117585,0.02941176470588236,0.0,0.0,0.724089866364162,0.724089866364162,-0.06666666666666732,0.006026599999999993,0.20480825566131955,0.3512405883050853,0.10320875019439146,229.7164740034213,5.327363562500011,17.940000000000005,-1.0,-0.0,13.019999999999996,9.709999999999994,1.4200000000000017,-0.006026599999999993
1_10_5,15,0.20033999999999996,0.18814999999999998,0.0707454898356544,-6.5773123006992975,-5.420000000000002,0.0,3.3000000000000007,3.709999999999999,0.0,2.08,1.5999999999999996,0.5,1.0,-2.0,-3.0,0.0,-1.0,-1.0,2.0,-1.0,-2.940000000000012,-4.75,-5.189999999999998,0.5,0.07894736842105265,0.019138755980861233,0.0,0.0,0.5421180528858445,0.5421180528858445,0.5891304347826081,-0.09494759000000001,0.6983101100063496,0.8109067444774372,0.5864646464646466,283.2377777777778,6.5773123006992975,5.420000000000002,3.0,1.0,2.940000000000012,4.75,5.189999999999998,0.09494759000000001
