metric,correlation_type,correlation
CAREC,pearson,0.006036325974383389
CAREC_M,pearson,0.01597005562923826
CARES,pearson,0.03767212143908443
CML2RI_(-),pearson,0.15882532502782826
length,pearson,0.0059515178351636465
flesch_reading_ease_(-),pearson,0.14919716017766624
flesch_kincaid_grade_score,pearson,0.1402322470954706
gunning_fog_index,pearson,0.15606624742402936
coleman_liau_index,pearson,0.17305856763103947
smog_index,pearson,0.06978647481644067
dale_chall_score,pearson,0.2210657945828114
ARI,pearson,0.15009513964389234
linsear_formula,pearson,0.11014464584067489
difficult_words_count,pearson,0.0770550449539758
syllable_count,pearson,0.01754219882489777
lexicon_count_(-),pearson,0.014725314408920491
sentence_count,pearson,-0.0029582937053805047
char_count,pearson,0.010162593056681223
letter_count,pearson,0.01061118722219839
polysyllabcount,pearson,0.0678733424289065
monosyllabcount_(-),pearson,0.03680799930886535
fernansex_huerta_(-),pearson,0.1491619744978452
szigriszt_pazos_(-),pearson,0.19182595489209348
gutierrez_polini_(-),pearson,0.1930249018370373
crawford,pearson,0.16632918861462181
cpidr_density,pearson,-0.017072288502924964
depid_density,pearson,-0.0056472548841291145
max_embedding_depth,pearson,-0.09113725295097568
avg_embedding_depth,pearson,0.05499530276235918
mean_entropy,pearson,0.04337151845493006
mean_entropy_sents,pearson,0.05705271125856352
word_length,pearson,0.15188714987978258
wordFreq_frequency_(-),pearson,-0.018421017801877354
gpt2_surprisal,pearson,0.1890036548459534
Wordfreq_Frequency,pearson,0.1440968669772132
Length,pearson,0.11215336799583818
