run_name,col_a,col_b,col_a_None,col_b_None,col_a_const,col_b_const,n_vals
CV,Adv_smog_index,Adv_mean_nonzero_TF,False,False,True,False,77
CV,Adv_smog_index,Adv_mean_nonzero_TF,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_nonzero_TF,False,False,True,False,78
CV,Ele_smog_index,Ele_mean_nonzero_TF,False,False,True,False,89
CV,Ele_smog_index,Ele_mean_nonzero_TF,False,False,True,False,96
CV,diff_smog_index,diff_mean_nonzero_TF,False,False,True,False,96
CV,Adv_smog_index,Adv_SkipRateTotal,False,False,True,False,77
CV,Adv_smog_index,Adv_SkipRateTotal,False,False,True,False,96
CV,Adv_smog_index,Adv_SkipRateTotal,False,False,True,False,78
CV,Ele_smog_index,Ele_SkipRateTotal,False,False,True,False,89
CV,Ele_smog_index,Ele_SkipRateTotal,False,False,True,False,96
CV,diff_smog_index,diff_SkipRateTotal,False,False,True,False,96
CV,Adv_smog_index,Adv_RegRateTotal,False,False,True,False,77
CV,Adv_smog_index,Adv_RegRateTotal,False,False,True,False,96
CV,Adv_smog_index,Adv_RegRateTotal,False,False,True,False,78
CV,Ele_smog_index,Ele_RegRateTotal,False,False,True,False,89
CV,Ele_smog_index,Ele_RegRateTotal,False,False,True,False,96
CV,diff_smog_index,diff_RegRateTotal,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_NF,False,False,True,False,77
CV,Adv_smog_index,Adv_mean_NF,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_NF,False,False,True,False,78
CV,Ele_smog_index,Ele_mean_NF,False,False,True,False,89
CV,Ele_smog_index,Ele_mean_NF,False,False,True,False,96
CV,diff_smog_index,diff_mean_NF,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_FirstPassGD,False,False,True,False,77
CV,Adv_smog_index,Adv_mean_FirstPassGD,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_FirstPassGD,False,False,True,False,78
CV,Ele_smog_index,Ele_mean_FirstPassGD,False,False,True,False,89
CV,Ele_smog_index,Ele_mean_FirstPassGD,False,False,True,False,96
CV,diff_smog_index,diff_mean_FirstPassGD,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_GD,False,False,True,False,77
CV,Adv_smog_index,Adv_mean_GD,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_GD,False,False,True,False,78
CV,Ele_smog_index,Ele_mean_GD,False,False,True,False,89
CV,Ele_smog_index,Ele_mean_GD,False,False,True,False,96
CV,diff_smog_index,diff_mean_GD,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_nonzero_FF,False,False,True,False,77
CV,Adv_smog_index,Adv_mean_nonzero_FF,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_nonzero_FF,False,False,True,False,78
CV,Ele_smog_index,Ele_mean_nonzero_FF,False,False,True,False,89
CV,Ele_smog_index,Ele_mean_nonzero_FF,False,False,True,False,96
CV,diff_smog_index,diff_mean_nonzero_FF,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_FD,False,False,True,False,77
CV,Adv_smog_index,Adv_mean_FD,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_FD,False,False,True,False,78
CV,Ele_smog_index,Ele_mean_FD,False,False,True,False,89
CV,Ele_smog_index,Ele_mean_FD,False,False,True,False,96
CV,diff_smog_index,diff_mean_FD,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_HigherPassFixation,False,False,True,False,77
CV,Adv_smog_index,Adv_mean_HigherPassFixation,False,False,True,False,96
CV,Adv_smog_index,Adv_mean_HigherPassFixation,False,False,True,False,78
CV,Ele_smog_index,Ele_mean_HigherPassFixation,False,False,True,False,89
CV,Ele_smog_index,Ele_mean_HigherPassFixation,False,False,True,False,96
CV,diff_smog_index,diff_mean_HigherPassFixation,False,False,True,False,96
CV,Adv_smog_index,Adv_reading_speed,False,False,True,False,77
CV,Adv_smog_index,Adv_reading_speed,False,False,True,False,96
CV,Adv_smog_index,Adv_reading_speed,False,False,True,False,78
CV,Ele_smog_index,Ele_reading_speed,False,False,True,False,89
CV,Ele_smog_index,Ele_reading_speed,False,False,True,False,96
CV,diff_smog_index,diff_reading_speed,False,False,True,False,96
CV,Adv_smog_index,Adv_SkipRateFirstPass,False,False,True,False,77
CV,Adv_smog_index,Adv_SkipRateFirstPass,False,False,True,False,96
CV,Adv_smog_index,Adv_SkipRateFirstPass,False,False,True,False,78
CV,Ele_smog_index,Ele_SkipRateFirstPass,False,False,True,False,89
CV,Ele_smog_index,Ele_SkipRateFirstPass,False,False,True,False,96
CV,diff_smog_index,diff_SkipRateFirstPass,False,False,True,False,96
CV,Adv_smog_index,Adv_RegRateFirstPass,False,False,True,False,77
CV,Adv_smog_index,Adv_RegRateFirstPass,False,False,True,False,96
CV,Adv_smog_index,Adv_RegRateFirstPass,False,False,True,False,78
CV,Ele_smog_index,Ele_RegRateFirstPass,False,False,True,False,89
CV,Ele_smog_index,Ele_RegRateFirstPass,False,False,True,False,96
CV,diff_smog_index,diff_RegRateFirstPass,False,False,True,False,96
