pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,n_bootstraps,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
mean_nonzero_TF,ARI,Adv,0.0408613081711373,0.0326543461553365,0.6056672670154606,0.6799630031341907,200,0.038323304113026,0.028996022834200667,0.49068281610408343,0.482202307719413,0.07000183310799994,0.07692783752860272,0.13804057290677443,0.15169835264948234,ns,ns,ns,ns
mean_nonzero_TF,CAREC,Adv,0.0363051517175804,0.0159675962515683,0.6464767798708828,0.8401720470308363,200,0.04559769486807854,0.02682379532385945,0.44791311037248804,0.4960252832905454,0.08379646509436886,0.0803936488552662,0.16524298772780666,0.15853278197623005,ns,ns,ns,ns
mean_nonzero_TF,CAREC_M,Adv,0.0286346974652925,0.0363172940066605,0.7175671378916667,0.6463665357958005,200,0.020045711142377024,0.02613973433750475,0.499425725968148,0.5233625818076315,0.07509456508936345,0.07132707937831095,0.1480832190655324,0.14065390096225636,ns,ns,ns,ns
mean_nonzero_TF,CARES,Adv,0.0482733969393204,0.0243098335923089,0.5418498737314856,0.7587953547825255,200,0.051678632666555036,0.028034302838989677,0.42296440369165106,0.46123488663991663,0.08498159727363007,0.08787049194827085,0.16758001688450136,0.17327679164380647,ns,ns,ns,ns
mean_nonzero_TF,CML2RI,Adv,0.3235514171068446,0.3194940167466174,2.671753601981028e-05,3.410756396586497e-05,200,0.31787521301531835,0.31394188312950827,0.0024884384648715552,0.002958571384290556,0.06933240321159206,0.06952019943768514,0.13672048624163674,0.13709081223866632,***,***,**,**
mean_nonzero_TF,GPT-2 117M Mean,Adv,0.2851927607134903,0.2169792015084093,0.0002346132344944,0.0055468893150556,200,0.28103696323257216,0.212045203711833,0.005895580790950809,0.05004487821488228,0.06966365643977507,0.07450902754796447,0.13737370321275594,0.14692856447886699,***,**,**,ns
mean_nonzero_TF,GPT-2 1558M Mean,Adv,0.2171325572726407,0.1403704127097031,0.0055127477334182,0.0748111338267629,200,0.21190276988451628,0.13542603266113967,0.04144071576098142,0.20990710545102267,0.07020647836986572,0.07723420909233318,0.1384441244701603,0.15230250405955253,**,ns,*,ns
mean_nonzero_TF,GPT-2 345M Mean,Adv,0.260443565021,0.1949571031993011,0.0008163446227027,0.0129156532911228,200,0.2549606067648061,0.18803646565291263,0.01304090266563537,0.08031479285227722,0.06905559979857943,0.07442288901615823,0.1361746419398759,0.14675870303735963,***,*,*,ns
mean_nonzero_TF,GPT-2 774M Mean,Adv,0.2438848655016124,0.175825370010486,0.0017631549805587,0.0252193041751513,200,0.2383557208630581,0.1707808386379169,0.020018505432759424,0.11939610549361852,0.06884977438628943,0.07623869545752811,0.1357687631711378,0.15033939443250918,**,*,*,ns
mean_nonzero_TF,GPT-J 6B Mean,Adv,0.2076673273318882,0.1256673737335247,0.0080092889157176,0.1110655041874437,200,0.2003687753338631,0.12039469721597625,0.05058996806816758,0.2489639808731127,0.06824328137789526,0.07698360437875505,0.13457278531419342,0.1518083224545924,**,ns,ns,ns
mean_nonzero_TF,GPT-Neo 1.3B Mean,Adv,0.2428363426773783,0.1751564085519807,0.0018481369875109,0.0257888008263512,200,0.23883054964677128,0.1707390264783239,0.019769406160261006,0.12093639699906206,0.06987404342970842,0.07708601512540598,0.13778857721437995,0.15201027199665218,**,*,*,ns
mean_nonzero_TF,GPT-Neo 125M Mean,Adv,0.3277516927601563,0.276189347141601,2.0672869473060635e-05,0.0003743317420418,200,0.3243316437810359,0.2688249276162159,0.0014169771507342444,0.011457950872020738,0.0681314606522776,0.07366139037886844,0.13435227970252897,0.14525706081611905,***,***,**,*
mean_nonzero_TF,GPT-Neo 2.7B Mean,Adv,0.2226106573944063,0.1357808290323627,0.0044099095521567,0.0849223173702342,200,0.2178707978462026,0.13223983528639796,0.03478749983107024,0.20944813324574074,0.07015880137128755,0.07797897464343467,0.1383501075008039,0.15377114936197864,**,ns,*,ns
mean_nonzero_TF,Gemma 7B Mean,Adv,0.1466798118955788,0.079263464966319,0.0625242629087108,0.3160415839949283,200,0.14044330575168656,0.07584799248173832,0.182188904957385,0.3742365369924873,0.07104460246018325,0.0780911978074568,0.14009686875495503,0.15399244856468844,ns,ns,ns,ns
