comp_r,comp_p,log_comp_r,log_comp_p,ppl_coef,ppl_coef_p,mean_result,n_values,models_families,pred_col,level_type,comp_p_symbol,log_comp_p_symbol,ppl_coef_p_symbol
0.8223877350409192,7.764391837806245e-09,0.9058666765074539,1.016983556579555e-12,0.005969860654044977,7.764391837805584e-09,0.2671514469109634,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",reading_speed,Adv,***,***,***
0.8223714274693025,7.774189349232615e-09,0.9111906848151111,4.404082601651361e-13,0.005616743264736391,7.774189349232809e-09,0.26936032185148,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",reading_speed,Ele,***,***,***
0.7752547730927412,1.8878786561724508e-07,0.8101047606232402,1.9392379576733257e-08,0.002186311070384831,1.887878656172234e-07,0.2800056167924837,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",reading_speed,diff,***,***,***
0.8055288980042179,2.6822421953475265e-08,0.9008930775179176,2.1277183579128784e-12,0.006210704007745445,2.6822421953474607e-08,0.2887107827558734,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",mean_nonzero_TF,Adv,***,***,***
0.8107389528151796,1.852724280901516e-08,0.9063530718228121,9.44088047822302e-13,0.00643536058033001,1.8527242809014574e-08,0.2976888471685012,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",mean_nonzero_TF,Ele,***,***,***
0.7636181781165668,3.697618080558987e-07,0.7877234031587856,8.779399279548671e-08,0.0021584655390870576,3.697618080558767e-07,0.2757101083719232,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",mean_nonzero_TF,diff,***,***,***
0.818782351714479,1.0229682153433653e-08,0.9077963878072667,7.552984999369287e-13,0.0050037984930944674,1.0229682153434118e-08,0.36402773398054233,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",SkipRateTotal,Adv,***,***,***
0.8297736922933412,4.327258938296815e-09,0.9170274372913291,1.6530595112103078e-13,0.005644913977422178,4.32725893829667e-09,0.3591485584443792,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",SkipRateTotal,Ele,***,***,***
0.804176139559404,2.9473918783163576e-08,0.8342290498414657,3.000224810394882e-09,0.001698604039015257,2.9473918783159867e-08,0.3602478312783957,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",SkipRateTotal,diff,***,***,***
0.746399766486664,9.353288583661056e-07,0.8623829056794322,2.2418991288828758e-10,0.002860873716554817,9.35328858366036e-07,0.3568171528560829,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",RegRateTotal,Adv,***,***,***
0.7812093180986539,1.3178152157818e-07,0.8841777480267999,1.9643327076286364e-11,0.003275438294751999,1.3178152157816893e-07,0.2828804651898304,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",RegRateTotal,Ele,***,***,***
0.280341733825777,0.12015853191194387,0.23186168808602925,0.20163418448290266,0.00037666336308940344,0.1201585319119317,0.31848901237487565,32,"['GPT-2' 'GPT-J' 'GPT-Neo' 'Gemma' 'Llama-2' 'Mamba' 'Mistral' 'OPT'
 'Pythia' 'RWKV']",RegRateTotal,diff,ns,ns,ns
