pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,pearson_corr_CV,spearman_corr_CV,pearson_p_CV,spearman_p_CV,std_pearson_corr_CV,std_spearman_corr_CV,CI_yerr_pearson_CV,CI_yerr_spearman_CV,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_CV_symbol,spearman_p_CV_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
QA_RT,ARI,Adv,0.1268840902948977,0.1520142594407203,0.504037286418077,0.4226028339346913,,,,,,,,,0.12533891933747454,0.14559301109554543,0.4373755240104116,0.40223052567388307,0.1822780965874384,0.18409646169016278,0.3616792891375323,0.36528731999838976,ns,ns,,,ns,ns
QA_RT,CAREC,Adv,0.6000958783484608,0.6013348164627365,0.0004558440974799,0.0004404461261122,,,,,,,,,0.6066699814050175,0.5869338105462893,0.002330654301097448,0.005818359333638335,0.08637063263790101,0.10925860497940465,0.1713780733926523,0.21679277609832567,***,***,,,**,**
QA_RT,CAREC_M,Adv,0.1860508744084133,0.1119021134593993,0.3249327732355324,0.5560467850001415,,,,,,,,,0.18320964781769628,0.11617149916614179,0.32811043987272315,0.41807718326899995,0.18071730770258623,0.20451700074347692,0.35858234537448225,0.4058060997469208,ns,ns,,,ns,ns
QA_RT,CARES,Adv,0.701812379480715,0.7312569521690767,1.548833197810363e-05,4.429511461697376e-06,,,,,,,,,0.7048700155373154,0.7062668427393544,0.0003364516727282159,0.001277950363569269,0.07551214746496746,0.10150797597031246,0.14983248304481184,0.20141384663363,***,***,,,***,**
QA_RT,CML2RI,Adv,0.3375223345301613,0.3312569521690767,0.0681398666563357,0.0737525096049325,,,,,,,,,0.3405245313120504,0.3216490057945239,0.14891813304613508,0.1739743880199779,0.14504971225168772,0.1594925805443332,0.28781009786125544,0.3164678819559299,ns,ns,,,ns,ns
QA_RT,Pythia 70M Max,Adv,0.0698446994566256,0.0763070077864293,0.7138068422610695,0.6885846533599633,,,,,,,,,0.05367843843057884,0.059472937365550094,0.5442255536501812,0.502217429906223,0.1483283107453705,0.16959917599261687,0.2943155485696117,0.33652155996645483,ns,ns,,,ns,ns
QA_RT,Pythia 70M Mean,Adv,0.0250604241422699,0.003781979977753,0.8954197092207276,0.9841753330448096,,,,,,,,,0.03892709708916279,0.007518116743734967,0.5281860158468863,0.502993796171033,0.16045114150771353,0.18372552904820608,0.3183698748685236,0.3645513091623514,ns,ns,,,ns,ns
QA_RT,avg_embedding_depth,Adv,0.2805032534568353,0.3023359288097886,0.1332454360178322,0.1044061596035447,,,,,,,,,0.2786610799690846,0.2940374203524731,0.2551134101114423,0.2207290659019777,0.18801622034673185,0.1780878616930938,0.37306497157057705,0.35336495402937046,ns,ns,,,ns,ns
QA_RT,avg_integration_cost,Adv,0.2216646427586103,0.1866518353726362,0.239102401176263,0.3233444401582556,,,,,,,,,0.21383789285686336,0.17468128080532797,0.32974158845219975,0.3559860979570832,0.15937467972285832,0.1799268098942444,0.3162339411473626,0.3570138262230399,ns,ns,,,ns,ns
QA_RT,coleman_liau_index,Adv,0.2428853882082978,0.1408701536148843,0.1959148583758582,0.4577803744985795,,,,,,,,,0.23218174650679907,0.13481001137376045,0.30589550383348596,0.39128053558518566,0.17886948684837786,0.20032045069270937,0.35491586791221075,0.3974792339983332,ns,ns,,,ns,ns
QA_RT,cpidr_density,Adv,0.0711411518758935,0.0829810901001112,0.7087220563993522,0.662875401950145,,,,,,,,,0.08705875134461123,0.09629833265699293,0.4558670410485912,0.4115224099327344,0.19055796281975276,0.20726124929224424,0.37810834007191474,0.411251284236538,ns,ns,,,ns,ns
QA_RT,dale_chall_score,Adv,0.0148286524015658,0.0636333300188576,0.9380087679348584,0.7383319048585704,,,,,,,,,0.002325643753058439,0.06505533512479612,0.4980844113809487,0.4556977898609011,0.17993408883782783,0.19209121524883951,0.3570282692262872,0.38115064553265054,ns,ns,,,ns,ns
QA_RT,depid_density,Adv,0.0271723975469805,0.0184649610678531,0.8866602659609644,0.9228476207693762,,,,,,,,,0.053008778719743924,0.020195417827433063,0.42511546946455064,0.43241042736716884,0.23322172866292915,0.22930046588902347,0.46276250747314246,0.45498187140583884,ns,ns,,,ns,ns
