pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,n_bootstraps,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
mean_nonzero_TF,ARI,Adv,0.2520122655215493,0.2838450506253637,2.841484716084381e-14,7.633300305839434e-18,200,0.25171773621073235,0.28378732296971465,9.328624083491413e-10,4.818907752950403e-12,0.030995410218481782,0.03143610014771032,0.061121602022029715,0.061990623411956734,***,***,***,***
mean_nonzero_TF,CAREC,Adv,0.2365914880487867,0.1802688576880884,1.0346015819548025e-12,6.79671148272877e-08,200,0.23595579276199147,0.18108678942841247,1.073720786209037e-06,0.00036718022784040224,0.04094059516722224,0.033439262514475515,0.08073307456546905,0.06594077255029347,***,***,***,***
mean_nonzero_TF,CAREC_M,Adv,0.2291459715559701,0.1685033105710305,5.374773938748279e-12,4.680997463878184e-07,200,0.22859389103437208,0.16957682916189876,2.6996970517434685e-06,0.0007603757742161503,0.04173072477247462,0.03376882363924491,0.08229117581135167,0.06659065276701268,***,***,***,***
mean_nonzero_TF,CARES,Adv,0.3082378537849911,0.356661803074095,6.53765849089906e-21,6.534924126893241e-28,200,0.3074893565691623,0.355091503700263,1.1404548126796333e-12,5.18627734560348e-19,0.03583148041329781,0.0319652593456311,0.07065812229114664,0.06303410235524638,***,***,***,***
mean_nonzero_TF,CML2RI,Adv,0.371947594831944,0.3699366401188454,2.175830076493421e-30,4.6910002775701584e-30,200,0.37256124142259095,0.37185436529156396,1.900292078510976e-15,8.590657524616553e-19,0.035567164914071255,0.030597044584914263,0.07013690361270028,0.060336042303912193,***,***,***,***
mean_nonzero_TF,GPT-2 117M Mean,Adv,0.3910518602951725,0.2884701414529822,1.1181209830439229e-33,2.10712525954146e-18,200,0.3922196344840823,0.2931946726488466,9.299520962944798e-18,3.4316645408655476e-12,0.048444325063270524,0.032366047753342626,0.0955301038402613,0.06382443967869242,***,***,***,***
mean_nonzero_TF,GPT-2 1558M Mean,Adv,0.3326201723151014,0.2093242704155153,2.800991702735287e-24,3.2869460075381915e-10,200,0.3335138307706981,0.21476112768236472,3.7041056495927836e-10,2.07697338962564e-06,0.05405118257209884,0.034922851277350314,0.10658658319746914,0.06886634512021929,***,***,***,***
mean_nonzero_TF,GPT-2 345M Mean,Adv,0.3540588332891885,0.2369085095962222,1.6745348178781743e-27,9.632885462422673e-13,200,0.3546152305080968,0.24175467545752485,1.994000259330153e-12,6.081227817096467e-08,0.0518134042147308,0.03389497909016415,0.10217378152107759,0.0668394258340456,***,***,***,***
mean_nonzero_TF,GPT-2 774M Mean,Adv,0.3434613420101936,0.2271820135030052,7.058320240386999e-26,8.222853868673578e-12,200,0.3443761455978468,0.23222510430618074,1.0623678946708277e-11,1.2098511636076265e-07,0.05245127574210163,0.03433819214736553,0.10343163645386684,0.06771342272269065,***,***,***,***
mean_nonzero_TF,GPT-J 6B Mean,Adv,0.3111605530432776,0.1827793038690357,2.6786313390568104e-21,4.427352127909711e-08,200,0.3117571510102389,0.1877586026253869,8.710676004461186e-09,3.852853738839505e-05,0.05468972263830074,0.034805534780289464,0.10784575645978144,0.06863500208609173,***,***,***,***
mean_nonzero_TF,GPT-Neo 1.3B Mean,Adv,0.3353042301138882,0.2149927254563515,1.1413862002266883e-24,1.0552087225366883e-10,200,0.33562617749521645,0.21968257413855136,4.458997118278547e-11,6.602104736497391e-07,0.052826374697989294,0.03497075271267054,0.10417131529467064,0.06896080466907796,***,***,***,***
mean_nonzero_TF,GPT-Neo 125M Mean,Adv,0.3845513657252236,0.2825084638062465,1.556797555456348e-32,1.102369227445235e-17,200,0.38546000898753546,0.2869431462212651,1.5334667149038028e-17,3.897938264739199e-12,0.04929185095506456,0.032674494738575116,0.09720138806900534,0.06443268372977562,***,***,***,***
mean_nonzero_TF,GPT-Neo 2.7B Mean,Adv,0.326848314469876,0.1998854555768186,1.873744009499663e-23,2.0321617379749755e-09,200,0.32715778218911595,0.2040960170410216,3.291737299660519e-10,2.9251871799861235e-06,0.05386149249071871,0.03414762203445016,0.10621252260011241,0.06733762674138884,***,***,***,***
mean_nonzero_TF,Gemma 7B Mean,Adv,0.2480990693185283,0.1060862190847094,7.24327071280079e-14,0.001585157102752,200,0.24848050260555568,0.1089742897888593,2.1942217885678806e-05,0.029338875155164076,0.057475365832265875,0.03696413148509541,0.11333892378606476,0.07289166098452901,***,**,***,*
mean_nonzero_TF,Gemma-2 9B Mean,Adv,0.2893196654864446,0.1554484555741261,1.6591156197580025e-18,3.4250619097751883e-06,200,0.2904997822026755,0.15952660788915796,2.032747112540691e-08,0.0010279965727060638,0.05350742073115828,0.035123063351959256,0.10551430847671331,0.06926115463098215,***,***,***,**
mean_nonzero_TF,Llama-2 13B Mean,Adv,0.2459383719114278,0.1045537314357129,1.2059644835943913e-13,0.0018535784454031,200,0.24647907387478715,0.10831038254593786,3.460181635243294e-05,0.0283886896494714,0.05601163071876235,0.03646137587375496,0.11045250174994385,0.0719002487665881,***,**,***,*
