pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,n_bootstraps,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
mean_nonzero_TF,ARI,Adv,0.2305743415450901,0.2409420969099136,3.935382328330839e-12,3.847575610908421e-13,200,0.23440229116231065,0.24426800505109433,2.9267054726955787e-08,3.6479227353148703e-09,0.03038010588983158,0.030949204096994126,0.059908248624442974,0.06103048555837775,***,***,***,***
mean_nonzero_TF,CAREC,Adv,0.183494987907431,0.1487769750905307,3.9137987106414267e-08,8.9150764227588e-06,200,0.1848262778937682,0.15166724662437864,9.769971640866339e-05,0.0007291237782617493,0.032202137455518615,0.03136431479945439,0.0635012156942285,0.061849065824682234,***,***,***,***
mean_nonzero_TF,CAREC_M,Adv,0.1748135791305953,0.1349531890855838,1.6900265130358465e-07,5.692775675314738e-05,200,0.17575449661612338,0.13734324312617083,0.00022214332926966465,0.0023152561071839396,0.03287572260324419,0.03183051530426433,0.06482949633439512,0.06276839296107457,***,***,***,**
mean_nonzero_TF,CARES,Adv,0.2688760664931474,0.2814511774372847,4.1815832153858956e-16,1.4722309093893138e-17,200,0.2717545966306969,0.2833669623385764,7.117933714696035e-11,8.869422160627873e-12,0.032367397476193015,0.03068689251297563,0.06382710127350016,0.060513218513640055,***,***,***,***
mean_nonzero_TF,CML2RI,Adv,0.2958150356471696,0.2637346606404326,2.5966141438895416e-19,1.5630630385132868e-15,200,0.29998209949511756,0.2695295202744095,2.2471263186177114e-13,6.955035548190196e-10,0.031927487356959876,0.03194742541020121,0.06295961763499684,0.06299893460956568,***,***,***,***
mean_nonzero_TF,GPT-2 117M Mean,Adv,0.285116554319733,0.2237470531171534,5.371137360107197e-18,1.7136275935158224e-11,200,0.28904424787825633,0.2278014355023361,6.463618624040821e-12,9.57297326939806e-07,0.033632628081261925,0.031851105064201815,0.06632208104515043,0.06280899507292781,***,***,***,***
mean_nonzero_TF,GPT-2 1558M Mean,Adv,0.2342810990174558,0.1680519379226203,1.7356485945478605e-12,5.027673687133964e-07,200,0.2384768584599262,0.17277569503977208,1.3909955427598074e-07,0.0003833040390898336,0.03649489822739332,0.03411108147838538,0.0719663533912239,0.06726557035272637,***,***,***,***
mean_nonzero_TF,GPT-2 345M Mean,Adv,0.2472840955122071,0.1834622797692817,8.7839889447703e-14,3.935956004159685e-08,200,0.25132675281609873,0.18685196073037416,1.006500234654365e-08,6.504046747587729e-05,0.03534593592331197,0.03271472719373431,0.06970064965659482,0.06451202038301802,***,***,***,***
mean_nonzero_TF,GPT-2 774M Mean,Adv,0.2423371263141665,0.1744135135320582,2.79022306262892e-13,1.8047844925020466e-07,200,0.2460761785426602,0.17808915062261768,3.3414559701502165e-08,0.00020062843683087958,0.03642965750210912,0.03354774392296146,0.07183770151604815,0.06615469317368672,***,***,***,***
mean_nonzero_TF,GPT-J 6B Mean,Adv,0.2237811735950052,0.1513499053323521,1.7012739051285698e-11,6.19421819462237e-06,200,0.22679287742639723,0.1537696692438105,1.5658728313130553e-06,0.001583644402544819,0.038493744703760775,0.0342385618699293,0.07590799178124655,0.06751695614509488,***,***,***,**
