text_id,rank_ET,rank_Formula,rank_Psycholinguistic,rank_LLM,rank_Comprehension,rank_std,ET_minus_Formula,Psycholinguistic_minus_Formula,ET_minus_Psycholinguistic,ET_minus_LLM,ET_minus_Comprehension,Formula_minus_Comprehension,diff_mean_nonzero_TF,diff_SkipRateTotal,diff_RegRateTotal,diff_flesch_reading_ease,diff_dale_chall_score,diff_gunning_fog_index,diff_ARI,diff_coleman_liau_index,diff_flesch_kincaid_grade_score,diff_CML2RI,diff_CAREC,diff_CARES,diff_SBERT,diff_text_evaluator,diff_lexile,diff_cpidr_density,diff_avg_integration_cost,diff_avg_embedding_depth,diff_PLL_bert-base-uncased,diff_PPL Pythia 70M,diff_mean_entropy_pythia,diff_word_length,diff_wordFreq_frequency,diff_llama-3.3-70b-versatile_simple_specific_prompt,diff_gpt-4o_simple_specific_prompt,diff_gpt-5_simple_specific_prompt,diff_gemini-2.0-flash_simple_specific_prompt,diff_gemini-2.5-pro_simple_specific_prompt,diff_claude-sonnet-4-0_simple_specific_prompt,diff_comprehension_score,diff_QA_RT,psycholing_uniquely_aligned_with_ET
1_9_4,55.1440329218107,8.950617283950619,23.37962962962963,10.648148148148147,71.60493827160494,28.047992222919703,46.19341563786008,14.429012345679011,31.76440329218107,44.49588477366255,-16.46090534979424,-62.654320987654316,17.004631775741018,-0.0069916436288828265,0.021420282355274434,0.3999999999999915,0.06999999999999851,0.34999999999999964,-0.10000000000000053,-0.0600000000000005,-0.20000000000000018,2.734280336111672,-0.010400000000000006,0.05589296736144611,0.0,40.0,-20.0,-0.008421985815602828,-0.05559523809523814,0.0,7.67465209960946,-1.6854862096504633,0.14003610000000055,0.019632053339918798,-0.019495657052946314,0.0,0.0,1.0,0.0,1.0,0.0,-0.001528314028314104,1012.2253861003846,14.42901234567901
1_9_6,54.52674897119342,10.802469135802468,38.81172839506173,17.48971193415638,78.08641975308642,27.48730008162996,43.72427983539095,28.00925925925926,15.715020576131693,37.03703703703704,-23.559670781892997,-67.28395061728395,3.0945628990265277,0.002375608251439676,0.022557512302523397,0.29999999999999716,0.16000000000000014,-0.08999999999999986,-0.5,-0.39999999999999947,-0.09999999999999964,-0.9411452900862152,-0.031259999999999996,-0.01989086341504448,-0.29113999999999995,50.0,0.0,0.012786885245901658,0.027019024515621326,0.4444444444444444,-5.965988159179602,9.544401375745494,0.10412099999999924,-0.0786131828260439,0.15128987724387954,1.0,0.0,1.0,1.0,0.0,0.0,-0.001045688545688539,1577.72940797941,28.00925925925926
2_1_2,30.45267489711934,66.04938271604938,47.916666666666664,20.216049382716047,85.80246913580247,26.518310449393574,-35.59670781893004,-18.132716049382715,-17.463991769547324,10.236625514403293,-55.34979423868313,-19.75308641975309,11.372782384296954,-0.02055753250943687,-0.012165163284754393,-15.36,1.040000000000001,3.629999999999999,4.199999999999999,1.2300000000000004,3.8000000000000007,-2.8727638802955813,0.07229,0.19096782715994767,-0.46048,270.0,220.0,-0.022606382978723416,0.0369043586882461,0.20000000000000018,129.0785522460938,13.810906059769877,0.09694299999999956,0.17421460628315,0.17480310112220643,1.0,-2.0,1.0,1.0,1.0,1.0,0.03535353535353536,1413.0496137849086,18.13271604938272
1_3_2,36.008230452674894,84.38786008230453,77.08333333333333,79.93827160493828,30.555555555555557,26.04807305744701,-48.37962962962963,-7.304526748971199,-41.075102880658434,-43.930041152263385,5.452674897119337,53.83230452674897,7.107388943927049,-0.017875314585840907,0.0004835373256426023,-23.010000000000005,2.0599999999999987,4.68,5.5,3.7300000000000004,4.699999999999999,-7.7145771824675515,0.08771000000000001,0.10360451237886599,-0.91435,460.0,310.0,0.037480063795853336,0.03173209167991392,0.5499999999999998,92.12944793701172,138.1991922593429,0.6123604999999994,0.4813765182186236,0.5785898713464039,2.0,3.0,4.0,2.0,3.0,5.0,-0.0554214929214929,-155.9461872586853,7.304526748971199
2_10_1,64.19753086419753,60.39094650205761,82.4074074074074,85.18518518518519,21.604938271604937,25.447630167651248,3.8065843621399225,22.016460905349795,-18.209876543209873,-20.98765432098766,42.592592592592595,38.78600823045267,22.220808453316238,0.04990536352765451,-0.0027656783074739844,-5.280000000000001,1.4700000000000006,1.4000000000000004,3.5,1.2799999999999994,2.0,-9.965399850289494,0.10331,0.11903392461820933,-0.9020199999999999,231.0,230.0,0.05154061624649858,0.0212805710230754,1.0,175.9107055664063,176.11555363010584,1.4401077000000013,0.12932330827067684,0.9856598164225954,2.0,4.0,4.0,3.0,4.0,2.0,-0.042483660130718914,-2136.4661319073075,-14.40329218106995
3_5_2,41.358024691358025,77.28909465020575,75.77160493827161,20.78189300411523,35.49382716049383,25.23680061642484,-35.93106995884773,-1.5174897119341466,-34.41358024691358,20.576131687242796,5.864197530864196,41.795267489711925,14.626205400054403,-0.009041000041234593,-0.0023026389261144864,-21.650000000000006,1.4800000000000004,5.370000000000001,7.5,1.87,6.199999999999999,-6.9465459380713614,0.07199,0.07982444801384447,-0.31972,390.0,430.0,0.020065789473684315,0.06759817317806932,1.3250000000000002,128.33898925781244,90.84754711929943,0.29439930000000025,0.21482176360225136,0.39553288875718806,0.0,-1.0,3.0,1.0,1.0,0.0,-0.028502747252747263,-408.88404304029336,1.5174897119341466
2_9_6,35.18518518518518,64.09465020576131,76.50462962962963,60.699588477366255,15.74074074074074,24.534778330571378,-28.90946502057613,12.409979423868322,-41.31944444444445,-25.514403292181072,19.444444444444443,48.35390946502057,-29.637404755842567,0.0643892884217428,-0.04685991763476549,-14.759999999999998,-0.0600000000000005,4.1899999999999995,4.9,2.62,3.6000000000000005,-1.7661839444426768,0.14359999999999998,0.2656480875463404,-0.43179999999999996,180.0,170.0,0.0723025583982202,0.013260644801668608,1.2999999999999998,203.0019989013672,33.09743818059242,0.03357200000000038,0.31668965517241343,0.7620595030223978,2.0,1.0,2.0,2.0,4.0,2.0,-0.13101604278074863,-441.73469994057996,-12.409979423868322
2_6_1,33.95061728395061,78.49794238683127,45.06172839506173,57.150205761316876,13.888888888888888,24.2755737523812,-44.547325102880656,-33.43621399176954,-11.111111111111114,-23.199588477366262,20.061728395061728,64.60905349794238,-30.658510078691222,0.044821750129214855,-0.039360657031837026,-22.769999999999996,2.1400000000000006,7.0699999999999985,8.6,2.74,6.699999999999999,-4.295537012248486,0.06352000000000002,0.08067171765735937,-0.32253,340.0,450.0,0.041411764705882426,-0.15511081210878375,0.9285714285714279,3.6051025390625,-6.016417924293648,-0.2363181000000001,0.3277747402952427,0.4625162612816158,0.0,3.0,4.0,2.0,3.0,1.0,-0.06506238859180036,-2300.158051099226,33.43621399176954
1_1_7,72.22222222222221,24.20267489711934,17.78549382716049,34.61934156378601,62.03703703703704,23.83420084850501,48.01954732510288,-6.4171810699588505,54.43672839506172,37.602880658436206,10.185185185185176,-37.8343621399177,41.09397371155387,-0.0017184214511530849,0.031136728474892295,0.4000000000000057,-0.41999999999999993,0.07000000000000028,-1.0,-1.0500000000000007,-0.09999999999999964,1.3566365526531108,0.07511999999999999,0.163873950087099,-0.55078,150.0,0.0,-0.0407407407407408,-0.11807890697508394,-0.3999999999999999,85.70892333984378,8.565934043967644,-0.15657289999999957,-0.1758070114543564,-0.11844573864640395,1.0,0.0,3.0,0.0,3.0,0.0,0.0461711711711712,-68.81829150579142,-6.417181069958843
3_3_2,37.242798353909464,67.28395061728395,80.51697530864197,49.022633744855966,20.987654320987655,23.613183622740998,-30.041152263374485,13.233024691358025,-43.27417695473251,-11.779835390946502,16.25514403292181,46.29629629629629,1.693363712359428,4.1511410045880215e-05,-0.007343078975622086,-20.069999999999993,0.9700000000000006,2.380000000000001,4.5,3.3099999999999996,3.5999999999999996,-6.425724832140617,0.017780000000000018,0.14910107186229132,-0.60503,300.0,180.0,0.017765783999550255,0.045166506228832115,0.125,168.4918670654297,222.467921964106,0.8405440000000004,0.5502873563218396,0.6853539425817736,1.0,2.0,2.0,2.0,3.0,1.0,-0.061240842490842495,-833.3581730769238,-13.233024691358025
