pred_col,text_col,level_type,pearson_corr_all,spearman_corr_all,pearson_p_all,spearman_p_all,n_bootstraps,pearson_corr_boot,spearman_corr_boot,pearson_p_boot,spearman_p_boot,std_pearson_corr_boot,std_spearman_corr_boot,CI_yerr_pearson_boot,CI_yerr_spearman_boot,pearson_p_all_symbol,spearman_p_all_symbol,pearson_p_boot_symbol,spearman_p_boot_symbol
mean_nonzero_TF,ARI,Adv,0.3045256671321384,0.2751377435080942,8.149551147745645e-05,0.0003949217528514,200,0.3047660369578772,0.2747499811505498,0.0018788934802172286,0.00825949201908399,0.0596066470852655,0.0695590647293837,0.11754171780055343,0.13716745290497545,***,***,**,**
mean_nonzero_TF,CAREC,Adv,0.1434287211261757,0.1432186406233785,0.068631264900785,0.0690420346158152,200,0.13637037128434423,0.13516770809754547,0.2031702350574498,0.20640096526280732,0.0800485623446541,0.08282518248997711,0.15785228637329635,0.16332766063976076,ns,ns,ns,ns
mean_nonzero_TF,CAREC_M,Adv,0.2310800818247362,0.1861323062745282,0.0030909677256188,0.0177162939178385,200,0.2207822038006312,0.17633265861204794,0.04570634342077219,0.12376609746786438,0.07601767133053373,0.08242003382083721,0.1499035444588456,0.1625287250702564,**,*,*,ns
mean_nonzero_TF,CARES,Adv,0.0080032769651463,0.0144024297131792,0.9194886205089616,0.8556588998939803,200,0.0021571369557282717,0.01900407159836426,0.4799712948083915,0.4958032315742555,0.08623495991526563,0.07745848130904566,0.1700515935479923,0.15274475912499202,ns,ns,ns,ns
mean_nonzero_TF,CML2RI,Adv,0.3998598874019164,0.3548388917820766,1.3525908194365088e-07,3.60308519307932e-06,200,0.40273534224523205,0.3592976849671385,3.4490657817516675e-05,0.000523565988235713,0.06343716922872508,0.06947230633619536,0.12509534100924077,0.13699636912375915,***,***,***,***
mean_nonzero_TF,GPT-2 117M Mean,Adv,0.2986303038532302,0.2640605396006836,0.000113402668113,0.0006853169727377,200,0.3029255938362768,0.26973446080922137,0.005744965597394918,0.01692632256035416,0.06845656920386828,0.07441466509159965,0.13499337963842964,0.14674248581550692,***,***,**,*
mean_nonzero_TF,GPT-2 1558M Mean,Adv,0.2829765585851386,0.2416771456515388,0.0002635930420911,0.0019464149926278,200,0.2870876209563477,0.24670284971228124,0.006091656279014492,0.0239870487349683,0.06763899917126827,0.07496789259056977,0.13338116706226186,0.14783342640255978,***,**,**,*
mean_nonzero_TF,GPT-2 345M Mean,Adv,0.2891721508654501,0.2446296084599632,0.0001898788820445,0.0017049724630422,200,0.29328638956908415,0.2505648667381906,0.0064031141034880164,0.023819446807404762,0.06778746380802929,0.07409222430101227,0.13367393287431237,0.1461066465883752,***,**,**,*
mean_nonzero_TF,GPT-2 774M Mean,Adv,0.2929427836881248,0.2484570841466013,0.0001549403860035,0.0014326231116484,200,0.2969397822426422,0.2541127678519344,0.005255138794967457,0.023045068756412546,0.06651216619049334,0.0756305512194857,0.13115910139154668,0.14914016042245387,***,**,**,*
mean_nonzero_TF,GPT-J 6B Mean,Adv,0.2754751570170808,0.223307520453426,0.0003882038254299,0.0042848581169891,200,0.2785426890549998,0.22772423948687334,0.006209066493833558,0.034017787752321886,0.06594895239192472,0.07295359527737774,0.13004846825564773,0.1438613196337468,***,**,**,*
mean_nonzero_TF,GPT-Neo 1.3B Mean,Adv,0.3084965046791643,0.2707727351632393,6.497530668475013e-05,0.0004920968139421,200,0.3128302587979786,0.2771953174328658,0.002901282221215113,0.010869769004973006,0.06674987554727263,0.07313282486087007,0.13162785391327692,0.14421475258383756,***,***,**,*
mean_nonzero_TF,GPT-Neo 125M Mean,Adv,0.3442773575398115,0.2963344016958313,7.2602633786219e-06,0.0001287292681648,200,0.34833016441700926,0.3026445398730809,0.0015061780452653112,0.008924018252109032,0.06789091657721809,0.07356798071320719,0.13387793723953495,0.1450728610146222,***,***,**,**
mean_nonzero_TF,GPT-Neo 2.7B Mean,Adv,0.2924008429673334,0.2445082357058884,0.0001595633023403,0.0017143337000579,200,0.29589370112625524,0.24983665167842395,0.003768111762479069,0.020786014726979857,0.06669218215499975,0.07444603101943535,0.1315140850508245,0.146804338062169,***,**,**,*
