RT_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,pearson_p_symbol,spearman_p_symbol
mean_TF,flesch_reading_ease,Adv,-0.37231007851142583,-0.34731344762008953,1.8933624272378964e-30,1.8419584451364772e-26,884,Gathering0,***,***
mean_TF,flesch_reading_ease,Ele,-0.350851575375804,-0.2951192396897035,2.6762735289329345e-24,2.4298020272030986e-17,790,Gathering0,***,***
mean_TF,flesch_reading_ease,diff,-0.40063613862492453,-0.3759652240553856,8.132367698582084e-32,6.290951534521622e-28,790,Gathering0,***,***
mean_TF,flesch_kincaid_grade_score,Adv,0.2405847842147186,0.24476694693549225,4.176274705779004e-13,1.5866484415912666e-13,884,Gathering0,***,***
mean_TF,flesch_kincaid_grade_score,Ele,0.23560495303072898,0.22253070556580368,1.9965205711804515e-11,2.5451991389280825e-10,790,Gathering0,***,***
mean_TF,flesch_kincaid_grade_score,diff,0.21155222393932147,0.22237093445526787,1.916142047770889e-09,2.62310489721572e-10,790,Gathering0,***,***
mean_TF,dale_chall_score,Adv,0.5480514489611109,0.5481357269245294,1.8998957227925235e-70,1.7921398765802096e-70,884,Gathering0,***,***
mean_TF,dale_chall_score,Ele,0.5418164138834403,0.5071870813030691,1.7898539412377855e-61,7.267769561375217e-53,790,Gathering0,***,***
mean_TF,dale_chall_score,diff,0.5653869187646569,0.5383888418073495,6.215582564993919e-68,1.4126019462123758e-60,790,Gathering0,***,***
mean_TF,gunning_fog_index,Adv,0.22310643648881456,0.22757142425797944,1.9625338135208017e-11,7.560371901857031e-12,884,Gathering0,***,***
mean_TF,gunning_fog_index,Ele,0.2030894492454418,0.19236313610330102,8.445985940091201e-09,5.0611786160180205e-08,790,Gathering0,***,***
mean_TF,gunning_fog_index,diff,0.21259305882805712,0.21669328871090543,1.5896637027008345e-09,7.545360159470315e-10,790,Gathering0,***,***
mean_TF,coleman_liau_index,Adv,0.4269670736778427,0.40132907136686685,1.7793373458096174e-40,1.5390065919472745e-35,884,Gathering0,***,***
mean_TF,coleman_liau_index,Ele,0.36131652373310963,0.32033670850940826,9.005624922422034e-26,2.6108667487297476e-20,790,Gathering0,***,***
mean_TF,coleman_liau_index,diff,0.5051943614185598,0.48809580873179886,2.124304242573384e-52,1.5856516023888195e-48,790,Gathering0,***,***
mean_TF,smog_index,Adv,0.034014693410681765,0.03715709790466411,0.31240384472627925,0.2697762956548257,884,Gathering0,ns,ns
mean_TF,smog_index,Ele,0.0018258993701180427,0.0029719998772143245,0.9591348983462414,0.9335321111379165,790,Gathering0,ns,ns
mean_TF,smog_index,diff,-0.025520101970924185,-0.05002190793095158,0.4738229094892174,0.16013554358036491,790,Gathering0,ns,ns
mean_TF,ARI,Adv,0.2752643456699968,0.2781562930595818,7.806301286974028e-17,3.598222248633229e-17,884,Gathering0,***,***
mean_TF,ARI,Ele,0.27145745316777603,0.26133471622179877,8.228900020134699e-15,8.407899460358102e-14,790,Gathering0,***,***
mean_TF,ARI,diff,0.2415319723241095,0.26407031430807837,5.98145040115405e-12,4.530518597905347e-14,790,Gathering0,***,***
mean_TF,CAREC,Adv,0.2864212938703953,0.245012834163523,3.737779587568739e-18,1.4980384922170004e-13,884,Gathering0,***,***
mean_TF,CAREC,Ele,0.2937666659896092,0.22798434290455175,3.4414523145399764e-17,8.969934412258498e-11,790,Gathering0,***,***
mean_TF,CAREC,diff,0.3033650196427561,0.28164361754106787,2.795225383648619e-18,7.17673833639823e-16,790,Gathering0,***,***
mean_TF,CAREC_M,Adv,0.2802667263711519,0.23975809486045652,2.0328091072494415e-17,5.045899434553912e-13,884,Gathering0,***,***
mean_TF,CAREC_M,Ele,0.2907609391601919,0.22377807246922884,7.409596490810225e-17,2.0097988718941232e-10,790,Gathering0,***,***
mean_TF,CAREC_M,diff,0.3116941542587781,0.29460353470969763,2.9293802007504237e-19,2.775262442296185e-17,790,Gathering0,***,***
mean_TF,CARES,Adv,0.39136820924820664,0.3948119894672289,9.821342716360493e-34,2.3719840734240102e-34,884,Gathering0,***,***
mean_TF,CARES,Ele,0.37032959939938787,0.34377528450742323,4.377791834316491e-27,2.4698608531156852e-23,790,Gathering0,***,***
mean_TF,CARES,diff,0.4318732714335255,0.4213618670145077,3.116306241252292e-37,2.400974364714838e-35,790,Gathering0,***,***
mean_TF,CML2RI,Adv,-0.514398060590732,-0.4924452253296295,7.111319581222348e-61,3.486301177597518e-55,884,Gathering0,***,***
mean_TF,CML2RI,Ele,-0.4457915427154254,-0.45124777493002,7.781743348961489e-40,6.877605252401641e-41,790,Gathering0,***,***
mean_TF,CML2RI,diff,-0.5109166129603169,-0.5498108449258573,9.57787434302905e-54,1.3167809482819728e-63,790,Gathering0,***,***
mean_TF,word_length,Adv,0.43477182960987015,0.3832362423674785,4.577902430530378e-42,2.633377590879181e-32,884,Gathering0,***,***
mean_TF,word_length,Ele,0.38822625851382164,0.31482752938425274,8.082359280539743e-30,1.2304698182156264e-19,790,Gathering0,***,***
mean_TF,word_length,diff,0.5072218687157729,0.49518517472444323,7.132502081914231e-53,4.1779778313093753e-50,790,Gathering0,***,***
