RT_col,text_col,level_type,pearson_corr,spearman_corr,pearson_p,spearman_p,n_vals,reading_regime,pearson_p_symbol,spearman_p_symbol
mean_TF,flesch_reading_ease,Adv,-0.3103714406939916,-0.2579241111934602,5.831802912461155e-05,0.0009208153238502566,162,Gathering0,***,***
mean_TF,flesch_reading_ease,Ele,-0.20636491516266192,-0.22293762243564408,0.008421687465513491,0.00435083361688571,162,Gathering0,**,**
mean_TF,flesch_reading_ease,diff,-0.3293268767505523,-0.32175206546541485,1.8758610593731598e-05,2.9786268810564715e-05,162,Gathering0,***,***
mean_TF,flesch_kincaid_grade_score,Adv,0.1846614777942757,0.13891229869577815,0.01865146393576176,0.07791209581168733,162,Gathering0,*,ns
mean_TF,flesch_kincaid_grade_score,Ele,0.16607039164875032,0.1753431786237595,0.03468199638927322,0.025628702841141195,162,Gathering0,*,*
mean_TF,flesch_kincaid_grade_score,diff,0.21230212153987701,0.2296374989042718,0.006683224581411611,0.0032867611072994775,162,Gathering0,**,**
mean_TF,dale_chall_score,Adv,0.6177345526748244,0.570852739686752,2.022748197742483e-18,2.1709092514480632e-15,162,Gathering0,***,***
mean_TF,dale_chall_score,Ele,0.48210936963705764,0.47637398556882043,8.261779285046076e-11,1.4789721936769815e-10,162,Gathering0,***,***
mean_TF,dale_chall_score,diff,0.5316759129257813,0.512883769909378,3.342462579028838e-13,2.9993093757061292e-12,162,Gathering0,***,***
mean_TF,gunning_fog_index,Adv,0.176597476420116,0.1181250829211104,0.024575435683267966,0.13436957863059676,162,Gathering0,*,ns
mean_TF,gunning_fog_index,Ele,0.1616888229349276,0.15836263022302144,0.03982374193773613,0.04414215665831735,162,Gathering0,*,*
mean_TF,gunning_fog_index,diff,0.2330558104081058,0.23640698974655244,0.002839905942193723,0.002455916965610627,162,Gathering0,**,**
mean_TF,coleman_liau_index,Adv,0.4462858798211061,0.4003582052233284,2.645942487115929e-09,1.3006687533297314e-07,162,Gathering0,***,***
mean_TF,coleman_liau_index,Ele,0.2753976230154992,0.2596257462243172,0.0003897381044946028,0.0008489970501716569,162,Gathering0,***,***
mean_TF,coleman_liau_index,diff,0.48073309670375175,0.44690161531046707,9.510085287585768e-11,2.5011893790096475e-09,162,Gathering0,***,***
mean_TF,smog_index,Adv,0.163720044030684,0.10855802398538206,0.03736552934341342,0.1691047811382672,162,Gathering0,*,ns
mean_TF,smog_index,Ele,0.15026741123050447,0.1357887127096655,0.056309400644291775,0.08490405450728152,162,Gathering0,ns,ns
mean_TF,smog_index,diff,0.18604529887985896,0.2357477640466461,0.01777045930495233,0.002527510488062487,162,Gathering0,*,**
mean_TF,ARI,Adv,0.22616518157159082,0.1891649283490979,0.0038047025861961663,0.01591581893352743,162,Gathering0,**,*
mean_TF,ARI,Ele,0.22166700902267378,0.22525435033549523,0.004584467172355801,0.00395220551092449,162,Gathering0,**,**
mean_TF,ARI,diff,0.23865138672649716,0.26335854263197106,0.0022257391355672887,0.0007091232447458348,162,Gathering0,**,***
