text_id,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_10_1,Adv,295.77223464648205,211.0,415.79782345828295,59,5813
1_10_1,Ele,262.09576732087965,196.0,360.6908558411975,58,4229
1_10_2,Adv,297.3548011639185,223.0,398.04310568683456,58,5155
1_10_2,Ele,295.7335072679836,216.0,402.5636732623034,59,5366
1_10_3,Adv,347.4016201900608,239.0,468.0879513014274,59,6419
1_10_3,Ele,258.4586483931947,192.0,364.963963963964,58,4232
1_10_4,Adv,282.10298661174045,206.5,396.75840092699883,59,9710
1_10_4,Ele,267.68947919392826,198.0,372.41634807937373,58,7642
1_10_5,Adv,341.636700913242,234.0,456.2099847560976,59,7008
1_10_5,Ele,285.79733437867503,209.0,392.71155399946133,58,5102
1_10_6,Adv,291.09979770735,218.0,393.38527428467285,58,7415
1_10_6,Ele,278.58163650075414,200.0,395.82025180819716,59,5304
1_10_7,Adv,242.12458471760797,189.0,346.6008779952442,58,7826
1_10_7,Ele,265.213994454412,199.0,374.40179599355287,59,6131
1_1_1,Adv,292.42835107203456,208.0,404.8287422592355,58,6483
1_1_1,Ele,237.99298874938856,184.0,350.86802884615383,59,6133
1_1_2,Adv,258.6855441917265,190.0,375.4206911829863,58,6551
1_1_2,Ele,245.1083183722322,184.0,358.85747663551405,59,5013
1_1_3,Adv,288.7923000987167,205.0,409.270565193061,59,5065
1_1_3,Ele,258.7428101889893,187.0,369.1559202813599,58,3651
1_1_4,Adv,320.10315239694086,219.0,437.43894978332906,59,5361
1_1_4,Ele,302.4160125588697,214.0,411.9151817533856,58,3822
1_1_5,Adv,244.00384354510513,180.0,362.0358939953036,59,4423
1_1_5,Ele,267.2226487523992,201.0,361.7747942832395,58,3126
1_1_6,Adv,301.58405942008284,213.0,416.20145870293715,58,7001
1_1_6,Ele,269.36976641692377,200.0,379.8632691112492,59,4538
1_1_7,Adv,276.44357287449395,199.0,394.40613718411555,59,7904
1_1_7,Ele,242.7295887662989,185.0,349.1076168493941,58,4985
1_2_1,Adv,281.7354207436399,210.0,387.4936300017944,59,7665
1_2_1,Ele,272.4096406357982,207.0,368.4755784061697,58,5788
1_2_2,Adv,285.7274208882249,210.0,395.2303212474169,59,7363
1_2_2,Ele,272.84609064767903,204.0,374.1259857303793,58,7303
1_2_3,Adv,288.51677096370463,205.5,404.5006141428321,58,7990
1_2_3,Ele,290.2750890425309,215.0,399.62013267955007,59,4773
1_2_4,Adv,253.44479304935442,190.0,365.9691583899634,58,8287
1_2_4,Ele,249.57036283485928,179.0,377.62083119548487,59,5898
1_2_5,Adv,272.0653643876784,200.0,378.31069786878396,58,6655
1_2_5,Ele,260.57253780138944,193.0,372.98683825680024,59,4894
1_2_6,Adv,338.006346788525,230.0,461.81304197016993,59,3939
1_2_6,Ele,252.79613095238096,192.0,365.4883820998279,58,3360
1_3_1,Adv,288.61667364893174,204.0,411.3002985074627,59,4774
1_3_1,Ele,226.9324243031883,176.0,339.03894547633314,58,4987
1_3_2,Adv,331.3544361243476,243.0,437.60233742882826,58,4407
1_3_2,Ele,295.26734480959834,212.5,405.17358625626343,59,3834
1_3_3,Adv,275.89630340854535,201.0,391.92452830188677,59,6249
1_3_3,Ele,239.15430752453653,172.5,360.5005479452055,58,5502
1_3_4,Adv,269.48150412717825,197.0,385.343825136612,58,6542
1_3_4,Ele,245.75198625724715,183.0,361.3725923586991,59,4657
1_3_5,Adv,286.69229108183976,203.0,409.2069656341501,58,9262
1_3_5,Ele,243.55642980083599,184.0,363.23579024569125,59,4067
1_4_1,Adv,292.90613517425675,212.0,397.1301328502415,58,8981
1_4_1,Ele,280.8052240784938,204.0,393.42987181868847,59,7542
1_4_2,Adv,274.7550284215129,195.0,393.5273211210271,58,9148
1_4_2,Ele,233.69272399278412,184.0,344.83673469387753,59,8315
1_4_3,Adv,340.60648371047984,233.0,460.1732437120555,59,6231
1_4_3,Ele,275.625578460244,201.0,381.7960372960373,58,4754
1_4_4,Adv,301.2398291510945,216.0,422.0692698982645,59,9365
1_4_4,Ele,298.97853234179877,217.0,415.364522417154,58,7127
1_4_5,Adv,281.8580961727184,208.0,394.09083424807903,58,5095
1_4_5,Ele,294.21046396841064,207.0,410.7431091510474,59,5065
1_5_1,Adv,251.00423928403202,183.5,372.3843466107617,59,4246
1_5_1,Ele,226.99024512256128,184.0,330.8446955887714,58,3998
1_5_2,Adv,254.570814504574,187.0,373.07720885155874,59,9073
1_5_2,Ele,245.6735744626078,189.0,350.14456063107684,58,7769
1_5_3,Adv,326.89349556857445,239.0,425.7738211700254,58,6657
1_5_3,Ele,306.53801169590645,218.5,415.57610993657505,59,5130
1_5_4,Adv,306.58239598121656,224.0,415.3536026039355,59,9157
1_5_4,Ele,290.63817440401505,217.0,394.19463943841737,58,6376
1_5_5,Adv,347.46419437340154,241.0,468.34300488365415,58,4692
1_5_5,Ele,327.0860009555662,234.0,441.6716129032258,59,4186
1_6_1,Adv,327.0488045840743,223.0,442.8020331728197,59,5061
1_6_1,Ele,274.44661568960635,204.0,373.29391371340523,58,3531
1_6_2,Adv,320.0205935796487,221.0,432.81097685848863,58,6604
1_6_2,Ele,297.91536995871706,208.0,412.7300923889133,59,6298
1_6_3,Adv,330.6354378818737,228.0,442.95225102319233,59,5892
1_6_3,Ele,314.46821705426356,223.0,421.3596468449753,58,5160
1_6_4,Adv,266.6275052957471,186.0,382.66908325537884,58,6137
1_6_4,Ele,251.14530332681016,185.0,369.4872840690979,59,6132
1_7_1,Adv,216.7095200272325,170.0,332.43881636205396,58,8813
1_7_1,Ele,219.23620951417004,176.0,327.5695652173913,59,7904
1_7_2,Adv,227.7421472708548,173.0,344.85399610136454,58,7768
1_7_2,Ele,239.72933527928885,181.0,357.790099009901,58,7537
1_7_3,Adv,286.1033573965853,204.0,400.00384492149954,59,8727
1_7_3,Ele,250.16433865450398,198.0,353.14949698189133,58,7016
1_7_4,Adv,248.32325758399477,183.0,373.1746732026144,59,9197
1_7_4,Ele,219.32912858797786,174.0,331.5112840466926,58,7769
1_8_1,Adv,225.3241165362827,173.0,330.2140739276537,58,7414
1_8_1,Ele,205.54943502824858,168.0,314.2496221118549,59,7080
1_8_2,Adv,328.22209465493046,226.0,443.379803549888,59,7839
1_8_2,Ele,319.56107048389606,217.0,429.22027168234064,58,6427
1_8_3,Adv,272.10865329512893,200.0,384.85135354190305,59,8725
1_8_3,Ele,244.29833040421792,188.0,349.3338219895288,58,6828
1_8_4,Adv,286.31392831368777,204.0,406.69981206219035,59,8314
1_8_4,Ele,249.4456956956957,187.0,361.21942380866096,58,7992
1_8_5,Adv,323.43057012941586,215.0,449.20476074811756,58,5718
1_8_5,Ele,301.7731318567584,203.0,421.22681305980933,59,4831
1_9_1,Adv,245.73842229199371,185.0,354.05230421260956,58,5096
1_9_1,Ele,228.48583192056188,184.0,333.12782485875704,59,4129
1_9_2,Adv,291.9824293353705,206.0,411.5040913006029,59,6545
1_9_2,Ele,278.8625312835181,200.5,388.14555859666586,58,5594
1_9_3,Adv,283.03669064748203,194.0,404.06128038343036,59,4170
1_9_3,Ele,236.64693634741226,171.0,356.4547491039427,58,3362
1_9_4,Adv,307.11586901763224,212.0,424.25722698072803,58,5161
1_9_4,Ele,277.3013417815878,199.0,390.65345234969806,59,5366
1_9_5,Adv,257.14388385798475,193.0,369.38880858971714,58,6957
1_9_5,Ele,285.26074174581635,207.0,395.92686754551164,59,4422
1_9_6,Adv,237.7875160324925,185.0,348.2686286787727,58,7017
1_9_6,Ele,234.55589248793936,182.0,345.6638228722324,59,7255
2_10_1,Adv,248.561829081277,173.0,378.2210436996182,54,7173
2_10_1,Ele,255.90663265306122,194.0,362.4984341122621,56,5880
2_10_2,Adv,261.15464800799657,191.0,375.2289700451375,54,7003
2_10_2,Ele,303.7597217831173,216.0,412.0034305317324,56,6326
2_10_3,Adv,292.9533852972643,199.0,415.61014744145706,56,6543
2_10_3,Ele,243.14089055064582,173.0,371.01685684647305,54,5884
2_10_4,Adv,322.454438427125,222.0,438.6495836002562,56,8494
2_10_4,Ele,269.02625868055554,192.0,387.2767885035926,53,4608
2_1_1,Adv,296.19651515151514,215.0,395.8082607815347,56,6600
2_1_1,Ele,266.0115445163547,185.0,384.81477732793525,54,5717
2_1_2,Adv,273.1897172949002,196.0,383.6032302004281,56,7216
2_1_2,Ele,254.5720413335933,184.0,368.3215796897038,54,5129
2_1_3,Adv,230.80660954712363,170.0,356.36690064794817,54,5719
2_1_3,Ele,241.84300595238096,193.0,350.00394831299354,56,4032
2_1_4,Adv,205.7355186349349,157.0,328.0279219616968,54,8908
2_1_4,Ele,234.60883458646617,182.0,342.79566053282065,56,5320
2_1_5,Adv,283.0668681029953,199.0,403.95669291338584,54,7612
2_1_5,Ele,308.80832356389215,223.0,412.0664841611263,56,6824
2_1_6,Adv,291.2647890946502,210.0,398.1147829143962,56,7776
2_1_6,Ele,250.16106773197748,182.0,360.072399372713,54,5507
2_2_1,Adv,283.5365201403978,196.0,400.0941037735849,54,5983
2_2_1,Ele,326.32212837837835,223.0,439.45109190172883,56,5920
2_2_2,Adv,276.78952473326865,192.0,396.62265462126476,54,8248
2_2_2,Ele,298.40552878518895,209.0,415.10425119068617,56,7886
2_2_3,Adv,312.4658532143508,217.0,433.1608179752588,54,5491
2_2_3,Ele,349.4197505197505,250.0,448.3086156308349,56,4810
2_2_4,Adv,480.3414555947419,360.0,560.4882154882155,56,3119
2_2_4,Ele,318.3496477567668,224.0,423.3673570019724,54,2697
2_2_5,Adv,340.1741976893453,238.0,454.14858611825196,55,7790
2_2_5,Ele,263.0949082092137,190.0,373.61288735858335,54,5774
2_2_6,Adv,309.9556597740354,219.0,421.327731092437,56,4691
2_2_6,Ele,247.6191243620736,185.0,359.12972341254385,54,3723
2_3_1,Adv,261.2815333882935,182.0,388.00387675984496,54,7278
2_3_1,Ele,257.40379329301817,197.0,364.2298716452742,56,7276
2_3_2,Adv,259.35908115612773,189.0,374.8453119299526,54,7923
2_3_2,Ele,299.4086373021335,217.0,401.32910516605165,56,5812
2_3_3,Adv,314.02491228070176,215.0,429.311320754717,56,8550
2_3_3,Ele,268.5193446506119,183.0,393.9527946713003,54,5066
2_3_4,Adv,248.7934535738143,171.0,386.2723501348268,54,7485
2_3_4,Ele,280.6273076923077,200.0,389.24033075486795,56,5200
2_4_1,Adv,297.33224329627205,210.0,407.36648745519716,56,4587
2_4_1,Ele,232.0350827153451,172.0,352.78187337380746,54,3506
2_4_2,Adv,376.82425010561894,251.0,492.78618784530386,56,4734
2_4_2,Ele,299.466576819407,202.5,410.88054733727813,53,3710
2_4_3,Adv,346.2591150442478,248.0,450.7751152073733,56,5650
2_4_3,Ele,316.5420449116101,217.5,433.4461890742558,53,4186
2_4_4,Adv,342.23288193782184,241.0,452.0854119425548,56,5243
2_4_4,Ele,315.4251336898396,210.0,420.6918276374443,53,4488
2_4_5,Adv,276.18687489033164,177.0,406.0859133126935,53,5699
2_4_5,Ele,304.0553952683208,210.0,414.903937007874,56,5199
2_4_6,Adv,285.10995207217366,195.0,394.87895353377587,53,3547
2_4_6,Ele,291.78185069289225,217.0,384.7427055702918,56,4474
2_4_7,Adv,331.67545227698065,226.0,446.1302706104468,56,6412
2_4_7,Ele,264.84615384615387,184.0,389.42160514730784,53,4342
2_5_1,Adv,266.17134225291323,181.0,394.1536003408607,54,6951
2_5_1,Ele,260.80032496840585,193.0,367.9503311258278,56,5539
2_5_2,Adv,254.2390442890443,177.0,383.97658862876256,54,8580
2_5_2,Ele,264.5206757843926,191.0,377.4962112514351,56,6215
2_5_3,Adv,330.09158785465405,226.0,448.6833558863329,56,4018
2_5_3,Ele,237.62969634585693,177.0,353.39800995024876,54,3886
2_5_4,Adv,291.3892765332354,203.0,408.2598404939542,54,5446
2_5_4,Ele,317.56485720514496,224.0,421.97856315179604,56,4587
2_5_5,Adv,303.8009253622306,213.0,416.8950710108605,56,8213
2_5_5,Ele,243.74465558194774,170.5,370.9924078091106,54,4210
2_6_1,Adv,252.63545250560958,187.0,363.8233520034468,54,6685
2_6_1,Ele,287.3071092921025,213.0,393.3108528740403,56,6597
2_6_2,Adv,307.8348113012992,211.0,421.7832721107658,56,4849
2_6_2,Ele,224.21218357686766,172.0,339.8150343106675,54,4859
2_6_3,Adv,281.66533677540485,200.0,395.18472176489956,54,4261
2_6_3,Ele,286.3095044679123,206.0,389.7312937707335,56,3693
2_6_4,Adv,317.93308128544425,222.0,429.63198228882834,56,7935
2_6_4,Ele,267.81483097055616,181.0,383.3690290352794,54,4585
2_7_1,Adv,343.21996980806557,236.0,454.71742857142857,56,4637
2_7_1,Ele,237.3894389438944,175.0,347.35401188707283,54,3939
2_7_2,Adv,258.5132608949644,186.0,375.7837975543478,56,8559
2_7_2,Ele,222.99579912163452,167.0,335.39029293509475,54,5237
2_7_3,Adv,252.52151462994837,182.0,365.4677553279823,54,5229
2_7_3,Ele,318.76070588235297,206.0,440.1341780376868,56,4250
2_7_4,Adv,195.7132230150296,154.0,310.8664094526163,54,6587
2_7_4,Ele,217.67132749326146,175.0,322.86281859070465,56,5936
2_7_5,Adv,292.5447050627032,204.0,403.49055092889176,56,8612
2_7_5,Ele,253.2285471537808,179.5,370.55532532117695,54,7062
2_7_6,Adv,197.6076836440996,154.0,311.94843935203477,54,7991
2_7_6,Ele,228.43889315910837,175.0,337.3427922814983,56,5204
2_8_1,Adv,278.20054771434593,202.0,386.4846356453029,54,4747
2_8_1,Ele,290.12464065708417,215.0,383.109273318872,56,4870
2_8_2,Adv,238.0004793097939,176.0,357.6578631452581,54,6259
2_8_2,Ele,247.5322629969419,181.0,359.9068474877723,56,6540
2_8_3,Adv,281.95850840336135,195.0,397.3715766099186,56,5712
2_8_3,Ele,238.1785648062303,170.0,361.01658234963463,54,5393
2_8_4,Adv,372.34305105660957,252.0,484.0385001002607,56,6483
2_8_4,Ele,314.27594878829444,210.0,432.9584251968504,54,4374
2_8_5,Adv,296.73610581203104,200.0,415.68430429360416,54,7863
2_8_5,Ele,354.09312839059675,238.0,461.71539731195475,56,5530
2_8_6,Adv,255.4872039724981,181.0,373.7722827605476,54,5236
2_8_6,Ele,287.20837589376913,199.0,394.0812894183602,56,3916
2_9_1,Adv,367.3252669039146,255.0,476.4292637895223,56,5620
2_9_1,Ele,295.4821683309558,209.0,399.8706563706564,54,5608
2_9_2,Adv,347.0443449959316,230.0,466.1393442622951,56,4916
2_9_2,Ele,300.41981714850505,204.0,414.8068918457864,54,4047
2_9_3,Adv,301.7940950920245,207.0,432.460989010989,56,7824
2_9_3,Ele,239.5936943355896,175.0,354.6214078565779,54,5614
2_9_4,Adv,260.48680674322014,178.0,391.3995961820852,54,8186
2_9_4,Ele,260.25090052646163,189.0,370.14600985221676,56,7218
2_9_5,Adv,362.9182473951376,248.0,466.3244078269825,56,7486
2_9_5,Ele,271.99874391584234,191.0,386.60120508815,54,6369
2_9_6,Adv,294.47778933293716,199.0,425.07613124597896,54,6731
2_9_6,Ele,356.46208384710235,251.0,468.92254663422545,56,3244
3_10_1,Adv,289.1101673101673,198.0,415.9974074074074,55,3885
3_10_1,Ele,307.4834508952794,201.5,436.58859784283516,52,3686
3_10_2,Adv,283.4197689345315,193.0,407.2253304641869,52,4674
3_10_2,Ele,286.0457546096062,188.0,408.650081300813,55,4393
3_10_3,Adv,316.88152571758815,215.0,432.76295711654825,52,5191
3_10_3,Ele,287.39240506329116,198.0,410.0532319391635,55,4503
3_10_4,Adv,295.4340572414785,209.0,413.5600966378095,52,6953
3_10_4,Ele,272.7055067837191,184.0,398.56143079315706,55,7518
3_10_5,Adv,229.1306845380565,173.0,344.23157137720244,55,8356
3_10_5,Ele,237.5506601607348,182.0,348.40096821721744,52,6968
3_10_6,Adv,237.69571734475375,177.0,354.6450479233227,55,4670
3_10_6,Ele,227.22021081576534,173.0,342.99169837426496,52,4364
3_1_1,Adv,320.7395005039758,213.0,449.2365490196078,55,8929
3_1_1,Ele,303.40155859432434,206.0,428.3649574423915,52,6801
3_1_2,Adv,376.9481120584653,247.0,497.06778027626086,55,4105
3_1_2,Ele,396.24377411434585,264.0,512.5639745916516,52,2851
3_1_3,Adv,300.81202290076334,210.0,409.68291098115657,52,6288
3_1_3,Ele,256.632373540856,187.0,371.5328977016674,55,6425
3_1_4,Adv,325.9727969348659,233.0,438.928116938951,52,7830
3_1_4,Ele,309.8634791760638,222.0,418.96767635698313,55,6651
3_1_5,Adv,332.1373747886041,227.0,453.6496090973703,52,7687
3_1_5,Ele,294.6006920415225,201.0,410.11368015414257,55,4335
3_2_1,Adv,302.08539735602494,209.0,418.00336417157274,55,6581
3_2_1,Ele,310.49670075882545,204.0,429.73310502283107,52,6062
3_2_2,Adv,365.54846727423364,266.0,469.37978723404257,52,3621
3_2_2,Ele,288.2029784886928,222.0,380.7009107468124,55,3626
3_2_3,Adv,340.9884309472162,235.0,456.9641472868217,52,5532
3_2_3,Ele,305.71473573678685,226.5,409.3869228966487,55,5714
3_2_4,Adv,345.1965706204702,243.0,452.9754117374159,52,5657
3_2_4,Ele,317.4551248008497,220.0,423.14865502595563,55,5649
3_2_5,Adv,327.54225432863205,222.0,446.11838200843357,55,8721
3_2_5,Ele,322.791057367829,221.0,437.19101123595505,52,7112
3_3_1,Adv,344.21894143592255,226.0,470.84213172448466,55,8162
3_3_1,Ele,320.7634832223883,220.0,438.3033228141823,52,7361
3_3_2,Adv,339.9839115133233,235.0,452.6291834002677,55,7956
3_3_2,Ele,337.2313744380218,231.0,456.87992168805744,52,6228
3_3_3,Adv,323.02284553877394,217.0,449.10834656784897,52,7879
3_3_3,Ele,280.2360165729506,204.0,398.1154088711373,55,6758
3_3_4,Adv,348.7415300546448,234.0,475.6452394261226,52,7320
3_3_4,Ele,294.23505125284737,203.0,420.3186902582876,55,7024
3_3_5,Adv,320.27924050632913,221.0,443.040798459114,55,7900
3_3_5,Ele,320.01001365498405,222.0,437.3182666390214,52,6591
3_4_1,Adv,285.308491638253,200.0,402.84617148097203,51,6159
3_4_1,Ele,227.4521064301552,177.5,335.8903077930583,55,4510
3_4_2,Adv,300.8127719628366,204.0,424.60341965471446,55,8503
3_4_2,Ele,314.10484417344173,225.0,425.72887970615244,51,5904
3_4_3,Adv,300.8261207970112,215.0,411.9605627797911,55,6424
3_4_3,Ele,254.60673053303856,194.0,361.1512195121951,51,4071
3_4_4,Adv,306.59874786568014,218.0,419.02146857498445,55,8785
3_4_4,Ele,303.89258047856777,214.0,418.2212745794835,51,5809
3_4_5,Adv,334.56396148555706,234.0,444.6581352833638,55,5089
3_4_5,Ele,270.358458961474,203.0,376.6093333333333,51,4179
3_5_1,Adv,327.5859446702504,224.0,444.4144432586268,52,7627
3_5_1,Ele,308.349768365321,213.0,417.48790322580646,55,6044
3_5_2,Adv,287.1585996240602,203.0,410.25411211816044,52,8512
3_5_2,Ele,274.3135860058309,200.0,393.4167921057033,55,8575
3_5_3,Adv,328.81789819376024,223.0,445.3961298932384,55,6090
3_5_3,Ele,314.2448101739293,226.0,423.4543850806452,52,5347
3_5_4,Adv,306.9421188630491,217.0,424.16211390823065,52,7740
3_5_4,Ele,321.1205257836198,222.0,437.81113868210645,55,4945
3_6_1,Adv,275.2022602144306,195.0,389.6299487179487,52,6902
3_6_1,Ele,261.46205232881795,195.0,367.6021393164623,55,5389
3_6_2,Adv,314.12955223880596,209.0,425.357316087308,55,3350
3_6_2,Ele,329.1674550614948,218.0,440.2319696330662,52,3171
3_6_3,Adv,307.84926744474797,215.0,417.9733648010789,52,4027
3_6_3,Ele,280.62118780096307,205.0,392.42873176206507,55,3738
3_6_4,Adv,325.65439388676623,226.0,436.4799813780261,55,5758
3_6_4,Ele,297.2535550735117,207.0,403.0408496732026,52,4149
3_6_5,Adv,319.48819218241044,221.0,429.48166392993977,52,7368
3_6_5,Ele,298.8964889036105,205.0,413.93050458715595,55,6038
