text_id,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_10_1,Adv,1.3595949193271541,1.0,1.9095949855351977,59,5826
1_10_1,Ele,1.302786962683042,1.0,1.792072774528915,58,4234
1_10_2,Adv,1.4385896939170864,1.0,1.924831518921721,58,5162
1_10_2,Ele,1.3771652076736822,1.0,1.8742712294043093,59,5369
1_10_3,Adv,1.5677188617633337,1.0,2.1109715242881073,59,6431
1_10_3,Ele,1.2579121398205007,1.0,1.7759253084361455,58,4234
1_10_4,Adv,1.2800123444090115,1.0,1.7994215473608097,59,9721
1_10_4,Ele,1.3049895506792057,1.0,1.8142364263664428,58,7656
1_10_5,Adv,1.569007263922518,1.0,2.0938984983843376,59,7021
1_10_5,Ele,1.3855799373040751,1.0,1.9036339165545086,58,5104
1_10_6,Adv,1.41015625,1.0,1.904839883551674,58,7424
1_10_6,Ele,1.2815442561205272,1.0,1.820005349023803,59,5310
1_10_7,Adv,1.1850574712643678,1.0,1.6960336318771705,58,7830
1_10_7,Ele,1.243155149934811,1.0,1.7543698252069917,59,6136
1_1_1,Adv,1.4127155172413792,1.0,1.9542163543441227,58,6496
1_1_1,Ele,1.1096805736636246,1.0,1.635599327408119,59,6136
1_1_2,Adv,1.232834909978639,1.0,1.7887978746955944,58,6554
1_1_2,Ele,1.1363908275174477,1.0,1.6634559252772914,59,5015
1_1_3,Adv,1.351202207331494,1.0,1.9134803237510467,59,5074
1_1_3,Ele,1.2517788724685277,1.0,1.7853239656518345,58,3654
1_1_4,Adv,1.4905941516111008,1.0,2.0358687356906637,59,5369
1_1_4,Ele,1.4707419017763845,1.0,2.0021337126600285,58,3828
1_1_5,Adv,1.144858757062147,1.0,1.6982903117666779,59,4425
1_1_5,Ele,1.3358876117496807,1.0,1.8073434125269978,58,3132
1_1_6,Adv,1.4811912225705328,1.0,2.0422396856581533,58,7018
1_1_6,Ele,1.2593000220118864,1.0,1.7750542972385976,59,4543
1_1_7,Adv,1.2820642549962054,1.0,1.8289426199927823,59,7906
1_1_7,Ele,1.187449879711307,1.0,1.7074084750648602,58,4988
1_2_1,Adv,1.2946544980443286,1.0,1.7802079598422373,59,7670
1_2_1,Ele,1.3241379310344827,1.0,1.7897925891400606,58,5800
1_2_2,Adv,1.3296271186440678,1.0,1.8380506091846298,59,7375
1_2_2,Ele,1.3134920634920635,1.0,1.800600262614894,58,7308
1_2_3,Adv,1.3860569715142428,1.0,1.9418869245580255,58,8004
1_2_3,Ele,1.32370788867964,1.0,1.8214799884825799,59,4779
1_2_4,Adv,1.245960935616108,1.0,1.798468499825966,58,8294
1_2_4,Ele,1.173050847457627,1.0,1.7746153846153847,59,5900
1_2_5,Adv,1.3337331334332834,1.0,1.8529473026452823,58,6670
1_2_5,Ele,1.2229936695936288,1.0,1.750146113383986,59,4897
1_2_6,Adv,1.5562863647862384,1.0,2.123576113220573,59,3953
1_2_6,Ele,1.2042211652794292,1.0,1.7401202749140894,58,3364
1_3_1,Adv,1.3324963381460557,1.0,1.8980625931445603,59,4779
1_3_1,Ele,1.0916198877305534,1.0,1.6307277628032344,58,4988
1_3_2,Adv,1.5496823956442831,1.0,2.0464349910125823,58,4408
1_3_2,Ele,1.3726205997392438,1.0,1.8833631484794275,59,3835
1_3_3,Adv,1.259513911096898,1.0,1.788601271571299,59,6254
1_3_3,Ele,1.141923774954628,1.0,1.7200656096227447,58,5510
1_3_4,Adv,1.282575526396094,1.0,1.8325703073904513,58,6554
1_3_4,Ele,1.1759279124651363,1.0,1.728476821192053,59,4661
1_3_5,Adv,1.3827586206896552,1.0,1.9720301214077147,58,9280
1_3_5,Ele,1.124048145418816,1.0,1.6755767118271696,59,4071
1_4_1,Adv,1.411345939933259,1.0,1.912859942710689,58,8990
1_4_1,Ele,1.3048199152542372,1.0,1.827183385870573,59,7552
1_4_2,Adv,1.3191837625491052,1.0,1.8880212400437295,58,9164
1_4_2,Ele,1.102536362543575,1.0,1.626529526511793,59,8319
1_4_3,Adv,1.6207227374480333,1.0,2.186839266450917,59,6254
1_4_3,Ele,1.3328427249789738,1.0,1.8459522422830519,58,4756
1_4_4,Adv,1.4118963863127598,1.0,1.976865671641791,59,9381
1_4_4,Ele,1.4456125595738716,1.0,2.0075919797547206,58,7134
1_4_5,Adv,1.3605015673981191,1.0,1.900903367095538,58,5104
1_4_5,Ele,1.3811588490342925,1.0,1.9268627990101732,59,5074
1_5_1,Adv,1.1581920903954803,1.0,1.717877094972067,59,4248
1_5_1,Ele,1.105697151424288,1.0,1.610848198034219,58,4002
1_5_2,Adv,1.1723530706581553,1.0,1.7169568020631851,59,9086
1_5_2,Ele,1.1908131755018014,1.0,1.696919691969197,58,7772
1_5_3,Adv,1.575712143928036,1.0,2.0511319281811087,58,6670
1_5_3,Ele,1.4126241963763881,1.0,1.9147082123052548,59,5133
1_5_4,Adv,1.392272429600524,1.0,1.885866351271437,59,9162
1_5_4,Ele,1.3927899686520375,1.0,1.8886291179596175,58,6380
1_5_5,Adv,1.6562366964665816,1.0,2.231431029538285,58,4698
1_5_5,Ele,1.5111005013129626,1.0,2.039961327747341,59,4189
1_6_1,Adv,1.5303508080409933,1.0,2.0701146360970406,59,5074
1_6_1,Ele,1.3422837761447146,1.0,1.8244333461390703,58,3538
1_6_2,Adv,1.5387174833635813,1.0,2.080147209159681,58,6612
1_6_2,Ele,1.4316489782987487,1.0,1.9815829861872396,59,6313
1_6_3,Adv,1.5001694915254238,1.0,2.0088515660463004,59,5900
1_6_3,Ele,1.4815962805114298,1.0,1.9849467947054245,58,5162
1_6_4,Adv,1.2948926480156149,1.0,1.8570095637975275,58,6148
1_6_4,Ele,1.1875814863102998,1.0,1.7466442953020134,59,6136
1_7_1,Adv,1.0349364791288567,1.0,1.5873347251217815,58,8816
1_7_1,Ele,1.0450290918289906,1.0,1.5612244897959184,59,7906
1_7_2,Adv,1.0998455995882657,1.0,1.6649785742111414,58,7772
1_7_2,Ele,1.122811671087533,1.0,1.675440332475757,58,7540
1_7_3,Adv,1.310352725606963,1.0,1.8315991676004482,59,8732
1_7_3,Ele,1.1899401538899972,1.0,1.6796057924376508,58,7018
1_7_4,Adv,1.1690569317687962,1.0,1.7561612534682554,59,9204
1_7_4,Ele,1.0699948533196089,1.0,1.616955084580984,58,7772
1_8_1,Adv,1.1111260775862069,1.0,1.6273426711382917,58,7424
1_8_1,Ele,0.9847457627118644,1.0,1.5055063701144462,59,7080
1_8_2,Adv,1.5144641264177392,1.0,2.0450869041473068,59,7847
1_8_2,Ele,1.5380552966759864,1.0,2.0646371976647204,58,6438
1_8_3,Adv,1.267063673843335,1.0,1.7914507772020725,59,8732
1_8_3,Ele,1.1753769579856537,1.0,1.6804102134784429,58,6831
1_8_4,Adv,1.322995552350042,1.0,1.8787982246500512,59,8319
1_8_4,Ele,1.2193903048475763,1.0,1.7645995299222563,58,8004
1_8_5,Adv,1.575931731104145,1.0,2.1852209611205025,58,5742
1_8_5,Ele,1.4146341463414633,1.0,1.9734717416378316,59,4838
1_9_1,Adv,1.1971003134796239,1.0,1.7235543018335684,58,5104
1_9_1,Ele,1.0680387409200969,1.0,1.557006706671373,59,4130
1_9_2,Adv,1.3466178042449228,1.0,1.8973752151462995,59,6549
1_9_2,Ele,1.342152306042188,1.0,1.868126399601891,58,5594
1_9_3,Adv,1.362377655765099,1.0,1.941156462585034,59,4189
1_9_3,Ele,1.1884661117717004,1.0,1.7896150402864817,58,3364
1_9_4,Adv,1.4773343665246028,1.0,2.040674337704041,58,5162
1_9_4,Ele,1.3034084559508288,1.0,1.835781741867786,59,5369
1_9_5,Adv,1.2334770114942528,1.0,1.7715641766405283,58,6960
1_9_5,Ele,1.3089265536723165,1.0,1.8162433364691126,59,4425
1_9_6,Adv,1.1181248218865774,1.0,1.6375208681135225,58,7018
1_9_6,Ele,1.0872261264985532,1.0,1.6020304568527919,59,7257
2_10_1,Adv,1.1747424115845169,1.0,1.786364598771967,54,7182
2_10_1,Ele,1.2442176870748298,1.0,1.7624668754516983,56,5880
2_10_2,Adv,1.2564175698802054,1.0,1.8042187180012288,54,7012
2_10_2,Ele,1.4467446270543616,1.0,1.9620660094299185,56,6328
2_10_3,Adv,1.3832417582417582,1.0,1.9612637957152133,56,6552
2_10_3,Ele,1.1549439347604484,1.0,1.7620528771384136,54,5886
2_10_4,Adv,1.5202067669172932,1.0,2.0664324496965825,56,8512
2_10_4,Ele,1.2684883973107786,1.0,1.825530586766542,53,4611
2_1_1,Adv,1.4051150121065374,1.0,1.87689508793208,56,6608
2_1_1,Ele,1.286512928022362,1.0,1.8600656731497853,54,5724
2_1_2,Adv,1.2880675526024363,1.0,1.8078492325626578,56,7224
2_1_2,Ele,1.1865497076023392,1.0,1.7165820642978002,54,5130
2_1_3,Adv,1.1242138364779874,1.0,1.7349689943380966,54,5724
2_1_3,Ele,1.167906746031746,1.0,1.6902368987796124,56,4032
