text_id,align_idx,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,0,Adv,219.7578187650361,0.0,497.34664246823957,59,1247
1_10_1,0,Ele,148.8218009478673,0.0,391.53865336658356,58,1055
1_10_1,1,Adv,178.38714499252615,0.0,426.21785714285716,59,669
1_10_1,1,Ele,112.52650822669104,0.0,325.67195767195767,57,547
1_10_1,2,Adv,139.63841807909606,0.0,365.7758985200846,59,1239
1_10_1,2,Ele,100.33976261127596,0.0,328.29611650485435,58,674
1_10_2,3,Adv,179.14691151919865,0.0,425.82936507936506,57,599
1_10_2,3,Ele,168.29967426710098,0.0,351.4829931972789,58,614
1_10_2,4,Adv,173.3755458515284,0.0,397.03,58,916
1_10_2,4,Ele,183.25307125307125,0.0,396.72340425531917,59,814
1_10_2,5,Adv,148.5007610350076,0.0,345.9751773049645,58,657
1_10_2,5,Ele,149.40897755610973,0.0,402.1006711409396,59,802
1_10_2,6,Adv,166.64527629233513,0.0,380.0325203252033,58,561
1_10_2,6,Ele,157.24242424242425,0.0,351.1353383458647,59,594
1_10_3,7,Adv,228.7991493383743,0.0,460.20817490494295,59,2116
1_10_3,7,Ele,134.98736702127658,0.0,353.08,58,1504
1_10_3,8,Adv,209.04727793696276,0.0,463.22222222222223,59,1396
1_10_3,8,Ele,164.8171334431631,0.0,357.3,58,607
1_10_4,9,Adv,217.56878306878306,0.0,469.0551330798479,59,1134
1_10_4,9,Ele,169.7454268292683,0.0,447.2008032128514,58,656
1_10_4,10,Adv,170.20203045685278,0.0,407.9051094890511,58,985
1_10_4,10,Ele,182.0460021905805,0.0,448.0,58,913
1_10_4,11,Adv,95.1457055214724,0.0,333.52150537634407,57,652
1_10_4,11,Ele,90.84497816593887,0.0,297.1928571428571,57,458
1_10_4,12,Adv,119.37126245847176,0.0,364.7791878172589,58,1204
1_10_4,12,Ele,169.77430972388956,0.0,446.1261829652997,58,833
1_10_4,13,Adv,102.85090218423552,0.0,355.08852459016396,58,1053
1_10_4,13,Ele,108.59410646387833,0.0,345.1389728096677,58,1052
1_10_5,14,Adv,193.09201388888889,0.0,418.12406015037595,59,576
1_10_5,14,Ele,219.96481481481482,0.0,471.3531746031746,57,540
1_10_5,15,Adv,357.61333333333334,180.0,596.0222222222222,59,600
1_10_5,15,Ele,164.42681047765794,0.0,383.85971223021585,58,649
1_10_5,16,Adv,250.67224409448818,108.0,485.11047619047616,59,1016
1_10_5,16,Ele,193.1263586956522,0.0,388.3633879781421,58,736
1_10_5,17,Adv,179.45782356728913,0.0,413.4985163204748,59,1553
1_10_5,17,Ele,120.65957446808511,0.0,354.4375,58,705
1_10_6,18,Adv,152.0405982905983,0.0,366.7783505154639,58,936
1_10_6,18,Ele,176.57267441860466,0.0,414.6143344709898,59,688
1_10_6,19,Adv,182.4060676779463,0.0,409.21989528795814,57,857
1_10_6,19,Ele,185.53306205493388,0.0,430.1391509433962,58,983
1_10_6,20,Adv,183.9853747714808,0.0,404.17670682730926,55,547
1_10_6,20,Ele,179.76134122287968,0.0,457.9849246231156,57,507
1_10_6,21,Adv,135.1931818181818,0.0,413.09027777777777,55,440
1_10_6,22,Adv,90.72029250457038,0.0,351.9432624113475,58,547
1_10_6,22,Ele,63.99831365935919,0.0,308.5447154471545,58,593
1_10_6,23,Adv,136.48230912476723,0.0,373.93367346938777,57,537
1_10_7,24,Adv,136.02422480620154,0.0,353.5944584382872,57,1032
1_10_7,24,Ele,168.080831408776,0.0,393.4,59,433
1_10_7,25,Adv,187.1759530791789,0.0,381.4362549800797,57,1023
1_10_7,25,Ele,167.16035856573706,0.0,384.9288990825688,59,1004
