text_id,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_10_1,Adv,223.57492740815553,205.0,223.57492740815553,59,7921
1_10_1,Ele,203.91443074691804,190.0,203.91443074691804,58,5516
1_10_2,Adv,210.05696202531647,192.0,210.05696202531647,58,7426
1_10_2,Ele,215.84379226399784,198.0,215.84379226399784,59,7394
1_10_3,Adv,225.8484427692918,204.0,225.8484427692918,59,10082
1_10_3,Ele,206.85129553135562,192.0,206.85129553135562,58,5326
1_10_4,Adv,223.26119103110182,202.0,223.26119103110182,59,12443
1_10_4,Ele,211.00600540486437,194.0,211.00600540486437,58,9991
1_10_5,Adv,222.75499273783586,204.0,222.75499273783586,59,11016
1_10_5,Ele,207.2816742081448,190.0,207.2816742081448,58,7072
1_10_6,Adv,209.86760913172222,192.0,209.86760913172222,58,10469
1_10_6,Ele,220.75047759000734,201.0,220.75047759000734,59,6805
1_10_7,Adv,205.76807845673025,188.0,205.76807845673025,58,9279
1_10_7,Ele,215.33547456738333,199.0,215.33547456738333,59,7628
1_1_1,Adv,212.052522610875,195.0,212.052522610875,58,9177
1_1_1,Ele,216.2436481127919,198.0,216.2436481127919,59,6809
1_1_2,Adv,211.17549504950495,195.0,211.17549504950495,58,8080
1_1_2,Ele,216.70889629759606,199.0,216.70889629759606,59,5699
1_1_3,Adv,219.21455659276546,200.0,219.21455659276546,59,6856
1_1_3,Ele,208.67446436379535,194.0,208.67446436379535,58,4574
1_1_4,Adv,217.93702361614393,201.0,217.93702361614393,59,8003
1_1_4,Ele,209.37460035523978,193.0,209.37460035523978,58,5630
1_1_5,Adv,214.51598894591393,197.0,214.51598894591393,59,5066
1_1_5,Ele,205.02485659655832,190.0,205.02485659655832,58,4184
1_1_6,Adv,209.49254449254448,194.0,209.49254449254448,58,10395
1_1_6,Ele,216.47753889180214,201.0,216.47753889180214,59,5721
1_1_7,Adv,216.26558800315706,200.0,216.26558800315706,59,10136
1_1_7,Ele,205.9221678203613,190.0,205.9221678203613,58,5923
1_2_1,Adv,219.14159113796575,201.0,219.14159113796575,59,9930
1_2_1,Ele,212.159765625,195.0,212.159765625,58,7680
1_2_2,Adv,219.6057515806649,200.0,219.6057515806649,59,9806
1_2_2,Ele,210.07573705594334,194.0,210.07573705594334,58,9599
1_2_3,Adv,213.06471966828917,196.0,213.06471966828917,58,11094
1_2_3,Ele,222.4016756244072,201.0,222.4016756244072,59,6326
1_2_4,Adv,205.82649506483452,190.0,205.82649506483452,58,10334
1_2_4,Ele,213.80551943360786,197.0,213.80551943360786,59,6921
1_2_5,Adv,211.3402652877698,195.0,211.3402652877698,58,8896
1_2_5,Ele,214.7069627650693,198.0,214.7069627650693,59,5989
1_2_6,Adv,224.42295188556568,206.0,224.42295188556568,59,6152
1_2_6,Ele,213.53591705751666,197.0,213.53591705751666,58,4051
1_3_1,Adv,219.07741834170855,203.0,219.07741834170855,59,6368
1_3_1,Ele,208.5505968778696,192.0,208.5505968778696,58,5445
1_3_2,Adv,214.35090030742205,199.0,214.35090030742205,58,6831
1_3_2,Ele,215.62955927051672,200.0,215.62955927051672,59,5264
1_3_3,Adv,221.00761711311412,203.0,221.00761711311412,59,7877
1_3_3,Ele,213.43690400508584,194.0,213.43690400508584,58,6292
1_3_4,Adv,214.84713300023793,196.0,214.84713300023793,58,8406
1_3_4,Ele,211.2078087940157,195.0,211.2078087940157,59,5481
1_3_5,Adv,213.02252182044887,194.0,213.02252182044887,58,12832
1_3_5,Ele,220.71284965034965,203.0,220.71284965034965,59,4576
1_4_1,Adv,209.79082597730138,194.0,209.79082597730138,58,12688
1_4_1,Ele,218.86107164603206,199.0,218.86107164603206,59,9854
1_4_2,Adv,213.44528083381587,194.0,213.44528083381587,58,12089
1_4_2,Ele,213.80832969908417,198.0,213.80832969908417,59,9172
1_4_3,Adv,217.81501578531964,198.0,217.81501578531964,59,10136
1_4_3,Ele,207.9755481937214,192.0,207.9755481937214,58,6339
1_4_4,Adv,217.8146470366176,200.0,217.8146470366176,59,13245
1_4_4,Ele,209.37370309318337,192.0,209.37370309318337,58,10313
1_4_5,Adv,211.6320564516129,196.0,211.6320564516129,58,6944
1_4_5,Ele,217.34574771689498,200.0,217.34574771689498,59,7008
1_5_1,Adv,218.17256097560977,201.0,218.17256097560977,59,4920
1_5_1,Ele,208.21966101694915,192.0,208.21966101694915,58,4425
1_5_2,Adv,221.42846413819,203.0,221.42846413819,59,10652
1_5_2,Ele,207.38606158833062,192.0,207.38606158833062,58,9255
1_5_3,Adv,211.91341579448144,195.0,211.91341579448144,58,10510
1_5_3,Ele,218.4735898496759,201.0,218.4735898496759,59,7251
1_5_4,Adv,221.46495766698024,202.0,221.46495766698024,59,12756
1_5_4,Ele,209.98559531847852,194.0,209.98559531847852,58,8886
1_5_5,Adv,212.20729983292637,195.0,212.20729983292637,58,7781
1_5_5,Ele,218.18657187993682,200.0,218.18657187993682,59,6330
1_6_1,Adv,220.1322601416613,201.0,220.1322601416613,59,7765
1_6_1,Ele,210.78879764160877,193.0,210.78879764160877,58,4749
1_6_2,Adv,211.75073717318656,194.0,211.75073717318656,58,10174
1_6_2,Ele,215.96713874751052,199.0,215.96713874751052,59,9038
1_6_3,Adv,223.624675177946,203.0,223.624675177946,59,8851
1_6_3,Ele,212.9781642259414,196.0,212.9781642259414,58,7648
1_6_4,Adv,211.83657831930662,194.0,211.83657831930662,58,7961
1_6_4,Ele,213.29312474269247,195.0,213.29312474269247,59,7287
1_7_1,Adv,210.40771591407278,193.0,210.40771591407278,58,9124
1_7_1,Ele,210.56620672960543,195.0,210.56620672960543,59,8262
1_7_2,Adv,208.58680393074403,193.0,208.58680393074403,58,8548
1_7_2,Ele,214.60926057169857,198.0,214.60926057169857,58,8466
1_7_3,Adv,219.84486977801083,200.0,219.84486977801083,59,11442
1_7_3,Ele,210.94707220692132,193.0,210.94707220692132,58,8351
1_7_4,Adv,215.00762081784387,197.0,215.00762081784387,59,10760
1_7_4,Ele,206.17448292448293,190.0,206.17448292448293,58,8316
1_8_1,Adv,207.04073220996486,191.0,207.04073220996486,58,8249
1_8_1,Ele,208.73350545037292,193.0,208.73350545037292,59,6972
1_8_2,Adv,218.972652305621,202.0,218.972652305621,59,11884
1_8_2,Ele,212.19854574833366,194.0,212.19854574833366,58,9902
1_8_3,Adv,216.90997830802604,199.0,216.90997830802604,59,11064
1_8_3,Ele,209.11757379499315,192.0,209.11757379499315,58,8029
1_8_4,Adv,218.08658913320008,198.0,218.08658913320008,59,11006
1_8_4,Ele,208.96372950819674,191.0,208.96372950819674,58,9760
1_8_5,Adv,216.85943198143443,199.0,216.85943198143443,58,9049
1_8_5,Ele,216.47457627118644,200.0,216.47457627118644,59,6844
1_9_1,Adv,209.53666121112929,191.0,209.53666121112929,58,6110
1_9_1,Ele,214.5758331444117,197.0,214.5758331444117,59,4411
1_9_2,Adv,218.1633972105681,200.0,218.1633972105681,59,8819
1_9_2,Ele,207.77264251465104,191.0,207.77264251465104,58,7508
1_9_3,Adv,220.44681969511126,202.0,220.44681969511126,59,5707
1_9_3,Ele,201.0935467733867,186.0,201.0935467733867,58,3998
1_9_4,Adv,208.34867558353002,194.0,208.34867558353002,58,7626
1_9_4,Ele,214.71506144612746,199.0,214.71506144612746,59,6998
1_9_5,Adv,209.76517181129879,192.0,209.76517181129879,58,8585
1_9_5,Ele,219.73549723756906,202.0,219.73549723756906,59,5792
1_9_6,Adv,213.03415317955907,197.0,213.03415317955907,58,7847
1_9_6,Ele,216.65741444866921,198.0,216.65741444866921,59,7890
2_10_1,Adv,215.30010667298802,195.0,215.30010667298802,54,8437
