text_id,align_idx,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_10_1,0,Adv,221.69186746987953,203.0,221.69186746987953,59,3320
1_10_1,0,Ele,205.3837123991196,191.0,205.3837123991196,58,2726
1_10_1,1,Adv,225.8908879860708,208.0,225.8908879860708,59,1723
1_10_1,1,Ele,197.35123042505592,182.0,197.35123042505592,58,1341
1_10_1,2,Adv,224.36066712995137,206.0,224.36066712995137,59,2878
1_10_1,2,Ele,207.22429261559697,193.0,207.22429261559697,58,1449
1_10_2,3,Adv,214.81054567749845,194.0,214.81054567749845,58,1631
1_10_2,3,Ele,217.0529197080292,201.0,217.0529197080292,59,1644
1_10_2,4,Adv,213.86389337641356,198.0,213.86389337641356,58,2476
1_10_2,4,Ele,216.81329252295583,199.0,216.81329252295583,59,2287
1_10_2,5,Adv,203.88553259141494,188.0,203.88553259141494,58,1887
1_10_2,5,Ele,216.8932668329177,199.0,216.8932668329177,59,2005
1_10_2,6,Adv,206.1927374301676,187.0,206.1927374301676,58,1432
1_10_2,6,Ele,211.5164609053498,192.0,211.5164609053498,59,1458
1_10_3,7,Adv,225.52164915631965,203.0,225.52164915631965,59,6282
1_10_3,7,Ele,204.76790381599582,191.0,204.76790381599582,58,3826
1_10_3,8,Adv,226.38868421052632,207.0,226.38868421052632,59,3800
1_10_3,8,Ele,212.16533333333334,198.0,212.16533333333334,58,1500
1_10_4,9,Adv,224.4857142857143,204.0,224.4857142857143,59,3255
1_10_4,9,Ele,212.38246268656715,193.5,212.38246268656715,58,1608
1_10_4,10,Adv,232.0742574257426,210.0,232.0742574257426,59,2626
1_10_4,10,Ele,212.66267763649964,195.0,212.66267763649964,58,2674
1_10_4,11,Adv,218.68343815513626,196.0,218.68343815513626,59,1431
1_10_4,11,Ele,206.68613138686132,193.0,206.68613138686132,58,1096
1_10_4,12,Adv,218.3266806722689,201.0,218.3266806722689,59,2856
1_10_4,12,Ele,209.584285061672,194.0,209.584285061672,58,2189
1_10_4,13,Adv,220.41054945054944,200.0,220.41054945054944,58,2275
1_10_4,13,Ele,211.50247524752476,193.0,211.50247524752476,58,2424
1_10_5,14,Adv,217.28071253071252,196.0,217.28071253071252,59,1628
1_10_5,14,Ele,206.50221659278023,190.0,206.50221659278023,58,1579
1_10_5,15,Adv,235.00660689004246,209.0,235.00660689004246,59,2119
1_10_5,15,Ele,210.20567786790266,192.0,210.20567786790266,58,1726
1_10_5,16,Adv,224.80569782330346,205.0,224.80569782330346,59,3124
1_10_5,16,Ele,211.4134755210858,193.0,211.4134755210858,58,2063
1_10_5,17,Adv,217.0962605548854,202.0,217.0962605548854,59,4145
1_10_5,17,Ele,200.0399061032864,184.0,200.0399061032864,58,1704
1_10_6,18,Adv,208.92898719441212,193.0,208.92898719441212,58,2577
1_10_6,18,Ele,221.10517529215358,203.0,221.10517529215358,59,1797
1_10_6,19,Adv,210.4078358208955,194.0,210.4078358208955,58,2680
1_10_6,19,Ele,221.83169097359087,202.0,221.83169097359087,58,2537
1_10_6,20,Adv,212.94596354166666,192.0,212.94596354166666,58,1536
1_10_6,20,Ele,225.68952802359883,200.0,225.68952802359883,58,1356
1_10_6,21,Adv,217.45144356955382,196.0,217.45144356955382,58,1143
1_10_6,22,Adv,202.7632183908046,189.0,202.7632183908046,58,1305
1_10_6,22,Ele,211.7121076233184,195.0,211.7121076233184,58,1115
1_10_6,23,Adv,207.29885993485343,188.0,207.29885993485343,57,1228
1_10_7,24,Adv,203.87355435620663,187.0,203.87355435620663,58,2594
1_10_7,24,Ele,222.44656488549617,198.5,222.44656488549617,59,1048
1_10_7,25,Adv,207.48344370860926,188.0,207.48344370860926,58,3020
1_10_7,25,Ele,214.144564811356,199.0,214.144564811356,59,2677
1_10_7,26,Adv,210.52503912363068,191.0,210.52503912363068,58,1278
1_10_7,26,Ele,217.2217659137577,201.0,217.2217659137577,59,1461
1_10_7,27,Adv,203.1097612065354,187.0,203.1097612065354,58,2387
1_10_7,27,Ele,212.46068796068795,196.5,212.46068796068795,59,2442
1_1_1,28,Adv,213.78850957535388,196.0,213.78850957535388,58,2402
1_1_1,28,Ele,221.33828571428572,202.0,221.33828571428572,59,1750
1_1_1,29,Adv,209.55147928994083,193.0,209.55147928994083,58,1690
1_1_1,29,Ele,211.00222222222223,194.5,211.00222222222223,59,1350
1_1_1,30,Adv,207.3336103032821,191.0,207.3336103032821,58,2407
1_1_1,30,Ele,209.6218731820826,193.0,209.6218731820826,59,1719
1_1_1,31,Adv,216.31516056758775,197.5,216.31516056758775,58,2678
1_1_1,31,Ele,221.0391959798995,201.0,221.0391959798995,59,1990
1_1_2,32,Adv,213.62829736211032,196.0,213.62829736211032,58,1251
1_1_2,33,Adv,210.73721881390594,197.0,210.73721881390594,58,978
1_1_2,33,Ele,219.2213516160627,200.0,219.2213516160627,59,1021
1_1_2,34,Adv,208.49079541507467,194.0,208.49079541507467,58,2879
1_1_2,34,Ele,216.433203125,199.0,216.433203125,59,2560
1_1_2,35,Adv,208.95760869565217,191.0,208.95760869565217,58,920
1_1_2,35,Ele,215.16252587991718,197.5,215.16252587991718,59,966
1_1_2,36,Adv,209.3010146561443,196.0,209.3010146561443,58,887
1_1_2,36,Ele,216.07391304347826,200.0,216.07391304347826,59,920
1_1_2,37,Adv,218.7227467811159,195.0,218.7227467811159,58,1165
1_1_2,37,Ele,217.65086206896552,190.0,217.65086206896552,59,232
1_1_3,38,Adv,219.25140765765767,201.0,219.25140765765767,59,3552
1_1_3,38,Ele,209.46790821416695,193.0,209.46790821416695,58,3007
1_1_3,39,Adv,222.21272114574558,201.0,222.21272114574558,59,2374
1_1_3,39,Ele,210.79642058165547,201.5,210.79642058165547,58,894
1_1_3,40,Adv,211.42043010752687,194.0,211.42043010752687,59,930
1_1_3,40,Ele,202.3105497771174,191.0,202.3105497771174,58,673
1_1_4,41,Adv,219.41905120481928,202.0,219.41905120481928,59,2656
1_1_4,41,Ele,209.76335214937038,196.0,209.76335214937038,58,2303
1_1_4,42,Adv,212.94077134986225,198.0,212.94077134986225,59,2178
1_1_4,42,Ele,207.07821901323706,188.0,207.07821901323706,58,1662
1_1_4,43,Adv,218.49841938883034,204.0,218.49841938883034,59,1898
1_1_4,43,Ele,211.12912912912913,195.0,211.12912912912913,58,1665
1_1_4,44,Adv,222.5633359559402,201.0,222.5633359559402,59,1271
1_1_5,45,Adv,218.0612244897959,201.0,218.0612244897959,59,1225
1_1_5,45,Ele,209.16521106259097,194.0,209.16521106259097,58,1374
1_1_5,46,Adv,211.07469717362045,197.0,211.07469717362045,59,1486
1_1_5,46,Ele,201.53538175046555,186.0,201.53538175046555,58,1074
1_1_5,47,Adv,204.8148148148148,193.0,204.8148148148148,59,540
1_1_5,48,Adv,217.82699724517906,197.0,217.82699724517906,59,1815
1_1_5,48,Ele,203.90668202764977,187.5,203.90668202764977,58,1736
1_1_6,49,Adv,215.37449879711306,199.0,215.37449879711306,58,2494
1_1_6,50,Adv,208.75897129186603,195.5,208.75897129186603,58,1672
1_1_6,51,Adv,205.79788639365918,188.0,205.79788639365918,58,2271
1_1_6,51,Ele,214.3851717902351,201.5,214.3851717902351,59,2212
1_1_6,52,Adv,208.21601819100556,192.5,208.21601819100556,58,3958
1_1_6,52,Ele,217.7965232259903,201.0,217.7965232259903,59,3509
1_1_7,53,Adv,207.06983240223462,189.5,207.06983240223462,59,716
1_1_7,53,Ele,201.4633431085044,190.0,201.4633431085044,58,682
1_1_7,54,Adv,211.919261822376,201.0,211.919261822376,59,867
1_1_7,55,Adv,226.3952153110048,210.0,226.3952153110048,59,1045
1_1_7,55,Ele,206.8518907563025,189.5,206.8518907563025,58,952
1_1_7,56,Adv,214.0324881141046,200.0,214.0324881141046,59,1262
1_1_7,56,Ele,210.1528059499662,194.0,210.1528059499662,58,1479
1_1_7,57,Adv,210.79081015719467,195.0,210.79081015719467,59,1654
1_1_7,57,Ele,208.68021319120587,193.0,208.68021319120587,58,1501
1_1_7,58,Adv,216.3454647256439,197.0,216.3454647256439,59,1786
1_1_7,58,Ele,199.62643239113828,183.0,199.62643239113828,58,1309
1_1_7,59,Adv,222.61769911504425,207.0,222.61769911504425,59,1695
1_1_7,60,Adv,216.92349234923492,199.0,216.92349234923492,59,1111
1_2_1,61,Adv,222.28838383838385,202.0,222.28838383838385,59,1980
1_2_1,61,Ele,210.4187898089172,193.0,210.4187898089172,58,1884
1_2_1,62,Adv,216.88088283024993,200.0,216.88088283024993,59,3081
1_2_1,62,Ele,217.29196704428423,200.0,217.29196704428423,58,1942
1_2_1,63,Adv,222.94688796680498,201.0,222.94688796680498,59,2410
1_2_1,63,Ele,214.31108144192257,195.0,214.31108144192257,58,1498
1_2_1,64,Adv,215.71085807238714,200.0,215.71085807238714,59,2459
1_2_1,64,Ele,207.9537351443124,190.0,207.9537351443124,58,2356
1_2_2,65,Adv,223.78743961352657,204.0,223.78743961352657,59,1242
1_2_2,65,Ele,210.07980049875312,191.0,210.07980049875312,58,802
1_2_2,66,Adv,218.48360128617364,200.0,218.48360128617364,59,1555
1_2_2,66,Ele,203.74819494584838,187.0,203.74819494584838,58,1108
1_2_2,67,Adv,213.36111111111111,199.0,213.36111111111111,59,900
1_2_2,67,Ele,200.7405063291139,187.0,200.7405063291139,58,948
1_2_2,68,Adv,224.68463611859838,197.0,224.68463611859838,59,2226
1_2_2,68,Ele,213.94996090695855,196.0,213.94996090695855,58,2558
1_2_2,69,Adv,218.6469900642899,203.0,218.6469900642899,59,1711
1_2_2,69,Ele,206.2101096224117,192.0,206.2101096224117,58,1642
1_2_2,70,Adv,216.15561694290977,199.0,216.15561694290977,59,2172
1_2_2,70,Ele,214.91420700511608,199.0,214.91420700511608,58,2541
1_2_3,71,Adv,211.35586734693877,198.0,211.35586734693877,58,2352
1_2_3,72,Adv,214.7609799161333,198.0,214.7609799161333,58,4531
1_2_3,72,Ele,224.6813621964097,203.0,224.6813621964097,59,3788
1_2_3,73,Adv,215.16676904176904,197.0,215.16676904176904,58,3256
1_2_3,73,Ele,218.99921197793537,198.5,218.99921197793537,59,2538
1_2_3,74,Adv,202.0586387434555,186.0,202.0586387434555,58,955
1_2_4,75,Adv,206.86781800066424,189.0,206.86781800066424,58,3011
1_2_4,75,Ele,218.26886035313,201.0,218.26886035313,59,2492
1_2_4,76,Adv,209.6116552399608,197.0,209.6116552399608,58,2042
1_2_4,76,Ele,215.451832460733,197.5,215.451832460733,59,1910
1_2_4,77,Adv,206.3008641005499,193.0,206.3008641005499,58,1273
1_2_4,77,Ele,211.91555555555556,200.0,211.91555555555556,59,450
1_2_4,78,Adv,202.52849740932643,188.0,202.52849740932643,58,579
1_2_4,78,Ele,213.32315978456015,196.0,213.32315978456015,59,557
1_2_4,79,Adv,215.11711711711712,197.0,215.11711711711712,58,666
