text_id,align_idx,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
1_10_1,0,Adv,186.21872265966755,174.0,263.5888544891641,59,2286
1_10_1,0,Ele,183.56112852664577,170.0,250.4176764076978,58,1914
1_10_1,1,Adv,224.16949152542372,197.0,293.2252042007001,59,1121
1_10_1,1,Ele,165.05807622504537,158.0,233.7969151670951,58,1102
1_10_1,2,Adv,179.17651922281934,170.0,258.6085918854415,59,2419
1_10_1,2,Ele,173.11658456486043,171.0,235.0680044593088,58,1218
1_10_2,3,Adv,212.42456896551724,187.5,264.24932975871315,58,928
1_10_2,3,Ele,192.57448706512042,188.0,253.3755868544601,59,1121
1_10_2,4,Adv,196.30499405469678,187.0,259.37549096622155,58,1682
1_10_2,4,Ele,196.90026075619295,187.5,259.48883161512026,59,1534
1_10_2,5,Adv,167.55106100795757,162.0,234.60259981429897,58,1508
1_10_2,5,Ele,169.06476997578693,164.0,246.94518125552608,59,1652
1_10_2,6,Adv,173.62260536398466,170.5,237.8766404199475,58,1044
1_10_2,6,Ele,184.06403013182674,173.0,244.95739348370927,59,1062
1_10_3,7,Adv,199.57627118644066,179.0,272.90388548057257,59,4012
1_10_3,7,Ele,173.83554376657824,166.0,242.27726432532347,58,3016
1_10_3,8,Adv,207.12153782554773,189.0,272.0016286644951,59,2419
1_10_3,8,Ele,161.10098522167488,157.0,234.99520958083832,58,1218
1_10_4,9,Adv,215.60269192422732,188.0,279.5727213962508,59,2006
1_10_4,9,Ele,202.91954022988506,184.0,258.9828850855746,58,1044
1_10_4,10,Adv,215.1273920174959,194.0,286.99343544857766,59,1829
1_10_4,10,Ele,187.57596982758622,172.0,251.1839826839827,58,1856
1_10_4,11,Adv,162.0699152542373,158.0,249.17589576547232,59,1416
1_10_4,11,Ele,158.2787356321839,158.5,232.40928270042195,58,1044
1_10_4,12,Adv,185.60677966101696,172.0,260.42330558858504,59,2360
1_10_4,12,Ele,176.59067688378033,166.0,241.09938971229295,58,1566
1_10_4,13,Adv,171.72511848341233,163.0,259.92826398852225,59,2110
1_10_4,13,Ele,167.97809878844362,161.0,249.46782006920415,58,2146
1_10_5,14,Adv,216.19341974077767,190.0,283.82460732984293,59,1003
1_10_5,14,Ele,196.90409482758622,185.5,252.7344398340249,58,928
1_10_5,15,Adv,218.56556645851919,189.0,286.89929742388756,59,1121
1_10_5,15,Ele,182.27351097178683,172.0,244.3077731092437,58,1276
1_10_5,16,Adv,211.61563696008747,191.0,273.1439661256175,59,1829
1_10_5,16,Ele,187.23563218390805,176.0,250.6076923076923,58,1392
1_10_5,17,Adv,180.09419817470666,174.0,248.2160826594789,59,3068
1_10_5,17,Ele,150.8660477453581,152.0,227.506,58,1508
1_10_6,18,Adv,201.17733990147784,183.0,259.5011914217633,58,1624
1_10_6,18,Ele,218.78305084745762,193.0,284.6350606394708,59,1180
1_10_6,19,Adv,184.14015572858733,177.0,244.34243542435425,58,1798
1_10_6,19,Ele,181.5130970724191,174.0,259.28539985326483,59,1947
1_10_6,20,Adv,182.03085299455535,171.0,252.0075376884422,58,1102
1_10_6,20,Ele,180.61016949152543,170.0,264.198347107438,59,1062
1_10_6,21,Adv,196.10459770114943,173.0,268.2562893081761,58,870
1_10_6,22,Adv,171.12431941923774,162.0,245.54557291666666,58,1102
1_10_6,22,Ele,171.04192685102586,162.0,258.0592193808883,59,1121
1_10_6,23,Adv,181.89978448275863,169.5,247.51173020527858,58,928
1_10_7,24,Adv,171.6665024630542,166.0,240.99792531120332,58,2030
1_10_7,24,Ele,200.8870056497175,184.0,262.89833641404806,59,708
1_10_7,25,Adv,177.5726933830382,168.0,241.94984126984127,58,2146
1_10_7,25,Ele,190.10169491525423,184.0,251.1630510846746,59,1888
1_10_7,26,Adv,172.04051724137932,167.0,244.8674846625767,58,1160
1_10_7,26,Ele,184.34745762711864,178.5,252.9418604651163,59,1180
1_10_7,27,Adv,147.3608660785886,150.0,224.78165137614678,58,2494
1_10_7,27,Ele,159.0491525423729,156.0,247.27009222661397,59,2360
1_1_1,28,Adv,187.5954433497537,175.0,258.840271877655,58,1624
1_1_1,28,Ele,176.37994350282486,171.0,255.37218813905932,59,1416
1_1_1,29,Adv,171.81310344827585,163.0,250.38090452261306,58,1450
1_1_1,29,Ele,166.8410008071025,165.0,243.48174322732626,59,1239
1_1_1,30,Adv,204.45172413793102,186.0,259.82033304119193,58,1450
1_1_1,30,Ele,170.64406779661016,167.0,253.5107913669065,59,1652
1_1_1,31,Adv,185.0846855983773,174.5,263.90961677512655,58,1972
1_1_1,31,Ele,171.98523783488244,167.0,256.9942810457516,59,1829
1_1_2,32,Adv,201.1793103448276,186.0,254.39825581395348,58,870
1_1_2,33,Adv,182.8526645768025,174.0,253.6086956521739,58,638
1_1_2,33,Ele,196.77657935285055,181.0,261.16155419222906,59,649
1_1_2,34,Adv,183.06760435571687,173.0,254.08123425692696,58,2204
1_1_2,34,Ele,182.55302663438258,171.0,258.73164035689774,59,2065
1_1_2,35,Adv,165.86330049261085,162.0,246.66849816849816,58,812
1_1_2,35,Ele,181.92203389830507,169.0,252.74882260596547,59,885
1_1_2,36,Adv,145.98377281947262,144.0,232.9126213592233,58,986
1_1_2,36,Ele,146.48706512042818,151.0,243.6379821958457,59,1121
1_1_2,37,Adv,170.19540229885058,138.5,287.9805510534846,58,1044
1_1_2,37,Ele,140.6135593220339,125.0,245.44970414201183,59,295
1_1_3,38,Adv,194.26498553121124,172.0,274.16977829638273,59,2419
1_1_3,38,Ele,167.39094827586206,164.0,240.01668726823237,58,2320
1_1_3,39,Adv,203.91585956416466,181.0,274.5468622656887,59,1652
1_1_3,39,Ele,179.89811912225704,175.0,245.7708779443255,58,638
1_1_3,40,Adv,152.72781655034896,155.0,238.60747663551402,59,1003
1_1_3,40,Ele,155.7198275862069,145.0,227.21383647798743,58,696
1_1_4,41,Adv,209.62361192285212,190.0,278.4673913043478,59,1711
1_1_4,41,Ele,178.24457215836526,179.0,237.55829787234043,58,1566
1_1_4,42,Adv,183.96751412429379,174.0,249.04206500956022,59,1416
1_1_4,42,Ele,173.76880877742946,168.0,246.09211986681464,58,1276
1_1_4,43,Adv,219.34968777876895,201.0,291.6856465005931,59,1121
1_1_4,43,Ele,189.55679513184583,172.0,253.94429347826087,58,986
1_1_4,44,Adv,164.03835860838538,164.0,243.8819628647215,59,1121
1_1_5,45,Adv,212.09533898305085,187.5,282.394922425952,59,944
1_1_5,45,Ele,198.19827586206895,187.5,247.21505376344086,58,928
1_1_5,46,Adv,158.72881355932202,157.0,245.60433295324972,59,1357
1_1_5,46,Ele,178.37586206896552,167.0,243.62166405023547,58,870
1_1_5,47,Adv,145.5949152542373,156.0,230.2975871313673,59,590
1_1_5,48,Adv,167.53194263363756,162.5,250.970703125,59,1534
1_1_5,48,Ele,158.86356821589206,157.0,226.89935760171306,58,1334
1_1_6,49,Adv,202.4263925729443,187.0,270.14070796460175,58,1508
1_1_6,50,Adv,172.46647509578543,172.5,235.36601307189542,58,1044
1_1_6,51,Adv,197.8469827586207,180.0,259.08090310442145,58,1392
