text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_10_1,Adv,158.3228630278064,167.0,222.3695756991321,59,5826
1_10_1,Ele,149.73382144544166,158.0,205.96913580246914,58,4234
1_10_2,Adv,160.9736536226269,168.0,215.38258164852255,58,5162
1_10_2,Ele,161.59973924380705,170.0,219.93130544993662,59,5369
1_10_3,Adv,169.80516249416888,173.0,228.64677554438862,59,6431
1_10_3,Ele,147.75436939064716,158.0,208.6002000666889,58,4234
1_10_4,Adv,160.72842300174878,166.0,225.94953000723066,59,9721
1_10_4,Ele,152.71264367816093,160.0,212.30579262756493,58,7656
1_10_5,Adv,166.62868537245407,173.0,222.3721725907622,59,7021
1_10_5,Ele,153.5282131661442,161.0,210.9308209959623,58,5104
1_10_6,Adv,158.3706896551724,165.0,213.92721979621544,58,7424
1_10_6,Ele,157.44952919020716,165.0,223.60443968975662,59,5310
1_10_7,Adv,147.51941251596423,157.0,211.12721623103639,58,7830
1_10_7,Ele,154.26678617992178,164.0,217.7049218031279,59,6136
1_1_1,Adv,154.06958128078819,164.0,213.12521294718908,58,6496
1_1_1,Ele,147.44605606258148,160.0,217.32620706221473,59,6136
1_1_2,Adv,146.50106805004577,156.5,212.56763338499005,58,6554
1_1_2,Ele,148.2741774675972,160.0,217.0446584938704,59,5015
1_1_3,Adv,155.89002759164367,164.0,220.76081495953113,59,5074
1_1_3,Ele,145.71401204159824,158.0,207.8216237314598,58,3654
1_1_4,Adv,161.0975973179363,171.0,220.0287458661918,59,5369
1_1_4,Ele,154.06844305120168,164.0,209.73470839260312,58,3828
1_1_5,Adv,144.65830508474576,158.0,214.58699296010727,59,4425
1_1_5,Ele,152.20242656449554,161.0,205.9170626349892,58,3132
1_1_6,Adv,154.87888287261327,163.0,213.5442043222004,58,7018
1_1_6,Ele,154.01694915254237,165.0,217.09556313993173,59,4543
1_1_7,Adv,153.30141664558562,164.0,218.69379285456515,59,7906
1_1_7,Ele,145.02225340817964,157.0,208.52435860478525,58,4988
1_2_1,Adv,161.76844850065189,169.0,222.43886697741127,59,7670
1_2_1,Ele,158.3253448275862,166.0,214.00302959683057,58,5800
1_2_2,Adv,159.59308474576272,167.0,220.61836925960637,59,7375
1_2_2,Ele,156.0344827586207,163.0,213.89983117613957,58,7308
1_2_3,Adv,152.93253373313343,163.0,214.26080868195345,58,8004
1_2_3,Ele,164.85101485666456,171.0,226.8422113446588,59,4779
1_2_4,Adv,144.610320713769,155.0,208.73616428820048,58,8294
1_2_4,Ele,142.565593220339,153.5,215.67615384615385,59,5900
1_2_5,Adv,153.48035982008994,160.0,213.22932722349512,58,6670
1_2_5,Ele,150.81519297529098,161.0,215.82174167153713,59,4897
1_2_6,Adv,162.57500632431066,172.0,221.83603727994478,59,3953
1_2_6,Ele,147.8692033293698,156.0,213.67353951890036,58,3364
1_3_1,Adv,156.1079723791588,166.0,222.3666169895678,59,4779
1_3_1,Ele,141.79109863672815,153.0,211.81611260856545,58,4988
1_3_2,Adv,164.67876588021778,171.0,217.46674655482326,58,4408
1_3_2,Ele,161.07118644067796,173.0,221.0046511627907,59,3835
1_3_3,Adv,155.297089862488,167.0,220.53315168029064,59,6254
1_3_3,Ele,141.12667876588023,150.0,212.5773646801531,58,5510
1_3_4,Adv,152.37870003051572,159.0,217.72182254196642,58,6554
1_3_4,Ele,144.21368804977473,158.0,211.97729422894986,59,4661
1_3_5,Adv,151.1073275862069,158.0,215.5026894114031,58,9280
1_3_5,Ele,146.72390076148366,161.0,218.71585499816916,59,4071
1_4_1,Adv,156.34382647385985,164.0,211.89974370571386,58,8990
1_4_1,Ele,156.72206038135593,165.0,219.46319302799927,59,7552
1_4_2,Adv,150.41630292448713,158.0,215.27643292206778,58,9164
1_4_2,Ele,147.40870296910686,159.0,217.46639475084234,59,8319
1_4_3,Adv,164.5051167252958,170.0,221.9665587918015,59,6254
1_4_3,Ele,152.29310344827587,162.0,210.9219569015725,58,4756
1_4_4,Adv,158.6150730199339,166.0,222.084776119403,59,9381
1_4_4,Ele,152.90215867675917,159.0,212.3426124197002,58,7134
1_4_5,Adv,153.3906739811912,162.0,214.31864221188064,58,5104
1_4_5,Ele,157.06168703192748,164.0,219.11767940610395,59,5074
1_5_1,Adv,146.88653483992468,157.0,217.86801675977654,59,4248
1_5_1,Ele,144.63018490754624,156.5,210.7062249726975,58,4002
1_5_2,Adv,149.97435615232226,161.0,219.6432946486138,59,9086
1_5_2,Ele,148.52702007205352,157.0,211.65236523652365,58,7772
1_5_3,Adv,167.23208395802098,172.0,217.68891491022637,58,6670
1_5_3,Ele,162.25073056691994,171.0,219.91893319250067,59,5133
1_5_4,Adv,165.27428509059158,173.0,223.86797752808988,59,9162
1_5_4,Ele,158.47711598746082,166.0,214.89564293304994,58,6380
1_5_5,Adv,161.88676032354192,167.0,218.1084026383711,58,4698
1_5_5,Ele,165.62425399856767,172.0,223.5900741218176,59,4189
1_6_1,Adv,162.65214820654316,172.0,220.02052785923755,59,5074
1_6_1,Ele,156.06048615036744,162.0,212.1175566653861,58,3538
1_6_2,Adv,159.39579552329099,166.0,215.48251891228787,58,6612
1_6_2,Ele,157.04356090606686,167.0,217.36812102609076,59,6313
1_6_3,Adv,167.6979661016949,172.0,224.5615070358602,59,5900
1_6_3,Ele,161.74757845796202,165.0,216.69893589410847,58,5162
1_6_4,Adv,149.36873780091088,158.0,214.21017028224867,58,6148
1_6_4,Ele,146.23891786179922,159.0,215.08197507190795,59,6136
1_7_1,Adv,138.79832123411978,148.0,212.8820459290188,58,8816
1_7_1,Ele,141.82658740197317,156.0,211.88227513227514,59,7906
1_7_2,Adv,139.94004117344312,149.0,211.84534476042072,58,7772
1_7_2,Ele,144.35358090185676,156.0,215.4019394419157,58,7540
1_7_3,Adv,157.83692166743015,165.0,220.62301904914358,59,8732
1_7_3,Ele,152.48703334283272,159.0,215.23612228479485,58,7018
1_7_4,Adv,144.68980877879184,155.0,217.3535172188673,59,9204
1_7_4,Ele,138.41109109624293,149.0,209.16410655259577,58,7772
1_8_1,Adv,141.89762931034483,151.0,207.82166107713553,58,7424
1_8_1,Ele,136.5879943502825,150.0,208.81947743467933,59,7080
1_8_2,Adv,163.8320377214222,169.0,221.2338668043366,59,7847
1_8_2,Ele,159.22056539297918,166.0,213.732693911593,58,6438
1_8_3,Adv,153.4512139257902,163.0,216.95854922279793,59,8732
1_8_3,Ele,147.28004684526422,157.0,210.56299706990373,58,6831
1_8_4,Adv,155.4718115158072,163.0,220.78695800614545,59,8319
1_8_4,Ele,146.1475512243878,154.0,211.4924968360152,58,8004
1_8_5,Adv,156.2122953674678,165.0,216.60734122192707,58,5742
1_8_5,Ele,156.00909466721785,166.0,217.638985005767,59,4838
1_9_1,Adv,145.1534090909091,153.0,208.98815232722143,58,5104
1_9_1,Ele,148.03898305084746,160.0,215.81397811507236,59,4130
1_9_2,Adv,156.6159719041075,166.0,220.67082616179002,59,6549
1_9_2,Ele,152.42259563818376,161.0,212.15526250311024,58,5594
1_9_3,Adv,151.712103127238,164.0,216.1639455782313,59,4189
1_9_3,Ele,134.8834720570749,146.0,203.1101163831692,58,3364
1_9_4,Adv,152.71251452925222,162.0,210.94514316296494,58,5162
1_9_4,Ele,151.4980443285528,165.0,213.37696747114376,59,5369
1_9_5,Adv,148.3573275862069,156.5,213.07614527445315,58,6960
1_9_5,Ele,161.1012429378531,169.0,223.541235497021,59,4425
1_9_6,Adv,147.59632373895695,156.0,216.15838898163605,58,7018
1_9_6,Ele,148.7678103899683,159.0,219.2097461928934,59,7257
2_10_1,Adv,140.79211918685604,148.0,214.09464323523184,54,7182
2_10_1,Ele,146.76513605442176,156.0,207.89665140929895,56,5880
2_10_2,Adv,149.86309184255563,156.0,215.20376817530206,54,7012
2_10_2,Ele,158.64269911504425,163.0,215.150235747964,56,6328
2_10_3,Adv,152.47466422466422,158.0,216.19000216403376,56,6552
2_10_3,Ele,140.20540265035677,146.5,213.90590979782272,54,5886
2_10_4,Adv,160.781015037594,166.0,218.55126157777067,56,8512
2_10_4,Ele,148.89915419648665,156.0,214.2865168539326,53,4611
2_1_1,Adv,162.2639225181598,169.0,216.7455023246412,56,6608
2_1_1,Ele,144.52777777777777,151.0,208.9611012882041,54,5724
2_1_2,Adv,153.7404485049834,159.0,215.78026034583252,56,7224
2_1_2,Ele,147.42787524366472,155.0,213.28398195149464,54,5130
2_1_3,Adv,135.5962613556953,145.0,209.26206524669723,54,5724
2_1_3,Ele,145.69196428571428,156.0,210.85068198133524,56,4032
2_1_4,Adv,132.56430976430977,140.0,211.33440687063876,54,8910
2_1_4,Ele,146.66071428571428,156.0,214.29140346058776,56,5320
2_1_5,Adv,149.346365783259,157.0,213.00860778443115,54,7622
2_1_5,Ele,164.15515222482435,166.0,218.95900039047248,56,6832
2_1_6,Adv,159.73060123329907,165.0,218.2452167807618,56,7784
2_1_6,Ele,144.1278140885984,152.0,207.43558923438724,54,5508
2_2_1,Adv,150.72672672672672,156.0,212.52787579393083,54,5994
2_2_1,Ele,161.47388814016173,163.0,217.25045330915685,56,5936
2_2_2,Adv,150.13059791817963,155.0,214.97036395147313,54,8262
2_2_2,Ele,154.55521783181356,161.0,214.89135411163937,56,7896
2_2_3,Adv,155.44644153957879,160.0,215.2335344394168,54,5508
2_2_3,Ele,170.59946013289036,173.0,218.8034620505992,56,4816
2_2_4,Adv,198.9502551020408,190.5,231.9360594795539,56,3136
2_2_4,Ele,158.71814814814815,163.0,210.99901526341705,54,2700
2_2_5,Adv,163.99603072983354,166.0,218.7547395388557,55,7810
2_2_5,Ele,147.59172724125995,156.0,209.52948402948402,54,5778
2_2_6,Adv,159.70365646258503,164.0,216.87240184757505,56,4704
2_2_6,Ele,141.08829844337092,154.0,204.55058365758754,54,3726
2_3_1,Adv,141.3979423868313,149.0,209.80887441481784,54,7290
2_3_1,Ele,149.5260989010989,156.0,211.53322969296542,56,7280
2_3_2,Adv,145.29817265280403,154.0,209.85456862031307,54,7935
2_3_2,Ele,160.15315934065933,164.0,214.51977920883164,56,5824
2_3_3,Adv,155.33403361344537,160.0,212.19738520408163,56,8568
2_3_3,Ele,141.36485421591806,149.0,207.20993358359803,54,5076
2_3_4,Adv,136.4576338928857,146.0,211.53469640644363,54,7506
2_3_4,Ele,154.54857910906298,161.0,214.23715730636147,56,5208
2_4_1,Adv,157.2086236933798,165.0,215.30032806441992,56,4592
2_4_1,Ele,135.33105413105412,148.0,205.63290043290044,54,3510
2_4_2,Adv,170.56512605042016,170.0,222.67964893033462,56,4760
2_4_2,Ele,151.71185983827493,159.0,208.15495562130178,53,3710
2_4_3,Adv,163.8194837340877,167.0,213.19903359410952,56,5656
2_4_3,Ele,151.0714115118223,160.0,206.84630477436232,53,4187
2_4_4,Adv,161.52488601823708,165.0,213.09949874686717,56,5264
2_4_4,Ele,154.03951165371808,161.0,205.1886457717327,53,4505
2_4_5,Adv,140.32896575821104,150.0,205.9069469366829,53,5724
2_4_5,Ele,156.15380184331798,161.5,212.94815396700707,56,5208
2_4_6,Adv,151.49788791889608,158.0,209.7345029239766,53,3551
2_4_6,Ele,158.66160714285715,165.0,209.12150632538982,56,4480
2_4_7,Adv,164.97282608695653,166.0,221.56934306569343,56,6440
2_4_7,Ele,144.91946617579384,152.0,212.9928982076429,53,4346
2_5_1,Adv,144.26859029572208,150.0,213.4157995328095,54,6966
2_5_1,Ele,149.49837662337663,158.0,210.84177054184687,56,5544
2_5_2,Adv,142.65595154903332,151.0,215.37612097766836,54,8586
2_5_2,Ele,151.248712998713,158.0,215.83149678604224,56,6216
2_5_3,Adv,160.25992063492063,164.0,217.56498316498318,56,4032
2_5_3,Ele,138.54140946502056,147.0,205.98432122370937,54,3888
2_5_4,Adv,153.22827282728272,159.0,214.5589216944801,54,5454
2_5_4,Ele,163.28810975609755,167.5,216.89875614694822,56,4592
2_5_5,Adv,158.5221088435374,163.0,217.34743504330447,56,8232
2_5_5,Ele,137.69444444444446,148.0,209.52637283236993,54,4212
2_6_1,Adv,145.6663679808841,153.0,209.62432839028583,54,6696
2_6_1,Ele,155.59004237288136,163.0,212.86521739130436,56,6608
2_6_2,Adv,158.7199835526316,162.0,217.22397298818234,56,4864
2_6_2,Ele,135.3829218106996,146.0,205.1640162145307,54,4860
2_6_3,Adv,150.80637599624941,159.0,211.48586456278764,54,4266
2_6_3,Ele,156.25243506493507,163.0,212.6321796759941,56,3696
2_6_4,Adv,159.31652414486922,162.5,215.127356087621,56,7952
2_6_4,Ele,140.77472766884532,149.0,201.42019950124688,54,4590
2_7_1,Adv,165.37779690189328,166.0,218.93363714041584,56,4648
2_7_1,Ele,140.34094368340945,150.0,205.27792207792209,54,3942
2_7_2,Adv,149.07434640522877,157.0,216.59640495167034,56,8568
2_7_2,Ele,135.52672775868652,146.0,203.8153890324433,54,5238
2_7_3,Adv,144.1848033600611,154.0,208.51463279955826,54,5238
2_7_3,Ele,151.58270676691728,159.0,209.1880674448768,56,4256
2_7_4,Adv,130.2237401335762,138.0,206.82594021215044,54,6588
2_7_4,Ele,141.2936320754717,151.0,209.57496251874062,56,5936
2_7_5,Adv,152.9517625231911,159.0,210.846547314578,56,8624
2_7_5,Ele,138.7897936104043,150.0,202.93489045059943,54,7074
2_7_6,Adv,129.7454954954955,137.0,204.8046612680229,54,7992
2_7_6,Ele,141.86559139784947,150.0,209.4206349206349,56,5208
2_8_1,Adv,153.72579966329965,160.0,213.47311513734658,54,4752
2_8_1,Ele,161.57491789819375,164.0,213.33143631436315,56,4872
2_8_2,Adv,140.08844189016602,148.0,210.43501199040767,54,6264
2_8_2,Ele,143.33924205378972,150.0,208.35450910706354,56,6544
2_8_3,Adv,149.3937324929972,155.0,210.54453491241057,56,5712
2_8_3,Ele,134.97833333333332,146.0,204.45525946704066,54,5400
2_8_4,Adv,163.61422413793105,166.0,212.5676,56,6496
2_8_4,Ele,151.0461819844536,159.0,208.08692913385826,54,4374
2_8_5,Adv,148.9334094368341,154.0,208.41160809371672,54,7884
2_8_5,Ele,162.5261544011544,164.0,211.76145710928319,56,5544
2_8_6,Adv,141.2974417716686,150.0,206.67858140184305,54,5238
2_8_6,Ele,151.64438775510203,158.0,207.99370188943317,56,3920
2_9_1,Adv,170.2148161244696,171.0,220.35591668574045,56,5656
2_9_1,Ele,153.21260683760684,161.0,207.23554913294797,54,5616
2_9_2,Adv,161.09232954545453,165.0,216.1936274509804,56,4928
2_9_2,Ele,152.25827160493827,161.5,210.17246080436266,54,4050
2_9_3,Adv,151.65459183673468,159.0,217.12417823228634,56,7840
2_9_3,Ele,140.87962962962962,150.0,208.47957839262187,54,5616
2_9_4,Adv,140.04276315789474,149.0,210.14095063985374,54,8208
2_9_4,Ele,149.2515227021041,158.0,212.200944695926,56,7224
2_9_5,Adv,168.5935501066098,170.0,216.48288843258044,56,7504
2_9_5,Ele,146.75612052730696,157.0,208.54817127564675,54,6372
2_9_6,Adv,147.01985185185185,154.0,211.95728321230243,54,6750
2_9_6,Ele,161.60406403940885,167.0,212.50607287449392,56,3248
3_10_1,Adv,145.2099871959027,155.0,208.47242647058823,55,3905
3_10_1,Ele,153.72724810400868,159.0,218.12490392006148,52,3692
3_10_2,Adv,151.33910256410257,159.0,217.32648051549555,52,4680
3_10_2,Ele,145.6518181818182,156.0,207.93900064892927,55,4400
3_10_3,Adv,157.9348076923077,163.0,215.55406824146982,52,5200
3_10_3,Ele,144.7270509977827,155.0,206.3607334808726,55,4510
3_10_4,Adv,158.68642365097588,164.0,221.94439983942192,52,6968
3_10_4,Ele,143.27060384870603,153.0,209.17341600465025,55,7535
3_10_5,Adv,136.8866028708134,147.0,205.600431189364,55,8360
3_10_5,Ele,149.32075200918484,155.0,218.9995790359924,52,6968
3_10_6,Adv,140.32770053475934,152.0,209.26060606060605,55,4675
3_10_6,Ele,141.76465201465203,151.0,213.89568221070812,52,4368
3_1_1,Adv,153.0941438929169,161.0,214.0834503197629,55,8965
3_1_1,Ele,157.6152378156195,162.0,222.38504556752278,52,6812
3_1_2,Adv,165.9197575757576,171.0,218.4548356208107,55,4125
3_1_2,Ele,170.79090909090908,173.0,220.72390420244014,52,2860
3_1_3,Adv,161.30436161776367,164.0,219.47000431592576,52,6305
3_1_3,Ele,143.2013986013986,155.0,207.17198741007195,55,6435
3_1_4,Adv,165.41900152827304,168.0,222.52355662155216,52,7852
3_1_4,Ele,155.18812922614575,162.0,209.78610603290676,55,6655
3_1_5,Adv,162.47570166320168,166.0,221.82242327479156,52,7696
3_1_5,Ele,149.46697353279632,158.0,207.8854033290653,55,4345
3_2_1,Adv,155.32772727272726,162.0,214.6938219895288,55,6600
3_2_1,Ele,155.89250493096648,161.0,215.45888232621536,52,6084
3_2_2,Adv,178.19175824175824,176.0,228.46706586826346,52,3640
3_2_2,Ele,160.62699724517907,167.0,212.10476536922516,55,3630
3_2_3,Adv,166.8010424155284,170.0,223.09639423076922,52,5564
3_2_3,Ele,158.22534965034964,164.0,211.80645916218114,55,5720
3_2_4,Adv,167.3105151729005,168.0,219.41601110596946,52,5668
3_2_4,Ele,156.14015887025596,162.0,207.92994828396803,55,5665
3_2_5,Adv,156.82309891366495,162.0,213.3838493854053,55,8745
3_2_5,Ele,162.75056148231332,166.0,220.29925897776934,52,7124
3_3_1,Adv,159.51092129347163,165.0,217.86533333333333,55,8195
3_3_1,Ele,163.00148970747563,166.0,222.47744916820702,52,7384
3_3_2,Adv,161.10996865203762,167.0,214.32060050041702,55,7975
3_3_2,Ele,166.43108974358975,169.0,225.32653504013885,52,6240
