text_id,level,RegRateFirstPass,RegRateTotal,n_subjects,n_rows
1_10_1,Adv,0.2478605388272583,0.2469962238242362,59,5826
1_10_1,Ele,0.23857644991212654,0.25059045819555975,58,4234
1_10_2,Adv,0.29198682766191,0.3148004649360713,58,5162
1_10_2,Ele,0.29178470254957506,0.2935369715030732,59,5369
1_10_3,Adv,0.27733485193621865,0.3055512361996579,59,6431
1_10_3,Ele,0.28990999526290856,0.26358053849787433,58,4234
1_10_4,Adv,0.2724741447891806,0.24853410142989404,59,9721
1_10_4,Ele,0.28399795501022496,0.27351097178683387,58,7656
1_10_5,Adv,0.2608811748998665,0.30223614869676685,59,7021
1_10_5,Ele,0.2802281368821293,0.2838949843260188,58,5104
1_10_6,Adv,0.2753623188405797,0.2947198275862069,58,7424
1_10_6,Ele,0.2735474557921328,0.24745762711864408,59,5310
1_10_7,Adv,0.27846437023402576,0.24533844189016601,58,7830
1_10_7,Ele,0.250392218387198,0.23402868318122555,59,6136
1_1_1,Adv,0.27671641791044777,0.2750923645320197,58,6496
1_1_1,Ele,0.22289348171701112,0.19507822685788787,59,6136
1_1_2,Adv,0.25210589651022863,0.21895025938358254,58,6554
1_1_2,Ele,0.22531847133757962,0.20299102691924228,59,5015
1_1_3,Adv,0.2783385093167702,0.2654710287741427,59,5074
1_1_3,Ele,0.26695371367061355,0.25643130815544607,58,3654
1_1_4,Adv,0.2522951377082625,0.277146582231328,59,5369
1_1_4,Ele,0.25036460865337873,0.2944096133751306,58,3828
1_1_5,Adv,0.2382847038019452,0.20542372881355933,59,4425
1_1_5,Ele,0.23881431767337807,0.25925925925925924,58,3132
1_1_6,Adv,0.2511391047976414,0.2911085779424337,58,7018
1_1_6,Ele,0.20612582781456953,0.2331058771736738,59,4543
1_1_7,Adv,0.24698052748336208,0.2573994434606628,59,7906
1_1_7,Ele,0.23611666000799042,0.23436246992782678,58,4988
1_2_1,Adv,0.2149666348903718,0.20625814863102998,59,7670
1_2_1,Ele,0.2330757341576507,0.23103448275862068,58,5800
1_2_2,Adv,0.24523932063818837,0.2512542372881356,59,7375
1_2_2,Ele,0.23232065356139903,0.238232074438971,58,7308
1_2_3,Adv,0.25788544032298766,0.2806096951524238,58,8004
1_2_3,Ele,0.26161175069472015,0.27139568947478554,59,4779
1_2_4,Adv,0.26246719160104987,0.24306727755003618,58,8294
1_2_4,Ele,0.25350553505535056,0.2252542372881356,59,5900
1_2_5,Adv,0.23738370453904709,0.24032983508245878,58,6670
1_2_5,Ele,0.26122785331685205,0.24647743516438636,59,4897
1_2_6,Adv,0.25874125874125875,0.28636478623830003,59,3953
1_2_6,Ele,0.26397146254458975,0.2259215219976219,58,3364
1_3_1,Adv,0.27727645611156687,0.2607240008369952,59,4779
1_3_1,Ele,0.24495677233429394,0.2185244587008821,58,4988
1_3_2,Adv,0.27197149643705465,0.31601633393829404,58,4408
1_3_2,Ele,0.2725,0.2842242503259452,59,3835
1_3_3,Adv,0.26535782140595315,0.23632874960025585,59,6254
1_3_3,Ele,0.24641939037825927,0.21433756805807622,58,5510
1_3_4,Adv,0.24018610061064263,0.24549893194995423,58,6554
1_3_4,Ele,0.23083548664944015,0.22977901737824502,59,4661
1_3_5,Adv,0.24828620394173093,0.2508620689655172,58,9280
1_3_5,Ele,0.21803037726604604,0.19552935396708426,59,4071
1_4_1,Adv,0.2685047720042418,0.2849833147942158,58,8990
1_4_1,Ele,0.24355444305381727,0.2578125,59,7552
1_4_2,Adv,0.2597735526596881,0.24563509384548232,58,9164
1_4_2,Ele,0.2418799212598425,0.2061545858877269,59,8319
1_4_3,Adv,0.2638930163447251,0.30012791813239525,59,6254
1_4_3,Ele,0.26947791164658635,0.28280067283431454,58,4756
1_4_4,Adv,0.29989235737351994,0.30167359556550477,59,9381
1_4_4,Ele,0.32320280537697255,0.3375385477992711,58,7134
1_4_5,Adv,0.2835205992509363,0.2823275862068966,58,5104
1_4_5,Ele,0.26490327674694036,0.27867560110366574,59,5074
1_5_1,Adv,0.2331511839708561,0.20174199623352165,59,4248
1_5_1,Ele,0.2475294117647059,0.20239880059970014,58,4002
1_5_2,Adv,0.23465625677727175,0.20658155403918116,59,9086
1_5_2,Ele,0.23201970443349754,0.2270972722593927,58,7772
1_5_3,Adv,0.26683291770573564,0.3083958020989505,58,6670
1_5_3,Ele,0.24483985765124555,0.25384765244496393,59,5133
1_5_4,Adv,0.26534296028880866,0.2715564287273521,59,9162
1_5_4,Ele,0.2882911392405063,0.3075235109717868,58,6380
1_5_5,Adv,0.26859504132231404,0.31438910174542356,58,4698
1_5_5,Ele,0.24892703862660945,0.2733349248030556,59,4189
1_6_1,Adv,0.2556022408963585,0.267836026803311,59,5074
1_6_1,Ele,0.22602739726027396,0.24646693046919163,58,3538
1_6_2,Adv,0.25,0.3045977011494253,58,6612
1_6_2,Ele,0.2326302729528536,0.26548392206557897,59,6313
1_6_3,Adv,0.2642362157276288,0.27661016949152545,59,5900
1_6_3,Ele,0.2508275101140125,0.2915536613715614,58,5162
1_6_4,Adv,0.23446768654386513,0.2421925829538061,58,6148
1_6_4,Ele,0.19830457160157433,0.19426336375488917,59,6136
1_7_1,Adv,0.22105263157894736,0.17264065335753176,58,8816
1_7_1,Ele,0.22478314745972738,0.18214014672400708,59,7906
1_7_2,Adv,0.24573002754820936,0.223623262995368,58,7772
1_7_2,Ele,0.25229853975121685,0.2193633952254642,58,7540
1_7_3,Adv,0.2686470078057242,0.2619102153000458,59,8732
1_7_3,Ele,0.28354430379746837,0.2509261897976632,58,7018
1_7_4,Adv,0.2568500779683671,0.22446762277270751,59,9204
1_7_4,Ele,0.25346949463210267,0.20599588265568708,58,7772
1_8_1,Adv,0.24426666666666666,0.21807650862068967,58,7424
1_8_1,Ele,0.214562569213732,0.16440677966101694,59,7080
1_8_2,Adv,0.2620432860134978,0.3018988148336944,59,7847
1_8_2,Ele,0.2705014749262537,0.33535259397328365,58,6438
1_8_3,Adv,0.2617464539007092,0.24805313788364636,59,8732
1_8_3,Ele,0.24135993256532734,0.23085931781583954,58,6831
1_8_4,Adv,0.2514259639516313,0.24666426253155427,59,8319
1_8_4,Ele,0.24188790560471976,0.23513243378310844,58,8004
1_8_5,Adv,0.27906976744186046,0.30929989550679204,58,5742
1_8_5,Ele,0.28565689031739655,0.274286895411327,59,4838
1_9_1,Adv,0.2158753709198813,0.20317398119122257,58,5104
1_9_1,Ele,0.18609766827980642,0.17046004842615012,59,4130
1_9_2,Adv,0.28927315357561545,0.29057871430752785,59,6549
1_9_2,Ele,0.3052970651395848,0.32087951376474794,58,5594
1_9_3,Adv,0.23794502027940514,0.24421102888517546,59,4189
1_9_3,Ele,0.2481527093596059,0.25,58,3364
1_9_4,Adv,0.28777821163607964,0.34114684230918246,58,5162
1_9_4,Ele,0.26111529766390357,0.2749115291488173,59,5369
1_9_5,Adv,0.25875542691751086,0.25330459770114944,58,6960
1_9_5,Ele,0.2495819397993311,0.2519774011299435,59,4425
1_9_6,Adv,0.2679794520547945,0.2329723567968082,58,7018
1_9_6,Ele,0.23245262876968242,0.19718892104175278,59,7257
2_10_1,Adv,0.26558891454965355,0.22069061542745752,54,7182
2_10_1,Ele,0.2135483870967742,0.21802721088435373,56,5880
2_10_2,Adv,0.22361946418808093,0.21805476326297776,54,7012
2_10_2,Ele,0.2502906976744186,0.27891908975979773,56,6328
2_10_3,Adv,0.2641566265060241,0.2586996336996337,56,6552
2_10_3,Ele,0.27353463587921845,0.23802242609582058,54,5886
2_10_4,Adv,0.26158576762574126,0.2779605263157895,56,8512
2_10_4,Ele,0.27635327635327633,0.2550422901756669,53,4611
2_1_1,Adv,0.23650664496880933,0.24667070217917675,56,6608
2_1_1,Ele,0.2518084739924216,0.253319357092942,54,5724
2_1_2,Adv,0.24752475247524752,0.2374031007751938,56,7224
2_1_2,Ele,0.2763411810111926,0.25263157894736843,54,5130
2_1_3,Adv,0.24254401724757457,0.2236198462613557,54,5724
2_1_3,Ele,0.25795724465558195,0.22321428571428573,56,4032
2_1_4,Adv,0.264669472641743,0.19506172839506172,54,8910
2_1_4,Ele,0.22472311539835654,0.19530075187969925,56,5320
2_1_5,Adv,0.26745098039215687,0.27538703752295984,54,7622
2_1_5,Ele,0.275599128540305,0.29961943793911006,56,6832
2_1_6,Adv,0.22237762237762237,0.2354830421377184,56,7784
2_1_6,Ele,0.24840989399293287,0.23965141612200436,54,5508
2_2_1,Adv,0.2941753926701571,0.27744411077744413,54,5994
2_2_1,Ele,0.2771122320302648,0.3253032345013477,56,5936
2_2_2,Adv,0.31001509813789635,0.2820140401839748,54,8262
2_2_2,Ele,0.2746357125216103,0.29635258358662614,56,7896
2_2_3,Adv,0.30217623974313235,0.3006535947712418,54,5508
2_2_3,Ele,0.2553565156304882,0.31976744186046513,56,4816
2_2_4,Adv,0.3225646123260437,0.46237244897959184,56,3136
2_2_4,Ele,0.3130779392338177,0.34444444444444444,54,2700
2_2_5,Adv,0.2725435716089922,0.30704225352112674,55,7810
2_2_5,Ele,0.2902667128507101,0.28712357217030116,54,5778
2_2_6,Adv,0.26257197696737045,0.28337585034013607,56,4704
2_2_6,Ele,0.3076923076923077,0.29066022544283415,54,3726
2_3_1,Adv,0.25519203413940256,0.24842249657064472,54,7290
2_3_1,Ele,0.24753004005340454,0.24436813186813186,56,7280
2_3_2,Adv,0.25338253382533826,0.23024574669187145,54,7935
2_3_2,Ele,0.26717791411042946,0.27472527472527475,56,5824
2_3_3,Adv,0.2854757929883139,0.3494397759103641,56,8568
2_3_3,Ele,0.27345393352965924,0.2998423955870764,54,5076
2_3_4,Adv,0.23721316007741222,0.20876632027711164,54,7506
2_3_4,Ele,0.2267037552155772,0.2315668202764977,56,5208
2_4_1,Adv,0.25550493545937736,0.28614982578397213,56,4592
2_4_1,Ele,0.2572759022118743,0.24871794871794872,54,3510
2_4_2,Adv,0.2557890986818668,0.31218487394957983,56,4760
2_4_2,Ele,0.28338278931750743,0.3097035040431267,53,3710
2_4_3,Adv,0.2861655085281112,0.3484794908062235,56,5656
2_4_3,Ele,0.30067415730337077,0.3520420348698352,53,4187
2_4_4,Adv,0.23345288555591784,0.30623100303951367,56,5264
2_4_4,Ele,0.321397756686799,0.3700332963374029,53,4505
2_4_5,Adv,0.24804621134896365,0.24545772187281623,53,5724
2_4_5,Ele,0.2129878869448183,0.24001536098310292,56,5208
2_4_6,Adv,0.27704918032786885,0.3007603491974092,53,3551
2_4_6,Ele,0.24452861952861954,0.29732142857142857,56,4480
2_4_7,Adv,0.2755102040816326,0.3013975155279503,56,6440
2_4_7,Ele,0.2581384685923888,0.2685227795674183,53,4346
2_5_1,Adv,0.26371484266221107,0.23184036749928222,54,6966
2_5_1,Ele,0.23014804845222073,0.23412698412698413,56,5544
2_5_2,Adv,0.26166902404526166,0.23095737246680642,54,8586
2_5_2,Ele,0.2422648514851485,0.23954311454311455,56,6216
2_5_3,Adv,0.2281303602058319,0.27380952380952384,56,4032
2_5_3,Ele,0.24127764127764129,0.23636831275720166,54,3888
2_5_4,Adv,0.2710951526032316,0.2962962962962963,54,5454
2_5_4,Ele,0.2539619651347068,0.2981271777003484,56,4592
2_5_5,Adv,0.27365425658050746,0.2988338192419825,56,8232
2_5_5,Ele,0.24142790042273368,0.2215099715099715,54,4212
2_6_1,Adv,0.2678623934137018,0.24716248506571087,54,6696
2_6_1,Ele,0.26066350710900477,0.2793583535108959,56,6608
2_6_2,Adv,0.26890130353817504,0.2728207236842105,56,4864
2_6_2,Ele,0.256376999567661,0.22037037037037038,54,4860
2_6_3,Adv,0.30962343096234307,0.30473511486169713,54,4266
2_6_3,Ele,0.2884990253411306,0.31087662337662336,56,3696
2_6_4,Adv,0.27534507377439316,0.30331991951710263,56,7952
2_6_4,Ele,0.2848324514991182,0.3026143790849673,54,4590
2_7_1,Adv,0.26635694928377857,0.3018502581755594,56,4648
2_7_1,Ele,0.2605421686746988,0.24302384576357178,54,3942
2_7_2,Adv,0.2533143939393939,0.23074229691876752,56,8568
2_7_2,Ele,0.27431906614785995,0.23176785032455136,54,5238
2_7_3,Adv,0.2486712224753227,0.24570446735395188,54,5238
2_7_3,Ele,0.23740354062641852,0.2941729323308271,56,4256
2_7_4,Adv,0.24310455420141117,0.18609593199757135,54,6588
2_7_4,Ele,0.2281456953642384,0.19642857142857142,56,5936
2_7_5,Adv,0.2793703007518797,0.3067022263450835,56,8624
2_7_5,Ele,0.2985796313085524,0.3057675996607294,54,7074
2_7_6,Adv,0.2537476151539929,0.1918168168168168,54,7992
2_7_6,Ele,0.23569277108433734,0.21121351766513058,56,5208
2_8_1,Adv,0.2572533849129594,0.25357744107744107,54,4752
2_8_1,Ele,0.2157001414427157,0.2395320197044335,56,4872
2_8_2,Adv,0.2728463806092368,0.2415389527458493,54,6264
2_8_2,Ele,0.2508391821788221,0.2341075794621027,56,6544
2_8_3,Adv,0.27284991568296796,0.26873249299719887,56,5712
2_8_3,Ele,0.27364864864864863,0.23907407407407408,54,5400
2_8_4,Adv,0.28312733544121876,0.38254310344827586,56,6496
2_8_4,Ele,0.27292672224659936,0.3317329675354367,54,4374
2_8_5,Adv,0.3057308096740273,0.3272450532724505,54,7884
2_8_5,Ele,0.29838709677419356,0.38203463203463206,56,5544
2_8_6,Adv,0.22707930367504836,0.23081328751431845,54,5238
2_8_6,Ele,0.2488436632747456,0.26760204081632655,56,3920
2_9_1,Adv,0.25756658595641646,0.31683168316831684,56,5656
2_9_1,Ele,0.2533951639615767,0.28935185185185186,54,5616
2_9_2,Adv,0.2574040219378428,0.2765827922077922,56,4928
2_9_2,Ele,0.2797270955165692,0.2965432098765432,54,4050
2_9_3,Adv,0.2503225806451613,0.24630102040816326,56,7840
2_9_3,Ele,0.27046520014424813,0.25,54,5616
2_9_4,Adv,0.26203750633552964,0.24683235867446393,54,8208
2_9_4,Ele,0.2386609071274298,0.22563676633444074,56,7224
2_9_5,Adv,0.25657254138266794,0.3216950959488273,56,7504
2_9_5,Ele,0.2782719186785261,0.2693032015065913,54,6372
2_9_6,Adv,0.27153147510178516,0.28814814814814815,54,6750
2_9_6,Ele,0.23747889701744512,0.3516009852216749,56,3248
3_10_1,Adv,0.3201267828843106,0.3436619718309859,55,3905
3_10_1,Ele,0.28230184581976114,0.31933911159263273,52,3692
3_10_2,Adv,0.26378794356562635,0.26837606837606837,52,4680
3_10_2,Ele,0.3133916244822826,0.32045454545454544,55,4400
3_10_3,Adv,0.3112449799196787,0.3482692307692308,52,5200
3_10_3,Ele,0.34674615002483855,0.34944567627494455,55,4510
3_10_4,Adv,0.26851025869759143,0.28257749712973596,52,6968
3_10_4,Ele,0.32229580573951433,0.3167883211678832,55,7535
3_10_5,Adv,0.2839637719765583,0.2333732057416268,55,8360
3_10_5,Ele,0.2349157733537519,0.19991389207807117,52,6968
3_10_6,Adv,0.2902462121212121,0.2519786096256684,55,4675
3_10_6,Ele,0.2627627627627628,0.23145604395604397,52,4368
3_1_1,Adv,0.31742683891378853,0.33351924149470163,55,8965
3_1_1,Ele,0.27164092101428156,0.28302994715208457,52,6812
3_1_2,Adv,0.3380816714150047,0.37406060606060604,55,4125
3_1_2,Ele,0.31705770450221943,0.4115384615384615,52,2860
3_1_3,Adv,0.25315656565656564,0.2846946867565424,52,6305
3_1_3,Ele,0.2602401129943503,0.26464646464646463,55,6435
3_1_4,Adv,0.3072321914083741,0.3174987264391238,52,7852
3_1_4,Ele,0.27586206896551724,0.3224643125469572,55,6655
3_1_5,Adv,0.3129516397998888,0.3167879417879418,52,7696
3_1_5,Ele,0.29238221047996477,0.2939010356731876,55,4345
3_2_1,Adv,0.2960344297571472,0.29878787878787877,55,6600
3_2_1,Ele,0.2791507135398538,0.3149243918474688,52,6084
3_2_2,Adv,0.28884741017265514,0.33214285714285713,52,3640
3_2_2,Ele,0.2764187866927593,0.2931129476584022,55,3630
3_2_3,Adv,0.30144404332129965,0.3400431344356578,52,5564
3_2_3,Ele,0.31738826815642457,0.32709790209790207,55,5720
3_2_4,Adv,0.2875,0.35250529287226534,52,5668
3_2_4,Ele,0.32814197754436797,0.37493380406001764,55,5665
3_2_5,Adv,0.33316683316683315,0.35974842767295595,55,8745
3_2_5,Ele,0.30284900284900285,0.32832678270634474,52,7124
3_3_1,Adv,0.3031305675744464,0.3106772422208664,55,8195
3_3_1,Ele,0.2816504356740133,0.27843986998916576,52,7384
3_3_2,Adv,0.3104253112033195,0.3326645768025078,55,7975
3_3_2,Ele,0.28836784409257005,0.31971153846153844,52,6240
3_3_3,Adv,0.30271455991225665,0.3045293522267207,52,7904
3_3_3,Ele,0.2799257655428395,0.26917960088691795,55,6765
3_3_4,Adv,0.3200999444752915,0.31790333560245065,52,7345
3_3_4,Ele,0.2936848559166156,0.27954545454545454,55,7040
3_3_5,Adv,0.2861341170184344,0.30694444444444446,55,7920
3_3_5,Ele,0.2900116822429907,0.2886129618413083,52,6604
3_4_1,Adv,0.26971080669710806,0.26656943769243235,51,6171
3_4_1,Ele,0.23936398796733993,0.22106430155210643,55,4510
3_4_2,Adv,0.3279382470119522,0.321524926686217,55,8525
3_4_2,Ele,0.300497203231821,0.3262339418526031,51,5916
3_4_3,Adv,0.30319929556794833,0.2790986790986791,55,6435
3_4_3,Ele,0.22091503267973855,0.2002450980392157,51,4080
3_4_4,Adv,0.3478768082127858,0.3459090909090909,55,8800
3_4_4,Ele,0.3192100538599641,0.3412452700378397,51,5814
3_4_5,Adv,0.29988285825849276,0.33391984359726296,55,5115
3_4_5,Ele,0.2505715592135345,0.2532281205164993,51,4182
3_5_1,Adv,0.2614876872302615,0.27917320774463633,52,7644
3_5_1,Ele,0.2946058091286307,0.308099173553719,55,6050
3_5_2,Adv,0.3051813471502591,0.2749765478424015,52,8528
3_5_2,Ele,0.34821664464993396,0.30466200466200466,55,8580
3_5_3,Adv,0.30558446063128686,0.3256347256347256,55,6105
3_5_3,Ele,0.26917613636363635,0.3005974607916356,52,5356
3_5_4,Adv,0.2846832397754611,0.3017552916881776,52,7748
3_5_4,Ele,0.28957365977205574,0.3476767676767677,55,4950
3_6_1,Adv,0.2676176890156919,0.2560728744939271,52,6916
3_6_1,Ele,0.2483221476510067,0.24100185528756957,55,5390
3_6_2,Adv,0.3162100456621005,0.34605067064083456,55,3355
3_6_2,Ele,0.2823325635103926,0.3474148802017655,52,3172
3_6_3,Adv,0.28266913809082483,0.2819688350234974,52,4043
3_6_3,Ele,0.30036630036630035,0.2727272727272727,55,3740
3_6_4,Adv,0.2781501340482574,0.30112554112554113,55,5775
3_6_4,Ele,0.27947794779477947,0.29471153846153847,52,4160
3_6_5,Adv,0.29855625170253336,0.2930660888407367,52,7384
3_6_5,Ele,0.3001053001053001,0.28859504132231406,55,6050
3_6_6,Adv,0.31632914637272497,0.32079545454545455,55,8800
3_6_6,Ele,0.30030530113794063,0.3187973997833153,52,7384
3_6_7,Adv,0.30612244897959184,0.33342361863488623,52,3692
3_6_7,Ele,0.2730392156862745,0.24385026737967913,55,3740
3_7_1,Adv,0.3127001067235859,0.35433726578764746,55,7205
3_7_1,Ele,0.2837720566965577,0.28861061419200956,52,6708
3_7_2,Adv,0.3024193548387097,0.2809090909090909,55,7700
3_7_2,Ele,0.28883038736367056,0.26342525399129174,52,5512
3_7_3,Adv,0.3408457837427197,0.32245989304812833,55,7480
3_7_3,Ele,0.27967625899280574,0.28166445623342173,52,6032
3_7_4,Adv,0.3318258903335218,0.3372446762277271,52,6903
3_7_4,Ele,0.3171476137624861,0.30381679389312977,55,7205
3_7_5,Adv,0.30345864661654137,0.3073839987667643,52,6487
3_7_5,Ele,0.3022781366882013,0.26745964316057774,55,5885
3_7_6,Adv,0.281079344683585,0.24111384111384113,55,6105
3_7_6,Ele,0.27775450356095516,0.24387151310228233,52,4732
3_7_7,Adv,0.25855210819411295,0.22206340956340956,52,7696
3_7_7,Ele,0.2597402597402597,0.23412587412587413,55,7150
3_8_1,Adv,0.26631853785900783,0.23328305681246858,52,7956
3_8_1,Ele,0.2964543663821405,0.25216095380029807,55,6710
3_8_2,Adv,0.26322664924885697,0.26390796703296704,52,5824
