text_id,align_idx,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_10_1,0,Adv,1.452318460192476,1.0,2.0557275541795668,59,2286
1_10_1,0,Ele,1.4242424242424243,1.0,1.9429793300071276,58,1914
1_10_1,1,Adv,1.537020517395183,1.0,2.010501750291715,59,1121
1_10_1,1,Ele,1.2168784029038113,1.0,1.7236503856041132,58,1102
1_10_1,2,Adv,1.1897478296816866,1.0,1.7171837708830548,59,2419
1_10_1,2,Ele,1.1896551724137931,1.0,1.6153846153846154,58,1218
1_10_2,3,Adv,1.7575431034482758,1.0,2.1863270777479893,58,928
1_10_2,3,Ele,1.4665477252453167,1.0,1.9295774647887325,59,1121
1_10_2,4,Adv,1.4720570749108204,1.0,1.9450117831893166,58,1682
1_10_2,4,Ele,1.4908735332464147,1.0,1.9647766323024054,59,1534
1_10_2,5,Adv,1.2513262599469497,1.0,1.7520891364902507,58,1508
1_10_2,5,Ele,1.213680387409201,1.0,1.7727674624226348,59,1652
1_10_2,6,Adv,1.371647509578544,1.0,1.879265091863517,58,1044
1_10_2,6,Ele,1.3728813559322033,1.0,1.8270676691729324,59,1062
1_10_3,7,Adv,1.56580259222333,1.0,2.1411042944785277,59,4012
1_10_3,7,Ele,1.2685676392572944,1.0,1.768022181146026,58,3016
1_10_3,8,Adv,1.5708970649028524,1.0,2.0629750271444083,59,2419
1_10_3,8,Ele,1.2315270935960592,1.0,1.7964071856287425,58,1218
1_10_4,9,Adv,1.6226321036889333,1.0,2.1040723981900453,59,2006
1_10_4,9,Ele,1.5402298850574712,1.0,1.9657701711491442,58,1044
1_10_4,10,Adv,1.4357572443958446,1.0,1.9153902261123268,59,1829
1_10_4,10,Ele,1.4407327586206897,1.0,1.9292929292929293,58,1856
1_10_4,11,Adv,1.0105932203389831,1.0,1.5537459283387622,59,1416
1_10_4,11,Ele,1.049808429118774,1.0,1.541490857946554,58,1044
1_10_4,12,Adv,1.2101694915254237,1.0,1.6979785969084424,59,2360
1_10_4,12,Ele,1.3978288633461047,1.0,1.9084568439407148,58,1566
1_10_4,13,Adv,1.0781990521327014,1.0,1.6319942611190819,59,2110
1_10_4,13,Ele,1.1295433364398881,1.0,1.677508650519031,58,2146
1_10_5,14,Adv,1.6231306081754735,1.0,2.130890052356021,59,1003
1_10_5,14,Ele,1.7015086206896552,1.0,2.1839557399723373,58,928
1_10_5,15,Adv,1.8902765388046388,1.0,2.481264637002342,59,1121
1_10_5,15,Ele,1.3526645768025078,1.0,1.8130252100840336,58,1276
1_10_5,16,Adv,1.708037178786222,1.0,2.2046577275935073,59,1829
1_10_5,16,Ele,1.4820402298850575,1.0,1.9836538461538462,58,1392
1_10_5,17,Adv,1.3510430247718384,1.0,1.862084456424079,59,3068
1_10_5,17,Ele,1.129973474801061,1.0,1.704,58,1508
1_10_6,18,Adv,1.5868226600985222,1.0,2.0468625893566323,58,1624
1_10_6,18,Ele,1.5228813559322034,1.0,1.9812568908489525,59,1180
1_10_6,19,Adv,1.4905450500556174,1.0,1.977859778597786,58,1798
1_10_6,19,Ele,1.303030303030303,1.0,1.8613352898019075,59,1947
1_10_6,20,Adv,1.3938294010889292,1.0,1.92964824120603,58,1102
1_10_6,20,Ele,1.2768361581920904,1.0,1.8677685950413223,59,1062
1_10_6,21,Adv,1.313793103448276,1.0,1.7971698113207548,58,870
1_10_6,22,Adv,1.1842105263157894,1.0,1.69921875,58,1102
1_10_6,22,Ele,0.9946476360392507,1.0,1.5006729475100942,59,1121
1_10_6,23,Adv,1.3232758620689655,1.0,1.8005865102639296,58,928
1_10_7,24,Adv,1.277832512315271,1.0,1.793914246196404,58,2030
1_10_7,24,Ele,1.4802259887005649,1.0,1.9371534195933457,59,708
1_10_7,25,Adv,1.407269338303821,1.0,1.9174603174603175,58,2146
1_10_7,25,Ele,1.4179025423728813,1.0,1.87333799860042,59,1888
1_10_7,26,Adv,1.1017241379310345,1.0,1.5680981595092025,58,1160
1_10_7,26,Ele,1.238135593220339,1.0,1.6988372093023256,59,1180
1_10_7,27,Adv,0.9570970328789093,1.0,1.4599388379204894,58,2494
1_10_7,27,Ele,1.0347457627118644,1.0,1.608695652173913,59,2360
1_1_1,28,Adv,1.479064039408867,1.0,2.040781648258284,58,1624
1_1_1,28,Ele,1.2358757062146892,1.0,1.7893660531697342,59,1416
1_1_1,29,Adv,1.1655172413793105,1.0,1.6984924623115578,58,1450
1_1_1,29,Ele,1.089588377723971,1.0,1.5901060070671378,59,1239
1_1_1,30,Adv,1.66,1.0,2.109553023663453,58,1450
1_1_1,30,Ele,1.0405569007263922,1.0,1.545863309352518,59,1652
1_1_1,31,Adv,1.3580121703853956,1.0,1.9363702096890818,58,1972
1_1_1,31,Ele,1.088026243849098,1.0,1.6258169934640523,59,1829
1_1_2,32,Adv,1.4379310344827587,1.0,1.818313953488372,58,870
1_1_2,33,Adv,1.5329153605015673,1.0,2.126086956521739,58,638
1_1_2,33,Ele,1.5731895223420647,1.0,2.087934560327198,59,649
1_1_2,34,Adv,1.3062613430127041,1.0,1.8129722921914357,58,2204
1_1_2,34,Ele,1.2397094430992737,1.0,1.757035003431709,59,2065
1_1_2,35,Adv,1.1330049261083743,1.0,1.684981684981685,58,812
1_1_2,35,Ele,1.0915254237288134,1.0,1.5164835164835164,59,885
1_1_2,36,Adv,0.8995943204868154,1.0,1.435275080906149,58,986
1_1_2,36,Ele,0.8206958073148974,1.0,1.3649851632047478,59,1121
1_1_2,37,Adv,1.1159003831417624,1.0,1.8881685575364668,58,1044
1_1_2,37,Ele,0.7864406779661017,1.0,1.3727810650887573,59,295
1_1_3,38,Adv,1.4683753617197188,1.0,2.0723453908984832,59,2419
1_1_3,38,Ele,1.2961206896551725,1.0,1.8584672435105067,58,2320
1_1_3,39,Adv,1.437046004842615,1.0,1.93480032599837,59,1652
1_1_3,39,Ele,1.401253918495298,1.0,1.9143468950749465,58,638
1_1_3,40,Adv,0.9272183449651047,1.0,1.4485981308411215,59,1003
1_1_3,40,Ele,0.9669540229885057,1.0,1.4109014675052411,58,696
1_1_4,41,Adv,1.5523085914669783,1.0,2.062111801242236,59,1711
