text_id,level,mean_FirstPassFF,median_FirstPassFF,mean_nonzero_FirstPassFF,n_subjects,n_rows
1_10_1,Adv,224.23613312202852,207.0,224.23613312202852,59,3155
1_10_1,Ele,207.32337434094904,195.0,207.32337434094904,58,2276
1_10_2,Adv,218.90047566776437,200.0,218.90047566776437,58,2733
1_10_2,Ele,221.41961756373937,203.5,221.41961756373937,59,2824
1_10_3,Adv,228.53217539863326,209.0,228.53217539863326,59,3512
1_10_3,Ele,210.60066319279963,196.0,210.60066319279963,58,2111
1_10_4,Adv,228.02684964200478,208.0,228.02684964200478,59,5028
1_10_4,Ele,216.22418200408998,199.0,216.22418200408998,58,3912
1_10_5,Adv,225.65500667556742,208.0,225.65500667556742,59,3745
1_10_5,Ele,214.7235741444867,196.5,214.7235741444867,58,2630
1_10_6,Adv,218.22230848861284,201.0,218.22230848861284,58,3864
1_10_6,Ele,226.97618188379647,204.0,226.97618188379647,59,2771
1_10_7,Adv,214.044175650802,195.0,214.044175650802,58,3803
1_10_7,Ele,220.35174144963915,205.0,220.35174144963915,59,3187
1_1_1,Adv,216.01582089552238,200.0,216.01582089552238,58,3350
1_1_1,Ele,218.55739268680446,201.0,218.55739268680446,59,3145
1_1_2,Adv,217.58363417569194,202.0,217.58363417569194,58,3324
1_1_2,Ele,217.05214968152868,199.0,217.05214968152868,59,2512
1_1_3,Adv,224.118400621118,206.0,224.118400621118,59,2576
1_1_3,Ele,211.68137782561894,199.0,211.68137782561894,58,1858
1_1_4,Adv,223.63345800748044,209.0,223.63345800748044,59,2941
1_1_4,Ele,211.02284880894507,194.0,211.02284880894507,58,2057
1_1_5,Adv,216.68346595932803,199.0,216.68346595932803,59,2262
1_1_5,Ele,209.662192393736,197.0,209.662192393736,58,1788
1_1_6,Adv,219.689627445725,204.0,219.689627445725,58,3731
1_1_6,Ele,217.87458609271522,202.0,217.87458609271522,59,2416
1_1_7,Adv,221.31969435543505,207.0,221.31969435543505,59,4057
1_1_7,Ele,212.6560127846584,197.0,212.6560127846584,58,2503
1_2_1,Adv,223.2602478551001,206.0,223.2602478551001,59,4196
1_2_1,Ele,216.55517774343122,201.0,216.55517774343122,58,3235
1_2_2,Adv,219.62300566134843,203.0,219.62300566134843,59,3886
1_2_2,Ele,216.1353076333929,202.0,216.1353076333929,58,3917
1_2_3,Adv,216.05071915215746,200.0,216.05071915215746,58,3963
1_2_3,Ele,226.292576419214,203.0,226.292576419214,59,2519
1_2_4,Adv,211.6633261751372,197.0,211.6633261751372,58,4191
