text_id,align_idx,level,mean_FirstPassFF,median_FirstPassFF,mean_nonzero_FirstPassFF,n_subjects,n_rows
1_10_1,0,Adv,218.26864474739375,204.0,218.26864474739375,59,1247
1_10_1,0,Ele,206.6862559241706,193.0,206.6862559241706,58,1055
1_10_1,1,Adv,227.9970104633782,212.0,227.9970104633782,59,669
1_10_1,1,Ele,203.2979890310786,192.0,203.2979890310786,57,547
1_10_1,2,Adv,228.21146085552866,207.0,228.21146085552866,59,1239
1_10_1,2,Ele,211.58753709198814,199.5,211.58753709198814,58,674
1_10_2,3,Adv,216.59766277128548,196.0,216.59766277128548,57,599
1_10_2,3,Ele,225.36644951140065,209.0,225.36644951140065,58,614
1_10_2,4,Adv,229.65938864628822,212.5,229.65938864628822,58,916
1_10_2,4,Ele,227.56388206388206,208.0,227.56388206388206,59,814
1_10_2,5,Adv,207.75342465753425,189.0,207.75342465753425,58,657
1_10_2,5,Ele,215.50997506234415,203.0,215.50997506234415,59,802
1_10_2,6,Adv,216.84670231729055,195.0,216.84670231729055,58,561
1_10_2,6,Ele,216.8989898989899,191.0,216.8989898989899,59,594
1_10_3,7,Adv,226.7055765595463,207.0,226.7055765595463,59,2116
1_10_3,7,Ele,210.32313829787233,196.0,210.32313829787233,58,1504
1_10_3,8,Adv,231.30085959885386,213.0,231.30085959885386,59,1396
1_10_3,8,Ele,211.28830313014828,194.0,211.28830313014828,58,607
1_10_4,9,Adv,226.5405643738977,208.0,226.5405643738977,59,1134
1_10_4,9,Ele,209.8185975609756,194.5,209.8185975609756,58,656
1_10_4,10,Adv,238.8497461928934,218.0,238.8497461928934,58,985
1_10_4,10,Ele,224.06243154435924,205.0,224.06243154435924,58,913
1_10_4,11,Adv,224.69325153374234,205.5,224.69325153374234,57,652
1_10_4,11,Ele,222.3471615720524,211.0,222.3471615720524,57,458
1_10_4,12,Adv,223.40116279069767,205.0,223.40116279069767,58,1204
1_10_4,12,Ele,209.38055222088835,190.0,209.38055222088835,58,833
1_10_4,13,Adv,226.85660018993352,203.0,226.85660018993352,58,1053
1_10_4,13,Ele,216.16920152091254,196.0,216.16920152091254,58,1052
1_10_5,14,Adv,219.63368055555554,198.0,219.63368055555554,59,576
1_10_5,14,Ele,210.59444444444443,193.0,210.59444444444443,57,540
1_10_5,15,Adv,236.64833333333334,215.5,236.64833333333334,59,600
1_10_5,15,Ele,218.0215716486903,200.0,218.0215716486903,58,649
1_10_5,16,Adv,229.67322834645668,212.5,229.67322834645668,59,1016
1_10_5,16,Ele,221.43070652173913,203.0,221.43070652173913,58,736
1_10_5,17,Adv,221.01223438506116,206.0,221.01223438506116,59,1553
1_10_5,17,Ele,207.84822695035461,193.0,207.84822695035461,58,705
1_10_6,18,Adv,217.47649572649573,200.0,217.47649572649573,58,936
1_10_6,18,Ele,226.62790697674419,208.0,226.62790697674419,59,688
1_10_6,19,Adv,219.54725787631273,205.0,219.54725787631273,57,857
1_10_6,19,Ele,229.8972533062055,206.0,229.8972533062055,58,983
1_10_6,20,Adv,225.0018281535649,202.0,225.0018281535649,55,547
1_10_6,20,Ele,236.17554240631165,204.0,236.17554240631165,57,507
1_10_6,21,Adv,226.28863636363636,202.5,226.28863636363636,55,440
1_10_6,22,Adv,209.57952468007312,196.0,209.57952468007312,58,547
1_10_6,22,Ele,214.67284991568297,196.0,214.67284991568297,58,593
1_10_6,23,Adv,212.69646182495345,197.0,212.69646182495345,57,537
