text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_10_1,0,Adv,386.9079074252652,271.0,500.2786783042394,54,2074
1_10_1,0,Ele,324.38638920134986,240.0,416.43249097472926,54,1778
1_10_1,1,Adv,450.3822091886608,349.0,538.248831775701,54,1023
1_10_1,1,Ele,310.35575048732943,246.0,393.60321384425214,54,1026
1_10_1,2,Adv,364.00858563036604,271.0,480.06615017878426,54,2213
1_10_1,2,Ele,306.24271844660194,245.0,375.9187432286024,54,1133
1_10_2,3,Adv,465.86783625730993,327.0,553.9874826147427,54,855
1_10_2,3,Ele,384.5877192982456,306.5,470.3063170441001,54,1026
1_10_2,4,Adv,388.31074168797954,288.5,468.6095679012346,54,1564
1_10_2,4,Ele,413.25997150997154,317.0,495.9119658119658,54,1404
1_10_2,5,Adv,310.48610121168923,247.0,407.1140186915888,54,1403
1_10_2,5,Ele,311.0543406229291,234.0,418.34313725490193,54,1509
1_10_2,6,Adv,337.97013388259523,256.0,420.7294871794872,54,971
1_10_2,6,Ele,318.5056642636457,251.0,410.1710875331565,54,971
1_10_3,7,Adv,423.8084176004373,310.0,529.0736949846469,54,3659
1_10_3,7,Ele,311.96543121881683,244.0,404.5170979667283,54,2806
1_10_3,8,Adv,443.88944268237424,316.0,561.7339449541284,54,2207
1_10_3,8,Ele,331.1666666666667,241.0,437.6958041958042,54,1134
1_10_4,9,Adv,452.7799016930639,324.0,554.1711229946524,54,1831
1_10_4,9,Ele,388.95257731958765,251.5,470.428927680798,54,970
1_10_4,10,Adv,396.4124700239808,284.0,502.4437689969605,54,1668
1_10_4,10,Ele,353.11304347826086,257.0,446.5689149560117,54,1725
1_10_4,11,Adv,280.1134259259259,223.0,388.6798715203426,54,1296
1_10_4,11,Ele,251.8127572016461,213.0,358.36310395314786,54,972
1_10_4,12,Adv,311.5757997218359,248.0,410.8001222493888,54,2157
1_10_4,12,Ele,329.855272226051,263.0,412.2480620155039,54,1451
1_10_4,13,Adv,310.65605427974947,233.0,445.5217065868263,54,1916
1_10_4,13,Ele,302.5450901803607,232.0,406.37954239569314,54,1996
1_10_5,14,Adv,479.5550708833152,347.0,584.7765957446809,54,917
1_10_5,14,Ele,397.538283062645,288.0,486.06808510638297,54,862
1_10_5,15,Adv,557.3115727002968,404.0,679.664656212304,54,1011
1_10_5,15,Ele,361.49747474747477,291.0,440.47076923076924,54,1188
1_10_5,16,Adv,487.4601557819053,337.0,596.4596774193549,54,1669
1_10_5,16,Ele,408.19984567901236,314.5,485.79155188246096,54,1296
1_10_5,17,Adv,372.344385026738,268.0,478.8748280605227,54,2805
1_10_5,17,Ele,275.0940170940171,216.0,383.54716981132077,54,1404
1_10_6,18,Adv,404.76474486414844,306.0,490.20064205457464,54,1509
1_10_6,18,Ele,454.0380333951762,342.5,561.2993119266055,54,1078
1_10_6,19,Adv,423.98025134649913,319.0,512.6418234442837,54,1671
1_10_6,19,Ele,372.44294547498595,262.0,490.07100591715977,54,1779
1_10_6,20,Adv,350.98243902439026,256.0,452.5245283018868,54,1025
1_10_6,20,Ele,351.3903192584964,242.0,499.56076134699856,54,971
1_10_6,21,Adv,343.76856435643566,274.0,446.56752411575565,54,808
1_10_6,22,Adv,285.10526315789474,230.0,383.37876802096986,54,1026
1_10_6,22,Ele,245.9160975609756,215.0,345.2931506849315,54,1025
1_10_6,23,Adv,314.69061413673234,241.0,399.3794117647059,54,863
1_10_7,24,Adv,310.10222457627117,243.0,404.61161022805805,54,1888
1_10_7,24,Ele,412.9472868217054,296.0,494.1576994434137,54,645
1_10_7,25,Adv,351.42606516290726,260.0,445.4224904701398,54,1995
1_10_7,25,Ele,371.4251740139211,273.0,462.0036075036075,54,1724
1_10_7,26,Adv,280.6101851851852,242.0,369.5841463414634,54,1080
1_10_7,26,Ele,309.23055555555555,253.5,412.3074074074074,54,1080
1_10_7,27,Adv,234.614556416882,195.0,333.19571865443424,54,2322
1_10_7,27,Ele,252.37534754402225,206.0,368.48849797023,54,2158
1_1_1,28,Adv,375.0986009327115,258.0,495.618838028169,54,1501
1_1_1,28,Ele,327.0875290472502,231.0,437.13250517598345,54,1291
1_1_1,29,Adv,336.22962962962964,247.0,444.5739471106758,54,1350
1_1_1,29,Ele,302.7453580901857,222.0,409.57535885167465,54,1131
1_1_1,30,Adv,440.69368029739775,334.0,514.078924544666,54,1345
1_1_1,30,Ele,307.62185430463575,240.0,405.68471615720523,54,1510
1_1_1,31,Adv,364.7314410480349,264.0,481.75054073540014,54,1832
1_1_1,31,Ele,314.1810035842294,248.0,422.44096385542167,54,1674
1_1_2,32,Adv,359.2901234567901,274.0,433.7183308494784,54,810
1_1_2,33,Adv,360.1942567567568,257.0,495.8953488372093,54,592
1_1_2,33,Ele,378.9442567567568,235.5,487.6847826086956,54,592
1_1_2,34,Adv,330.1278048780488,253.0,426.97917981072555,54,2050
1_1_2,34,Ele,324.8206349206349,243.0,428.70879888268155,54,1890
1_1_2,35,Adv,323.6437086092715,228.0,422.0224525043178,54,755
1_1_2,35,Ele,290.8135802469136,223.5,372.13112164296996,54,810
1_1_2,36,Adv,269.822440087146,222.0,361.6014598540146,54,918
1_1_2,36,Ele,232.53703703703704,203.0,345.7724637681159,54,1026
1_1_2,37,Adv,339.97420020639834,218.0,523.7440381558029,54,969
1_1_2,37,Ele,202.5074074074074,156.0,327.4071856287425,54,270
1_1_3,38,Adv,382.29446460980034,262.0,505.7484993997599,54,2204
1_1_3,38,Ele,341.739916550765,235.0,448.10516717325225,54,2157
1_1_3,39,Adv,387.04037061548644,294.0,492.27104377104376,54,1511
1_1_3,39,Ele,337.35075885328837,260.0,436.7882096069869,54,593
1_1_3,40,Adv,234.44226579520696,203.0,335.75351014040564,54,918
1_1_3,40,Ele,241.28240740740742,213.5,316.5,54,648
