text_id,align_idx,level,SkipRateFirstPass,SkipRateTotal,n_subjects,n_rows
1_10_1,0,Adv,0.4092219020172911,0.22574447646493756,54,2082
1_10_1,0,Ele,0.40179573512906847,0.22053872053872053,54,1782
1_10_1,1,Adv,0.34990253411306044,0.1627680311890838,54,1026
1_10_1,1,Ele,0.43762183235867447,0.21150097465886938,54,1026
1_10_1,2,Adv,0.45257452574525747,0.24164408310749774,54,2214
1_10_1,2,Ele,0.3888888888888889,0.18518518518518517,54,1134
1_10_2,3,Adv,0.31712962962962965,0.1574074074074074,54,864
1_10_2,3,Ele,0.38596491228070173,0.18226120857699804,54,1026
1_10_2,4,Adv,0.36334610472541506,0.17113665389527458,54,1566
1_10_2,4,Ele,0.41096866096866097,0.16666666666666666,54,1404
1_10_2,5,Adv,0.5349002849002849,0.23717948717948717,54,1404
1_10_2,5,Ele,0.44312169312169314,0.25595238095238093,54,1512
1_10_2,6,Adv,0.3991769547325103,0.19650205761316872,54,972
1_10_2,6,Ele,0.4176954732510288,0.22325102880658437,54,972
1_10_3,7,Adv,0.41312636165577343,0.19825708061002179,54,3672
1_10_3,7,Ele,0.4415954415954416,0.22863247863247863,54,2808
1_10_3,8,Adv,0.42276422764227645,0.2091237579042457,54,2214
1_10_3,8,Ele,0.4435626102292769,0.24338624338624337,54,1134
1_10_4,9,Adv,0.39433551198257083,0.18246187363834424,54,1836
1_10_4,9,Ele,0.2890946502057613,0.1728395061728395,54,972
1_10_4,10,Adv,0.43189964157706096,0.21027479091995221,54,1674
1_10_4,10,Ele,0.4184027777777778,0.20891203703703703,54,1728
1_10_4,11,Adv,0.5277777777777778,0.279320987654321,54,1296
1_10_4,11,Ele,0.5401234567901234,0.29732510288065844,54,972
1_10_4,12,Adv,0.5083333333333333,0.2412037037037037,54,2160
1_10_4,12,Ele,0.4588477366255144,0.19890260631001372,54,1458
1_10_4,13,Adv,0.521875,0.3020833333333333,54,1920
1_10_4,13,Ele,0.47847847847847846,0.2552552552552553,54,1998
