text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,Adv,230.54937278867803,0.0,483.65587044534414,54,3109
1_10_1,Ele,142.98544520547946,0.0,374.8754208754209,54,2336
1_10_2,Adv,216.48406515580737,0.0,462.44402420574886,54,2824
1_10_2,Ele,187.70820244328098,0.0,406.4882842025699,54,2865
1_10_3,Adv,285.1491406932712,165.0,506.685817805383,54,3433
1_10_3,Ele,173.32742155525239,0.0,385.7763157894737,54,2199
1_10_4,Adv,200.09409237379163,0.0,471.3755060728745,54,4655
1_10_4,Ele,177.9494212380473,0.0,445.04153555695405,54,3974
1_10_5,Adv,310.57592490336833,161.5,555.2349457058243,54,3622
1_10_5,Ele,206.38352169157855,0.0,421.84053651266765,54,2743
1_10_6,Adv,198.9611859838275,0.0,457.90694789081886,54,3710
1_10_6,Ele,223.50189969604864,0.0,482.177868852459,54,2632
1_10_7,Adv,151.71197411003237,0.0,378.82020202020203,54,3708
1_10_7,Ele,168.34921156373193,0.0,395.4128086419753,54,3044
1_1_1,Adv,223.05384615384617,0.0,482.66453265044817,54,3380
1_1_1,Ele,138.33398121153223,0.0,393.5824884792627,54,3087
1_1_2,Adv,177.54507710557533,0.0,424.59716312056736,54,3372
1_1_2,Ele,127.62603305785125,0.0,375.7360097323601,54,2420
1_1_3,Adv,208.2602259446825,0.0,469.3625987708516,54,2567
1_1_3,Ele,176.57647652700655,0.0,412.49764150943395,54,1981
1_1_4,Adv,235.549623790756,0.0,481.97873900293257,54,2791
1_1_4,Ele,221.2446249402771,0.0,454.43081452404317,54,2093
1_1_5,Adv,165.3090909090909,0.0,427.35605170387777,54,2200
1_1_5,Ele,197.80610514414923,0.0,430.9347290640394,54,1769
1_1_6,Adv,259.81995776135165,87.5,507.5801959773079,54,3788
1_1_6,Ele,169.43934972905376,0.0,396.57073170731707,54,2399
1_1_7,Adv,220.25095541401274,94.0,427.96287128712873,54,3925
1_1_7,Ele,163.685917721519,0.0,379.2832263978002,54,2528
1_2_1,Adv,167.76570415400204,0.0,445.4196368527236,54,3948
1_2_1,Ele,171.03214731585518,0.0,444.79464285714283,54,3204
1_2_2,Adv,178.98081201334816,0.0,430.5117056856187,54,3596
1_2_2,Ele,185.2578206465068,0.0,413.8899242865463,54,3836
1_2_3,Adv,207.98847631241998,0.0,458.8672316384181,54,3905
1_2_3,Ele,220.26776599921476,0.0,470.2615255658005,54,2547
1_2_4,Adv,172.1067457375834,0.0,420.85558912386705,54,4047
1_2_4,Ele,182.96754194018965,0.0,446.74710596616205,54,2742
1_2_5,Adv,186.75227790432803,0.0,441.0719569603228,54,3512
1_2_5,Ele,167.45008116883116,0.0,399.02998065764024,54,2464
1_2_6,Adv,289.6012921089063,120.0,552.4348591549295,54,2167
1_2_6,Ele,163.34755043227665,0.0,401.9971631205674,54,1735
1_3_1,Adv,225.99509202453987,0.0,491.16266666666667,54,2445
1_3_1,Ele,137.02882742500975,0.0,377.0128617363344,54,2567
1_3_2,Adv,228.94573954983923,62.0,453.51671974522293,54,2488
