text_id,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_10_1,Adv,1.6956031567080045,1.0,2.1744578313253013,54,5322
1_10_1,Ele,1.5002536783358702,1.0,1.8942985265855221,54,3942
1_10_2,Adv,1.72555139409072,1.0,2.138473439917483,54,4806
1_10_2,Ele,1.6102971102971102,1.0,2.0347132939058885,54,4914
1_10_3,Adv,1.9023105674481822,1.0,2.384877529286475,54,5886
1_10_3,Ele,1.4799594114662609,1.0,1.9292328042328042,54,3942
1_10_4,Adv,1.5423137519693901,1.0,2.0345902612826605,54,8886
1_10_4,Ele,1.5335297418630751,1.0,1.9838475499092558,54,7128
1_10_5,Adv,1.9844382197323374,1.0,2.4761165048543687,54,6426
1_10_5,Ele,1.6477272727272727,1.0,2.0725251455796716,54,4752
1_10_6,Adv,1.6980613425925926,1.0,2.134776282284467,54,6912
1_10_6,Ele,1.5934156378600823,1.0,2.125137211855104,54,4860
1_10_7,Adv,1.3610425240054869,1.0,1.8102536033570515,54,7290
1_10_7,Ele,1.4378561253561253,1.0,1.9126006631927996,54,5616
1_1_1,Adv,1.7374338624338623,1.0,2.227687089251643,54,6048
1_1_1,Ele,1.3874643874643875,1.0,1.8543550690147548,54,5616
1_1_2,Adv,1.5129465748934776,1.0,2.0126444299106168,54,6102
1_1_2,Ele,1.3300653594771241,1.0,1.804078014184397,54,4590
1_1_3,Adv,1.6136950904392764,1.0,2.137478608100399,54,4644
1_1_3,Ele,1.5008818342151675,1.0,1.9630911188004614,54,3402
1_1_4,Adv,1.7476597476597477,1.0,2.236458333333333,54,4914
1_1_4,Ele,1.7376543209876543,1.0,2.196099290780142,54,3564
1_1_5,Adv,1.4158024691358024,1.0,1.9325918436130771,54,4050
1_1_5,Ele,1.5895061728395061,1.0,2.0508849557522124,54,2916
1_1_6,Adv,1.832568105295378,1.0,2.3236949349893266,54,6534
1_1_6,Ele,1.5226070226070225,1.0,1.9753510140405617,54,4158
1_1_7,Adv,1.5924543946932006,1.0,2.0750945434900054,54,7236
1_1_7,Ele,1.473514211886305,1.0,1.9265202702702702,54,4644
1_2_1,Adv,1.5616809116809116,1.0,2.004204753199269,54,7020
1_2_1,Ele,1.5898148148148148,1.0,1.9863489125404905,54,5400
1_2_2,Adv,1.630074074074074,1.0,2.0918250950570343,54,6750
1_2_2,Ele,1.5648148148148149,1.0,2.0084889643463497,54,6804
1_2_3,Adv,1.6139291465378423,1.0,2.127542897576508,54,7452
1_2_3,Ele,1.7103337905807041,1.0,2.1423253150057273,54,4374
1_2_4,Adv,1.4764309764309764,1.0,1.9701054086746155,54,7722
1_2_4,Ele,1.4794444444444443,1.0,2.0113293051359515,54,5400
1_2_5,Adv,1.6281803542673108,1.0,2.0977178423236515,54,6210
1_2_5,Ele,1.4785809906291834,1.0,1.9303815904456743,54,4482
1_2_6,Adv,1.9624101713653952,1.0,2.459300311742293,54,3618
1_2_6,Ele,1.4830779054916985,1.0,1.9582630691399663,54,3132
1_3_1,Adv,1.6726108824874257,1.0,2.184532696327262,54,4374
1_3_1,Ele,1.321705426356589,1.0,1.7786148942335556,54,4644
1_3_2,Adv,1.7955653021442495,1.0,2.237777102945642,54,4104
1_3_2,Ele,1.6797720797720799,1.0,2.1254506128334536,54,3510
1_3_3,Adv,1.59853249475891,1.0,2.0885642547363616,54,5724
1_3_3,Ele,1.3723196881091617,1.0,1.8575197889182058,54,5130
1_3_4,Adv,1.565060635857096,1.0,2.0666522397749403,54,6102
1_3_4,Ele,1.496249413970933,1.0,2.016108654453569,54,4266
1_3_5,Adv,1.6738425925925926,1.0,2.1915441733596,54,8640
1_3_5,Ele,1.4396135265700483,1.0,1.9434782608695653,54,3726
1_4_1,Adv,1.648626045400239,1.0,2.1317781554148,54,8370
1_4_1,Ele,1.5021701388888888,1.0,1.9951960030745581,54,6912
1_4_2,Adv,1.622597280825129,1.0,2.1207107843137254,54,8532
1_4_2,Ele,1.4041239821381666,1.0,1.904007123775601,54,7614
1_4_3,Adv,1.917540181691125,1.0,2.4261715296198054,54,5724
1_4_3,Ele,1.6456639566395663,1.0,2.114012184508268,54,4428
1_4_4,Adv,1.6911250873515025,1.0,2.233502538071066,54,8586
1_4_4,Ele,1.7929840409515205,1.0,2.270976353928299,54,6642
1_4_5,Adv,1.765993265993266,1.0,2.223635400105988,54,4752
1_4_5,Ele,1.7334194659776054,1.0,2.1928629801144104,54,4644
1_5_1,Adv,1.537037037037037,1.0,2.069968825770696,54,3888
1_5_1,Ele,1.3097155126140634,1.0,1.7739003998545984,54,3726
1_5_2,Adv,1.474025974025974,1.0,1.987676341819361,54,8316
1_5_2,Ele,1.4007739082365949,1.0,1.877732493516117,54,7236
1_5_3,Adv,1.8795491143317231,1.0,2.2841487279843444,54,6210
1_5_3,Ele,1.804171988080034,1.0,2.2217562254259504,54,4698
1_5_4,Adv,1.6481082375478928,1.0,2.116389913899139,54,8352
1_5_4,Ele,1.614141414141414,1.0,2.050909090909091,54,5940
1_5_5,Adv,2.0642432556012804,2.0,2.571632013671319,54,4374
1_5_5,Ele,1.9431403234220135,1.0,2.4530786960816595,54,3834
1_6_1,Adv,1.7848837209302326,1.0,2.323801513877208,54,4644
1_6_1,Ele,1.5655737704918034,1.0,2.0120952009364026,54,3294
1_6_2,Adv,1.8120532813515269,1.0,2.3023735810113517,54,6156
1_6_2,Ele,1.705607476635514,1.0,2.204697986577181,54,5778
1_6_3,Adv,1.9257407407407408,1.0,2.3905747126436783,54,5400
1_6_3,Ele,1.7072409488139826,1.0,2.13671875,54,4806
1_6_4,Adv,1.5870020964360587,1.0,2.0984060984060986,54,5724
1_6_4,Ele,1.4729344729344729,1.0,2.004361521686455,54,5616
1_7_1,Adv,1.270224171539961,1.0,1.7671186440677966,54,8208
1_7_1,Ele,1.2132393587617467,1.0,1.6859996159016708,54,7236
1_7_2,Adv,1.324212271973466,1.0,1.767244559203246,54,7236
1_7_2,Ele,1.3804063860667635,1.0,1.8942441744672376,53,6890
1_7_3,Adv,1.598973973973974,1.0,2.098702578420102,54,7992
1_7_3,Ele,1.406029996939088,1.0,1.8300796812749005,54,6534
1_7_4,Adv,1.4339981006647673,1.0,2.0160213618157545,54,8424
