text_id,level,mean_FirstPassFF,median_FirstPassFF,mean_nonzero_FirstPassFF,n_subjects,n_rows
1_10_1,Adv,239.98906400771952,223.0,239.98906400771952,54,3109
1_10_1,Ele,219.82063356164383,210.0,219.82063356164383,54,2336
1_10_2,Adv,230.17209631728045,213.0,230.17209631728045,54,2824
1_10_2,Ele,234.76614310645724,216.0,234.76614310645724,54,2865
1_10_3,Adv,242.54063501310807,225.0,242.54063501310807,54,3433
1_10_3,Ele,222.73669849931787,212.0,222.73669849931787,54,2199
1_10_4,Adv,240.19957035445756,223.0,240.19957035445756,54,4655
1_10_4,Ele,227.95998993457474,212.0,227.95998993457474,54,3974
1_10_5,Adv,240.39122032026503,221.0,240.39122032026503,54,3622
1_10_5,Ele,227.06999635435653,214.0,227.06999635435653,54,2743
1_10_6,Adv,230.46064690026955,214.0,230.46064690026955,54,3710
1_10_6,Ele,238.86018237082067,218.5,238.86018237082067,54,2632
1_10_7,Adv,228.17286947141315,211.5,228.17286947141315,54,3708
1_10_7,Ele,231.4664914586071,217.0,231.4664914586071,54,3044
1_1_1,Adv,230.23195266272188,213.0,230.23195266272188,54,3380
1_1_1,Ele,234.21671525753158,218.0,234.21671525753158,54,3087
1_1_2,Adv,227.65776986951363,214.0,227.65776986951363,54,3372
1_1_2,Ele,227.60785123966943,212.0,227.60785123966943,54,2420
1_1_3,Adv,234.70003895597975,218.0,234.70003895597975,54,2567
1_1_3,Ele,221.58808682483595,208.0,221.58808682483595,54,1981
1_1_4,Adv,232.35829451809389,220.0,232.35829451809389,54,2791
1_1_4,Ele,221.43191591017677,207.0,221.43191591017677,54,2093
1_1_5,Adv,228.0818181818182,215.0,228.0818181818182,54,2200
1_1_5,Ele,216.49349915206332,205.0,216.49349915206332,54,1769
1_1_6,Adv,229.57154171066526,216.0,229.57154171066526,54,3788
1_1_6,Ele,229.76823676531887,215.0,229.76823676531887,54,2399
1_1_7,Adv,234.9684076433121,221.0,234.9684076433121,54,3925
1_1_7,Ele,222.96083860759492,209.0,222.96083860759492,54,2528
1_2_1,Adv,234.55927051671733,219.0,234.55927051671733,54,3948
1_2_1,Ele,226.3514357053683,214.0,226.3514357053683,54,3204
1_2_2,Adv,233.0511679644049,218.0,233.0511679644049,54,3596
1_2_2,Ele,221.81178310740356,210.0,221.81178310740356,54,3836
1_2_3,Adv,226.07861715749038,208.0,226.07861715749038,54,3905
1_2_3,Ele,237.3031016882607,220.0,237.3031016882607,54,2547
1_2_4,Adv,220.4623177662466,207.0,220.4623177662466,54,4047
1_2_4,Ele,225.66812545587163,215.0,225.66812545587163,54,2742
1_2_5,Adv,223.31634396355352,211.0,223.31634396355352,54,3512
1_2_5,Ele,228.72037337662337,213.5,228.72037337662337,54,2464
1_2_6,Adv,233.656206737425,217.0,233.656206737425,54,2167
1_2_6,Ele,220.8028818443804,209.0,220.8028818443804,54,1735
1_3_1,Adv,239.24130879345603,219.0,239.24130879345603,54,2445
1_3_1,Ele,223.83989092325672,209.0,223.83989092325672,54,2567
1_3_2,Adv,231.67242765273312,217.0,231.67242765273312,54,2488
1_3_2,Ele,236.44980119284295,221.0,236.44980119284295,54,2012
1_3_3,Adv,236.70424403183023,222.0,236.70424403183023,54,3016
1_3_3,Ele,226.79351238228114,214.0,226.79351238228114,54,2867
1_3_4,Adv,230.48119632810187,216.0,230.48119632810187,54,3377
1_3_4,Ele,225.52645620275678,213.0,225.52645620275678,54,2249
1_3_5,Adv,228.9843715114981,214.0,228.9843715114981,54,4479
1_3_5,Ele,232.65837563451777,218.0,232.65837563451777,54,1970
1_4_1,Adv,225.2139898757478,212.0,225.2139898757478,54,4346
1_4_1,Ele,231.9342762063228,216.0,231.9342762063228,54,3606
1_4_2,Adv,228.63338398089863,214.0,228.63338398089863,54,4607
1_4_2,Ele,234.22071263778517,220.0,234.22071263778517,54,3901
1_4_3,Adv,236.1023153942428,223.5,236.1023153942428,54,3196
1_4_3,Ele,225.10982428115017,211.0,225.10982428115017,54,2504
1_4_4,Adv,234.85584747733085,219.0,234.85584747733085,54,4301
1_4_4,Ele,223.60237819025522,210.0,223.60237819025522,54,3448
1_4_5,Adv,225.13485316846987,214.0,225.13485316846987,54,2588
1_4_5,Ele,234.05987558320373,218.5,234.05987558320373,54,2572
1_5_1,Adv,232.0448036951501,217.0,232.0448036951501,54,2165
1_5_1,Ele,224.25902238465054,209.0,224.25902238465054,54,2189
1_5_2,Adv,236.0068396226415,219.0,236.0068396226415,54,4240
1_5_2,Ele,223.93516649848638,209.0,223.93516649848638,54,3964
1_5_3,Adv,229.45005549389566,213.0,229.45005549389566,54,3604
1_5_3,Ele,238.4236737639841,222.0,238.4236737639841,54,2771
1_5_4,Adv,239.75480435285945,222.0,239.75480435285945,54,4319
1_5_4,Ele,229.87710765239947,215.0,229.87710765239947,54,3084
1_5_5,Adv,230.41248418388867,215.0,230.41248418388867,54,2371
1_5_5,Ele,233.376130198915,221.0,233.376130198915,54,2212
1_6_1,Adv,238.57786116322703,221.0,238.57786116322703,54,2665
1_6_1,Ele,229.08975609756098,210.0,229.08975609756098,54,2050
1_6_2,Adv,232.7731677771048,217.0,232.7731677771048,54,3302
1_6_2,Ele,235.90827814569536,220.0,235.90827814569536,54,3020
1_6_3,Adv,240.7731793391081,220.0,240.7731793391081,54,3117
1_6_3,Ele,230.89799014031095,215.0,230.89799014031095,54,2637
1_6_4,Adv,227.29927695693178,210.0,227.29927695693178,54,3181
1_6_4,Ele,231.6970653202903,218.0,231.6970653202903,54,3169
1_7_1,Adv,228.8466216216216,214.0,228.8466216216216,54,4440
1_7_1,Ele,229.83065544503953,214.0,229.83065544503953,54,3921
1_7_2,Adv,227.53541076487252,214.0,227.53541076487252,54,3883
1_7_2,Ele,231.1968970380818,217.0,231.1968970380818,53,3545
1_7_3,Adv,237.41255605381167,221.0,237.41255605381167,54,4237
1_7_3,Ele,227.48371146015126,210.0,227.48371146015126,54,3438
1_7_4,Adv,232.28935352078827,215.0,232.28935352078827,54,4161
1_7_4,Ele,224.80896533750325,211.0,224.80896533750325,54,3837
1_8_1,Adv,221.8586416344561,209.0,221.8586416344561,54,3622
1_8_1,Ele,224.10249069567706,210.0,224.10249069567706,54,3493
1_8_2,Adv,234.83941605839416,219.0,234.83941605839416,54,3973
1_8_2,Ele,229.5843031930767,212.0,229.5843031930767,54,3351
1_8_3,Adv,230.64919837281647,216.0,230.64919837281647,54,4179
1_8_3,Ele,224.82329317269077,210.0,224.82329317269077,54,3486
1_8_4,Adv,236.13751507840772,219.0,236.13751507840772,54,4145
1_8_4,Ele,223.1519174041298,208.0,223.1519174041298,54,4068
1_8_5,Adv,228.1602822580645,213.0,228.1602822580645,54,2976
1_8_5,Ele,232.98329355608593,217.0,232.98329355608593,54,2514
1_9_1,Adv,222.9832561453509,205.0,222.9832561453509,54,2807
1_9_1,Ele,234.18664383561645,218.0,234.18664383561645,54,2336
1_9_2,Adv,232.4713549560473,216.0,232.4713549560473,54,3299
1_9_2,Ele,221.97426470588235,206.0,221.97426470588235,54,2992
1_9_3,Adv,232.0586946999562,217.0,232.0586946999562,54,2283
1_9_3,Ele,219.71830985915494,204.0,219.71830985915494,54,1775
1_9_4,Adv,221.37509130752375,206.0,221.37509130752375,54,2738
1_9_4,Ele,225.45636569701549,210.0,225.45636569701549,54,2647
1_9_5,Adv,226.95404875315214,211.0,226.95404875315214,54,3569
1_9_5,Ele,235.14144329896908,221.0,235.14144329896908,54,2425
1_9_6,Adv,228.88682340076545,213.0,228.88682340076545,54,3658
1_9_6,Ele,233.49433962264152,218.0,233.49433962264152,54,3710
2_10_1,Adv,240.29125214408234,223.0,240.29125214408234,44,2915
2_10_1,Ele,224.6978527607362,210.5,224.6978527607362,45,2608
2_10_2,Adv,239.4424280350438,221.0,239.4424280350438,44,3196
2_10_2,Ele,232.99822883457315,218.0,232.99822883457315,45,2823
2_10_3,Adv,232.9941198088938,215.0,232.9941198088938,45,2721
2_10_3,Ele,237.84338292873923,221.0,237.84338292873923,44,2554
2_10_4,Adv,238.47301951779565,220.0,238.47301951779565,45,3484
2_10_4,Ele,237.5380889476002,219.0,237.5380889476002,44,2271
2_1_1,Adv,240.54373666565073,225.0,240.54373666565073,45,3281
2_1_1,Ele,236.3135593220339,219.0,236.3135593220339,44,2596
2_1_2,Adv,237.4497512437811,221.0,237.4497512437811,45,3015
2_1_2,Ele,235.85790884718497,218.0,235.85790884718497,44,2238
2_1_3,Adv,233.1192954363491,216.0,233.1192954363491,44,2498
2_1_3,Ele,235.80610605249063,225.0,235.80610605249063,45,1867
2_1_4,Adv,235.56946393488633,221.0,235.56946393488633,44,3563
2_1_4,Ele,234.58183990442055,220.0,234.58183990442055,45,2511
2_1_5,Adv,239.01509206157561,222.0,239.01509206157561,44,3313
2_1_5,Ele,238.47064454371412,222.0,238.47064454371412,45,3134
2_1_6,Adv,239.58452192287373,223.0,239.58452192287373,45,3786
2_1_6,Ele,231.56669207317074,217.0,231.56669207317074,44,2624
2_2_1,Adv,239.8870056497175,219.0,239.8870056497175,44,2655
2_2_1,Ele,240.6884789418726,222.0,240.6884789418726,45,2873
2_2_2,Adv,239.3857764876633,218.0,239.3857764876633,44,3445
2_2_2,Ele,241.03885937936818,225.0,241.03885937936818,45,3577
2_2_3,Adv,240.4583850931677,218.0,240.4583850931677,44,2415
2_2_3,Ele,237.0543209876543,225.0,237.0543209876543,45,2430
2_2_4,Adv,255.8958687040181,235.0,255.8958687040181,45,1767
2_2_4,Ele,241.93105899076048,225.0,241.93105899076048,44,1407
2_2_5,Adv,241.99698158768487,225.0,241.99698158768487,45,3313
2_2_5,Ele,235.0913348946136,218.0,235.0913348946136,44,2562
2_2_6,Adv,236.57535460992906,220.0,236.57535460992906,45,2256
2_2_6,Ele,225.85948477751757,212.0,225.85948477751757,44,1708
2_3_1,Adv,233.1217252396166,219.0,233.1217252396166,44,3130
2_3_1,Ele,231.69423017587164,215.0,231.69423017587164,45,3241
2_3_2,Adv,232.81542273149583,216.0,232.81542273149583,44,3229
2_3_2,Ele,238.0909090909091,224.0,238.0909090909091,45,2640
2_3_3,Adv,230.4411414982164,215.0,230.4411414982164,45,3364
2_3_3,Ele,229.09600760456274,215.0,229.09600760456274,44,2104
2_3_4,Adv,234.3632030505243,218.0,234.3632030505243,44,3147
2_3_4,Ele,229.9533574587857,213.0,229.9533574587857,45,2487
2_4_1,Adv,234.53075886843288,220.0,234.53075886843288,45,2227
2_4_1,Ele,224.13084112149534,211.0,224.13084112149534,44,1605
2_4_2,Adv,241.4413123844732,223.0,241.4413123844732,45,2164
2_4_2,Ele,229.51354605659242,214.0,229.51354605659242,43,1661
2_4_3,Adv,233.4915057915058,216.0,233.4915057915058,45,2590
2_4_3,Ele,225.82431678750697,214.0,225.82431678750697,43,1793
2_4_4,Adv,233.012617012617,216.0,233.012617012617,45,2457
2_4_4,Ele,224.92171344165436,210.0,224.92171344165436,43,2031
2_4_5,Adv,236.26461988304092,217.0,236.26461988304092,43,2736
2_4_5,Ele,233.46093443266588,220.0,233.46093443266588,45,2547
2_4_6,Adv,234.37809187279152,217.0,234.37809187279152,43,1698
2_4_6,Ele,231.7106949236077,217.0,231.7106949236077,45,2029
2_4_7,Adv,245.1284896206156,225.0,245.1284896206156,45,2794
2_4_7,Ele,237.15722307299643,221.0,237.15722307299643,43,1959
2_5_1,Adv,234.09925558312656,218.5,234.09925558312656,44,3224
2_5_1,Ele,233.3448012232416,216.5,233.3448012232416,45,2616
2_5_2,Adv,242.05664958187214,224.0,242.05664958187214,44,3707
2_5_2,Ele,232.8774492340577,214.0,232.8774492340577,45,2807
2_5_3,Adv,235.6998506719761,219.0,235.6998506719761,45,2009
2_5_3,Ele,230.11221507890122,216.0,230.11221507890122,44,1711
2_5_4,Adv,240.7951858108108,219.0,240.7951858108108,44,2368
2_5_4,Ele,234.06826401446654,220.0,234.06826401446654,45,2212
2_5_5,Adv,240.22974413646057,222.5,240.22974413646057,45,3752
2_5_5,Ele,231.12333674513818,216.0,231.12333674513818,44,1954
2_6_1,Adv,229.4200477326969,212.0,229.4200477326969,44,2933
2_6_1,Ele,232.8513422818792,217.0,232.8513422818792,45,2980
