text_id,align_idx,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
1_10_1,0,Adv,225.52497598463017,209.0,291.279776674938,54,2082
1_10_1,0,Ele,211.44107744107745,196.0,271.2656587473002,54,1782
1_10_1,1,Adv,281.32846003898635,246.0,336.0221187427241,54,1026
1_10_1,1,Ele,203.35380116959064,193.0,257.8998763906057,54,1026
1_10_1,2,Adv,213.44896115627822,202.5,281.4627754615843,54,2214
1_10_1,2,Ele,207.72398589065256,204.0,254.9339826839827,54,1134
1_10_2,3,Adv,250.0185185185185,212.5,296.72527472527474,54,864
1_10_2,3,Ele,220.32748538011697,209.0,269.43504171632895,54,1026
1_10_2,4,Adv,233.70498084291188,218.5,281.95839753466873,54,1566
1_10_2,4,Ele,237.81267806267806,217.0,285.3752136752137,54,1404
1_10_2,5,Adv,192.75498575498577,185.0,252.68720821661998,54,1404
1_10_2,5,Ele,196.67261904761904,189.0,264.328,54,1512
1_10_2,6,Adv,201.75925925925927,194.0,251.101152368758,54,972
1_10_2,6,Ele,209.20987654320987,196.0,269.3403973509934,54,972
1_10_3,7,Adv,235.16721132897604,209.0,293.31997282608694,54,3672
1_10_3,7,Ele,200.92272079772079,190.0,260.4759926131117,54,2808
1_10_3,8,Adv,235.40695573622403,213.5,297.6533409480297,54,2214
1_10_3,8,Ele,194.17724867724868,188.0,256.63986013986016,54,1134
1_10_4,9,Adv,253.10239651416123,225.0,309.5909393737508,54,1836
1_10_4,9,Ele,229.78189300411523,199.0,277.7960199004975,54,972
1_10_4,10,Adv,251.89605734767025,223.0,318.9667170953101,54,1674
1_10_4,10,Ele,209.81712962962962,199.0,265.22604242867595,54,1728
1_10_4,11,Adv,191.64429012345678,182.5,265.9218415417559,54,1296
1_10_4,11,Ele,176.3755144032922,180.0,251.00585651537335,54,972
1_10_4,12,Adv,212.15324074074073,201.0,279.59182428309947,54,2160
1_10_4,12,Ele,209.06241426611797,196.0,260.9700342465753,54,1458
1_10_4,13,Adv,197.8359375,187.0,283.4664179104478,54,1920
1_10_4,13,Ele,204.6141141141141,191.0,274.74395161290323,54,1998
1_10_5,14,Adv,262.9128540305011,223.0,320.52324037184593,54,918
1_10_5,14,Ele,223.80439814814815,200.0,273.5035360678925,54,864
1_10_5,15,Adv,270.4317738791423,216.0,328.74763033175356,54,1026
1_10_5,15,Ele,221.82996632996634,211.0,270.29128205128205,54,1188
1_10_5,16,Adv,252.7873357228196,226.0,309.10591672753833,54,1674
1_10_5,16,Ele,231.5023148148148,217.0,275.5068870523416,54,1296
1_10_5,17,Adv,209.80163817663816,199.0,269.7449633699634,54,2808
1_10_5,17,Ele,176.74643874643874,174.5,246.42701092353525,54,1404
1_10_6,18,Adv,237.38359788359787,217.0,287.369095276221,54,1512
1_10_6,18,Ele,261.8351851851852,222.0,323.5491990846682,54,1080
1_10_6,19,Adv,219.38470728793308,204.0,265.1624548736462,54,1674
