text_id,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_10_1,Adv,234.40757978723406,216.0,234.40757978723406,54,9024
1_10_1,Ele,212.82482245519108,198.0,212.82482245519108,54,5914
1_10_2,Adv,219.65778367297722,204.0,219.65778367297722,54,8293
1_10_2,Ele,223.15266017945154,206.0,223.15266017945154,54,7913
1_10_3,Adv,232.8893453603644,214.0,232.8893453603644,54,11197
1_10_3,Ele,215.77151182721974,204.0,215.77151182721974,54,5834
1_10_4,Adv,232.4061291499453,213.0,232.4061291499453,54,13705
1_10_4,Ele,217.4144177110969,201.0,217.4144177110969,54,10931
1_10_5,Adv,232.33822145545795,213.0,232.33822145545795,54,12752
1_10_5,Ele,216.4947637292465,200.0,216.4947637292465,54,7830
1_10_6,Adv,218.3695152083156,200.0,218.3695152083156,54,11737
1_10_6,Ele,228.57786673553719,210.0,228.57786673553719,54,7744
1_10_7,Adv,216.99052610360815,199.0,216.99052610360815,54,9922
1_10_7,Ele,225.00061919504643,209.0,225.00061919504643,54,8075
1_1_1,Adv,224.2030833650552,205.0,224.2030833650552,54,10508
1_1_1,Ele,230.25077002053388,211.0,230.25077002053388,54,7792
1_1_2,Adv,220.39948006932408,205.0,220.39948006932408,54,9232
1_1_2,Ele,224.95675675675676,209.0,224.95675675675676,54,6105
1_1_3,Adv,224.91820122764878,208.0,224.91820122764878,54,7494
1_1_3,Ele,216.85213474343908,202.0,216.85213474343908,54,5106
1_1_4,Adv,223.865510013973,209.0,223.865510013973,54,8588
1_1_4,Ele,217.7577910544163,202.0,217.7577910544163,54,6193
1_1_5,Adv,223.7615974886641,209.0,223.7615974886641,54,5734
1_1_5,Ele,213.873786407767,198.0,213.873786407767,54,4635
1_1_6,Adv,218.18840821780523,204.0,218.18840821780523,54,11974
1_1_6,Ele,224.92844732269785,210.0,224.92844732269785,54,6331
1_1_7,Adv,225.62978391043998,210.0,225.62978391043998,54,11523
1_1_7,Ele,212.96931170539239,199.0,212.96931170539239,54,6843
1_2_1,Adv,227.80406822949922,210.0,227.80406822949922,54,10963
1_2_1,Ele,218.38229470005825,201.0,218.38229470005825,54,8585
1_2_2,Adv,226.36671816777243,210.0,226.36671816777243,54,11003
1_2_2,Ele,215.40706302244763,200.0,215.40706302244763,54,10647
1_2_3,Adv,217.64612954186413,200.0,217.64612954186413,54,12027
1_2_3,Ele,228.76794546183666,211.0,228.76794546183666,54,7481
1_2_4,Adv,211.9761424436453,198.0,211.9761424436453,54,11401
1_2_4,Ele,220.37977218675678,207.0,220.37977218675678,54,7989
1_2_5,Adv,215.38670754623678,200.0,215.38670754623678,54,10111
1_2_5,Ele,221.71540666968463,207.0,221.71540666968463,54,6627
