text_id,align_idx,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,0,Adv,244.91951219512194,0.0,521.1955017301038,54,1230
1_10_1,0,Ele,152.2701688555347,0.0,390.1923076923077,54,1066
1_10_1,1,Adv,225.79010494752623,0.0,478.1015873015873,54,667
1_10_1,1,Ele,145.06412478336222,0.0,350.21757322175733,53,577
1_10_1,2,Adv,218.58498349834983,0.0,449.78777589134125,54,1212
1_10_1,2,Ele,126.97258297258297,0.0,372.8474576271187,54,693
1_10_2,3,Adv,287.75762711864405,0.0,579.4436860068259,53,590
1_10_2,3,Ele,197.02698412698413,123.5,369.42559523809524,53,630
1_10_2,4,Adv,212.2938816449348,0.0,467.233995584989,54,997
1_10_2,4,Ele,211.273276904474,0.0,437.90225563909775,53,827
1_10_2,5,Adv,179.1393568147014,0.0,388.6312292358804,54,653
1_10_2,5,Ele,179.0380047505938,0.0,429.4871794871795,54,842
1_10_2,6,Adv,193.388698630137,0.0,410.6872727272727,54,584
1_10_2,6,Ele,155.80212014134275,0.0,372.084388185654,53,566
1_10_3,7,Adv,275.28816705336425,161.0,491.0976821192053,54,2155
1_10_3,7,Ele,164.36288265306123,0.0,374.59447674418607,54,1568
1_10_3,8,Adv,301.7769953051643,170.0,532.6947513812155,54,1278
1_10_3,8,Ele,195.60380348652933,0.0,411.42,54,631
1_10_4,9,Adv,289.6843525179856,126.0,547.8384353741496,54,1112
1_10_4,9,Ele,213.04920405209842,0.0,529.5575539568346,54,691
1_10_4,10,Adv,210.67613038906416,0.0,485.11622276029055,52,951
1_10_4,10,Ele,203.9671641791045,0.0,474.50694444444446,54,1005
1_10_4,11,Adv,120.97549019607843,0.0,344.3581395348837,51,612
1_10_4,11,Ele,111.49217002237137,0.0,325.73202614379085,51,447
1_10_4,12,Adv,154.80885122410547,0.0,409.9925187032419,53,1062
1_10_4,12,Ele,194.43979721166033,0.0,453.88461538461536,53,789
1_10_4,13,Adv,185.74291938997823,0.0,474.96378830083563,53,918
1_10_4,13,Ele,145.6017274472169,0.0,391.02319587628864,54,1042
1_10_5,14,Adv,283.8781725888325,167.0,496.36686390532543,54,591
1_10_5,14,Ele,248.18693284936478,89.0,488.39642857142854,52,551
1_10_5,15,Adv,477.7946127946128,272.5,716.6919191919192,52,594
1_10_5,15,Ele,191.84957020057305,0.0,391.55263157894734,54,698
