text_id,level,mean_FirstPassGD,median_FirstPassGD,mean_nonzero_FirstPassGD,n_subjects,n_rows
1_10_1,Adv,305.7915728530074,257.0,305.7915728530074,54,3109
1_10_1,Ele,267.8424657534247,234.0,267.8424657534247,54,2336
1_10_2,Adv,281.12570821529744,241.0,281.12570821529744,54,2824
1_10_2,Ele,278.2862129144852,239.0,278.2862129144852,54,2865
1_10_3,Adv,310.3460530148558,255.0,310.3460530148558,54,3433
1_10_3,Ele,269.7326057298772,235.0,269.7326057298772,54,2199
1_10_4,Adv,304.32416756176156,256.0,304.32416756176156,54,4655
1_10_4,Ele,276.95571212883743,240.0,276.95571212883743,54,3974
1_10_5,Adv,312.2551076753175,260.0,312.2551076753175,54,3622
1_10_5,Ele,273.22566532993073,242.0,273.22566532993073,54,2743
1_10_6,Adv,287.09730458221026,247.0,287.09730458221026,54,3710
1_10_6,Ele,299.2116261398176,253.0,299.2116261398176,54,2632
1_10_7,Adv,269.6402373247033,234.0,269.6402373247033,54,3708
1_10_7,Ele,281.86793692509855,239.0,281.86793692509855,54,3044
1_1_1,Adv,307.7467455621302,256.0,307.7467455621302,54,3380
1_1_1,Ele,291.2536443148688,245.0,291.2536443148688,54,3087
1_1_2,Adv,294.5258007117438,250.0,294.5258007117438,54,3372
1_1_2,Ele,283.504132231405,244.0,283.504132231405,54,2420
1_1_3,Adv,302.15153876119984,249.0,302.15153876119984,54,2567
1_1_3,Ele,270.42806663301366,231.0,270.42806663301366,54,1981
1_1_4,Adv,298.0849158007882,250.0,298.0849158007882,54,2791
1_1_4,Ele,277.1098901098901,239.0,277.1098901098901,54,2093
1_1_5,Adv,288.2622727272727,242.0,288.2622727272727,54,2200
1_1_5,Ele,271.1215375918598,232.0,271.1215375918598,54,1769
1_1_6,Adv,292.0483104540655,249.0,292.0483104540655,54,3788
1_1_6,Ele,277.5181325552313,243.0,277.5181325552313,54,2399
1_1_7,Adv,279.4063694267516,245.0,279.4063694267516,54,3925
1_1_7,Ele,269.1613924050633,233.0,269.1613924050633,54,2528
1_2_1,Adv,299.2771023302938,254.0,299.2771023302938,54,3948
1_2_1,Ele,289.46535580524346,250.0,289.46535580524346,54,3204
1_2_2,Adv,299.7747497219132,248.5,299.7747497219132,54,3596
1_2_2,Ele,275.19551616266943,239.0,275.19551616266943,54,3836
1_2_3,Adv,283.4268886043534,238.0,283.4268886043534,54,3905
1_2_3,Ele,289.11071849234395,249.0,289.11071849234395,54,2547
1_2_4,Adv,274.7136150234742,238.0,274.7136150234742,54,4047
1_2_4,Ele,272.8767323121809,235.0,272.8767323121809,54,2742
1_2_5,Adv,273.7349088838269,241.0,273.7349088838269,54,3512
1_2_5,Ele,275.0742694805195,238.0,275.0742694805195,54,2464
1_2_6,Adv,311.07521919704664,251.0,311.07521919704664,54,2167
1_2_6,Ele,271.0322766570605,233.0,271.0322766570605,54,1735
1_3_1,Adv,312.9959100204499,252.0,312.9959100204499,54,2445
1_3_1,Ele,266.1827035449942,229.0,266.1827035449942,54,2567
1_3_2,Adv,297.05747588424435,254.0,297.05747588424435,54,2488
1_3_2,Ele,294.7400596421471,249.0,294.7400596421471,54,2012
1_3_3,Adv,302.2065649867374,252.0,302.2065649867374,54,3016
1_3_3,Ele,268.2023020579002,236.0,268.2023020579002,54,2867
1_3_4,Adv,291.933372816109,250.0,291.933372816109,54,3377
1_3_4,Ele,275.0813694975545,238.0,275.0813694975545,54,2249
1_3_5,Adv,291.3947309667336,246.0,291.3947309667336,54,4479
1_3_5,Ele,294.4857868020305,242.0,294.4857868020305,54,1970
1_4_1,Adv,287.1866083755177,243.0,287.1866083755177,54,4346
1_4_1,Ele,281.91902384914033,241.0,281.91902384914033,54,3606
1_4_2,Adv,300.8554373779032,248.0,300.8554373779032,54,4607
1_4_2,Ele,287.57395539605227,250.0,287.57395539605227,54,3901
1_4_3,Adv,310.3526282853567,261.5,310.3526282853567,54,3196
1_4_3,Ele,265.4317092651757,236.0,265.4317092651757,54,2504
1_4_4,Adv,296.44268774703556,248.0,296.44268774703556,54,4301
1_4_4,Ele,272.13921113689094,239.0,272.13921113689094,54,3448
1_4_5,Adv,281.6174652241113,241.0,281.6174652241113,54,2588
1_4_5,Ele,284.8036547433904,245.0,284.8036547433904,54,2572
1_5_1,Adv,306.56027713625866,249.0,306.56027713625866,54,2165
1_5_1,Ele,280.8350845134765,241.0,280.8350845134765,54,2189
1_5_2,Adv,299.25778301886794,250.0,299.25778301886794,54,4240
1_5_2,Ele,272.8917759838547,236.5,272.8917759838547,54,3964
1_5_3,Adv,300.492230854606,248.0,300.492230854606,54,3604
1_5_3,Ele,300.34211476001445,252.0,300.34211476001445,54,2771
1_5_4,Adv,307.419773095624,258.0,307.419773095624,54,4319
1_5_4,Ele,278.51459143968873,242.0,278.51459143968873,54,3084
1_5_5,Adv,298.1396035428089,252.0,298.1396035428089,54,2371
1_5_5,Ele,316.5976491862568,258.0,316.5976491862568,54,2212
1_6_1,Adv,323.65365853658534,254.0,323.65365853658534,54,2665
1_6_1,Ele,301.68536585365854,247.0,301.68536585365854,54,2050
1_6_2,Adv,293.15536038764384,250.0,293.15536038764384,54,3302
1_6_2,Ele,296.8341059602649,249.5,296.8341059602649,54,3020
1_6_3,Adv,310.758100737889,252.0,310.758100737889,54,3117
1_6_3,Ele,281.68676526355705,241.0,281.68676526355705,54,2637
1_6_4,Adv,288.48066645708894,243.0,288.48066645708894,54,3181
1_6_4,Ele,295.346797096876,251.0,295.346797096876,54,3169
1_7_1,Adv,292.0833333333333,246.0,292.0833333333333,54,4440
1_7_1,Ele,284.6730425911757,242.0,284.6730425911757,54,3921
1_7_2,Adv,271.40561421581253,238.0,271.40561421581253,54,3883
1_7_2,Ele,280.74612129760226,239.0,280.74612129760226,53,3545
1_7_3,Adv,291.3703091810243,252.0,291.3703091810243,54,4237
1_7_3,Ele,275.72367655613726,239.0,275.72367655613726,54,3438
1_7_4,Adv,293.97068012496993,246.0,293.97068012496993,54,4161
1_7_4,Ele,268.7969768047954,237.0,268.7969768047954,54,3837
1_8_1,Adv,268.72970734400883,234.0,268.72970734400883,54,3622
1_8_1,Ele,270.1165187517893,232.0,270.1165187517893,54,3493
1_8_2,Adv,301.2763654669016,252.0,301.2763654669016,54,3973
1_8_2,Ele,285.82423157266487,245.0,285.82423157266487,54,3351
1_8_3,Adv,285.9961713328548,244.0,285.9961713328548,54,4179
1_8_3,Ele,267.8476764199656,235.5,267.8476764199656,54,3486
1_8_4,Adv,296.4844390832328,250.0,296.4844390832328,54,4145
1_8_4,Ele,269.66420845624384,237.0,269.66420845624384,54,4068
1_8_5,Adv,293.30913978494624,247.0,293.30913978494624,54,2976
1_8_5,Ele,293.87907716786,246.0,293.87907716786,54,2514
1_9_1,Adv,291.1207695048094,244.0,291.1207695048094,54,2807
1_9_1,Ele,283.57320205479454,250.0,283.57320205479454,54,2336
1_9_2,Adv,286.0084874204304,240.0,286.0084874204304,54,3299
1_9_2,Ele,266.48395721925135,230.0,266.48395721925135,54,2992
1_9_3,Adv,315.41086289969337,248.0,315.41086289969337,54,2283
1_9_3,Ele,265.56788732394364,232.0,265.56788732394364,54,1775
1_9_4,Adv,270.16764061358657,232.0,270.16764061358657,54,2738
1_9_4,Ele,270.79675103891196,233.0,270.79675103891196,54,2647
1_9_5,Adv,289.5365648641076,242.0,289.5365648641076,54,3569
1_9_5,Ele,285.38268041237114,246.0,285.38268041237114,54,2425
1_9_6,Adv,274.19792236194644,237.0,274.19792236194644,54,3658
1_9_6,Ele,283.03477088948785,242.5,283.03477088948785,54,3710
2_10_1,Adv,314.5368782161235,252.0,314.5368782161235,44,2915
2_10_1,Ele,282.45973926380367,240.0,282.45973926380367,45,2608
2_10_2,Adv,314.70275344180226,253.0,314.70275344180226,44,3196
2_10_2,Ele,294.82217499114415,251.0,294.82217499114415,45,2823
2_10_3,Adv,307.21903711870635,249.0,307.21903711870635,45,2721
2_10_3,Ele,290.7486296006265,245.0,290.7486296006265,44,2554
2_10_4,Adv,325.6980482204363,262.0,325.6980482204363,45,3484
2_10_4,Ele,307.17745486569794,249.0,307.17745486569794,44,2271
2_1_1,Adv,299.68271868332823,256.0,299.68271868332823,45,3281
2_1_1,Ele,298.5562403697997,246.0,298.5562403697997,44,2596
2_1_2,Adv,296.2006633499171,247.0,296.2006633499171,45,3015
2_1_2,Ele,283.0218945487042,243.0,283.0218945487042,44,2238
2_1_3,Adv,284.9807846277022,241.0,284.9807846277022,44,2498
2_1_3,Ele,290.8344938403856,259.0,290.8344938403856,45,1867
2_1_4,Adv,278.7429132753298,242.0,278.7429132753298,44,3563
2_1_4,Ele,288.5659099960175,246.0,288.5659099960175,45,2511
2_1_5,Adv,298.53727739209177,247.0,298.53727739209177,44,3313
2_1_5,Ele,295.4345883854499,250.0,295.4345883854499,45,3134
2_1_6,Adv,316.88959323824616,261.0,316.88959323824616,45,3786
2_1_6,Ele,287.4817073170732,243.0,287.4817073170732,44,2624
2_2_1,Adv,319.2693032015066,253.0,319.2693032015066,44,2655
2_2_1,Ele,307.34249912982943,254.0,307.34249912982943,45,2873
2_2_2,Adv,310.22322206095794,246.0,310.22322206095794,44,3445
2_2_2,Ele,292.405647190383,251.0,292.405647190383,45,3577
2_2_3,Adv,319.4952380952381,253.0,319.4952380952381,44,2415
2_2_3,Ele,302.31522633744856,254.0,302.31522633744856,45,2430
2_2_4,Adv,335.6355404640634,279.0,335.6355404640634,45,1767
2_2_4,Ele,311.21179815209666,258.0,311.21179815209666,44,1407
2_2_5,Adv,315.70811952912766,261.0,315.70811952912766,45,3313
2_2_5,Ele,287.5085870413739,241.0,287.5085870413739,44,2562
2_2_6,Adv,308.0744680851064,257.0,308.0744680851064,45,2256
2_2_6,Ele,281.68325526932085,237.0,281.68325526932085,44,1708
2_3_1,Adv,298.54281150159744,247.0,298.54281150159744,44,3130
2_3_1,Ele,285.92656587473004,243.0,285.92656587473004,45,3241
2_3_2,Adv,299.25023227005266,247.0,299.25023227005266,44,3229
2_3_2,Ele,302.23636363636365,257.5,302.23636363636365,45,2640
2_3_3,Adv,287.34304399524376,239.0,287.34304399524376,45,3364
2_3_3,Ele,277.4990494296578,234.0,277.4990494296578,44,2104
2_3_4,Adv,305.2666031140769,245.0,305.2666031140769,44,3147
2_3_4,Ele,291.297145154805,248.0,291.297145154805,45,2487
2_4_1,Adv,293.56443646160756,247.0,293.56443646160756,45,2227
2_4_1,Ele,271.4267912772586,232.0,271.4267912772586,44,1605
2_4_2,Adv,337.89879852125694,264.5,337.89879852125694,45,2164
2_4_2,Ele,274.25406381697775,235.0,274.25406381697775,43,1661
2_4_3,Adv,300.01389961389964,255.0,300.01389961389964,45,2590
2_4_3,Ele,283.9553820412716,242.0,283.9553820412716,43,1793
2_4_4,Adv,304.2804232804233,253.0,304.2804232804233,45,2457
2_4_4,Ele,295.0487444608567,240.0,295.0487444608567,43,2031
2_4_5,Adv,317.531432748538,253.0,317.531432748538,43,2736
2_4_5,Ele,306.8924224577935,253.0,306.8924224577935,45,2547
2_4_6,Adv,294.6778563015312,247.0,294.6778563015312,43,1698
2_4_6,Ele,290.7013307047807,245.0,290.7013307047807,45,2029
2_4_7,Adv,318.94022906227633,261.0,318.94022906227633,45,2794
2_4_7,Ele,296.2103113833588,249.0,296.2103113833588,43,1959
2_5_1,Adv,310.8284739454094,247.0,310.8284739454094,44,3224
2_5_1,Ele,293.387996941896,252.0,293.387996941896,45,2616
2_5_2,Adv,309.42244402481793,253.0,309.42244402481793,44,3707
2_5_2,Ele,284.85108656929106,242.0,284.85108656929106,45,2807
2_5_3,Adv,320.77003484320556,265.0,320.77003484320556,45,2009
2_5_3,Ele,287.42022209234364,242.0,287.42022209234364,44,1711
2_5_4,Adv,301.0118243243243,248.0,301.0118243243243,44,2368
2_5_4,Ele,297.23146473779383,252.0,297.23146473779383,45,2212
2_5_5,Adv,302.83128997867806,256.0,302.83128997867806,45,3752
2_5_5,Ele,293.65455475946777,245.0,293.65455475946777,44,1954
2_6_1,Adv,288.1963859529492,240.0,288.1963859529492,44,2933
2_6_1,Ele,288.29328859060405,243.0,288.29328859060405,45,2980
2_6_2,Adv,329.38985255854294,252.0,329.38985255854294,45,2306
2_6_2,Ele,268.76056338028167,232.0,268.76056338028167,44,2059
2_6_3,Adv,284.9213305174234,238.0,284.9213305174234,44,1894
2_6_3,Ele,277.00917926565876,243.0,277.00917926565876,45,1852
2_6_4,Adv,298.5483182060865,253.0,298.5483182060865,45,3746
2_6_4,Ele,268.4808488612836,234.0,268.4808488612836,44,1932
2_7_1,Adv,307.6490238611714,260.0,307.6490238611714,45,2305
2_7_1,Ele,281.31200839014156,237.0,281.31200839014156,44,1907
2_7_2,Adv,286.34608030592733,243.0,286.34608030592733,45,3661
2_7_2,Ele,272.7178526841448,235.0,272.7178526841448,44,2403
2_7_3,Adv,283.438822065533,239.0,283.438822065533,44,2411
2_7_3,Ele,283.9205508474576,246.0,283.9205508474576,45,1888
2_7_4,Adv,275.33989455184536,237.0,275.33989455184536,44,2845
2_7_4,Ele,274.9853640687889,243.0,274.9853640687889,45,2733
2_7_5,Adv,286.8939919893191,242.0,286.8939919893191,45,3745
2_7_5,Ele,270.2476907287034,233.0,270.2476907287034,44,2923
2_7_6,Adv,274.2961868164351,236.0,274.2961868164351,44,3383
2_7_6,Ele,268.6013676588898,234.0,268.6013676588898,45,2486
2_8_1,Adv,300.78979502834716,249.0,300.78979502834716,44,2293
2_8_1,Ele,298.20223325062034,252.0,298.20223325062034,45,2418
2_8_2,Adv,286.03230437903807,246.0,286.03230437903807,44,2786
2_8_2,Ele,283.8106009453072,243.0,283.8106009453072,45,2962
2_8_3,Adv,290.91702376314765,243.0,290.91702376314765,45,2567
2_8_3,Ele,287.9664970313825,238.0,287.9664970313825,44,2358
2_8_4,Adv,295.86730700818214,252.0,295.86730700818214,45,2811
2_8_4,Ele,295.1926147704591,250.0,295.1926147704591,44,2004
2_8_5,Adv,300.5430107526882,245.0,300.5430107526882,44,3348
2_8_5,Ele,290.38024193548387,244.5,290.38024193548387,45,2480
2_8_6,Adv,288.70515021459227,238.0,288.70515021459227,44,2330
2_8_6,Ele,276.0670600858369,235.0,276.0670600858369,45,1864
2_9_1,Adv,339.23079572855664,276.0,339.23079572855664,45,2903
2_9_1,Ele,303.8841121495327,249.0,303.8841121495327,44,2675
2_9_2,Adv,328.0862840862841,260.0,328.0862840862841,45,2457
2_9_2,Ele,294.42780461621044,248.0,294.42780461621044,44,1863
2_9_3,Adv,306.92749778956676,255.0,306.92749778956676,45,3393
2_9_3,Ele,283.1497175141243,242.0,283.1497175141243,44,2478
2_9_4,Adv,310.9485210466439,248.0,310.9485210466439,44,3516
2_9_4,Ele,288.7524752475247,242.0,288.7524752475247,45,3131
2_9_5,Adv,318.12090680100755,264.0,318.12090680100755,45,3573
2_9_5,Ele,282.6539937216603,242.0,282.6539937216603,44,2867
2_9_6,Adv,317.5526409074796,249.0,317.5526409074796,44,2821
2_9_6,Ele,284.4531043593131,246.0,284.4531043593131,45,1514
3_10_1,Adv,297.2901706886404,244.0,297.2901706886404,42,1699
3_10_1,Ele,296.95418326693226,239.0,296.95418326693226,39,1506
3_10_2,Adv,283.4331683168317,238.0,283.4331683168317,39,2020
3_10_2,Ele,280.27527527527525,241.5,280.27527527527525,42,1998
3_10_3,Adv,280.0068226120858,229.0,280.0068226120858,39,2052
3_10_3,Ele,273.55447154471545,238.0,273.55447154471545,42,1845
3_10_4,Adv,298.1542379046926,244.0,298.1542379046926,39,2749
3_10_4,Ele,280.19459079733053,238.0,280.19459079733053,42,2847
3_10_5,Adv,278.80760164997054,239.0,278.80760164997054,42,3394
3_10_5,Ele,279.9530035335689,239.0,279.9530035335689,39,2830
3_10_6,Adv,269.59938837920487,232.0,269.59938837920487,42,1962
3_10_6,Ele,262.86731763354396,227.0,262.86731763354396,39,1741
3_1_1,Adv,311.9371293001186,252.5,311.9371293001186,42,3372
3_1_1,Ele,304.50898410504493,244.0,304.50898410504493,39,2894
3_1_2,Adv,313.8992725237829,256.0,313.8992725237829,42,1787
3_1_2,Ele,315.89114114114113,252.0,315.89114114114113,39,1332
