text_id,align_idx,level,RegRateFirstPass,RegRateTotal,n_subjects,n_rows
1_10_1,0,Adv,0.23089430894308943,0.2756964457252642,54,2082
1_10_1,0,Ele,0.1772983114446529,0.23793490460157127,54,1782
1_10_1,1,Adv,0.23238380809595202,0.29142300194931775,54,1026
1_10_1,1,Ele,0.2755632582322357,0.26900584795321636,54,1026
1_10_1,2,Adv,0.3127062706270627,0.3274616079494128,54,2214
1_10_1,2,Ele,0.28715728715728717,0.30158730158730157,54,1134
1_10_2,3,Adv,0.21864406779661016,0.33101851851851855,54,864
1_10_2,3,Ele,0.19682539682539682,0.2807017543859649,54,1026
1_10_2,4,Adv,0.2577733199598796,0.3314176245210728,54,1566
1_10_2,4,Ele,0.2418379685610641,0.35683760683760685,54,1404
1_10_2,5,Adv,0.36294027565084225,0.3547008547008547,54,1404
1_10_2,5,Ele,0.3182897862232779,0.31812169312169314,54,1512
1_10_2,6,Adv,0.410958904109589,0.4156378600823045,54,972
1_10_2,6,Ele,0.3551236749116608,0.3405349794238683,54,972
1_10_3,7,Adv,0.25846867749419955,0.3333333333333333,54,3672
1_10_3,7,Ele,0.2780612244897959,0.27635327635327633,54,2808
1_10_3,8,Adv,0.3028169014084507,0.3866305329719964,54,2214
1_10_3,8,Ele,0.39619651347068147,0.3474426807760141,54,1134
1_10_4,9,Adv,0.26798561151079137,0.340958605664488,54,1836
1_10_4,9,Ele,0.19247467438494936,0.2448559670781893,54,972
1_10_4,10,Adv,0.31440588853838064,0.3255675029868578,54,1674
1_10_4,10,Ele,0.2845771144278607,0.33449074074074076,54,1728
1_10_4,11,Adv,0.23366013071895425,0.22453703703703703,54,1296
1_10_4,11,Ele,0.2639821029082774,0.26440329218106995,54,972
1_10_4,12,Adv,0.3013182674199623,0.27685185185185185,54,2160
1_10_4,12,Ele,0.35868187579214195,0.3669410150891632,54,1458
1_10_4,13,Adv,0.30392156862745096,0.28958333333333336,54,1920
1_10_4,13,Ele,0.33205374280230326,0.3123123123123123,54,1998
1_10_5,14,Adv,0.18274111675126903,0.28431372549019607,54,918
1_10_5,14,Ele,0.2323049001814882,0.2789351851851852,54,864
1_10_5,15,Adv,0.3383838383838384,0.4727095516569201,54,1026
1_10_5,15,Ele,0.27650429799426934,0.30976430976430974,54,1188
1_10_5,16,Adv,0.27301927194860814,0.37753882915173237,54,1674
1_10_5,16,Ele,0.25,0.32175925925925924,54,1296
1_10_5,17,Adv,0.2954091816367265,0.38461538461538464,54,2808
1_10_5,17,Ele,0.3462603878116344,0.34472934472934474,54,1404
1_10_6,18,Adv,0.24298056155507558,0.33134920634920634,54,1512
1_10_6,18,Ele,0.28346456692913385,0.3212962962962963,54,1080
1_10_6,19,Adv,0.324582338902148,0.43847072879330945,54,1674
1_10_6,19,Ele,0.28101802757158006,0.3378226711560045,54,1782
1_10_6,20,Adv,0.2673469387755102,0.35769980506822613,54,1026
1_10_6,20,Ele,0.3284823284823285,0.35905349794238683,54,972
1_10_6,21,Adv,0.3123425692695214,0.27037037037037037,54,810
1_10_6,22,Adv,0.2131782945736434,0.2212475633528265,54,1026
1_10_6,22,Ele,0.2547993019197208,0.2202729044834308,54,1026
1_10_6,23,Adv,0.31123388581952116,0.3287037037037037,54,864
1_10_7,24,Adv,0.24874118831822759,0.24126984126984127,54,1890
1_10_7,24,Ele,0.1820388349514563,0.2854938271604938,54,648
1_10_7,25,Adv,0.3349705304518664,0.35935935935935936,54,1998
1_10_7,25,Ele,0.23547094188376755,0.3148148148148148,54,1728
1_10_7,26,Adv,0.30129390018484287,0.23981481481481481,54,1080
1_10_7,26,Ele,0.2717948717948718,0.24351851851851852,54,1080
1_10_7,27,Adv,0.2759515570934256,0.20930232558139536,54,2322
1_10_7,27,Ele,0.2783603431839847,0.22407407407407406,54,2160
1_1_1,28,Adv,0.29106280193236717,0.3194444444444444,54,1512
1_1_1,28,Ele,0.21857142857142858,0.24305555555555555,54,1296
1_1_1,29,Adv,0.2774798927613941,0.25037037037037035,54,1350
1_1_1,29,Ele,0.23421926910299004,0.21957671957671956,54,1134
1_1_1,30,Adv,0.23515981735159816,0.34,54,1350
1_1_1,30,Ele,0.22884386174016685,0.21362433862433863,54,1512
1_1_1,31,Adv,0.34408602150537637,0.3572984749455338,54,1836
1_1_1,31,Ele,0.2558139534883721,0.26642771804062126,54,1674
1_1_2,32,Adv,0.19439252336448598,0.23580246913580247,54,810
1_1_2,33,Adv,0.28923076923076924,0.32323232323232326,54,594
1_1_2,33,Ele,0.17771084337349397,0.25084175084175087,54,594
1_1_2,34,Adv,0.25673249551166966,0.25633528265107214,54,2052
1_1_2,34,Ele,0.2607781282860147,0.27195767195767195,54,1890
1_1_2,35,Adv,0.19306930693069307,0.2156084656084656,54,756
1_1_2,35,Ele,0.20915032679738563,0.20493827160493827,54,810
1_1_2,36,Adv,0.23856858846918488,0.19607843137254902,54,918
1_1_2,36,Ele,0.18421052631578946,0.14619883040935672,54,1026
1_1_2,37,Adv,0.3788187372708758,0.31069958847736623,54,972
1_1_2,37,Ele,0.4315068493150685,0.2851851851851852,54,270
1_1_3,38,Adv,0.23127572016460907,0.2917795844625113,54,2214
1_1_3,38,Ele,0.24421388667198723,0.2726851851851852,54,2160
1_1_3,39,Adv,0.3111888111888112,0.3247354497354497,54,1512
1_1_3,39,Ele,0.263768115942029,0.2845117845117845,54,594
1_1_3,40,Adv,0.2692307692307692,0.22657952069716775,54,918
1_1_3,40,Ele,0.3342036553524804,0.3117283950617284,54,648
1_1_4,41,Adv,0.1881881881881882,0.29246487867177523,54,1566
1_1_4,41,Ele,0.21937639198218262,0.28532235939643347,54,1458
1_1_4,42,Adv,0.2824207492795389,0.3595679012345679,54,1296
1_1_4,42,Ele,0.23348017621145375,0.28114478114478114,54,1188
1_1_4,43,Adv,0.2712765957446808,0.3138401559454191,54,1026
1_1_4,43,Ele,0.3132295719844358,0.42701525054466233,54,918
1_1_4,44,Adv,0.31086142322097376,0.2709551656920078,54,1026
1_1_5,45,Adv,0.1660377358490566,0.16898148148148148,54,864
1_1_5,45,Ele,0.15881326352530542,0.22453703703703703,54,864
1_1_5,46,Adv,0.2503987240829346,0.22946859903381642,54,1242
1_1_5,46,Ele,0.18533604887983707,0.1962962962962963,54,810
1_1_5,47,Adv,0.18275862068965518,0.1574074074074074,54,540
1_1_5,48,Adv,0.3280212483399734,0.35113960113960113,54,1404
1_1_5,48,Ele,0.3517730496453901,0.40660225442834136,54,1242
1_1_6,49,Adv,0.18663594470046083,0.28347578347578345,54,1404
1_1_6,50,Adv,0.3053016453382084,0.4002057613168724,54,972
1_1_6,51,Adv,0.27873183619550856,0.39351851851851855,54,1296
1_1_6,51,Ele,0.17073170731707318,0.27136752136752135,54,1404
1_1_6,52,Adv,0.25433168316831684,0.3315863032844165,54,2862
1_1_6,52,Ele,0.2308192457737321,0.28358750907770514,54,2754
1_1_7,53,Adv,0.17266187050359713,0.27546296296296297,54,432
1_1_7,53,Ele,0.19528619528619529,0.2824074074074074,54,432
1_1_7,54,Adv,0.18508997429305912,0.23504273504273504,54,702
1_1_7,55,Adv,0.2356828193832599,0.34953703703703703,54,864
1_1_7,55,Ele,0.24772727272727274,0.2488425925925926,54,864
1_1_7,56,Adv,0.25303643724696356,0.28125,54,864
1_1_7,56,Ele,0.2048611111111111,0.2993827160493827,54,972
1_1_7,57,Adv,0.23240589198036007,0.3287037037037037,54,1080
1_1_7,57,Ele,0.26846846846846845,0.3148148148148148,54,1080
1_1_7,58,Adv,0.231311706629055,0.2564102564102564,54,1404
1_1_7,58,Ele,0.2924242424242424,0.2507716049382716,54,1296
1_1_7,59,Adv,0.2751677852348993,0.4074074074074074,54,864
1_1_7,60,Adv,0.31123388581952116,0.29434697855750486,54,1026
1_2_1,61,Adv,0.1793275217932752,0.2463768115942029,54,1242
1_2_1,61,Ele,0.16148325358851676,0.18438003220611915,54,1242
1_2_1,62,Adv,0.21256931608133087,0.30846560846560844,54,1890
1_2_1,62,Ele,0.3095577746077033,0.35909822866344604,54,1242
1_2_1,63,Adv,0.25711159737417943,0.23148148148148148,54,1728
1_2_1,63,Ele,0.22126929674099485,0.2553606237816764,54,1026
1_2_1,64,Adv,0.2193211488250653,0.19537037037037036,54,2160
1_2_1,64,Ele,0.2481549815498155,0.2312169312169312,54,1890
1_2_2,65,Adv,0.23255813953488372,0.3176638176638177,54,702
1_2_2,65,Ele,0.2721311475409836,0.3074074074074074,54,540
1_2_2,66,Adv,0.25158562367864695,0.3115468409586057,54,918
1_2_2,66,Ele,0.2583732057416268,0.24603174603174602,54,756
1_2_2,67,Adv,0.19230769230769232,0.20634920634920634,54,756
1_2_2,67,Ele,0.22469135802469137,0.2222222222222222,54,756
1_2_2,68,Adv,0.23728813559322035,0.24814814814814815,54,1620
1_2_2,68,Ele,0.24081632653061225,0.2665544332210999,54,1782
1_2_2,69,Adv,0.27768595041322314,0.35648148148148145,54,1080
1_2_2,69,Ele,0.21676300578034682,0.23832528180354268,54,1242
1_2_2,70,Adv,0.3016393442622951,0.3249701314217443,54,1674
1_2_2,70,Ele,0.2731660231660232,0.2957175925925926,54,1728
1_2_3,71,Adv,0.20689655172413793,0.23182441700960219,54,1458
1_2_3,72,Adv,0.28368314150304674,0.3227023319615912,54,2916
1_2_3,72,Ele,0.2654097171863669,0.335016835016835,54,2376
1_2_3,73,Adv,0.28838582677165353,0.37911522633744854,54,1944
1_2_3,73,Ele,0.276541095890411,0.3713713713713714,54,1998
1_2_3,74,Adv,0.23196881091617932,0.18518518518518517,54,1134
1_2_4,75,Adv,0.24294354838709678,0.3201911589008363,54,1674
1_2_4,75,Ele,0.25841184387617766,0.38271604938271603,54,1296
1_2_4,76,Adv,0.2388955582232893,0.25727513227513227,54,1512
1_2_4,76,Ele,0.2578947368421053,0.2638888888888889,54,1512
1_2_4,77,Adv,0.2867513611615245,0.24444444444444444,54,1080
1_2_4,77,Ele,0.16342412451361868,0.19547325102880658,54,486
1_2_4,78,Adv,0.4305555555555556,0.3888888888888889,54,432
1_2_4,78,Ele,0.413265306122449,0.38271604938271603,54,486
1_2_4,79,Adv,0.29818181818181816,0.26851851851851855,54,540
1_2_4,79,Ele,0.3237410071942446,0.22530864197530864,54,324
1_2_4,80,Adv,0.32367149758454106,0.25396825396825395,54,378
1_2_4,80,Ele,0.23780487804878048,0.26851851851851855,54,324
1_2_4,81,Adv,0.2589928057553957,0.23219373219373218,54,2106
1_2_4,81,Ele,0.2691511387163561,0.2551440329218107,54,972
1_2_5,82,Adv,0.16170212765957448,0.3045267489711934,54,972
1_2_5,82,Ele,0.13522012578616352,0.2191358024691358,54,972
1_2_5,83,Adv,0.30185497470489037,0.487962962962963,54,1080
1_2_5,83,Ele,0.30387596899224806,0.3977072310405644,54,1134
1_2_5,84,Adv,0.24964336661911554,0.2824074074074074,54,1296
1_2_5,84,Ele,0.23780487804878048,0.25146198830409355,54,1026
1_2_5,85,Adv,0.2445054945054945,0.21703703703703703,54,1350
1_2_5,85,Ele,0.276410998552822,0.22740740740740742,54,1350
1_2_5,86,Adv,0.2535031847133758,0.20436507936507936,54,1512
1_2_6,87,Adv,0.22213311948676825,0.29835390946502055,54,1944
1_2_6,87,Ele,0.25611510791366904,0.27870370370370373,54,1080
1_2_6,88,Adv,0.3100558659217877,0.34472934472934474,54,702
1_2_6,88,Ele,0.28688524590163933,0.28205128205128205,54,702
1_2_6,89,Adv,0.34341637010676157,0.4444444444444444,54,972
1_2_6,89,Ele,0.32047477744807124,0.2740740740740741,54,1350
1_3_1,90,Adv,0.2508004268943437,0.2915173237753883,54,1674
1_3_1,90,Ele,0.20738327904451684,0.2247765006385696,54,1566
1_3_1,91,Adv,0.27137546468401486,0.39351851851851855,54,864
1_3_1,91,Ele,0.25690021231422505,0.3187830687830688,54,756
1_3_1,92,Adv,0.29636711281070743,0.3224400871459695,54,918
1_3_1,92,Ele,0.2997076023391813,0.2571225071225071,54,1404
1_3_1,93,Adv,0.3691275167785235,0.27995642701525053,54,918
1_3_1,93,Ele,0.2953156822810591,0.23202614379084968,54,918
1_3_2,94,Adv,0.19382504288164665,0.25163398692810457,54,918
1_3_2,94,Ele,0.14965986394557823,0.22354497354497355,54,756
1_3_2,95,Adv,0.3552,0.38425925925925924,54,1080
1_3_2,95,Ele,0.27755102040816326,0.3377777777777778,54,1350
1_3_2,96,Adv,0.24478442280945759,0.3063973063973064,54,1188
1_3_2,96,Ele,0.2245508982035928,0.30185185185185187,54,540
1_3_2,97,Adv,0.3422459893048128,0.38562091503267976,54,918
1_3_2,97,Ele,0.3944223107569721,0.4236111111111111,54,864
1_3_3,98,Adv,0.21973929236499068,0.24836601307189543,54,918
1_3_3,98,Ele,0.23876404494382023,0.32407407407407407,54,1080
1_3_3,99,Adv,0.39,0.4567901234567901,54,162
1_3_3,99,Ele,0.3979591836734694,0.4506172839506173,54,162
1_3_3,100,Adv,0.23919308357348704,0.27946127946127947,54,594
1_3_3,100,Ele,0.16791979949874686,0.15527065527065528,54,702
1_3_3,101,Adv,0.2399103139013453,0.2440087145969499,54,918
1_3_3,101,Ele,0.3220338983050847,0.3425925925925926,54,216
1_3_3,102,Adv,0.29191321499013806,0.3474945533769063,54,918
1_3_3,102,Ele,0.19063545150501673,0.17222222222222222,54,540
1_3_3,103,Adv,0.5698924731182796,0.5185185185185185,54,216
1_3_3,103,Ele,0.33557046979865773,0.24074074074074073,54,324
1_3_3,104,Adv,0.20953757225433525,0.23504273504273504,54,1404
1_3_3,104,Ele,0.24577373211963588,0.24142661179698216,54,1458
1_3_3,105,Adv,0.41156462585034015,0.32491582491582494,54,594
1_3_3,105,Ele,0.38699690402476783,0.32253086419753085,54,648
1_3_4,106,Adv,0.2401685393258427,0.2809983896940419,54,1242
1_3_4,106,Ele,0.09871244635193133,0.14814814814814814,54,378
1_3_4,107,Adv,0.2622478386167147,0.30303030303030304,54,594
1_3_4,107,Ele,0.2020997375328084,0.21693121693121692,54,756
1_3_4,108,Adv,0.3146067415730337,0.3487654320987654,54,972
1_3_4,108,Ele,0.334841628959276,0.4207818930041152,54,972
1_3_4,109,Adv,0.24956369982547993,0.25048732943469787,54,1026
1_3_4,110,Adv,0.27167630057803466,0.2786596119929453,54,2268
1_3_4,110,Ele,0.26655490360435874,0.2916666666666667,54,2160
1_3_5,111,Adv,0.2072992700729927,0.2851851851851852,54,1080
1_3_5,112,Adv,0.23058823529411765,0.24867724867724866,54,1512
1_3_5,112,Ele,0.15087040618955513,0.16782407407407407,54,864
1_3_5,113,Adv,0.2669683257918552,0.32142857142857145,54,756
1_3_5,114,Adv,0.2853717026378897,0.30158730158730157,54,5292
1_3_5,114,Ele,0.28836889194769444,0.28441649196366176,54,2862
1_4_1,115,Adv,0.2786144578313253,0.3274410774410774,54,1188
1_4_1,115,Ele,0.19248826291079812,0.21428571428571427,54,1134
1_4_1,116,Adv,0.2792511700468019,0.2777777777777778,54,1188
1_4_1,116,Ele,0.20065789473684212,0.23809523809523808,54,1134
1_4_1,117,Adv,0.2606806661839247,0.2915681639085894,54,2538
1_4_1,117,Ele,0.21762208067940553,0.2934904601571268,54,1782
1_4_1,119,Adv,0.31867469879518073,0.3431712962962963,54,3456
1_4_1,119,Ele,0.3267466478475653,0.3333333333333333,54,2862
1_4_2,120,Adv,0.24412751677852348,0.2730294396961064,54,2106
1_4_2,120,Ele,0.17657992565055763,0.21587301587301588,54,1890
1_4_2,121,Adv,0.27637130801687765,0.30617283950617286,54,810
1_4_2,121,Ele,0.19909502262443438,0.26296296296296295,54,810
1_4_2,122,Adv,0.23274974253347064,0.23232323232323232,54,1782
1_4_2,122,Ele,0.2680901542111507,0.25448028673835127,54,1674
1_4_2,123,Adv,0.25,0.23148148148148148,54,972
1_4_2,123,Ele,0.3553299492385787,0.31746031746031744,54,378
1_4_2,124,Adv,0.30407523510971785,0.32154882154882153,54,594
1_4_2,124,Ele,0.21604938271604937,0.23737373737373738,54,594
1_4_2,125,Adv,0.33157894736842103,0.3603988603988604,54,702
1_4_2,125,Ele,0.2111111111111111,0.2621082621082621,54,702
1_4_2,126,Adv,0.2206148282097649,0.2309941520467836,54,1026
1_4_2,126,Ele,0.24634146341463414,0.25308641975308643,54,972
1_4_2,127,Adv,0.41338582677165353,0.3685185185185185,54,540
1_4_2,127,Ele,0.4738955823293173,0.35858585858585856,54,594
1_4_3,128,Adv,0.1952755905511811,0.2884990253411306,54,1026
1_4_3,128,Ele,0.21865443425076453,0.30214424951267055,54,1026
1_4_3,129,Adv,0.294770206022187,0.4511784511784512,54,1188
1_4_3,129,Ele,0.26129032258064516,0.3111111111111111,54,1080
1_4_3,130,Adv,0.35516372795969775,0.3851851851851852,54,810
1_4_3,130,Ele,0.26813880126182965,0.30303030303030304,54,594
1_4_3,131,Adv,0.2235494880546075,0.2804232804232804,54,1134
1_4_3,131,Ele,0.2605042016806723,0.2962962962962963,54,972
1_4_3,132,Adv,0.2565997888067582,0.28033205619412516,54,1566
1_4_3,132,Ele,0.37528604118993136,0.3664021164021164,54,756
1_4_4,133,Adv,0.2673130193905817,0.3125,54,1296
1_4_4,133,Ele,0.2515527950310559,0.3395061728395062,54,1134
1_4_4,134,Adv,0.3008658008658009,0.29411764705882354,54,918
1_4_4,134,Ele,0.2966292134831461,0.3485838779956427,54,918
1_4_4,135,Adv,0.291044776119403,0.36752136752136755,54,702
1_4_4,135,Ele,0.39823008849557523,0.5015432098765432,54,648
1_4_4,136,Adv,0.2693333333333333,0.35185185185185186,54,756
1_4_4,136,Ele,0.38596491228070173,0.37542087542087543,54,594
1_4_4,137,Adv,0.25757575757575757,0.29012345679012347,54,648
1_4_4,137,Ele,0.3107569721115538,0.3168724279835391,54,486
1_4_4,138,Adv,0.2827510917030568,0.3235294117647059,54,1836
1_4_4,138,Ele,0.3106476399560922,0.388327721661055,54,1782
1_4_4,139,Adv,0.3695652173913043,0.41005291005291006,54,756
1_4_4,139,Ele,0.35602094240837695,0.4497354497354497,54,378
1_4_4,140,Adv,0.3832752613240418,0.4612794612794613,54,594
1_4_4,140,Ele,0.387434554973822,0.4074074074074074,54,702
1_4_4,141,Adv,0.27422680412371137,0.30833333333333335,54,1080
1_4_5,142,Adv,0.19224283305227655,0.2908496732026144,54,918
1_4_5,142,Ele,0.19182948490230906,0.3497942386831276,54,972
1_4_5,143,Adv,0.2767857142857143,0.32296296296296295,54,1350
1_4_5,143,Ele,0.31722054380664655,0.3808373590982287,54,1242
1_4_5,144,Adv,0.2731034482758621,0.3425925925925926,54,1404
1_4_5,144,Ele,0.2397743300423131,0.31790123456790126,54,1296
1_4_5,145,Adv,0.3862876254180602,0.4046296296296296,54,1080
1_4_5,145,Ele,0.3542319749216301,0.3395061728395062,54,1134
1_5_1,146,Adv,0.24204545454545454,0.2976190476190476,54,1512
1_5_1,146,Ele,0.22035573122529645,0.22286079182630908,54,1566
1_5_1,147,Adv,0.2772727272727273,0.286634460547504,54,1242
