text_id,align_idx,level,reading_regime,Sen_RT,Sen_TF,Sen_Sacc_RT,n_words,Sen_RT_per_word,Sen_TF_per_word,Sen_Sacc_RT_per_word,words_per_sec_based_Sen_RT,words_per_sec_based_Sen_TF,words_per_sec_based_Sen_Sacc_RT
1_10_1,0,Adv,FirstReading,22084.388500424444,18971.039831954105,3113.34866847034,38,581.1681184322222,499.2378903145817,81.93022811764052,1.7206725012680186,2.0030530923241345,12.205507331972
1_10_1,0,Ele,FirstReading,15774.949620329775,13223.008577450377,2551.941042879398,33,478.02877637362957,400.69722961970837,77.33154675392116,2.0919242719781272,2.495649897427728,12.931333226556655
1_10_1,1,Adv,FirstReading,12558.349020010835,10776.899859876929,1781.4491601339068,19,660.9657378953071,567.2052557829962,93.76048211231088,1.5129377253112533,1.7630302078558033,10.665474168553775
1_10_1,1,Ele,FirstReading,8596.930463360175,7243.662855932539,1353.2676074276349,19,452.47002438737763,381.24541347013366,71.22461091724394,2.2100911576495066,2.6229823747855763,14.040090737201817
1_10_1,2,Adv,FirstReading,22881.541450117547,19716.989639932155,3164.5518101853936,41,558.0863768321353,480.9021863398087,77.18419049232668,1.7918373239574457,2.079424940050893,12.956021092161558
1_10_1,2,Ele,FirstReading,9286.21465056995,7839.421381800568,1446.7932687693817,21,442.2006976461881,373.30578008574133,68.89491756044674,2.2614166040961705,2.678769130685088,14.514858793794536
1_10_2,3,Adv,FirstReading,10760.544998435398,9169.540695038795,1591.0043033966026,16,672.5340624022124,573.0962934399247,99.43776896228766,1.4869135348001823,1.7449074639754685,10.056540994792991
1_10_2,3,Ele,FirstReading,10209.950849364302,8711.127652356367,1498.8231970079353,19,537.3658341770686,458.4804027555982,78.88543142147027,1.8609296244734606,2.1811183073250553,12.676611916555096
1_10_2,4,Adv,FirstReading,15590.748108356454,13249.900365557965,2340.8477427984876,29,537.6120037364294,456.89311605372296,80.71888768270647,1.8600775151037394,2.188695703356618,12.388674184050283
1_10_2,4,Ele,FirstReading,14577.747292647004,12420.484416681986,2157.262875965017,26,560.682588178731,477.7109391031533,82.97164907557757,1.783540315115379,2.093316100061229,12.05230956768276
1_10_2,5,Adv,FirstReading,12532.370497703116,10414.111601066186,2118.2588966369294,26,482.0142499116583,400.542753887161,81.47149602449728,2.074627462120209,2.4966123848085275,12.274231464944679
1_10_2,5,Ele,FirstReading,13621.489633613015,11572.1784638085,2049.3111698045163,28,486.48177262903624,413.2920879931607,73.18968463587558,2.0555754732511717,2.419596283238184,13.663127597489705
1_10_2,6,Adv,FirstReading,8906.857814133804,7395.44447887924,1511.4133352545632,18,494.82543411854465,410.8580266044022,83.9674075141424,2.0209147126427442,2.433930786906246,11.909382814177903
1_10_2,6,Ele,FirstReading,8572.810461005793,7212.6263512997475,1360.1841097060455,18,476.2672478336551,400.7014639610971,75.56578387255809,2.099661491628053,2.4956235250917054,13.233502635088161
1_10_3,7,Adv,FirstReading,41100.42093788897,35082.62256136964,6017.798376519339,68,604.4179549689554,515.9209200201417,88.49703494881382,1.6544842716516632,1.938281548964829,11.299813610460445
1_10_3,7,Ele,FirstReading,24434.407313873253,20416.942933828937,4017.464380044317,52,469.8924483437164,392.6335179582488,77.25893038546764,2.128146565293429,2.5469043121946005,12.943487503783762
1_10_3,8,Adv,FirstReading,26075.72691461952,22278.92138338211,3796.805531237413,41,635.9933393809639,543.3883264239539,92.60501295701008,1.5723435106621357,1.8403045324529033,10.798551482998322
1_10_3,8,Ele,FirstReading,10457.842850055473,8711.005700541486,1746.8371495139882,21,497.9925166693082,414.8097952638803,83.18272140542801,2.0080623032013345,2.4107434574052244,12.021727386461126
1_10_4,9,Adv,FirstReading,21343.573951295388,18273.751242859315,3069.8227084360733,34,627.7521750380996,537.4632718488034,90.28890318929628,1.592985320902007,1.8605922532345898,11.075558176882913
1_10_4,9,Ele,FirstReading,9932.05183959136,8384.136911651633,1547.9149279397284,18,551.7806577550756,465.78538398064626,85.99527377442935,1.812314342565955,2.1469115055820445,11.628546036414264
1_10_4,10,Adv,FirstReading,17628.222483161902,15206.432865793706,2421.789617368198,31,568.652338166513,490.53009244495826,78.12224572155478,1.7585437232602736,2.0386109137885535,12.800451276890128
1_10_4,10,Ele,FirstReading,16692.118547066886,14091.31867607556,2600.7998709913254,32,521.6287045958402,440.35370862736124,81.27499596847892,1.9170724141318174,2.270901732875437,12.303907100627017
1_10_4,11,Adv,FirstReading,10717.88705146436,9167.774482796945,1550.1125686674145,24,446.57862714434833,381.9906034498727,64.58802369447561,2.2392473334304204,2.617865442156685,15.482746534099833
1_10_4,11,Ele,FirstReading,7453.050941152258,6357.807684692297,1095.2432564599608,18,414.0583856195699,353.21153803846096,60.84684758110893,2.4151183377283023,2.8311645920556274,16.434705161462944
1_10_4,12,Adv,FirstReading,18782.800510849163,16014.218230740866,2768.5822801082986,40,469.5700127712291,400.35545576852167,69.21455700270747,2.1296078812579378,2.497780373893998,14.447827788031397
1_10_4,12,Ele,FirstReading,13791.846094358736,11430.370481126118,2361.4756132326174,27,510.80911460587913,423.3470548565229,87.4620597493562,1.9576784583641622,2.3621281606385836,11.433529039514312
1_10_4,13,Adv,FirstReading,18810.809049464784,15464.716449027314,3346.0926004374705,36,522.522473596244,429.57545691742536,92.94701667881863,1.9137932826458783,2.327879733111065,10.758817611710247
1_10_4,13,Ele,FirstReading,17234.94668622517,14422.337238136543,2812.609448088624,37,465.80936989797755,389.79289832801464,76.01647156996282,2.1468009546888718,2.5654649027455854,13.15504362866456
1_10_5,14,Adv,FirstReading,11301.840837481679,9503.60816269928,1798.2326747823995,17,664.814166910687,559.0357742764282,105.7783926342588,1.5041797388988896,1.7887942883339105,9.453726560750619
1_10_5,14,Ele,FirstReading,9018.73269482464,7517.367945621297,1501.3647492033426,16,563.67079342654,469.83549660133104,93.83529682520891,1.7740851781959932,2.128404531445032,10.656970605237637
1_10_5,15,Adv,FirstReading,15330.898552245422,13208.155091065528,2122.7434611798944,19,806.8893974866012,695.1660574245014,111.72334006209971,1.239327227641017,1.4385052165879157,8.95068120451971
1_10_5,15,Ele,FirstReading,11100.331827554084,9425.726474294514,1674.6053532595695,22,504.56053761609473,428.4421124679324,76.11842514816225,1.981922733642064,2.33403760017836,13.137423666523969
1_10_5,16,Adv,FirstReading,20848.23452298601,17704.844270092653,3143.3902528933595,31,672.5236942898713,571.1240087126663,101.39968557720515,1.48693645813612,1.7509332207098691,9.861963518995388
