pred_col,text_col,level_type
mean_nonzero_TF,gemini-2.5-pro_clear_prompt,Ele
mean_nonzero_TF,gemini-2.5-pro_clear_prompt,diff
mean_nonzero_TF,claude-sonnet-4-0_clear_prompt,Adv
mean_nonzero_TF,claude-sonnet-4-0_clear_prompt,Ele
mean_nonzero_TF,claude-sonnet-4-0_clear_prompt,diff
mean_nonzero_TF,text_evaluator,Adv
mean_nonzero_TF,text_evaluator,Ele
mean_nonzero_TF,text_evaluator,diff
mean_nonzero_TF,lexile,Adv
mean_nonzero_TF,lexile,Ele
mean_nonzero_TF,lexile,diff
mean_nonzero_TF,PLL_bert-base-uncased,Adv
mean_nonzero_TF,PLL_bert-base-uncased,Ele
mean_nonzero_TF,PLL_bert-base-uncased,diff
mean_nonzero_TF,cpidr_density,Adv
mean_nonzero_TF,cpidr_density,Ele
mean_nonzero_TF,cpidr_density,diff
mean_nonzero_TF,avg_integration_cost,Adv
mean_nonzero_TF,avg_integration_cost,Ele
mean_nonzero_TF,avg_integration_cost,diff
mean_nonzero_TF,avg_embedding_depth,Adv
mean_nonzero_TF,avg_embedding_depth,Ele
mean_nonzero_TF,avg_embedding_depth,diff
mean_nonzero_TF,mean_entropy_pythia,Adv
mean_nonzero_TF,mean_entropy_pythia,Ele
mean_nonzero_TF,mean_entropy_pythia,diff
mean_nonzero_TF,word_length,Adv
mean_nonzero_TF,word_length,Ele
mean_nonzero_TF,word_length,diff
mean_nonzero_TF,wordFreq_frequency,Adv
mean_nonzero_TF,wordFreq_frequency,Ele
mean_nonzero_TF,wordFreq_frequency,diff
mean_nonzero_TF,depid_density,Adv
mean_nonzero_TF,depid_density,Ele
mean_nonzero_TF,depid_density,diff
mean_nonzero_TF,max_embedding_depth,Adv
mean_nonzero_TF,max_embedding_depth,Ele
mean_nonzero_TF,max_embedding_depth,diff
mean_nonzero_TF,max_integration_cost,Adv
mean_nonzero_TF,max_integration_cost,Ele
mean_nonzero_TF,max_integration_cost,diff
mean_nonzero_TF,total_integration_cost,Adv
mean_nonzero_TF,total_integration_cost,Ele
mean_nonzero_TF,total_integration_cost,diff
mean_nonzero_TF,CAREC_M,Adv
mean_nonzero_TF,CAREC_M,Ele
mean_nonzero_TF,CAREC_M,diff
mean_nonzero_TF,mean_entropy_gpt2,Adv
mean_nonzero_TF,mean_entropy_gpt2,Ele
mean_nonzero_TF,mean_entropy_gpt2,diff
mean_nonzero_TF,PLL_bert-large-uncased,Adv
mean_nonzero_TF,PLL_bert-large-uncased,Ele
mean_nonzero_TF,PLL_bert-large-uncased,diff
mean_nonzero_TF,PLL_roberta-base,Adv
