text_id,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_5_2,Ele,206.19289477238956,192.0,206.19289477238956,56,7403
1_5_3,Adv,208.92436974789916,192.0,208.92436974789916,56,8806
1_5_3,Ele,213.477402022756,192.0,213.477402022756,55,6328
1_5_4,Adv,212.47027027027028,193.0,212.47027027027028,55,10915
1_5_4,Ele,206.2213570634038,191.0,206.2213570634038,56,7192
1_5_5,Adv,207.42878515858766,193.0,207.42878515858766,56,6684
1_5_5,Ele,211.25452451464298,190.0,211.25452451464298,55,6078
1_6_1,Adv,211.38840364244564,191.0,211.38840364244564,55,5381
1_6_1,Ele,210.21830615465544,189.0,210.21830615465544,56,3802
1_6_2,Adv,204.9598705501618,190.0,204.9598705501618,56,7725
1_6_2,Ele,206.04503330437302,187.0,206.04503330437302,55,6906
1_6_3,Adv,212.78518222931632,192.0,212.78518222931632,55,7518
1_6_3,Ele,208.9648604269294,188.0,208.9648604269294,56,6090
1_6_4,Adv,205.5441340782123,194.0,205.5441340782123,56,6265
1_6_4,Ele,203.05128205128204,187.0,203.05128205128204,55,6045
1_7_1,Adv,207.08996055477797,190.0,207.08996055477797,56,7859
1_7_1,Ele,204.8699511762095,187.0,204.8699511762095,55,6759
1_7_2,Adv,204.1157692834635,190.0,204.1157692834635,56,7299
1_7_2,Ele,205.2065274151436,188.0,205.2065274151436,55,7660
1_7_3,Adv,203.7772359410666,186.0,203.7772359410666,55,9638
1_7_3,Ele,204.45810694881328,189.0,204.45810694881328,56,6994
1_7_4,Adv,206.82381119289636,188.0,206.82381119289636,55,8559
1_7_4,Ele,203.36394062863795,188.0,203.36394062863795,56,6872
1_8_1,Adv,202.10618856430847,188.0,202.10618856430847,56,7223
1_8_1,Ele,201.72711625723673,183.0,201.72711625723673,55,6391
1_8_2,Adv,208.47795709506002,190.0,208.47795709506002,55,10162
1_8_2,Ele,207.2286432160804,191.0,207.2286432160804,56,8358
1_8_3,Adv,205.80997972516332,187.0,205.80997972516332,55,8878
1_8_3,Ele,202.80920962199312,188.0,202.80920962199312,56,7275
1_8_4,Adv,206.52486480754956,186.0,206.52486480754956,55,9431
1_8_4,Ele,202.33627676303374,188.0,202.33627676303374,56,8267
1_8_5,Adv,205.61678188965703,191.0,205.61678188965703,56,7377
1_8_5,Ele,205.55241460541814,189.0,205.55241460541814,55,5943
1_9_1,Adv,199.9675349188373,185.0,199.9675349188373,56,5298
1_9_1,Ele,206.95654296875,189.0,206.95654296875,55,4096
1_9_2,Adv,208.9800945508833,190.0,208.9800945508833,55,8038
1_9_2,Ele,200.95092194648552,186.0,200.95092194648552,56,7213
1_9_3,Adv,213.0809090909091,190.0,213.0809090909091,55,5500
1_9_3,Ele,195.82973977695167,183.0,195.82973977695167,56,4035
1_9_4,Adv,202.4611581920904,188.0,202.4611581920904,56,7080
1_9_4,Ele,202.50852232708831,186.0,202.50852232708831,55,7099
1_9_5,Adv,206.59111771058315,190.0,206.59111771058315,56,7408
1_9_5,Ele,208.87967605090628,190.0,208.87967605090628,55,5186
1_9_6,Adv,205.96885861253998,191.0,205.96885861253998,56,7193
1_9_6,Ele,208.22447851913248,189.0,208.22447851913248,55,7239
2_10_1,Adv,206.8811469321052,187.0,206.8811469321052,50,6731
2_10_1,Ele,205.67426649224444,192.0,205.67426649224444,49,5351
2_10_2,Adv,203.12248128957972,187.0,203.12248128957972,50,6948
2_10_2,Ele,210.43878389482333,194.0,210.43878389482333,49,6085
2_10_3,Adv,214.38503507404522,194.0,214.38503507404522,49,6415
2_10_3,Ele,202.59370170015455,185.0,202.59370170015455,50,5176
2_10_4,Adv,217.43478260869566,199.0,217.43478260869566,49,7889
2_10_4,Ele,202.56162720097146,186.0,202.56162720097146,50,4941
2_1_1,Adv,215.53065973172735,198.0,215.53065973172735,49,7306
2_1_1,Ele,199.98452950558215,185.0,199.98452950558215,50,6270
2_1_2,Adv,216.16997075073124,199.0,216.16997075073124,49,6154
2_1_2,Ele,200.97754971135342,184.0,200.97754971135342,50,4677
2_1_3,Adv,196.8969410050983,182.0,196.8969410050983,50,5492
2_1_3,Ele,209.80261503645966,193.0,209.80261503645966,49,3977
2_1_4,Adv,201.69268774703556,187.0,201.69268774703556,50,7084
2_1_4,Ele,211.0290750915751,196.0,211.0290750915751,49,4368
2_1_5,Adv,209.92251109701965,189.0,209.92251109701965,50,7885
2_1_5,Ele,211.4278846153846,195.0,211.4278846153846,49,7280
2_1_6,Adv,216.81415929203538,198.0,216.81415929203538,49,8588
2_1_6,Ele,197.24640622357518,182.0,197.24640622357518,50,5913
2_2_1,Adv,205.79502572898798,186.0,205.79502572898798,50,5830
