text_id,align_idx,level,SkipRateFirstPass,SkipRateTotal,n_subjects,n_rows
1_10_1,0,Adv,0.5081967213114754,0.3362997658079625,55,2135
1_10_1,0,Ele,0.5075757575757576,0.33874458874458874,56,1848
1_10_1,1,Adv,0.46411483253588515,0.2736842105263158,55,1045
1_10_1,1,Ele,0.5385338345864662,0.34116541353383456,56,1064
1_10_1,2,Adv,0.5396895787139689,0.34323725055432375,55,2255
1_10_1,2,Ele,0.49404761904761907,0.3163265306122449,56,1176
1_10_2,3,Adv,0.3861607142857143,0.24553571428571427,56,896
1_10_2,3,Ele,0.48995215311004786,0.2813397129186603,55,1045
1_10_2,4,Adv,0.4562807881773399,0.2801724137931034,56,1624
1_10_2,4,Ele,0.5244755244755245,0.24615384615384617,55,1430
1_10_2,5,Adv,0.6243131868131868,0.40384615384615385,56,1456
1_10_2,5,Ele,0.5675324675324676,0.39935064935064934,55,1540
1_10_2,6,Adv,0.49007936507936506,0.32837301587301587,56,1008
1_10_2,6,Ele,0.5181818181818182,0.33131313131313134,55,990
1_10_3,7,Adv,0.5473262032085562,0.3,55,3740
1_10_3,7,Ele,0.5353708791208791,0.3550824175824176,56,2912
1_10_3,8,Adv,0.5472283813747228,0.2940133037694013,55,2255
1_10_3,8,Ele,0.564625850340136,0.3562925170068027,56,1176
1_10_4,9,Adv,0.49732620320855614,0.2909090909090909,55,1870
1_10_4,9,Ele,0.43452380952380953,0.33134920634920634,56,1008
1_10_4,10,Adv,0.5524926686217009,0.3043988269794721,55,1705
1_10_4,10,Ele,0.5262276785714286,0.3666294642857143,56,1792
1_10_4,11,Adv,0.581060606060606,0.3704545454545455,55,1320
1_10_4,11,Ele,0.6160714285714286,0.39384920634920634,56,1008
1_10_4,12,Adv,0.5590909090909091,0.3427272727272727,55,2200
1_10_4,12,Ele,0.5621693121693122,0.33664021164021163,56,1512
1_10_4,13,Adv,0.5979695431472081,0.39746192893401017,55,1970
1_10_4,13,Ele,0.569980694980695,0.3923745173745174,56,2072
1_10_5,14,Adv,0.44385026737967914,0.28663101604278074,55,935
1_10_5,14,Ele,0.43526785714285715,0.31026785714285715,56,896
1_10_5,15,Adv,0.5253588516746411,0.28421052631578947,55,1045
1_10_5,15,Ele,0.49107142857142855,0.31087662337662336,56,1232
1_10_5,16,Adv,0.533724340175953,0.2727272727272727,55,1705
1_10_5,16,Ele,0.4799107142857143,0.28125,56,1344
1_10_5,17,Adv,0.5681818181818182,0.33811188811188814,55,2860
1_10_5,17,Ele,0.5535714285714286,0.3853021978021978,56,1456
1_10_6,18,Adv,0.4968112244897959,0.29336734693877553,56,1568
1_10_6,18,Ele,0.4772727272727273,0.2909090909090909,55,1100
1_10_6,19,Adv,0.6002304147465438,0.29377880184331795,56,1736
1_10_6,19,Ele,0.5636363636363636,0.3349862258953168,55,1815
1_10_6,20,Adv,0.6033834586466166,0.3468045112781955,56,1064
1_10_6,20,Ele,0.5969696969696969,0.42424242424242425,55,990
1_10_6,21,Adv,0.5952380952380952,0.3904761904761905,56,840
1_10_6,22,Adv,0.6033834586466166,0.4699248120300752,56,1064
1_10_6,22,Ele,0.5684210526315789,0.44401913875598087,55,1045
1_10_6,23,Adv,0.5055803571428571,0.38058035714285715,56,896
1_10_7,24,Adv,0.5693877551020409,0.3816326530612245,56,1960
1_10_7,24,Ele,0.46515151515151515,0.24242424242424243,55,660
1_10_7,25,Adv,0.5666023166023166,0.3281853281853282,56,2072
