text_id,level,mean_FirstPassGD,median_FirstPassGD,mean_nonzero_FirstPassGD,n_subjects,n_rows
1_2_2,Adv,251.44341085271319,211.0,251.44341085271319,55,3225
1_2_2,Ele,239.21390845070422,208.0,239.21390845070422,56,3408
1_2_3,Adv,245.7157985117344,208.0,245.7157985117344,56,3494
1_2_3,Ele,247.39550561797753,209.0,247.39550561797753,55,2225
1_2_4,Adv,235.70646189510288,207.0,235.70646189510288,56,3451
1_2_4,Ele,227.6047197640118,201.0,227.6047197640118,55,2373
1_2_5,Adv,237.6906807666887,208.0,237.6906807666887,56,3026
1_2_5,Ele,235.0068796068796,202.0,235.0068796068796,55,2035
1_2_6,Adv,262.1427813163482,216.0,262.1427813163482,55,1884
1_2_6,Ele,238.72763157894738,210.0,238.72763157894738,56,1520
1_3_1,Adv,261.95057581573894,209.0,261.95057581573894,55,2084
1_3_1,Ele,234.7501135847342,203.0,234.7501135847342,56,2201
1_3_2,Adv,251.98263254113346,216.0,251.98263254113346,56,2188
1_3_2,Ele,253.0730050933786,212.0,253.0730050933786,55,1767
1_3_3,Adv,253.9253789350952,210.0,253.9253789350952,55,2573
1_3_3,Ele,241.84266886326193,212.0,241.84266886326193,56,2428
1_3_4,Adv,251.13258110014104,217.0,251.13258110014104,56,2836
1_3_4,Ele,236.54946808510638,202.0,236.54946808510638,55,1880
1_3_5,Adv,249.15269922879176,212.0,249.15269922879176,56,3890
1_3_5,Ele,250.84021543985637,203.0,250.84021543985637,55,1671
1_4_1,Adv,241.81010212531052,209.0,241.81010212531052,56,3623
1_4_1,Ele,234.2269624573379,204.0,234.2269624573379,55,2930
1_4_2,Adv,256.9489771359807,215.0,256.9489771359807,56,4155
1_4_2,Ele,241.47517523364485,204.0,241.47517523364485,55,3424
1_4_3,Adv,264.7404270986745,218.0,264.7404270986745,55,2716
1_4_3,Ele,233.95405532114393,207.0,233.95405532114393,56,2133
1_4_4,Adv,245.34260230849947,205.0,245.34260230849947,55,3812
1_4_4,Ele,236.65265558813945,207.0,236.65265558813945,56,3069
1_4_5,Adv,238.5446789402784,207.0,238.5446789402784,56,2227
1_4_5,Ele,238.43080459770115,202.0,238.43080459770115,55,2175
1_5_1,Adv,258.39200444197667,211.0,258.39200444197667,55,1801
1_5_1,Ele,241.94290559638213,209.0,241.94290559638213,56,1769
1_5_2,Adv,249.59649603065972,207.0,249.59649603065972,55,3653
1_5_2,Ele,235.284381582907,205.0,235.284381582907,56,3323
1_5_3,Adv,257.3853974121996,217.0,257.3853974121996,56,3246
1_5_3,Ele,255.92103004291846,211.5,255.92103004291846,55,2330
1_5_4,Adv,253.3268391974411,212.0,253.3268391974411,55,3439
1_5_4,Ele,240.21825853471424,209.0,240.21825853471424,56,2607
1_5_5,Adv,253.38584247258225,216.0,253.38584247258225,56,2006
1_5_5,Ele,266.72781954887216,220.0,266.72781954887216,55,1995
1_6_1,Adv,263.7528447883478,209.0,263.7528447883478,55,2197
1_6_1,Ele,253.20744680851064,210.0,253.20744680851064,56,1692
1_6_2,Adv,249.87612856626941,213.0,249.87612856626941,56,2769
1_6_2,Ele,244.3387869114126,204.0,244.3387869114126,55,2506
1_6_3,Adv,255.7907354733848,205.0,255.7907354733848,55,2461
1_6_3,Ele,239.88549955791336,207.0,239.88549955791336,56,2262
1_6_4,Adv,244.07209913631243,210.0,244.07209913631243,56,2663
1_6_4,Ele,243.54664549424373,208.0,243.54664549424373,55,2519
1_7_1,Adv,249.47048066875652,212.0,249.47048066875652,56,3828
1_7_1,Ele,242.63932980599648,202.0,242.63932980599648,55,3402
1_7_2,Adv,234.5281943611278,208.0,234.5281943611278,56,3334
1_7_2,Ele,234.6275080906149,200.0,234.6275080906149,55,3090
1_7_3,Adv,243.7428106348345,204.0,243.7428106348345,55,3686
1_7_3,Ele,236.25278940027894,204.0,236.25278940027894,56,2868
1_7_4,Adv,245.70648967551622,206.0,245.70648967551622,55,3390
1_7_4,Ele,236.45533498759306,209.0,236.45533498759306,56,3224
1_8_1,Adv,230.68942307692308,201.0,230.68942307692308,56,3120
1_8_1,Ele,229.61061631635198,196.0,229.61061631635198,55,2807
1_8_2,Adv,248.10474027817202,207.0,248.10474027817202,55,3523
1_8_2,Ele,243.01563019620883,208.0,243.01563019620883,56,3007
1_8_3,Adv,240.39332949971248,202.0,240.39332949971248,55,3478
1_8_3,Ele,237.4975626740947,206.0,237.4975626740947,56,2872
1_8_4,Adv,246.2605331040413,205.0,246.2605331040413,55,3489
1_8_4,Ele,230.75256556442417,204.0,230.75256556442417,56,3508
1_8_5,Adv,248.34533488192025,210.0,248.34533488192025,56,2583
1_8_5,Ele,246.48239110287304,208.0,246.48239110287304,55,2158
1_9_1,Adv,251.32139983909894,212.0,251.32139983909894,56,2486
1_9_1,Ele,237.71782178217822,204.0,237.71782178217822,55,2020
1_9_2,Adv,244.86013215859032,205.0,244.86013215859032,55,2724
1_9_2,Ele,237.30141167493323,204.0,237.30141167493323,56,2621
1_9_3,Adv,262.0349322210636,204.0,262.0349322210636,55,1918
1_9_3,Ele,232.13659793814432,202.0,232.13659793814432,56,1552
1_9_4,Adv,238.19827231591938,203.0,238.19827231591938,56,2431
1_9_4,Ele,230.15202853321443,197.0,230.15202853321443,55,2243
1_9_5,Adv,247.94038520330173,208.0,247.94038520330173,56,3271
1_9_5,Ele,244.64088669950738,209.0,244.64088669950738,55,2030
1_9_6,Adv,239.54344341134978,207.0,239.54344341134978,56,3119
1_9_6,Ele,241.64301622653517,208.0,241.64301622653517,55,3143
2_10_1,Adv,246.04289649744194,204.0,246.04289649744194,50,2541
2_10_1,Ele,247.59964412811388,210.0,247.59964412811388,49,2248
2_10_2,Adv,247.10363636363635,203.0,247.10363636363635,50,2750
2_10_2,Ele,250.3111291632819,214.0,250.3111291632819,49,2462
2_10_3,Adv,252.12978889757622,211.0,252.12978889757622,49,2558
2_10_3,Ele,235.7948604342047,198.0,235.7948604342047,50,2257
2_10_4,Adv,274.07818007049025,218.0,274.07818007049025,49,3121
2_10_4,Ele,252.1447105788423,205.0,252.1447105788423,50,2004
2_1_1,Adv,255.99037823490377,219.0,255.99037823490377,49,3014
2_1_1,Ele,236.50580431177445,203.0,236.50580431177445,50,2412
2_1_2,Adv,253.24048174048173,216.0,253.24048174048173,49,2574
2_1_2,Ele,233.86725663716814,200.0,233.86725663716814,50,1808
2_1_3,Adv,232.803683737646,202.0,232.803683737646,50,2226
2_1_3,Ele,248.50843222985634,214.0,248.50843222985634,49,1601
2_1_4,Adv,225.41689456092374,199.0,225.41689456092374,50,3291
2_1_4,Ele,246.7293198529412,215.0,246.7293198529412,49,2176
2_1_5,Adv,245.6589279617617,204.0,245.6589279617617,50,2929
2_1_5,Ele,254.02105638829408,217.0,254.02105638829408,49,2802
2_1_6,Adv,266.99379757541584,220.0,266.99379757541584,49,3547
2_1_6,Ele,235.7191894127378,202.0,235.7191894127378,50,2418
2_2_1,Adv,247.47191953059513,205.0,247.47191953059513,50,2386
2_2_1,Ele,258.9262360446571,219.5,258.9262360446571,49,2508
2_2_2,Adv,240.22445504087193,198.0,240.22445504087193,50,2936
2_2_2,Ele,255.80802568218297,217.0,255.80802568218297,49,3115
2_2_3,Adv,255.8998127340824,207.0,255.8998127340824,50,2136
2_2_3,Ele,255.636,219.0,255.636,49,2000
2_2_4,Adv,276.09630606860156,230.5,276.09630606860156,49,1516
2_2_4,Ele,254.90472377902321,210.0,254.90472377902321,50,1249
2_2_5,Adv,264.54016260162604,218.0,264.54016260162604,49,3075
2_2_5,Ele,235.12333497779971,200.0,235.12333497779971,50,2027
2_2_6,Adv,256.6697108066971,217.0,256.6697108066971,49,1971
2_2_6,Ele,238.01119157340355,201.0,238.01119157340355,50,1519
2_3_1,Adv,244.54438920454547,208.0,244.54438920454547,50,2816
2_3_1,Ele,245.14436860068258,208.0,245.14436860068258,49,2930
2_3_2,Adv,235.47457627118644,198.0,235.47457627118644,50,2891
2_3_2,Ele,251.57388619320687,214.0,251.57388619320687,49,2267
2_3_3,Adv,245.90365562008884,210.0,245.90365562008884,49,2927
2_3_3,Ele,228.50078657577347,194.0,228.50078657577347,50,1907
2_3_4,Adv,251.6539270687237,211.0,251.6539270687237,50,2852
2_3_4,Ele,256.34057971014494,218.0,256.34057971014494,49,2208
2_4_1,Adv,249.42959690778576,212.0,249.42959690778576,49,1811
2_4_1,Ele,226.27157894736843,196.0,226.27157894736843,50,1425
2_4_2,Adv,266.902711323764,219.0,266.902711323764,49,1881
2_4_2,Ele,225.69456066945608,195.0,225.69456066945608,50,1434
2_4_3,Adv,246.6257389722601,210.0,246.6257389722601,49,2199
2_4_3,Ele,232.45477545857054,204.0,232.45477545857054,50,1581
2_4_4,Adv,256.32987258140633,213.0,256.32987258140633,49,2119
