text_id,align_idx,level,mean_FirstPassFF,median_FirstPassFF,mean_nonzero_FirstPassFF,n_subjects,n_rows
1_10_1,0,Adv,209.27428571428572,195.5,209.27428571428572,55,1050
1_10_1,0,Ele,202.24615384615385,188.5,202.24615384615385,56,910
1_10_1,1,Adv,217.94285714285715,199.0,217.94285714285715,55,560
1_10_1,1,Ele,199.14460285132384,186.0,199.14460285132384,55,491
1_10_1,2,Adv,211.29768786127167,195.0,211.29768786127167,55,1038
1_10_1,2,Ele,215.51932773109243,206.0,215.51932773109243,56,595
1_10_2,3,Adv,209.59636363636363,192.0,209.59636363636363,55,550
1_10_2,3,Ele,213.08630393996248,193.0,213.08630393996248,55,533
1_10_2,4,Adv,221.519818799547,209.0,221.519818799547,55,883
1_10_2,4,Ele,219.41323529411764,195.0,219.41323529411764,54,680
1_10_2,5,Adv,198.9835466179159,186.0,198.9835466179159,56,547
1_10_2,5,Ele,205.97297297297297,186.5,205.97297297297297,55,666
1_10_2,6,Adv,205.72373540856032,191.0,205.72373540856032,56,514
1_10_2,6,Ele,202.9433962264151,189.0,202.9433962264151,54,477
1_10_3,7,Adv,214.59243945658594,196.0,214.59243945658594,55,1693
1_10_3,7,Ele,206.5380635624538,195.0,206.5380635624538,56,1353
1_10_3,8,Adv,211.7032321253673,191.0,211.7032321253673,55,1021
1_10_3,8,Ele,200.251953125,186.0,200.251953125,56,512
1_10_4,9,Adv,211.1468085106383,196.5,211.1468085106383,55,940
1_10_4,9,Ele,209.16315789473686,192.0,209.16315789473686,55,570
1_10_4,10,Adv,217.71690694626474,201.0,217.71690694626474,54,763
1_10_4,10,Ele,210.5359246171967,195.0,210.5359246171967,56,849
1_10_4,11,Adv,194.84629294755877,181.0,194.84629294755877,54,553
1_10_4,11,Ele,218.80620155038758,203.0,218.80620155038758,52,387
1_10_4,12,Adv,209.74639175257732,193.0,209.74639175257732,55,970
1_10_4,12,Ele,209.2764350453172,191.0,209.2764350453172,55,662
1_10_4,13,Adv,204.61111111111111,189.5,204.61111111111111,55,792
1_10_4,13,Ele,213.8058361391695,200.0,213.8058361391695,56,891
1_10_5,14,Adv,225.4096153846154,197.5,225.4096153846154,55,520
1_10_5,14,Ele,203.69565217391303,191.0,203.69565217391303,55,506
1_10_5,15,Adv,222.2016129032258,202.5,222.2016129032258,53,496
1_10_5,15,Ele,217.72089314194577,206.0,217.72089314194577,55,627
1_10_5,16,Adv,214.24150943396228,199.0,214.24150943396228,54,795
1_10_5,16,Ele,215.5250357653791,203.0,215.5250357653791,55,699
1_10_5,17,Adv,209.72955465587046,190.0,209.72955465587046,54,1235
1_10_5,17,Ele,199.62153846153845,189.0,199.62153846153845,56,650
1_10_6,18,Adv,211.91128010139417,197.0,211.91128010139417,55,789
1_10_6,18,Ele,220.1617391304348,193.0,220.1617391304348,55,575
1_10_6,19,Adv,211.2564841498559,199.0,211.2564841498559,55,694
1_10_6,19,Ele,208.55934343434345,191.0,208.55934343434345,55,792
1_10_6,20,Adv,208.9265402843602,194.0,208.9265402843602,55,422
1_10_6,20,Ele,225.77694235588973,199.0,225.77694235588973,52,399
1_10_6,21,Adv,214.60882352941175,198.0,214.60882352941175,52,340
1_10_6,22,Adv,205.01895734597156,194.0,205.01895734597156,55,422
1_10_6,22,Ele,205.64745011086475,190.0,205.64745011086475,52,451
1_10_6,23,Adv,208.72009029345372,194.0,208.72009029345372,55,443
1_10_7,24,Adv,211.74881516587678,197.0,211.74881516587678,55,844
1_10_7,24,Ele,215.44475920679886,193.0,215.44475920679886,54,353
1_10_7,25,Adv,212.30400890868597,191.0,212.30400890868597,56,898
1_10_7,25,Ele,202.04427083333334,186.0,202.04427083333334,54,768
1_10_7,26,Adv,209.2338204592902,199.0,209.2338204592902,53,479
1_10_7,26,Ele,216.2896551724138,196.0,216.2896551724138,52,435
1_10_7,27,Adv,210.0680044593088,195.0,210.0680044593088,56,897
1_10_7,27,Ele,195.77724550898205,184.0,195.77724550898205,54,835
1_1_1,28,Adv,222.24791086350976,203.0,222.24791086350976,56,718
1_1_1,28,Ele,206.22378716744913,190.0,206.22378716744913,55,639
1_1_1,29,Adv,220.13376835236542,195.0,220.13376835236542,55,613
1_1_1,29,Ele,201.1833976833977,185.0,201.1833976833977,54,518
1_1_1,30,Adv,210.59656084656083,196.0,210.59656084656083,55,756
1_1_1,30,Ele,207.31082981715892,189.0,207.31082981715892,54,711
1_1_1,31,Adv,211.83982202447163,196.0,211.83982202447163,56,899
1_1_1,31,Ele,211.05357142857142,191.5,211.05357142857142,54,840
1_1_2,32,Adv,211.6378947368421,192.0,211.6378947368421,56,475
1_1_2,33,Adv,218.24444444444444,199.5,218.24444444444444,55,270
1_1_2,33,Ele,208.7792207792208,191.5,208.7792207792208,54,308
1_1_2,34,Adv,205.37201735357917,189.0,205.37201735357917,56,922
1_1_2,34,Ele,211.69297163995068,198.0,211.69297163995068,53,811
1_1_2,35,Adv,205.81570996978851,190.0,205.81570996978851,53,331
1_1_2,35,Ele,197.20725388601036,181.0,197.20725388601036,54,386
