text_id,align_idx,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
1_10_1,0,Adv,157.5536299765808,156.0,237.38673253352152,55,2135
1_10_1,0,Ele,153.43073593073592,156.0,232.02945990180032,56,1848
1_10_1,1,Adv,189.56746411483255,168.0,260.9986824769434,55,1045
1_10_1,1,Ele,151.66447368421052,154.0,230.20114122681883,56,1064
1_10_1,2,Adv,151.60931263858092,150.0,230.84334908845375,55,2255
1_10_1,2,Ele,158.36054421768708,162.0,231.6318407960199,56,1176
1_10_2,3,Adv,190.30245535714286,172.0,252.2352071005917,56,896
1_10_2,3,Ele,163.32344497607656,165.0,227.26098535286286,55,1045
1_10_2,4,Adv,179.11576354679804,176.0,248.83147989734817,56,1624
1_10_2,4,Ele,184.15174825174824,170.0,244.28293135435993,55,1430
1_10_2,5,Adv,133.71565934065933,132.0,224.29723502304148,56,1456
1_10_2,5,Ele,135.77857142857144,128.0,226.05297297297298,55,1540
1_10_2,6,Adv,151.83234126984127,152.5,226.06646971935007,56,1008
1_10_2,6,Ele,146.9030303030303,151.0,219.68882175226585,55,990
1_10_3,7,Adv,166.54304812834224,159.5,237.91864018334607,55,3740
1_10_3,7,Ele,147.81936813186815,153.0,229.20660276890308,56,2912
1_10_3,8,Adv,168.44656319290465,160.0,238.59736180904522,55,2255
1_10_3,8,Ele,143.05357142857142,148.0,222.2338177014531,56,1176
1_10_4,9,Adv,181.0042780748663,171.5,255.26244343891403,55,1870
1_10_4,9,Ele,164.7202380952381,159.0,246.34718100890208,56,1008
1_10_4,10,Adv,178.65102639296188,162.0,256.82967959527826,55,1705
1_10_4,10,Ele,147.95870535714286,148.0,233.60528634361233,56,1792
1_10_4,11,Adv,137.85,140.0,218.96750902527077,55,1320
1_10_4,11,Ele,136.5952380952381,146.0,225.34860883797054,56,1008
1_10_4,12,Adv,156.5359090909091,153.5,238.1597510373444,55,2200
1_10_4,12,Ele,158.54365079365078,152.0,239.0009970089731,56,1512
1_10_4,13,Adv,143.41979695431473,134.5,238.02611625947767,55,1970
1_10_4,13,Ele,148.25289575289574,147.5,243.98729150119144,56,2072
1_10_5,14,Adv,193.20641711229948,170.0,270.83658170914543,55,935
1_10_5,14,Ele,169.92410714285714,168.5,246.36245954692558,56,896
1_10_5,15,Adv,195.8574162679426,165.0,273.62433155080214,55,1045
1_10_5,15,Ele,165.61525974025975,166.0,240.32744405182567,56,1232
1_10_5,16,Adv,187.57888563049855,172.0,257.9209677419355,55,1705
1_10_5,16,Ele,173.49925595238096,171.0,241.3902691511387,56,1344
1_10_5,17,Adv,153.3979020979021,151.0,231.7580559957739,55,2860
1_10_5,17,Ele,140.46428571428572,139.0,228.5094972067039,56,1456
1_10_6,18,Adv,170.6530612244898,167.0,241.50180505415162,56,1568
1_10_6,18,Ele,184.9918181818182,163.0,260.88589743589745,55,1100
1_10_6,19,Adv,163.52880184331798,164.0,231.5546492659054,56,1736
1_10_6,19,Ele,152.96859504132232,152.0,230.023198011599,55,1815
1_10_6,20,Adv,152.29417293233084,150.5,233.15251798561152,56,1064
1_10_6,20,Ele,140.86363636363637,127.0,244.6578947368421,55,990
1_10_6,21,Adv,163.10595238095237,139.5,267.595703125,56,840
1_10_6,22,Adv,127.72368421052632,107.0,240.95390070921985,56,1064
1_10_6,22,Ele,128.27655502392344,114.0,230.7211703958692,55,1045
1_10_6,23,Adv,146.77790178571428,145.0,236.96036036036037,56,896
1_10_7,24,Adv,146.91887755102042,147.0,237.59158415841586,56,1960
1_10_7,24,Ele,180.54393939393938,172.0,238.318,55,660
1_10_7,25,Adv,157.60762548262548,155.0,234.59985632183907,56,2072
1_10_7,25,Ele,155.6903409090909,151.5,233.40289608177173,55,1760
1_10_7,26,Adv,146.14107142857142,147.5,232.82788051209104,56,1120
1_10_7,26,Ele,144.45272727272726,136.0,239.66515837104072,55,1100
1_10_7,27,Adv,123.41901993355482,100.0,232.18203125,56,2408
1_10_7,27,Ele,115.69,89.5,219.22308354866493,55,2200
1_1_1,28,Adv,166.97257653061226,150.0,268.2510245901639,56,1568
1_1_1,28,Ele,158.9628787878788,151.5,238.44431818181818,55,1320
1_1_1,29,Adv,158.27142857142857,152.0,249.52702702702703,56,1400
1_1_1,29,Ele,153.5021645021645,148.0,240.8899456521739,55,1155
1_1_1,30,Adv,184.74642857142857,174.5,255.32576505429418,56,1400
1_1_1,30,Ele,153.70454545454547,145.5,241.53571428571428,55,1540
1_1_1,31,Adv,167.9033613445378,161.0,253.11797307996832,56,1904
1_1_1,31,Ele,160.19589442815249,153.0,246.7335140018067,55,1705
1_1_2,32,Adv,175.1392857142857,165.5,251.0529010238908,56,840
1_1_2,33,Adv,152.0292207792208,128.0,266.0511363636364,56,616
1_1_2,33,Ele,162.2512396694215,159.0,241.18427518427518,55,605
1_1_2,34,Adv,152.6156015037594,151.0,238.27292736610417,56,2128
1_1_2,34,Ele,157.39532467532467,149.0,238.19654088050314,55,1925
1_1_2,35,Adv,152.9795918367347,146.0,249.86666666666667,56,784
1_1_2,35,Ele,151.68727272727273,149.0,227.94535519125682,55,825
