text_id,align_idx,level,mean_FirstPassGD,median_FirstPassGD,mean_nonzero_FirstPassGD,n_subjects,n_rows
1_10_1,0,Adv,245.2152380952381,212.0,245.2152380952381,55,1050
1_10_1,0,Ele,239.97912087912087,206.0,239.97912087912087,56,910
1_10_1,1,Adv,264.3857142857143,216.5,264.3857142857143,55,560
1_10_1,1,Ele,223.9918533604888,200.0,223.9918533604888,55,491
1_10_1,2,Adv,234.21579961464354,206.0,234.21579961464354,55,1038
1_10_1,2,Ele,240.00504201680673,220.0,240.00504201680673,56,595
1_10_2,3,Adv,264.68,212.5,264.68,55,550
1_10_2,3,Ele,235.96060037523452,208.0,235.96060037523452,55,533
1_10_2,4,Adv,256.79501698754245,223.0,256.79501698754245,55,883
1_10_2,4,Ele,257.1294117647059,214.5,257.1294117647059,54,680
1_10_2,5,Adv,221.3144424131627,202.0,221.3144424131627,56,547
1_10_2,5,Ele,231.31981981981983,202.0,231.31981981981983,55,666
1_10_2,6,Adv,229.5272373540856,204.0,229.5272373540856,56,514
1_10_2,6,Ele,225.51572327044025,200.0,225.51572327044025,54,477
1_10_3,7,Adv,256.37152982870646,214.0,256.37152982870646,55,1693
1_10_3,7,Ele,236.09830007390983,207.0,236.09830007390983,56,1353
1_10_3,8,Adv,251.38099902056808,206.0,251.38099902056808,55,1021
1_10_3,8,Ele,228.255859375,201.5,228.255859375,56,512
1_10_4,9,Adv,266.92021276595744,223.5,266.92021276595744,55,940
1_10_4,9,Ele,254.65438596491228,208.0,254.65438596491228,55,570
1_10_4,10,Adv,275.42070773263436,227.0,275.42070773263436,54,763
1_10_4,10,Ele,243.65135453474676,211.0,243.65135453474676,56,849
1_10_4,11,Adv,217.18264014466547,194.0,217.18264014466547,54,553
1_10_4,11,Ele,235.44702842377262,209.0,235.44702842377262,52,387
1_10_4,12,Adv,245.88865979381444,216.0,245.88865979381444,55,970
1_10_4,12,Ele,233.87009063444108,208.5,233.87009063444108,55,662
1_10_4,13,Adv,240.7310606060606,202.0,240.7310606060606,55,792
1_10_4,13,Ele,250.6161616161616,218.0,250.6161616161616,56,891
1_10_5,14,Adv,285.58076923076925,223.5,285.58076923076925,55,520
1_10_5,14,Ele,250.63636363636363,211.0,250.63636363636363,55,506
1_10_5,15,Adv,295.1431451612903,228.0,295.1431451612903,53,496
1_10_5,15,Ele,246.47846889952154,218.0,246.47846889952154,55,627
1_10_5,16,Adv,269.17232704402517,222.0,269.17232704402517,54,795
1_10_5,16,Ele,246.5092989985694,216.0,246.5092989985694,55,699
1_10_5,17,Adv,235.60161943319838,205.0,235.60161943319838,54,1235
1_10_5,17,Ele,225.40153846153845,202.0,225.40153846153845,56,650
1_10_6,18,Adv,253.22053231939162,218.0,253.22053231939162,55,789
1_10_6,18,Ele,273.71478260869566,214.0,273.71478260869566,55,575
1_10_6,19,Adv,240.89481268011528,208.0,240.89481268011528,55,694
1_10_6,19,Ele,232.43813131313132,203.0,232.43813131313132,55,792
1_10_6,20,Adv,233.66587677725119,201.5,233.66587677725119,55,422
1_10_6,20,Ele,258.2080200501253,218.0,258.2080200501253,52,399
1_10_6,21,Adv,263.8411764705882,218.0,263.8411764705882,52,340
1_10_6,22,Adv,235.38388625592418,212.0,235.38388625592418,55,422
1_10_6,22,Ele,233.15742793791574,206.0,233.15742793791574,52,451
1_10_6,23,Adv,241.39729119638827,206.0,241.39729119638827,55,443
1_10_7,24,Adv,243.55805687203792,207.0,243.55805687203792,55,844
1_10_7,24,Ele,252.28045325779036,210.0,252.28045325779036,54,353
1_10_7,25,Adv,243.2739420935412,205.0,243.2739420935412,56,898
1_10_7,25,Ele,237.65234375,200.5,237.65234375,54,768
1_10_7,26,Adv,231.2964509394572,208.0,231.2964509394572,53,479
1_10_7,26,Ele,248.51724137931035,209.0,248.51724137931035,52,435
1_10_7,27,Adv,237.79041248606467,207.0,237.79041248606467,56,897
1_10_7,27,Ele,222.70898203592813,196.0,222.70898203592813,54,835
1_1_1,28,Adv,284.88718662952647,230.0,284.88718662952647,56,718
1_1_1,28,Ele,243.9076682316119,204.0,243.9076682316119,55,639
1_1_1,29,Adv,260.79445350734096,212.0,260.79445350734096,55,613
1_1_1,29,Ele,242.03088803088804,203.5,242.03088803088804,54,518
1_1_1,30,Adv,261.5978835978836,218.0,261.5978835978836,55,756
1_1_1,30,Ele,243.52883263009846,206.0,243.52883263009846,54,711
1_1_1,31,Adv,255.06117908787542,214.0,255.06117908787542,56,899
1_1_1,31,Ele,246.86904761904762,209.0,246.86904761904762,54,840
1_1_2,32,Adv,257.4,212.0,257.4,56,475
1_1_2,33,Adv,282.7888888888889,229.5,282.7888888888889,55,270
1_1_2,33,Ele,247.97727272727272,206.0,247.97727272727272,54,308
1_1_2,34,Adv,248.04229934924078,208.0,248.04229934924078,56,922
1_1_2,34,Ele,251.90875462392108,211.0,251.90875462392108,53,811
1_1_2,35,Adv,248.48338368580062,210.0,248.48338368580062,53,331
1_1_2,35,Ele,226.1865284974093,200.0,226.1865284974093,54,386
1_1_2,36,Adv,228.94847775175643,204.0,228.94847775175643,56,427
1_1_2,36,Ele,232.27173913043478,206.0,232.27173913043478,53,460
1_1_2,37,Adv,264.7481481481482,223.0,264.7481481481482,56,405
1_1_2,37,Ele,233.58778625954199,186.0,233.58778625954199,53,131
1_1_3,38,Adv,258.26806953339434,213.0,258.26806953339434,55,1093
1_1_3,38,Ele,243.45876777251186,202.0,243.45876777251186,56,1055
1_1_3,39,Adv,254.11612021857923,210.0,254.11612021857923,55,732
1_1_3,39,Ele,258.17123287671234,214.5,258.17123287671234,49,292
1_1_3,40,Adv,222.25672371638143,193.0,222.25672371638143,55,409
1_1_3,40,Ele,219.00625,202.0,219.00625,56,320
1_1_4,41,Adv,249.66744730679156,213.0,249.66744730679156,55,854
1_1_4,41,Ele,232.52295918367346,206.0,232.52295918367346,56,784
1_1_4,42,Adv,227.52564102564102,198.5,227.52564102564102,55,546
1_1_4,42,Ele,235.62544802867384,196.5,235.62544802867384,56,558
1_1_4,43,Adv,266.5208333333333,235.5,266.5208333333333,54,480
1_1_4,43,Ele,246.66183574879227,208.5,246.66183574879227,56,414
1_1_4,44,Adv,232.27293577981652,203.0,232.27293577981652,54,436
1_1_5,45,Adv,266.41121495327104,220.5,266.41121495327104,53,428
1_1_5,45,Ele,234.40256959314775,198.0,234.40256959314775,56,467
1_1_5,46,Adv,228.1581108829569,194.0,228.1581108829569,53,487
1_1_5,46,Ele,232.53846153846155,197.0,232.53846153846155,53,377
1_1_5,47,Adv,234.67123287671234,207.0,234.67123287671234,43,219
1_1_5,48,Adv,241.86644951140065,206.0,241.86644951140065,55,614
1_1_5,48,Ele,239.23230490018148,197.0,239.23230490018148,56,551
1_1_6,49,Adv,256.48168249660785,213.0,256.48168249660785,55,737
1_1_6,50,Adv,230.28699551569505,196.0,230.28699551569505,54,446
1_1_6,51,Adv,245.2718600953895,204.0,245.2718600953895,55,629
1_1_6,51,Ele,229.74559193954659,200.0,229.74559193954659,55,794
1_1_6,52,Adv,237.48743718592965,209.0,237.48743718592965,56,1393
1_1_6,52,Ele,237.30411171450737,202.0,237.30411171450737,55,1289
1_1_7,53,Adv,248.64529914529913,203.0,248.64529914529913,52,234
1_1_7,53,Ele,252.16862745098038,199.0,252.16862745098038,56,255
1_1_7,54,Adv,228.24516129032259,203.5,228.24516129032259,48,310
1_1_7,55,Adv,233.82335329341316,201.5,233.82335329341316,52,334
1_1_7,55,Ele,231.9947229551451,205.0,231.9947229551451,52,379
1_1_7,56,Adv,250.42077922077922,206.0,250.42077922077922,51,385
1_1_7,56,Ele,238.68316831683168,207.0,238.68316831683168,56,505
1_1_7,57,Adv,242.50526315789475,198.0,242.50526315789475,55,475
1_1_7,57,Ele,230.2574850299401,200.0,230.2574850299401,54,501
1_1_7,58,Adv,224.4802744425386,197.0,224.4802744425386,55,583
1_1_7,58,Ele,232.63389830508476,198.0,232.63389830508476,56,590
1_1_7,59,Adv,235.05084745762713,205.0,235.05084745762713,52,354
1_1_7,60,Adv,215.43155452436196,189.0,215.43155452436196,55,431
1_2_1,61,Adv,256.95962314939436,212.0,256.95962314939436,55,743
1_2_1,61,Ele,256.3531746031746,218.0,256.3531746031746,55,756
1_2_1,62,Adv,266.19195046439626,222.0,266.19195046439626,55,969
1_2_1,62,Ele,254.8735294117647,210.5,254.8735294117647,53,680
1_2_1,63,Adv,249.09345794392524,210.0,249.09345794392524,54,856
1_2_1,63,Ele,246.35882352941175,216.0,246.35882352941175,54,510
1_2_1,64,Adv,242.5622270742358,206.0,242.5622270742358,54,916
1_2_1,64,Ele,237.54495614035088,211.0,237.54495614035088,55,912
1_2_2,65,Adv,263.77298850574715,215.0,263.77298850574715,53,348
1_2_2,65,Ele,224.43346007604563,195.0,224.43346007604563,56,263
1_2_2,66,Adv,288.9831730769231,231.5,288.9831730769231,53,416
1_2_2,66,Ele,258.61307901907355,213.0,258.61307901907355,55,367
1_2_2,67,Adv,239.0084985835694,212.0,239.0084985835694,52,353
1_2_2,67,Ele,238.83870967741936,214.0,238.83870967741936,54,341
1_2_2,68,Adv,242.18010752688173,205.5,242.18010752688173,52,744
1_2_2,68,Ele,239.7011235955056,205.0,239.7011235955056,56,890
1_2_2,69,Adv,241.73818181818183,210.0,241.73818181818183,53,550
1_2_2,69,Ele,231.9072327044025,207.5,231.9072327044025,56,636
1_2_2,70,Adv,247.4041769041769,207.5,247.4041769041769,55,814
1_2_2,70,Ele,240.43139407244786,210.0,240.43139407244786,56,911
1_2_3,71,Adv,238.0136476426799,208.0,238.0136476426799,56,806
1_2_3,72,Adv,245.7713037144938,209.0,245.7713037144938,56,1373
1_2_3,72,Ele,252.7881286067601,212.0,252.7881286067601,55,1213
1_2_3,73,Adv,257.5973884657236,211.0,257.5973884657236,56,919
1_2_3,73,Ele,240.9318181818182,204.5,240.9318181818182,55,1012
1_2_3,74,Adv,233.62626262626262,196.0,233.62626262626262,55,396
1_2_4,75,Adv,241.85944700460828,209.5,241.85944700460828,55,868
1_2_4,75,Ele,239.41581259150806,206.0,239.41581259150806,55,683
1_2_4,76,Adv,237.69440459110473,216.0,237.69440459110473,54,697
1_2_4,76,Ele,222.0577849117175,196.0,222.0577849117175,53,623
1_2_4,77,Adv,235.76161616161616,214.0,235.76161616161616,55,495
1_2_4,77,Ele,218.73684210526315,200.0,218.73684210526315,52,209
1_2_4,78,Adv,231.93203883495147,205.5,231.93203883495147,52,206
1_2_4,78,Ele,219.13684210526316,191.0,219.13684210526316,53,190
1_2_4,79,Adv,256.4475806451613,217.5,256.4475806451613,50,248
1_2_4,79,Ele,217.28225806451613,195.0,217.28225806451613,52,124
1_2_4,80,Adv,215.25294117647059,174.0,215.25294117647059,50,170
1_2_4,80,Ele,243.4160583941606,219.0,243.4160583941606,50,137
1_2_4,81,Adv,225.74185136897,197.0,225.74185136897,56,767
1_2_4,81,Ele,222.6044226044226,197.0,222.6044226044226,55,407
1_2_5,82,Adv,241.9078947368421,197.5,241.9078947368421,56,608
1_2_5,82,Ele,239.94086021505376,207.0,239.94086021505376,55,558
1_2_5,83,Adv,245.3201581027668,213.0,245.3201581027668,53,506
1_2_5,83,Ele,245.46812749003985,213.0,245.46812749003985,54,502
1_2_5,84,Adv,249.6241935483871,219.0,249.6241935483871,55,620
1_2_5,84,Ele,241.40493827160495,198.0,241.40493827160495,53,405
1_2_5,85,Adv,229.74658573596358,208.0,229.74658573596358,56,659
1_2_5,85,Ele,216.41754385964913,194.5,216.41754385964913,55,570
1_2_5,86,Adv,224.12322274881515,201.0,224.12322274881515,56,633
1_2_6,87,Adv,261.6235294117647,217.0,261.6235294117647,55,1105
1_2_6,87,Ele,229.13015873015874,202.0,229.13015873015874,56,630
1_2_6,88,Adv,264.04126984126987,204.0,264.04126984126987,52,315
1_2_6,88,Ele,271.1359773371105,224.0,271.1359773371105,53,353
1_2_6,89,Adv,262.0905172413793,218.0,262.0905172413793,55,464
1_2_6,89,Ele,228.683426443203,211.0,228.683426443203,56,537
1_3_1,90,Adv,246.52897657213316,197.0,246.52897657213316,55,811
1_3_1,90,Ele,227.9241645244216,201.0,227.9241645244216,56,778
1_3_1,91,Adv,283.375,233.0,283.375,54,472
1_3_1,91,Ele,256.89709172259506,218.0,256.89709172259506,56,447
1_3_1,92,Adv,287.125,220.0,287.125,55,440
1_3_1,92,Ele,235.89833333333334,202.0,235.89833333333334,54,600
1_3_1,93,Adv,237.90027700831024,194.0,237.90027700831024,54,361
1_3_1,93,Ele,220.7127659574468,194.0,220.7127659574468,56,376
1_3_2,94,Adv,239.8996138996139,205.0,239.8996138996139,56,518
1_3_2,94,Ele,241.44702842377262,203.0,241.44702842377262,54,387
1_3_2,95,Adv,249.50359712230215,211.5,249.50359712230215,55,556
1_3_2,95,Ele,273.64437689969606,222.5,273.64437689969606,55,658
1_3_2,96,Adv,257.9603803486529,229.0,257.9603803486529,54,631
1_3_2,96,Ele,237.88768115942028,208.0,237.88768115942028,53,276
1_3_2,97,Adv,259.9855072463768,220.0,259.9855072463768,56,483
1_3_2,97,Ele,242.2085201793722,209.0,242.2085201793722,55,446
1_3_3,98,Adv,265.36422413793105,209.5,265.36422413793105,54,464
1_3_3,98,Ele,242.4578313253012,214.0,242.4578313253012,56,581
1_3_3,99,Adv,227.7012987012987,181.0,227.7012987012987,43,77
1_3_3,99,Ele,265.7647058823529,225.0,265.7647058823529,48,85
1_3_3,100,Adv,272.76258992805754,235.0,272.76258992805754,50,278
1_3_3,100,Ele,244.03081232492997,220.0,244.03081232492997,48,357
1_3_3,101,Adv,226.8526912181303,203.0,226.8526912181303,51,353
1_3_3,101,Ele,238.78,228.5,238.78,44,100
1_3_3,102,Adv,278.77105831533476,223.0,278.77105831533476,52,463
1_3_3,102,Ele,226.36326530612246,201.0,226.36326530612246,49,245
1_3_3,103,Adv,271.1309523809524,237.0,271.1309523809524,49,84
1_3_3,103,Ele,219.00833333333333,191.5,219.00833333333333,47,120
1_3_3,104,Adv,235.43338954468803,205.0,235.43338954468803,53,593
1_3_3,104,Ele,233.6906906906907,207.5,233.6906906906907,56,666
1_3_3,105,Adv,250.27969348659005,202.0,250.27969348659005,55,261
1_3_3,105,Ele,275.04014598540147,211.0,275.04014598540147,56,274
1_3_4,106,Adv,234.49099836333878,206.0,234.49099836333878,56,611
1_3_4,106,Ele,228.41981132075472,199.0,228.41981132075472,55,212
1_3_4,107,Adv,253.68613138686132,219.5,253.68613138686132,49,274
1_3_4,107,Ele,244.2809667673716,202.0,244.2809667673716,49,331
1_3_4,108,Adv,254.2821670428894,217.0,254.2821670428894,51,443
1_3_4,108,Ele,233.4198473282443,204.0,233.4198473282443,53,393
1_3_4,109,Adv,253.49488752556238,220.0,253.49488752556238,55,489
1_3_4,110,Adv,257.9214916584887,221.0,257.9214916584887,54,1019
1_3_4,110,Ele,236.96716101694915,202.5,236.96716101694915,54,944
1_3_5,111,Adv,230.38558558558557,202.0,230.38558558558557,54,555
1_3_5,112,Adv,275.41711229946526,219.5,275.41711229946526,55,748
1_3_5,112,Ele,283.60736196319016,205.0,283.60736196319016,54,489
1_3_5,113,Adv,287.7458033573142,232.0,287.7458033573142,54,417
1_3_5,114,Adv,237.48294930875576,207.0,237.48294930875576,56,2170
1_3_5,114,Ele,237.28426395939087,202.0,237.28426395939087,55,1182
1_4_1,115,Adv,239.94746376811594,206.5,239.94746376811594,55,552
