text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_10_1,Adv,141.70745170193192,150.0,210.6043204812688,55,5435
1_10_1,Ele,134.58365949119374,149.0,201.75210854418776,56,4088
1_10_2,Adv,141.47331460674158,152.5,207.99498525073747,56,4984
1_10_2,Ele,141.68671328671329,151.0,207.59426229508196,55,5005
1_10_3,Adv,145.2975813177648,153.0,206.9023752969121,55,5995
1_10_3,Ele,130.6829745596869,146.0,202.74459203036054,56,4088
1_10_4,Adv,137.06321014892444,147.0,207.91131191432396,55,9065
1_10_4,Ele,132.5006764069264,143.0,209.19372063220845,56,7392
1_10_5,Adv,147.67899159663867,154.0,212.5239665787159,55,6545
1_10_5,Ele,141.046875,153.0,208.85787259615384,56,4928
1_10_6,Adv,135.41978236607142,147.0,208.30236051502146,56,7168
1_10_6,Ele,133.69030303030303,141.0,210.88814531548758,55,4950
1_10_7,Adv,126.6058201058201,137.0,208.66361456289513,56,7560
1_10_7,Ele,124.18706293706293,131.0,203.07318467695825,55,5720
1_1_1,Adv,141.1312181122449,152.0,213.81038647342996,56,6272
1_1_1,Ele,135.41468531468533,145.0,209.17418309478802,55,5720
1_1_2,Adv,126.88179519595448,139.0,207.5233910571207,56,6328
1_1_2,Ele,129.0785026737968,137.0,204.6953867028494,55,4675
1_1_3,Adv,136.3247357293869,148.0,207.46975546975548,55,4730
1_1_3,Ele,129.6547619047619,143.0,206.60433604336043,56,3528
1_1_4,Adv,138.62037962037962,151.0,207.35056784219964,55,5005
1_1_4,Ele,131.85524891774892,146.0,200.3029182079737,56,3696
1_1_5,Adv,121.29284848484849,131.0,203.96779453730127,55,4125
1_1_5,Ele,123.94047619047619,139.0,195.61377870563675,56,3024
1_1_6,Adv,134.53851829988193,147.0,204.8153223994608,56,6776
1_1_6,Ele,136.07532467532468,147.0,207.29460431654675,55,4235
1_1_7,Adv,134.459565807327,144.0,206.75297308575006,55,7370
1_1_7,Ele,131.11337209302326,148.0,202.77520873474631,56,4816
1_2_1,Adv,141.50993006993008,152.5,210.39634019546682,55,7150
1_2_1,Ele,139.05607142857144,151.0,206.3365129835718,56,5600
1_2_2,Adv,142.87243636363635,152.0,210.15147625160463,55,6875
1_2_2,Ele,135.78656462585033,149.0,204.28784648187633,56,7056
1_2_3,Adv,132.36788302277432,145.0,207.40855636658557,56,7728
1_2_3,Ele,151.52143658810326,158.0,211.3425172197871,55,4455
1_2_4,Adv,126.51785714285714,139.0,203.1999598876855,56,8008
1_2_4,Ele,127.97945454545454,140.0,201.34067505720824,55,5500
1_2_5,Adv,133.63540372670806,147.0,206.28283796740172,56,6440
1_2_5,Ele,139.9960569550931,148.0,204.5717029449424,55,4565
1_2_6,Adv,151.38236092265944,159.0,215.21759259259258,55,3685
1_2_6,Ele,130.32850985221674,144.0,202.83037853378053,56,3248
1_3_1,Adv,135.69023569023568,144.0,211.06843575418995,55,4455
1_3_1,Ele,127.28820598006645,140.0,204.749498997996,56,4816
1_3_2,Adv,147.2422462406015,157.0,210.64302521008403,56,4256
1_3_2,Ele,147.09706293706293,158.0,211.27842507030937,55,3575
1_3_3,Adv,136.90205831903944,146.0,206.986255186722,55,5830
1_3_3,Ele,126.00357142857143,139.0,205.56240417049986,56,5320
1_3_4,Adv,131.11994310998736,144.0,209.21003530005044,56,6328
