text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,Adv,145.9070996978852,0.0,410.586609989373,55,2648
1_10_1,Ele,108.80410821643287,0.0,317.04087591240875,56,1996
1_10_2,Adv,159.89294306335205,0.0,409.8386433710175,56,2494
1_10_2,Ele,124.08064516129032,0.0,336.016091954023,55,2356
1_10_3,Adv,199.3235077376566,0.0,420.65629860031106,55,2714
1_10_3,Ele,115.22788203753352,0.0,334.73520249221184,56,1865
1_10_4,Adv,135.19039323046292,0.0,395.62636562272394,55,4018
1_10_4,Ele,112.50312593033641,0.0,357.519394512772,56,3359
1_10_5,Adv,212.19172685489167,0.0,449.15635858234884,55,3046
1_10_5,Ele,147.08581788879937,0.0,354.43398058252427,56,2482
1_10_6,Adv,154.45530546623795,0.0,405.0219224283305,56,3110
1_10_6,Ele,161.02255299954894,0.0,424.9845238095238,55,2217
1_10_7,Adv,105.98877485567671,0.0,339.64337101747174,56,3118
1_10_7,Ele,102.07737348389794,0.0,337.10911602209944,55,2391
1_1_1,Adv,153.32585398526456,0.0,414.7019927536232,56,2986
1_1_1,Ele,103.30169867060562,0.0,339.08,55,2708
1_1_2,Adv,119.91731448763251,0.0,377.913140311804,56,2830
1_1_2,Ele,92.21135496183206,0.0,347.61690647482015,55,2096
1_1_3,Adv,154.77439570277528,0.0,391.5809739524349,55,2234
1_1_3,Ele,122.05278944211157,0.0,363.325,56,1667
1_1_4,Adv,143.6506908462867,0.0,375.5022573363431,55,2316
1_1_4,Ele,147.5968109339408,0.0,365.5571227080395,56,1756
1_1_5,Adv,129.5228832951945,0.0,383.0896785109983,55,1748
1_1_5,Ele,136.41505376344085,0.0,377.57738095238096,56,1395
1_1_6,Adv,181.6402496099844,0.0,446.0973180076628,56,3205
1_1_6,Ele,109.35045607297168,0.0,326.79626972740317,55,2083
1_1_7,Adv,165.04185447520928,0.0,387.4678760393046,55,3106
1_1_7,Ele,117.33094170403588,0.0,336.3084832904884,56,2230
1_2_1,Adv,126.51923076923077,0.0,396.7533753375337,55,3484
