text_id,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_10_1,Adv,255.98086124401914,178.5,380.47045951859957,55,5434
1_10_1,Ele,219.62221678492782,173.0,329.27219369038886,56,4087
1_10_2,Adv,254.65347529128164,185.0,374.6054964539007,56,4978
1_10_2,Ele,236.87030375699442,179.0,347.0860907759883,55,5004
1_10_3,Adv,284.43876357560566,195.0,405.3252380952381,55,5985
1_10_3,Ele,211.99633072407045,165.0,328.89601518026564,56,4088
1_10_4,Adv,236.5042517945886,173.0,358.9584311096212,55,9055
1_10_4,Ele,214.52212149912054,167.0,338.7167271950438,56,7391
1_10_5,Adv,301.80073461891647,197.0,434.6409521710381,55,6534
1_10_5,Ele,248.83928571428572,186.0,368.4735576923077,56,4928
1_10_6,Adv,247.79070740895773,177.0,381.17965228589827,56,7167
1_10_6,Ele,244.77784515868203,165.0,386.2570972886762,55,4947
1_10_7,Adv,198.95898928429688,155.0,327.9395987788923,56,7559
1_10_7,Ele,197.46343596920923,149.0,323.03978248425875,55,5716
1_1_1,Adv,257.95722266560256,179.0,391.0239535446407,56,6265
1_1_1,Ele,221.7132854892351,164.0,342.7077922077922,55,5713
1_1_2,Adv,214.22457694132532,158.0,350.55434782608694,56,6323
1_1_2,Ele,203.33903743315508,156.0,322.45929443690636,55,4675
1_1_3,Adv,244.10071942446044,171.0,371.65592783505156,55,4726
1_1_3,Ele,215.50666288630563,164.0,343.466787166742,56,3527
1_1_4,Adv,246.53698520591763,179.0,368.88363745139094,55,5002
1_1_4,Ele,237.75588633288228,172.0,361.22861842105266,56,3695
1_1_5,Adv,210.38491389764735,147.0,353.9033047735618,55,4123
1_1_5,Ele,224.1577902745617,160.0,353.8532637075718,56,3023
1_1_6,Adv,255.4470066518847,173.0,389.2114864864865,56,6765
1_1_6,Ele,223.42314049586776,167.0,340.35863309352516,55,4235
1_1_7,Adv,244.67933749660602,167.0,376.3432866986845,55,7366
1_1_7,Ele,217.02056074766355,167.0,335.6742691937038,56,4815
1_2_1,Adv,248.2451721242653,180.0,369.1904266389178,55,7146
1_2_1,Ele,226.09110396570205,177.0,335.5402969247084,56,5598
1_2_2,Adv,256.02546195256804,182.0,376.6401969178082,55,6873
1_2_2,Ele,239.531396172927,178.0,360.3953934740883,56,7055
1_2_3,Adv,232.87093851132687,171.0,364.9681476973017,56,7725
1_2_3,Ele,289.3674752920036,204.0,403.71795675336887,55,4452
1_2_4,Adv,212.30152385710716,162.0,341.0284911717496,56,8006
1_2_4,Ele,229.89685282881572,160.0,361.7930146006298,55,5497
1_2_5,Adv,230.92172697623855,176.0,356.48645408774877,56,6439
1_2_5,Ele,244.1602367382727,178.5,356.8917013777635,55,4562
1_2_6,Adv,311.6914922533297,204.0,443.43116782675946,55,3679
1_2_6,Ele,216.87064983061288,168.0,337.5738255033557,56,3247
1_3_1,Adv,245.10690974566734,166.0,381.8408134642356,55,4443
1_3_1,Ele,198.64818276220146,155.0,319.57601069161376,56,4815
1_3_2,Adv,267.85915824124146,192.0,383.31258411843874,56,4253
1_3_2,Ele,277.39327731092436,191.0,398.6690821256039,55,3570
1_3_3,Adv,256.64447494852436,173.0,388.0965230928905,55,5828
1_3_3,Ele,198.0110923105847,157.0,323.0739263803681,56,5319
1_3_4,Adv,225.73007590132826,167.0,360.30212014134275,56,6324
1_3_4,Ele,225.32220175034547,154.0,361.81545857988164,55,4342
1_3_5,Adv,247.9171227521501,180.0,377.61177271180674,56,8953
1_3_5,Ele,240.2335092348285,167.0,370.71864820846906,55,3790
1_4_1,Adv,220.42132564841498,161.0,354.7597402597403,56,8675
1_4_1,Ele,219.79059525500782,165.0,345.72201117318434,55,7039
1_4_2,Adv,238.3434743270753,180.0,362.10189003436426,56,8842
1_4_2,Ele,219.41373080397472,162.0,342.58251057827925,55,7749
