text_id,align_idx,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
1_10_1,0,Adv,139.59238095238095,0.0,401.5671232876712,55,1050
1_10_1,0,Ele,95.98571428571428,0.0,303.28819444444446,56,910
1_10_1,1,Adv,137.24285714285713,0.0,390.1319796954315,55,560
1_10_1,1,Ele,124.86558044806517,0.0,314.4051282051282,55,491
1_10_1,2,Adv,156.96917148362235,0.0,429.90501319261216,55,1038
1_10_1,2,Ele,115.1546218487395,0.0,339.1930693069307,56,595
1_10_2,3,Adv,210.78181818181818,0.0,506.24454148471614,55,550
1_10_2,3,Ele,135.41838649155721,0.0,317.9647577092511,55,533
1_10_2,4,Adv,176.2344280860702,0.0,433.46796657381617,55,883
1_10_2,4,Ele,140.55882352941177,0.0,346.30434782608694,54,680
1_10_2,5,Adv,118.3034734917733,0.0,347.9139784946237,56,547
1_10_2,5,Ele,117.57357357357357,0.0,389.5721393034826,55,666
1_10_2,6,Adv,121.62645914396887,0.0,314.1507537688442,56,514
1_10_2,6,Ele,97.00628930817611,0.0,278.7469879518072,54,477
1_10_3,7,Adv,182.4926166568222,0.0,403.3420365535248,55,1693
1_10_3,7,Ele,110.87287509238729,0.0,320.53632478632477,56,1353
1_10_3,8,Adv,227.23212536728698,80.0,446.16153846153844,55,1021
1_10_3,8,Ele,126.736328125,0.0,372.92528735632186,56,512
1_10_4,9,Adv,199.4095744680851,0.0,469.78696741854634,55,940
1_10_4,9,Ele,126.20526315789473,0.0,435.9818181818182,55,570
1_10_4,10,Adv,141.9737876802097,0.0,393.9127272727273,54,763
1_10_4,10,Ele,122.50647820965843,0.0,389.5430711610487,56,849
1_10_4,11,Adv,77.97830018083182,0.0,259.7710843373494,54,553
1_10_4,11,Ele,101.82428940568475,0.0,283.49640287769785,52,387
1_10_4,12,Adv,90.73195876288659,0.0,327.1747211895911,55,970
1_10_4,12,Ele,97.54682779456193,0.0,316.54901960784315,55,662
1_10_4,13,Adv,146.83333333333334,0.0,440.5,55,792
1_10_4,13,Ele,109.95622895622895,0.0,347.4148936170213,56,891
1_10_5,14,Adv,191.89038461538462,0.0,437.64473684210526,55,520
1_10_5,14,Ele,160.37747035573122,0.0,405.755,55,506
1_10_5,15,Adv,277.0725806451613,104.0,528.5692307692308,53,496
1_10_5,15,Ele,136.2854864433812,0.0,317.6617100371747,55,627
1_10_5,16,Adv,233.97861635220127,84.0,450.39467312348665,54,795
1_10_5,16,Ele,175.09728183118742,0.0,367.54654654654655,55,699
1_10_5,17,Adv,180.65748987854252,0.0,414.70631970260223,54,1235
1_10_5,17,Ele,117.03384615384616,0.0,333.64912280701753,56,650
1_10_6,18,Adv,177.1660329531052,0.0,388.2888888888889,55,789
1_10_6,18,Ele,214.13565217391303,0.0,457.724907063197,55,575
1_10_6,19,Adv,249.10086455331412,108.5,471.0517711171662,55,694
1_10_6,19,Ele,178.17929292929293,0.0,426.33836858006043,55,792
1_10_6,20,Adv,120.47630331753554,0.0,385.15909090909093,55,422
1_10_6,20,Ele,159.24561403508773,0.0,418.01973684210526,52,399
1_10_6,21,Adv,115.47058823529412,0.0,335.55555555555554,52,340
1_10_6,22,Adv,80.70616113744076,0.0,391.4712643678161,55,422
1_10_6,22,Ele,64.74944567627495,0.0,331.84090909090907,52,451
1_10_6,23,Adv,98.27765237020316,0.0,353.9593495934959,55,443
1_10_7,24,Adv,93.6611374407583,0.0,313.6904761904762,55,844
1_10_7,24,Ele,134.6600566572238,0.0,392.8512396694215,54,353
1_10_7,25,Adv,156.4977728285078,0.0,394.7612359550562,56,898
1_10_7,25,Ele,136.98697916666666,0.0,382.5672727272727,54,768
1_10_7,26,Adv,95.48016701461378,0.0,296.9805194805195,53,479
1_10_7,26,Ele,83.21379310344828,0.0,258.5571428571429,52,435
1_10_7,27,Adv,72.63433667781494,0.0,308.78199052132703,56,897
1_10_7,27,Ele,66.02155688622754,0.0,293.2340425531915,54,835
1_1_1,28,Adv,171.86211699164346,0.0,482.01953125,56,718
1_1_1,28,Ele,98.15336463223787,0.0,313.6,55,639
1_1_1,29,Adv,142.7243066884176,0.0,387.12389380530976,55,613
