text_id,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_10_1,Adv,1.2101195952161914,1.0,1.7984686901832103,55,5435
1_10_1,Ele,1.0934442270058709,1.0,1.6391639163916392,56,4088
1_10_2,Adv,1.2365569823434992,1.0,1.8179941002949853,56,4984
1_10_2,Ele,1.164035964035964,1.0,1.705503512880562,55,5005
1_10_3,Adv,1.3934945788156798,1.0,1.9843230403800476,55,5995
1_10_3,Ele,1.0513698630136987,1.0,1.6311195445920303,56,4088
1_10_4,Adv,1.146607832322118,1.0,1.7392904953145918,55,9065
1_10_4,Ele,1.0439664502164503,1.0,1.648227253310551,56,7392
1_10_5,Adv,1.4450725744843391,1.0,2.079595426561126,55,6545
1_10_5,Ele,1.2069805194805194,1.0,1.7872596153846154,56,4928
1_10_6,Adv,1.1979631696428572,1.0,1.8427038626609442,56,7168
1_10_6,Ele,1.1755555555555555,1.0,1.854365838113448,55,4950
1_10_7,Adv,0.964021164021164,1.0,1.5888380204926968,56,7560
1_10_7,Ele,0.9783216783216783,1.0,1.5997712978845053,55,5720
1_1_1,Adv,1.2238520408163265,1.0,1.8541062801932366,56,6272
1_1_1,Ele,1.073076923076923,1.0,1.6575749392384553,55,5720
1_1_2,Adv,1.0491466498103665,1.0,1.7159472731972085,56,6328
1_1_2,Ele,0.9950802139037433,1.0,1.5780189959294437,55,4675
1_1_3,Adv,1.1955602536997887,1.0,1.8194980694980696,55,4730
1_1_3,Ele,1.0470521541950113,1.0,1.6684733514001806,56,3528
1_1_4,Adv,1.2137862137862139,1.0,1.8156007172743573,55,5005
1_1_4,Ele,1.1858766233766234,1.0,1.8014796547472256,56,3696
1_1_5,Adv,1.0218181818181817,1.0,1.7183041174072564,55,4125
1_1_5,Ele,1.1216931216931216,1.0,1.7703549060542798,56,3024
1_1_6,Adv,1.2699232585596223,1.0,1.933273421702988,56,6776
1_1_6,Ele,1.088547815820543,1.0,1.658273381294964,55,4235
1_1_7,Adv,1.185888738127544,1.0,1.8234925933653243,55,7370
1_1_7,Ele,1.0838870431893688,1.0,1.676300578034682,56,4816
1_2_1,Adv,1.1925874125874125,1.0,1.7731337076315243,55,7150
1_2_1,Ele,1.1085714285714285,1.0,1.6449390567037625,56,5600
1_2_2,Adv,1.2328727272727273,1.0,1.813436029097133,55,6875
1_2_2,Ele,1.185657596371882,1.0,1.7837953091684435,56,7056
1_2_3,Adv,1.1394927536231885,1.0,1.7854825628548256,56,7728
1_2_3,Ele,1.3771043771043772,1.0,1.9207889793362556,55,4455
1_2_4,Adv,1.0586913086913088,1.0,1.7003610108303249,56,8008
1_2_4,Ele,1.1434545454545455,1.0,1.798913043478261,55,5500
1_2_5,Adv,1.1445652173913043,1.0,1.766778523489933,56,6440
1_2_5,Ele,1.2094194961664841,1.0,1.7672855313700384,55,4565
1_2_6,Adv,1.4724559023066486,1.0,2.0933641975308643,55,3685
1_2_6,Ele,1.0849753694581281,1.0,1.6885481552467656,56,3248
1_3_1,Adv,1.1872053872053872,1.0,1.8467178770949721,55,4455
1_3_1,Ele,0.9692691029900332,1.0,1.559118236472946,56,4816
1_3_2,Adv,1.281954887218045,1.0,1.8339495798319327,56,4256
1_3_2,Ele,1.3205594405594405,1.0,1.896745680996384,55,3575
1_3_3,Adv,1.2322469982847342,1.0,1.8630705394190872,55,5830
1_3_3,Ele,0.9682330827067669,1.0,1.579576816927323,56,5320
1_3_4,Adv,1.102085967130215,1.0,1.7584467977811398,56,6328
1_3_4,Ele,1.1249712313003453,1.0,1.805688954562246,55,4345
1_3_5,Adv,1.2157366071428573,1.0,1.8509770603228548,56,8960
1_3_5,Ele,1.1559947299077733,1.0,1.7826086956521738,55,3795
1_4_1,Adv,1.0928571428571427,1.0,1.7582947173308618,56,8680
1_4_1,Ele,1.0767045454545454,1.0,1.6934763181411976,55,7040
1_4_2,Adv,1.1646699819168174,1.0,1.7687950566426365,56,8848
1_4_2,Ele,1.0740167633784654,1.0,1.6761923928355806,55,7755
1_4_3,Adv,1.362435677530017,1.0,2.000755667506297,55,5830
1_4_3,Ele,1.2195121951219512,1.0,1.8691588785046729,56,4592
1_4_4,Adv,1.2817610062893081,1.0,1.9219821673525377,55,8745
1_4_4,Ele,1.2489837398373984,1.0,1.8783842794759826,56,6888
1_4_5,Adv,1.3161525974025974,1.0,1.9172332249482709,56,4928
1_4_5,Ele,1.2448202959830867,1.0,1.8116923076923077,55,4730
1_5_1,Adv,1.1797979797979798,1.0,1.8598726114649682,55,3960
1_5_1,Ele,0.968944099378882,1.0,1.625705601389492,56,3864
1_5_2,Adv,1.087957497048406,1.0,1.72533233476877,55,8470
1_5_2,Ele,0.9865405117270789,1.0,1.6086484137331596,56,7504
1_5_3,Adv,1.367391304347826,1.0,1.9160139251523063,56,6440
1_5_3,Ele,1.322466039707419,1.0,1.9152542372881356,55,4785
1_5_4,Adv,1.276608187134503,1.0,1.9162570224719102,55,8550
1_5_4,Ele,1.1675324675324674,1.0,1.7863884749130652,56,6160
1_5_5,Adv,1.4735449735449735,1.0,2.177908113391984,56,4536
1_5_5,Ele,1.5564660691421255,1.0,2.1645299145299144,55,3905
1_6_1,Adv,1.137632135306554,1.0,1.8142279163857047,55,4730
1_6_1,Ele,1.1129976580796253,1.0,1.7758056982718355,56,3416
1_6_2,Adv,1.2100563909774436,1.0,1.8569711538461537,56,6384
1_6_2,Ele,1.1734919286321155,1.0,1.79423226812159,55,5885
1_6_3,Adv,1.3669090909090909,1.0,2.0357432981316004,55,5500
1_6_3,Ele,1.2219101123595506,1.0,1.8119607259744124,56,4984
1_6_4,Adv,1.0554245283018868,1.0,1.7038346478107154,56,5936
1_6_4,Ele,1.0568181818181819,1.0,1.7425771115595272,55,5720
1_7_1,Adv,0.9232847744360902,1.0,1.5446147798742138,56,8512
1_7_1,Ele,0.9170963364993215,1.0,1.4838638858397366,55,7370
