text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_10_1,0,Adv,252.65339578454333,181.0,380.6739590684545,55,2135
1_10_1,0,Ele,211.2137445887446,169.0,319.41325695581014,56,1848
1_10_1,1,Adv,282.3984674329502,195.0,388.94986807387863,55,1044
1_10_1,1,Ele,223.90695488721803,171.5,339.8530670470756,56,1064
1_10_1,2,Adv,246.90066518847007,168.0,375.9358541525996,55,2255
1_10_1,2,Ele,228.9668085106383,188.0,335.03860523038605,56,1175
1_10_2,3,Adv,317.84753363228697,204.0,421.9047619047619,56,892
1_10_2,3,Ele,253.3645933014354,193.0,352.55126498002664,55,1045
1_10_2,4,Adv,288.40172520024646,212.0,400.75,56,1623
1_10_2,4,Ele,290.6832167832168,213.0,385.600185528757,55,1430
1_10_2,5,Adv,199.07285223367697,148.0,334.08419838523645,56,1455
1_10_2,5,Ele,193.34372969460688,145.0,322.030303030303,55,1539
1_10_2,6,Adv,224.62103174603175,172.5,334.44313146233384,56,1008
1_10_2,6,Ele,209.3939393939394,170.0,313.1419939577039,55,990
1_10_3,7,Adv,274.97991967871485,193.0,393.0539609644087,55,3735
1_10_3,7,Ele,210.57657967032966,169.0,326.51703940362086,56,2912
1_10_3,8,Adv,300.1404444444444,197.0,425.5299306868305,55,2250
1_10_3,8,Ele,215.51190476190476,156.0,334.79788639365916,56,1176
1_10_4,9,Adv,301.4192513368984,200.5,425.078431372549,55,1870
1_10_4,9,Ele,241.36941410129097,174.0,361.15750371471023,56,1007
1_10_4,10,Adv,259.3954171562867,184.5,373.19611158072695,55,1702
1_10_4,10,Ele,218.16183035714286,166.5,344.44581497797355,56,1792
1_10_4,11,Adv,192.1371212121212,159.0,305.1997593261131,55,1320
1_10_4,11,Ele,191.0704365079365,158.0,315.2193126022913,56,1008
1_10_4,12,Adv,209.67697907188352,168.0,319.16204986149586,55,2198
1_10_4,12,Ele,217.4649470899471,175.5,327.8235294117647,56,1512
1_10_4,13,Adv,214.7124681933842,154.0,356.94585448392553,55,1965
1_10_4,13,Ele,207.58783783783784,162.0,341.6378077839555,56,2072
1_10_5,14,Adv,316.2815845824411,204.0,443.55405405405406,55,934
1_10_5,14,Ele,271.36160714285717,195.0,393.43042071197414,56,896
1_10_5,15,Adv,352.8134615384615,213.5,493.84387617765816,55,1040
1_10_5,15,Ele,252.07548701298703,199.0,365.791519434629,56,1232
1_10_5,16,Adv,340.313160987074,230.0,468.24009700889246,55,1702
1_10_5,16,Ele,280.1376488095238,205.0,389.7567287784679,56,1344
1_10_5,17,Adv,255.5703289013296,175.0,386.26123744050767,55,2858
1_10_5,17,Ele,203.35027472527472,156.5,330.8134078212291,56,1456
1_10_6,18,Adv,282.2857142857143,203.5,399.4801444043321,56,1568
1_10_6,18,Ele,317.0464058234759,203.0,447.2836970474968,55,1099
1_10_6,19,Adv,310.4700460829493,208.0,439.6215334420881,56,1736
1_10_6,19,Ele,259.36789851075565,175.0,390.2356846473029,55,1813
1_10_6,20,Adv,227.75634995296332,171.0,348.85446685878964,56,1063
1_10_6,20,Ele,224.73838383838384,137.0,390.33508771929826,55,990
1_10_6,21,Adv,229.51071428571427,166.5,376.541015625,56,840
1_10_6,22,Adv,165.00845864661653,115.0,311.2925531914894,56,1064
1_10_6,22,Ele,162.4468899521531,120.0,292.1807228915663,55,1045
1_10_6,23,Adv,205.19308035714286,162.0,331.26666666666665,56,896
1_10_7,24,Adv,200.78673469387755,165.0,324.7046204620462,56,1960
1_10_7,24,Ele,267.7951441578149,188.0,353.66132264529057,55,659
1_10_7,25,Adv,245.53162723322066,177.0,365.56146657081234,56,2071
1_10_7,25,Ele,238.62571103526736,170.0,357.938566552901,55,1758
1_10_7,26,Adv,199.33928571428572,167.0,317.5817923186344,56,1120
1_10_7,26,Ele,191.5090909090909,148.0,317.73755656108597,55,1100
1_10_7,27,Adv,157.23961794019934,105.0,295.80703125,56,2408
1_10_7,27,Ele,146.4574806730332,99.0,277.63793103448273,55,2199
1_1_1,28,Adv,247.43277848911652,165.5,398.44329896907215,56,1562
1_1_1,28,Ele,224.90660592255125,167.0,337.7445838084379,55,1317
1_1_1,29,Adv,239.84285714285716,163.0,378.1306306306306,56,1400
1_1_1,29,Ele,214.11979166666666,158.0,336.5156889495225,55,1152
1_1_1,30,Adv,286.23659756969266,206.0,395.69664031620556,56,1399
1_1_1,30,Ele,215.92462638076674,163.0,339.4361593462717,55,1539
1_1_1,31,Adv,259.1318277310924,184.0,390.64687252573236,56,1904
1_1_1,31,Ele,229.6023460410557,169.0,353.63324299909664,55,1705
1_1_2,32,Adv,248.1547619047619,184.0,355.71672354948805,56,840
1_1_2,33,Adv,227.05537459283389,143.5,398.32,56,614
1_1_2,33,Ele,244.18347107438018,178.0,362.97542997542996,55,605
1_1_2,34,Adv,218.58364661654136,168.0,341.26632428466615,56,2128
1_1_2,34,Ele,228.19116883116882,165.0,345.3364779874214,55,1925
1_1_2,35,Adv,206.67729591836735,160.0,337.5729166666667,56,784
1_1_2,35,Ele,196.68242424242425,158.0,295.56102003642985,55,825
1_1_2,36,Adv,182.05987394957984,148.0,303.53940455341507,56,952
1_1_2,36,Ele,158.8267942583732,123.0,285.1786941580756,55,1045
1_1_2,37,Adv,205.15223880597014,86.0,401.12451361867704,56,1005
1_1_2,37,Ele,128.63272727272727,45.0,256.3333333333333,55,275
1_1_3,38,Adv,258.37272323411815,176.0,388.5083500334001,55,2251
1_1_3,38,Ele,222.40464493077266,161.0,357.73275862068965,56,2239
1_1_3,39,Adv,270.67727272727274,188.0,395.4867172675522,55,1540
1_1_3,39,Ele,227.2224025974026,181.0,358.8948717948718,56,616
1_1_3,40,Adv,165.96791443850267,145.0,280.61482820976494,55,935
1_1_3,40,Ele,181.7842261904762,159.0,283.43155452436196,56,672
1_1_4,41,Adv,295.89384422110555,203.5,407.4939446366782,55,1592
1_1_4,41,Ele,269.3458994708995,197.0,382.39530516431927,56,1512
1_1_4,42,Adv,221.67348484848486,166.0,340.24302325581397,55,1320
1_1_4,42,Ele,218.20308692120227,155.0,342.61224489795916,56,1231
1_1_4,43,Adv,275.20861244019136,202.0,399.990264255911,55,1045
1_1_4,43,Ele,212.86659663865547,154.0,347.5969125214408,56,952
1_1_4,44,Adv,174.07942583732057,142.0,299.19901315789474,55,1045
1_1_5,45,Adv,227.44077448747151,164.5,363.73952641165755,55,878
1_1_5,45,Ele,211.29241071428572,166.0,323.62051282051283,56,896
1_1_5,46,Adv,169.3723320158103,115.0,314.158357771261,55,1265
1_1_5,46,Ele,191.53809523809525,144.0,326.3529411764706,56,840
1_1_5,47,Adv,147.93636363636364,74.0,289.55516014234877,55,550
1_1_5,48,Adv,260.21188811188813,176.0,396.27582534611287,55,1430
1_1_5,48,Ele,254.4048174048174,170.0,391.1816009557945,56,1287
1_1_6,49,Adv,251.21885753613213,168.0,378.260103626943,56,1453
1_1_6,50,Adv,235.94521912350598,159.0,383.93679092382496,56,1004
1_1_6,51,Adv,290.8404175988069,197.0,410.1125131440589,56,1341
1_1_6,51,Ele,244.4013986013986,188.0,343.31434184675834,55,1430
1_1_6,52,Adv,248.11998651836873,169.0,386.03670686942843,56,2967
1_1_6,52,Ele,212.7283422459893,159.0,338.6509648127128,55,2805
1_1_7,53,Adv,323.16136363636366,212.0,432.1914893617021,55,440
1_1_7,53,Ele,267.751677852349,183.0,362.6818181818182,56,447
1_1_7,54,Adv,218.1160839160839,156.0,352.03837471783294,55,715
1_1_7,55,Adv,239.99317406143345,165.0,386.3626373626374,55,879
1_1_7,55,Ele,190.50334821428572,152.0,311.4799270072993,56,896
1_1_7,56,Adv,282.1931818181818,175.5,417.3613445378151,55,880
1_1_7,56,Ele,246.43849206349208,189.0,350.861581920904,56,1008
1_1_7,57,Adv,277.28779599271405,184.0,402.7275132275132,55,1098
1_1_7,57,Ele,255.60535714285714,182.0,374.70942408376965,56,1120
1_1_7,58,Adv,220.7937062937063,155.5,354.36026936026934,55,1430
1_1_7,58,Ele,163.60863095238096,139.0,288.1913499344692,56,1344
1_1_7,59,Adv,275.292377701934,195.0,394.75040783034257,55,879
1_1_7,60,Adv,174.83349282296652,141.0,296.59253246753246,55,1045
1_2_1,61,Adv,285.3995253164557,203.0,380.13171759747104,55,1264
1_2_1,61,Ele,234.96506211180125,188.0,326.8196544276458,56,1288
1_2_1,62,Adv,297.9812695109261,203.0,418.9612289685443,55,1922
