text_id,level,mean_FirstPassFF,median_FirstPassFF,mean_nonzero_FirstPassFF,n_subjects,n_rows
1_10_1,Adv,211.90067975830814,196.0,211.90067975830814,55,2648
1_10_1,Ele,205.43987975951904,193.0,205.43987975951904,56,1996
1_10_2,Adv,210.69206094627106,196.0,210.69206094627106,56,2494
1_10_2,Ele,210.84804753820035,191.0,210.84804753820035,55,2356
1_10_3,Adv,213.50552689756816,194.0,213.50552689756816,55,2714
1_10_3,Ele,204.81233243967827,193.0,204.81233243967827,56,1865
1_10_4,Adv,208.52463912394225,192.0,208.52463912394225,55,4018
1_10_4,Ele,211.87496278654362,195.0,211.87496278654362,56,3359
1_10_5,Adv,215.61490479317138,195.0,215.61490479317138,55,3046
1_10_5,Ele,209.50322320709105,196.5,209.50322320709105,56,2482
1_10_6,Adv,210.26527331189712,196.0,210.26527331189712,56,3110
1_10_6,Ele,214.07487595850247,192.0,214.07487595850247,55,2217
1_10_7,Adv,211.03880692751764,195.0,211.03880692751764,56,3118
1_10_7,Ele,204.4257632789628,188.0,204.4257632789628,55,2391
1_1_1,Adv,215.73040857334226,198.0,215.73040857334226,56,2986
1_1_1,Ele,207.04320531757756,189.0,207.04320531757756,55,2708
1_1_2,Adv,208.51272084805655,192.0,208.51272084805655,56,2830
1_1_2,Ele,206.20419847328245,190.0,206.20419847328245,55,2096
1_1_3,Adv,210.81602506714412,192.0,210.81602506714412,55,2234
1_1_3,Ele,208.62027594481103,192.0,208.62027594481103,56,1667
1_1_4,Adv,209.529792746114,194.0,209.529792746114,55,2316
1_1_4,Ele,202.11788154897494,190.0,202.11788154897494,56,1756
1_1_5,Adv,205.44393592677346,189.0,205.44393592677346,55,1748
1_1_5,Ele,197.4372759856631,186.0,197.4372759856631,56,1395
1_1_6,Adv,205.0021840873635,191.0,205.0021840873635,56,3205
1_1_6,Ele,206.22179548727797,185.0,206.22179548727797,55,2083
1_1_7,Adv,207.44301352221507,188.0,207.44301352221507,55,3106
1_1_7,Ele,204.58071748878925,191.0,204.58071748878925,56,2230
1_2_1,Adv,210.3105625717566,192.0,210.3105625717566,55,3484
1_2_1,Ele,208.6294611616515,195.0,208.6294611616515,56,2858
1_2_2,Adv,211.52651162790698,196.0,211.52651162790698,55,3225
1_2_2,Ele,205.08450704225353,191.0,205.08450704225353,56,3408
1_2_3,Adv,209.70148826559816,193.0,209.70148826559816,56,3494
1_2_3,Ele,213.66696629213484,194.0,213.66696629213484,55,2225
1_2_4,Adv,204.6690814256737,192.0,204.6690814256737,56,3451
1_2_4,Ele,199.74926253687315,187.0,199.74926253687315,55,2373
1_2_5,Adv,207.7293456708526,193.0,207.7293456708526,56,3026
1_2_5,Ele,206.98083538083537,191.0,206.98083538083537,55,2035
1_2_6,Adv,215.09766454352442,198.0,215.09766454352442,55,1884
1_2_6,Ele,204.79736842105262,192.0,204.79736842105262,56,1520
1_3_1,Adv,213.2168905950096,194.0,213.2168905950096,55,2084
1_3_1,Ele,208.7460245343026,194.0,208.7460245343026,56,2201
1_3_2,Adv,212.9136197440585,199.0,212.9136197440585,56,2188
1_3_2,Ele,214.37181663837012,198.0,214.37181663837012,55,1767
1_3_3,Adv,208.40497473766032,192.0,208.40497473766032,55,2573
1_3_3,Ele,209.42009884678748,196.0,209.42009884678748,56,2428
1_3_4,Adv,211.37306064880113,197.0,211.37306064880113,56,2836
1_3_4,Ele,206.67287234042553,191.0,206.67287234042553,55,1880
1_3_5,Adv,210.25115681233933,195.0,210.25115681233933,56,3890
1_3_5,Ele,207.81567923399163,190.0,207.81567923399163,55,1671
1_4_1,Adv,205.16698868341155,193.0,205.16698868341155,56,3623
1_4_1,Ele,204.72866894197952,189.0,204.72866894197952,55,2930
1_4_2,Adv,209.73140794223826,196.0,209.73140794223826,56,4155
1_4_2,Ele,206.64982476635515,191.0,206.64982476635515,55,3424
1_4_3,Adv,213.00736377025038,197.0,213.00736377025038,55,2716
1_4_3,Ele,207.06375996249415,194.0,207.06375996249415,56,2133
1_4_4,Adv,209.08368310598112,190.5,209.08368310598112,55,3812
1_4_4,Ele,207.71293580971,193.0,207.71293580971,56,3069
1_4_5,Adv,205.29456668163448,192.0,205.29456668163448,56,2227
1_4_5,Ele,208.43862068965518,189.0,208.43862068965518,55,2175
1_5_1,Adv,210.57745696835093,194.0,210.57745696835093,55,1801
1_5_1,Ele,204.8824194460147,191.0,204.8824194460147,56,1769
1_5_2,Adv,209.35833561456337,192.0,209.35833561456337,55,3653
1_5_2,Ele,204.3809810412278,192.0,204.3809810412278,56,3323
1_5_3,Adv,210.64140480591496,197.0,210.64140480591496,56,3246
1_5_3,Ele,213.8283261802575,193.0,213.8283261802575,55,2330
1_5_4,Adv,209.4155277697005,193.0,209.4155277697005,55,3439
1_5_4,Ele,209.96125815113157,193.0,209.96125815113157,56,2607
1_5_5,Adv,208.87188434695912,195.0,208.87188434695912,56,2006
1_5_5,Ele,210.56040100250627,194.0,210.56040100250627,55,1995
1_6_1,Adv,211.66772872098315,192.0,211.66772872098315,55,2197
1_6_1,Ele,207.2322695035461,192.0,207.2322695035461,56,1692
