text_id,align_idx,level,reading_regime,Sen_RT,Sen_TF,Sen_Sacc_RT,n_words,Sen_RT_per_word,Sen_TF_per_word,Sen_Sacc_RT_per_word,words_per_sec_based_Sen_RT,words_per_sec_based_Sen_TF,words_per_sec_based_Sen_Sacc_RT
1_10_1,0,Adv,Gathering0,19298.857801256672,16415.190910511945,2883.666890744726,38,507.8646789804387,431.978708171367,75.88597080907174,1.9690284467262915,2.3149289098834416,13.177666297713827
1_10_1,0,Ele,Gathering0,14692.2231759738,12322.267453169048,2369.955722804752,33,445.2188841204182,373.4020440354257,71.81684008499248,2.2460862188620245,2.678078537527039,13.924310771910017
1_10_1,1,Adv,Gathering0,10446.47331828944,8915.16732075157,1531.3059975378696,19,549.8143851731284,469.2193326711353,80.59505250199314,1.81879562806476,2.1311994846999966,12.407709517594393
1_10_1,1,Ele,Gathering0,7430.250017546583,6225.672961052283,1204.5770564942986,19,391.06579039718855,327.66699795012016,63.39879244706835,2.5571144921276376,3.051878908330668,15.773171087365741
1_10_1,2,Adv,Gathering0,18640.007800919113,15846.491382166532,2793.5164187525793,41,454.63433660778327,386.4997898089398,68.1345467988434,2.1995698949213076,2.5873235286734166,14.676842321302052
1_10_1,2,Ele,Gathering0,8268.938493882004,6880.877687230026,1388.0608066519785,21,393.758975899143,327.66084224904887,66.09813365009421,2.5396246465658696,3.051936243391326,15.129020212487868
1_10_2,3,Adv,Gathering0,8507.126900000692,7176.99419075985,1330.1327092408421,16,531.6954312500433,448.56213692249065,83.13329432755263,1.880775987954135,2.2293455414244985,12.028874930180324
1_10_2,3,Ele,Gathering0,9076.046740735374,7738.842388737414,1337.2043519979604,19,477.68667056501965,407.3074941440744,70.37917642094529,2.093422449525701,2.4551475589748812,14.208748252734509
1_10_2,4,Adv,Gathering0,13663.27392361882,11526.51075456151,2136.7631690573107,29,471.14737667651104,397.4658880883279,73.68148858818313,2.122478123626693,2.515939178603856,13.571929926513155
1_10_2,4,Ele,Gathering0,12597.273927489785,10671.122153194587,1926.1517742951976,26,484.51053567268406,410.4277751228687,74.08276054981529,2.0639386068491192,2.436482276816262,13.498417075421647
1_10_2,5,Adv,Gathering0,10929.58680398041,9079.001437475523,1850.585366504886,26,420.36872323001575,349.1923629798278,71.17636025018793,2.378863946670989,2.863751061067072,14.049608556618486
1_10_2,5,Ele,Gathering0,12374.828725361687,10387.934650977757,1986.8940743839298,28,441.9581687629174,370.99766610634845,70.96050265656892,2.262657578655225,2.6954347462480928,14.092346623300427
1_10_2,6,Adv,Gathering0,8201.665547769919,6725.128374502207,1476.5371732677115,18,455.6480859872177,373.6182430279004,82.0298429593173,2.1946761782909214,2.676528833002739,12.19068529115617
1_10_2,6,Ele,Gathering0,8057.029587385227,6694.490019469124,1362.5395679161034,18,447.6127548547349,371.9161121927291,75.69664266200574,2.234073960480713,2.6887783755972214,13.210625528864147
1_10_3,7,Adv,Gathering0,36497.16670770958,30839.071138414012,5658.095569295563,68,536.7230398192585,453.51575203550016,83.20728778375828,1.863158325263529,2.204995075720594,12.01817805429293
1_10_3,7,Ele,Gathering0,21490.062871916572,17994.98256298773,3495.0803089288424,52,413.27043984454946,346.05735698053326,67.2130828640162,2.4197230277978443,2.889694381085656,14.878055839562881
1_10_3,8,Adv,Gathering0,21344.61786766348,18095.603221286234,3249.014646377248,41,520.6004357966702,441.35617612893253,79.24425966773775,1.9208589375644851,2.2657437554649107,12.619210579957302
1_10_3,8,Ele,Gathering0,9027.739747117996,7534.100619870472,1493.639127247523,21,429.89236891038075,358.76669618430816,71.12567272607252,2.3261636454134615,2.7873267241234476,14.059620973306172
1_10_4,9,Adv,Gathering0,17991.178287332514,15221.952739457822,2769.2255478746933,34,529.1523025686033,447.70449233699475,81.44781023160863,1.8898150780896439,2.2336161845954474,12.277800927444893
1_10_4,9,Ele,Gathering0,8494.376034102732,7141.10506115398,1353.270972948751,18,471.909779672374,396.72805895299894,75.18172071937505,2.119049112934798,2.520618286085159,13.3011055138339
1_10_4,10,Adv,Gathering0,15154.077251994044,12984.157611944855,2169.919640049188,31,488.8412016772272,418.843793933705,69.99740774352219,2.045654082693875,2.387524930495403,14.286243337240492
1_10_4,10,Ele,Gathering0,14877.494525719321,12503.235882390572,2374.2586433287493,32,464.9217039287288,390.7261213247054,74.19558260402341,2.1508998000086854,2.559337462797808,13.477891336697622
1_10_4,11,Adv,Gathering0,9435.774292970473,8026.214487191175,1409.559805779297,24,393.15726220710303,334.42560363296565,58.73165857413738,2.543511454897738,2.9902016745628925,17.026592203891077
1_10_4,11,Ele,Gathering0,6618.302622760815,5637.824363137275,980.4782596235399,18,367.6834790422675,313.2124646187375,54.471014423529994,2.7197305753437013,3.1927209576964466,18.35838767797993
1_10_4,12,Adv,Gathering0,17033.557302963385,14354.062386050766,2679.4949169126194,40,425.83893257408465,358.85155965126916,66.98737292281548,2.3483057172702893,2.7866675596221375,14.92818655766998
1_10_4,12,Ele,Gathering0,12566.29958777535,10399.683678066018,2166.615909709332,27,465.41850325093884,385.17346955800065,80.24503369293822,2.1486038758988313,2.5962328120561713,12.461830395966333
1_10_4,13,Adv,Gathering0,14980.493943913876,12310.645671655046,2669.8482722588315,36,416.1248317753855,341.9623797681957,74.16245200718976,2.4031250327780893,2.9242982829803235,13.483912315939255
1_10_4,13,Ele,Gathering0,14862.0265461499,12455.578985524047,2406.447560625854,37,401.6763931391865,336.6372698790283,65.0391232601582,2.48956627046162,2.9705564103444435,15.37536101155567
1_10_5,14,Adv,Gathering0,9000.243704223922,7465.825310391719,1534.4183938322035,17,529.426100248466,439.1661947289246,90.25990551954138,1.888837742473762,2.277042295154913,11.079116405495226
1_10_5,14,Ele,Gathering0,8161.116490718269,6829.168547693071,1331.9479430251984,16,510.0697806698918,426.8230342308169,83.2467464390749,1.9605160664226498,2.342891361995288,12.01248148156591
1_10_5,15,Adv,Gathering0,12009.61582676829,10244.708468093917,1764.9073586743727,19,632.0850435141205,539.1951825312588,92.88986098286172,1.582065594275781,1.854615976547652,10.765437577568354
1_10_5,15,Ele,Gathering0,9560.063148620917,8056.85242228364,1503.2107263372761,22,434.5483249373144,366.2205646492564,68.327760288058,2.3012400292746604,2.7305948833259506,14.635339952373284
