col,full_col,pearson_corr,reader_type,reading_regime,resolution
mean_nonzero_TF,Adv_mean_nonzero_TF,0.7804242224072004,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_nonzero_TF,Ele_mean_nonzero_TF,0.7343144936447674,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_nonzero_TF,diff_mean_nonzero_TF,0.6174400813050196,L1_and_L2,Gathering0_next_to_Hunting0,sentence
SkipRateTotal,Adv_SkipRateTotal,0.7525517442554853,L1_and_L2,Gathering0_next_to_Hunting0,sentence
SkipRateTotal,Ele_SkipRateTotal,0.7359528044750301,L1_and_L2,Gathering0_next_to_Hunting0,sentence
SkipRateTotal,diff_SkipRateTotal,0.6722644325583678,L1_and_L2,Gathering0_next_to_Hunting0,sentence
RegRateTotal,Adv_RegRateTotal,0.7128211241969957,L1_and_L2,Gathering0_next_to_Hunting0,sentence
RegRateTotal,Ele_RegRateTotal,0.6769418205816837,L1_and_L2,Gathering0_next_to_Hunting0,sentence
RegRateTotal,diff_RegRateTotal,0.5023932279549278,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_nonzero_FF,Adv_mean_nonzero_FF,0.46492362958794026,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_nonzero_FF,Ele_mean_nonzero_FF,0.3298674549656444,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_nonzero_FF,diff_mean_nonzero_FF,0.26645739791340844,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_FD,Adv_mean_FD,0.43370107985127754,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_FD,Ele_mean_FD,0.23393896752398752,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_FD,diff_mean_FD,0.16014881754304133,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_NF,Adv_mean_NF,0.7687333549695202,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_NF,Ele_mean_NF,0.7543409559271655,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_NF,diff_mean_NF,0.5808517898152422,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_FirstPassGD,Adv_mean_FirstPassGD,0.7200959410010026,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_FirstPassGD,Ele_mean_FirstPassGD,0.6551344211080735,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_FirstPassGD,diff_mean_FirstPassGD,0.48993075460007446,L1_and_L2,Gathering0_next_to_Hunting0,sentence
SkipRateFirstPass,Adv_SkipRateFirstPass,0.79269980821599,L1_and_L2,Gathering0_next_to_Hunting0,sentence
SkipRateFirstPass,Ele_SkipRateFirstPass,0.7745244340235109,L1_and_L2,Gathering0_next_to_Hunting0,sentence
SkipRateFirstPass,diff_SkipRateFirstPass,0.5125596836936399,L1_and_L2,Gathering0_next_to_Hunting0,sentence
RegRateFirstPass,Adv_RegRateFirstPass,0.8084839659462114,L1_and_L2,Gathering0_next_to_Hunting0,sentence
RegRateFirstPass,Ele_RegRateFirstPass,0.7926915384344752,L1_and_L2,Gathering0_next_to_Hunting0,sentence
RegRateFirstPass,diff_RegRateFirstPass,0.5294081849312058,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_GD,Adv_mean_GD,0.7930341496595303,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_GD,Ele_mean_GD,0.7659559921948792,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_GD,diff_mean_GD,0.7608763221723118,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_HigherPassFixation,Adv_mean_HigherPassFixation,0.6981795537645792,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_HigherPassFixation,Ele_mean_HigherPassFixation,0.66513068803187,L1_and_L2,Gathering0_next_to_Hunting0,sentence
mean_HigherPassFixation,diff_mean_HigherPassFixation,0.4280427094138587,L1_and_L2,Gathering0_next_to_Hunting0,sentence
reading_speed,Adv_reading_speed,0.7398050291027899,L1_and_L2,Gathering0_next_to_Hunting0,sentence
reading_speed,Ele_reading_speed,0.6880890457489044,L1_and_L2,Gathering0_next_to_Hunting0,sentence
reading_speed,diff_reading_speed,0.535354729895932,L1_and_L2,Gathering0_next_to_Hunting0,sentence
