col,full_col,pearson_corr,reader_type,reading_regime,resolution
mean_nonzero_TF,Adv_mean_nonzero_TF,0.767397271556832,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_nonzero_TF,Ele_mean_nonzero_TF,0.7045936773858439,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_nonzero_TF,diff_mean_nonzero_TF,0.7374056532263786,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
SkipRateTotal,Adv_SkipRateTotal,0.6168703605997716,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
SkipRateTotal,Ele_SkipRateTotal,0.5211583690565561,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
SkipRateTotal,diff_SkipRateTotal,0.6883971974759237,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
RegRateTotal,Adv_RegRateTotal,0.6991306450292909,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
RegRateTotal,Ele_RegRateTotal,0.640129862041109,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
RegRateTotal,diff_RegRateTotal,0.3493787894561549,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_nonzero_FF,Adv_mean_nonzero_FF,0.24086377843927226,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_nonzero_FF,Ele_mean_nonzero_FF,0.16775723384709068,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_nonzero_FF,diff_mean_nonzero_FF,0.1908316336308734,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_FD,Adv_mean_FD,0.2075026899744246,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_FD,Ele_mean_FD,0.003337246716547386,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_FD,diff_mean_FD,0.07746434288590098,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_NF,Adv_mean_NF,0.6976280621660336,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_NF,Ele_mean_NF,0.6502234035480607,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_NF,diff_mean_NF,0.5769551092802866,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_FirstPassGD,Adv_mean_FirstPassGD,0.6330635750360424,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_FirstPassGD,Ele_mean_FirstPassGD,0.49669201748349795,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_FirstPassGD,diff_mean_FirstPassGD,0.48378395217696524,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
SkipRateFirstPass,Adv_SkipRateFirstPass,0.6461326645027227,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
SkipRateFirstPass,Ele_SkipRateFirstPass,0.5464038224419957,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
SkipRateFirstPass,diff_SkipRateFirstPass,0.4648714290448202,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
RegRateFirstPass,Adv_RegRateFirstPass,0.4873748313020198,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
RegRateFirstPass,Ele_RegRateFirstPass,0.47737175188514264,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
RegRateFirstPass,diff_RegRateFirstPass,0.013208681476624637,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_GD,Adv_mean_GD,0.6532826984154576,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_GD,Ele_mean_GD,0.5707080207309191,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_GD,diff_mean_GD,0.7960820573780786,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_HigherPassFixation,Adv_mean_HigherPassFixation,0.7389132555222439,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_HigherPassFixation,Ele_mean_HigherPassFixation,0.6699799469686282,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
mean_HigherPassFixation,diff_mean_HigherPassFixation,0.5205270703107415,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
reading_speed,Adv_reading_speed,0.7140450199744642,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
reading_speed,Ele_reading_speed,0.6295962559846782,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
reading_speed,diff_reading_speed,0.6888498334585625,L1_and_L2,Gathering0_next_to_Hunting0,paragraph
