text_level,measure,batch,n_raters,n_items,kendalls_w,kendalls_w_pvalue,avg_spearmans_rho,avg_kendalls_tau,avg_pearson_r
paragraph,RR,2.0,101.16666666666667,54.0,0.13250357287266457,0.0,0.12379515401806629,0.08465981148825345,0.132809357619582
paragraph,SR,2.0,101.16666666666667,54.0,0.15110387655036173,0.0,0.14259270218063033,0.0978973084397237,0.14122773114544446
paragraph,TF,2.0,101.16666666666667,54.0,0.18495630385145057,0.0,0.17677120892055323,0.12138707075846987,0.17660530814468492
sentence,RR,2.0,101.16666666666667,279.0,0.14893495644532487,0.0,0.12159815836280091,0.08467510587765566,0.12290550609411792
sentence,SR,2.0,101.16666666666667,279.0,0.1852662370265157,0.0,0.17741250569988043,0.12316597111585954,0.17501577946799954
sentence,TF,2.0,101.16666666666667,279.0,0.21222102780603225,0.0,0.20968479225741365,0.14232172894167863,0.20267007356744463
