batch,text_level,version,measure,n_raters,n_items,kendalls_w,kendalls_w_pvalue,avg_spearmans_rho,avg_kendalls_tau,avg_pearson_r
1,paragraph,V0,TF,111,54,0.17441860137763587,0.0,0.16691331593561437,0.1144068024571169,0.1658026132439606
1,paragraph,V1,TF,112,54,0.19873887179943447,0.0,0.191520371993593,0.13111902429301728,0.18199934351824879
1,paragraph,V0,RR,111,54,0.13660021339776568,0.0,0.12876243534768492,0.0881502205435091,0.1378317563105553
1,paragraph,V1,RR,112,54,0.14820080619440457,0.0,0.1405371838811118,0.0961755946459679,0.13853618974387485
1,paragraph,V0,SR,111,54,0.14489890814895065,0.0,0.13714144290536262,0.0939481305579117,0.13319452753185676
1,paragraph,V1,SR,112,54,0.14821435560359078,0.0,0.14055432595140574,0.0962540873349552,0.13662058029517152
1,sentence,V0,TF,111,253,0.18801639561394967,0.0,0.18456390722514573,0.12489280831611686,0.17073257745279585
1,sentence,V1,TF,112,252,0.1968469522013755,0.0,0.21051988576912903,0.14262035596899258,0.18673400117950786
1,sentence,V0,RR,111,253,0.11472739445712418,0.0,0.1281350035077314,0.0891794807358265,0.1324145740324394
1,sentence,V1,RR,112,252,0.1625672138664436,0.0,0.1345178448078872,0.09353031176075353,0.13011908582056392
1,sentence,V0,SR,111,253,0.17787812099737857,0.0,0.17067398205869194,0.11798864598308043,0.1669425206260138
1,sentence,V1,SR,112,252,0.1787127990107084,0.0,0.17156416978655895,0.11854985456055964,0.16611776645674342
2,paragraph,V0,TF,98,54,0.21184771337970085,0.0,0.20372253114572836,0.140676029281463,0.21834049531454225
2,paragraph,V1,TF,100,54,0.14390005717552887,0.0,0.1352525830055847,0.09242614827520489,0.13190068451150286
2,paragraph,V0,RR,98,54,0.13356602416231658,0.0,0.1246404600521642,0.0857348171276128,0.14478800030972364
2,paragraph,V1,RR,100,54,0.11260287402325138,0.0,0.10364417457955562,0.07029973515608003,0.10897584167110955
2,paragraph,V0,SR,98,54,0.17484915717491767,0.0,0.16635569862262067,0.11447115239184283,0.17566606673119564
2,paragraph,V1,SR,100,54,0.14168416619020394,0.0,0.13302302963911594,0.09105396104166777,0.13030884626815403
2,sentence,V0,TF,98,285,0.23887542029072065,0.0,0.2320796590408371,0.15802739993326517,0.2273795681550378
2,sentence,V1,TF,100,289,0.20176136230064382,0.0,0.2140195115982341,0.1454695062490882,0.2089203346388635
2,sentence,V0,RR,98,285,0.14378014395939417,0.0,0.11425429701921358,0.07986639210987515,0.12050621455002963
2,sentence,V1,RR,100,289,0.11807631771213861,0.0,0.1038385384709728,0.07270037284507602,0.09998223738885187
2,sentence,V0,SR,98,285,0.20185731023531728,0.0,0.1940311349107275,0.13553949694310435,0.18901090551377034
2,sentence,V1,SR,100,289,0.18684263472934812,0.0,0.17899121746590524,0.12446774026226773,0.17850819817982358
3,paragraph,V0,TF,91,54,0.17705924365679704,0.0,0.16791561215170764,0.11538807138422347,0.16424383584898905
3,paragraph,V1,TF,95,54,0.20377333571960657,0.0,0.19530283929109168,0.1343063488597939,0.19734487643086637
3,paragraph,V0,RR,91,54,0.1281359090606447,0.0,0.11845726792393582,0.08071807663254812,0.12617412889261329
3,paragraph,V1,RR,95,54,0.13591561039760486,0.0,0.1267294023239455,0.08688042482380287,0.14055022878961576
3,paragraph,V0,SR,91,54,0.15395825406192398,0.0,0.1445708021105459,0.099395186284101,0.14130069127646883
3,paragraph,V1,SR,95,54,0.1430184181225837,0.0,0.13391091385473142,0.09226133302786389,0.1302756747698201
3,sentence,V0,TF,91,295,0.22198709187469953,0.0,0.2113777140923616,0.14343063540905118,0.20774701767966283
3,sentence,V1,TF,95,300,0.22583894455480455,0.0,0.2055480758187743,0.13948966777355823,0.21450694229880019
3,sentence,V0,RR,91,295,0.18581431695892964,0.0,0.12279004407278084,0.08528013240169667,0.12375235551407257
3,sentence,V1,RR,95,300,0.16864435171791922,0.0,0.1260532222982198,0.08749394541270623,0.13065856925875036
3,sentence,V0,SR,91,295,0.18723895289563278,0.0,0.1786054763440689,0.12415094307730642,0.18249835892380611
3,sentence,V1,SR,95,300,0.17906760429070942,0.0,0.17060905363333034,0.11829914586883893,0.16701692710784022
